"dates","JCI.Open","JCI.High","JCI.Low","JCI.Close","JCI.Volume","JCI.Adjusted"
"2010-01-04",18.728437,19.025137,18.665976,18.879391,8334301,13.0012
"2010-01-05",18.848158,18.947058,18.671181,18.785694,4704110,12.936669
"2010-01-06",18.775286,18.848158,18.692001,18.723232,5095062,12.893661
"2010-01-07",18.74926,18.900209,18.629538,18.858568,6697872,12.986858
"2010-01-08",18.785694,18.983494,18.655563,18.921032,6177818,13.029876
"2010-01-11",19.025137,19.451965,19.019932,19.410324,7072879,13.366821
"2010-01-12",19.264578,19.483196,19.170883,19.384296,4880471,13.348895
"2010-01-13",19.384296,19.514427,19.176088,19.207319,5235306,13.227022
"2010-01-14",19.186499,19.488401,19.186499,19.405119,3614630,13.363238
"2010-01-15",19.431145,19.602917,19.129242,19.540455,6473290,13.456436
"2010-01-19",20.040157,20.237955,19.524839,19.878796,26371909,13.689432
"2010-01-20",19.821537,19.951668,19.649763,19.85277,13688525,13.67151
"2010-01-21",19.925642,20.003719,19.519634,19.639355,8785193,13.524547
"2010-01-22",19.628942,19.707022,19.243755,19.285398,10818915,13.280788
"2010-01-25",19.483196,19.55607,19.165676,19.191704,5772649,13.216269
"2010-01-26",19.014727,19.212524,18.983494,19.035547,7965249,13.108735
"2010-01-27",18.978289,19.056368,18.764874,18.999109,7212354,13.155587
"2010-01-28",18.999109,19.11883,18.63995,18.790901,7451344,13.011416
"2010-01-29",18.863773,18.884596,18.348455,18.44215,8245352,12.769934
"2010-02-01",18.577486,18.619127,18.312019,18.499407,7287662,12.809578
"2010-02-02",18.582691,19.035547,18.582691,18.993904,9120048,13.151986
"2010-02-03",19.014727,19.202114,18.962673,19.00952,6606233,13.162794
"2010-02-04",18.822132,18.848158,18.24435,18.24435,6909389,12.632967
"2010-02-05",18.379686,18.457766,17.703007,17.958063,11036196,12.434734
"2010-02-08",18.020527,18.062168,17.671776,17.671776,6179163,12.236498
"2010-02-09",17.937243,18.228735,17.874779,18.11422,7954683,12.542869
"2010-02-10",18.093399,18.22353,17.958063,17.999704,5359027,12.46357
"2010-02-11",17.963268,18.13504,17.843548,18.046553,6031427,12.496011
"2010-02-12",17.843548,17.963268,17.614517,17.963268,4510267,12.43834
"2010-02-16",17.994499,18.218325,17.90601,18.171476,5611465,12.582505
"2010-02-17",18.296404,18.546253,18.265171,18.379686,5468725,12.726679
"2010-02-18",18.306814,18.478586,18.259966,18.436945,4584615,12.766329
"2010-02-19",18.410917,18.681591,18.317225,18.535845,4518720,12.834808
"2010-02-22",18.520227,18.759668,18.462971,18.468176,4895264,12.787952
"2010-02-23",18.390097,18.567076,18.197504,18.306814,6530348,12.676224
"2010-02-24",18.379686,18.457766,18.270376,18.358866,4271084,12.712265
"2010-02-25",18.24435,18.608717,17.859163,18.582691,8461673,12.867248
"2010-02-26",18.525434,18.842953,18.43174,18.770081,6987388,12.997
"2010-03-01",18.832542,19.285398,18.832542,19.124037,7228683,13.242095
"2010-03-02",19.222935,19.431145,19.181293,19.24896,7764298,13.328596
"2010-03-03",19.264578,19.33745,19.071983,19.129242,9334832,13.245699
"2010-03-04",19.092804,19.108419,18.868979,19.051163,8197708,13.191632
"2010-03-05",19.259373,19.602917,19.222935,19.524839,6749166,13.519617
"2010-03-08",19.602917,19.618532,19.290604,19.415529,6528235,13.443927
"2010-03-09",19.410324,19.64456,19.34786,19.613329,5409746,13.580894
"2010-03-10",19.561275,19.779896,19.254166,19.618532,5365367,13.584503
"2010-03-11",19.64456,19.790306,19.524839,19.753868,6837539,13.678205
"2010-03-12",19.805922,19.962078,19.524839,19.602917,7127055,13.573685
