"dates","JPM.Open","JPM.High","JPM.Low","JPM.Close","JPM.Volume","JPM.Adjusted"
"2010-01-04",41.790001,42.990002,41.669998,42.849998,35460500,32.276932
"2010-01-05",42.790001,43.84,42.779999,43.68,41208300,32.90213
"2010-01-06",43.450001,44.09,43.310001,43.919998,27729000,33.08292
"2010-01-07",43.790001,45.119999,43.610001,44.790001,44864700,33.738243
"2010-01-08",44.369999,44.700001,44.080002,44.68,33110100,33.655376
"2010-01-11",45.119999,45.189999,44.310001,44.529999,31878700,33.5424
"2010-01-12",43.990002,44.150002,42.939999,43.490002,47109600,32.759018
"2010-01-13",43.549999,44.529999,42.869999,44.25,39622000,33.331486
"2010-01-14",44.200001,44.790001,44.099998,44.689999,37938300,33.662914
"2010-01-15",44.299999,44.43,43.34,43.68,69738500,32.90213
"2010-01-19",43.400002,43.75,42.900002,43.279999,41731500,32.600842
"2010-01-20",43.009998,43.68,42.709999,43.400002,39934400,32.691223
"2010-01-21",43.040001,43.150002,40.32,40.540001,137547700,30.536911
"2010-01-22",40.650002,41.200001,38.82,39.16,106634900,29.497427
"2010-01-25",39.759998,39.889999,38.84,39.209999,56572200,29.535093
"2010-01-26",39,39.84,38.279999,38.439999,52975300,28.955076
"2010-01-27",38.349998,39.490002,38.07,39.330002,66314300,29.625486
"2010-01-28",39.68,40.040001,38.720001,39.48,65047400,29.738468
"2010-01-29",39.650002,39.849998,38.799999,38.939999,53649000,29.331717
"2010-02-01",39.099998,39.93,38.950001,39.630001,37408200,29.851461
"2010-02-02",39.799999,40.68,39.700001,40.549999,45968500,30.544455
"2010-02-03",40.580002,41.099998,40.169998,40.290001,37373300,30.348602
"2010-02-04",39.790001,39.919998,38.349998,38.349998,57211800,28.887291
"2010-02-05",38.639999,38.880001,37.029999,38.299999,75224100,28.849627
"2010-02-08",38.290001,38.290001,37.32,37.700001,58321000,28.397676
"2010-02-09",38.189999,38.700001,37.84,38.389999,45173500,28.917416
"2010-02-10",38.639999,39.5,38.52,38.869999,39331800,29.278969
