"dates","KIM.Open","KIM.High","KIM.Low","KIM.Close","KIM.Volume","KIM.Adjusted"
"2010-01-04",13.62,13.88,13.56,13.66,6263800,8.155658
"2010-01-05",13.58,13.72,13.41,13.59,5996200,8.113865
"2010-01-06",13.59,13.76,13.51,13.65,6165600,8.149688
"2010-01-07",13.58,14.14,13.58,14.11,6926200,8.42433
"2010-01-08",14.05,14.18,13.78,13.93,5637000,8.316859
"2010-01-11",14.06,14.17,13.88,14.13,5671400,8.436267
"2010-01-12",13.75,14.06,13.67,13.74,9849400,8.203421
"2010-01-13",13.72,14.39,13.68,14.19,7826300,8.472091
"2010-01-14",14.11,14.19,13.8,13.97,5803100,8.340741
"2010-01-15",13.88,13.99,13.54,13.62,7874900,8.131775
"2010-01-19",13.37,13.86,13.33,13.81,8136700,8.245214
"2010-01-20",13.65,13.67,13.4,13.61,7683500,8.125806
"2010-01-21",13.67,13.75,13.25,13.27,9368400,7.922811
"2010-01-22",13.28,13.53,12.96,13.04,9154100,7.785489
"2010-01-25",13.28,13.28,12.8,13.05,6171300,7.791457
"2010-01-26",12.98,13.1,12.79,12.84,6222000,7.666079
"2010-01-27",12.85,12.9,12.52,12.83,7591500,7.660109
"2010-01-28",12.99,12.99,12.4,12.59,6152800,7.516819
"2010-01-29",12.69,12.84,12.46,12.62,7352600,7.534729
"2010-02-01",12.72,12.93,12.66,12.93,4483900,7.719811
"2010-02-02",12.95,13.09,12.76,13.01,5560300,7.767576
"2010-02-03",12.97,13.07,12.54,12.66,5976900,7.558608
"2010-02-04",12.57,12.91,12.49,12.66,13464900,7.558608
"2010-02-05",12.66,13.19,12.63,12.97,12127900,7.743694
"2010-02-08",12.95,13.11,12.58,12.6,6487100,7.522785
"2010-02-09",12.75,12.89,12.56,12.8,10005000,7.642199
"2010-02-10",12.83,13,12.5,12.76,3429100,7.618315
"2010-02-11",12.78,12.85,12.54,12.73,5017700,7.600403
"2010-02-12",12.63,12.84,12.5,12.82,4772900,7.654136
"2010-02-16",12.95,13.26,12.88,13.23,4421200,7.898926
"2010-02-17",13.33,13.57,13.23,13.42,4424500,8.012364
"2010-02-18",13.34,13.86,13.34,13.74,5191000,8.203421
"2010-02-19",13.7,13.79,13.49,13.71,4500400,8.185509
"2010-02-22",13.7,13.8,13.59,13.64,3401100,8.143712
"2010-02-23",13.57,13.68,13.38,13.44,4255600,8.024305
"2010-02-24",13.51,13.8,13.44,13.8,4363800,8.239241
"2010-02-25",13.61,14.01,13.48,13.95,4946300,8.328801
"2010-02-26",13.98,14.09,13.88,13.89,8049900,8.292975
"2010-03-01",13.95,14.1,13.87,14,5630000,8.358652
"2010-03-02",14.07,14.12,13.94,14.02,6764400,8.370595
"2010-03-03",14,14.14,13.89,14,5604600,8.358652
"2010-03-04",14.05,14.09,13.94,14.04,4368300,8.382537
"2010-03-05",14.13,14.66,14.01,14.61,5533700,8.72285
"2010-03-08",14.61,14.85,14.6,14.75,3082600,8.806437
