"dates","KMI.Open","KMI.High","KMI.Low","KMI.Close","KMI.Volume","KMI.Adjusted"
"2011-02-11",31.700001,32.139999,30.75,31.049999,50610600,20.035358
"2011-02-14",31.049999,31.299999,30.700001,30.700001,6275900,19.809525
"2011-02-15",30.9,31.15,30.73,30.940001,4337800,19.964388
"2011-02-16",31.049999,31.440001,30.66,30.719999,4627100,19.822428
"2011-02-17",30.68,31.09,30.51,30.549999,3290700,19.71273
"2011-02-18",30.68,31.379999,30.4,31.370001,2583800,20.241848
"2011-02-22",31.139999,31.43,30.709999,30.719999,2454300,19.822428
"2011-02-23",30.76,30.9,30.25,30.42,2671200,19.628853
"2011-02-24",30.549999,30.65,30.299999,30.459999,1698000,19.654659
"2011-02-25",30.530001,30.75,30.299999,30.5,2225900,19.680473
"2011-02-28",30.57,30.790001,30.42,30.5,2380400,19.680473
"2011-03-01",30.65,30.780001,30.23,30.450001,1908000,19.648211
"2011-03-02",30.57,30.690001,30.26,30.57,2197000,19.725643
"2011-03-03",30.68,30.77,30.530001,30.77,1901800,19.854691
"2011-03-04",30.799999,30.940001,30.66,30.85,892300,19.906311
"2011-03-07",30.940001,31.040001,30.700001,30.9,1049600,19.938578
"2011-03-08",30.799999,31.040001,30.799999,30.969999,827400,19.983744
"2011-03-09",30.9,30.98,30.74,30.75,294100,19.841784
"2011-03-10",30.709999,30.709999,29.75,30.1,2715200,19.422367
"2011-03-11",30.1,30.48,29.969999,30.1,1896900,19.422367
"2011-03-14",30,30.219999,29.799999,29.99,1967700,19.351393
"2011-03-15",29.809999,30.200001,29.6,29.879999,1968400,19.280407
"2011-03-16",29.889999,30.16,29.76,30.049999,2062200,19.390102
"2011-03-17",30.200001,30.41,30.059999,30.15,1511400,19.454634
"2011-03-18",30.209999,30.5,30.08,30.5,1906600,19.680473
"2011-03-21",30.530001,31,30.4,30.82,1253000,19.886951
"2011-03-22",30.9,30.98,30.57,30.700001,1014700,19.809525
"2011-03-23",30.530001,30.67,29.950001,30.02,2570500,19.370745
"2011-03-24",30.1,30.25,29.9,30.049999,1411600,19.390102
"2011-03-25",30.01,30.09,29.5,29.52,2687100,19.048117
"2011-03-28",29.74,29.93,29.559999,29.620001,1552900,19.112644
"2011-03-29",29.75,29.889999,29.540001,29.790001,1313800,19.222332
"2011-03-30",29.870001,29.889999,29.58,29.690001,769700,19.157806
"2011-03-31",29.799999,29.870001,29.51,29.639999,884400,19.125547
"2011-04-01",29.790001,29.85,29.49,29.5,1869200,19.03521
"2011-04-04",29.440001,29.700001,29.25,29.440001,1177900,18.996498
"2011-04-05",29.49,29.639999,29,29.440001,1021200,18.996498
"2011-04-06",29.459999,29.49,29.209999,29.459999,725100,19.009403
"2011-04-07",29.52,29.559999,29.129999,29.219999,1226100,18.854536
"2011-04-08",29.219999,29.42,29.120001,29.33,934800,18.925518
"2011-04-11",29.299999,29.41,29.07,29.25,1160900,18.873896
"2011-04-12",29.1,29.24,28.27,28.73,1278100,18.538359
"2011-04-13",28.74,29.02,28.66,28.83,2766900,18.60289
"2011-04-14",28.790001,29.16,28.57,29.120001,785800,18.79001
"2011-04-15",29.110001,29.15,28.690001,28.879999,863900,18.635147
"2011-04-18",28.790001,28.84,28.23,28.52,882400,18.402851
"2011-04-19",28.59,28.860001,28.530001,28.780001,1121200,18.570623
"2011-04-20",28.98,29.6,28.790001,29.450001,2054000,19.002945
"2011-04-21",29.32,29.93,29.07,29.629999,1516900,19.119095
"2011-04-25",29.809999,29.809999,29.07,29.360001,604100,18.944874
"2011-04-26",29.540001,29.59,29.049999,29.120001,1100000,18.79001
"2011-04-27",29.299999,29.49,28.75,28.860001,1479600,18.622242
"2011-04-28",28.84,28.950001,28.690001,28.83,1041000,18.693563
"2011-04-29",29.040001,29.290001,28.35,28.58,1843400,18.531467
"2011-05-02",28.73,28.99,28.379999,28.82,1036600,18.687082
