"dates","KMX.Open","KMX.High","KMX.Low","KMX.Close","KMX.Volume","KMX.Adjusted"
"2010-01-04",24.48,24.48,23.870001,23.98,2122800,23.98
"2010-01-05",24.030001,24.120001,23.6,24.120001,1689300,24.120001
"2010-01-06",24.18,24.5,24.01,24.43,1566900,24.43
"2010-01-07",24.360001,24.68,24.110001,24.200001,1550800,24.200001
"2010-01-08",24.1,24.33,23.85,24.309999,895000,24.309999
"2010-01-11",24.34,24.35,23.799999,23.950001,900800,23.950001
"2010-01-12",23.75,23.75,23.18,23.370001,2092100,23.370001
"2010-01-13",23.41,23.540001,23.030001,23.49,1280300,23.49
"2010-01-14",23.4,23.43,22.700001,22.91,1164700,22.91
"2010-01-15",22.74,23.09,22.41,22.559999,1091900,22.559999
"2010-01-19",22.559999,22.940001,22.41,22.85,1792000,22.85
"2010-01-20",22.59,22.66,22.32,22.4,1695000,22.4
"2010-01-21",21.65,22.1,21.139999,21.65,3750400,21.65
"2010-01-22",21.59,21.940001,21.200001,21.290001,1954500,21.290001
"2010-01-25",21.469999,21.73,21.370001,21.58,1066000,21.58
"2010-01-26",21.51,21.82,21.360001,21.41,677300,21.41
"2010-01-27",21.32,21.51,20.85,21.34,1990200,21.34
"2010-01-28",21.35,21.4,20.98,21.1,1583000,21.1
"2010-01-29",21.190001,21.43,20.610001,20.629999,2025700,20.629999
"2010-02-01",20.700001,21.16,20.700001,21.1,1043300,21.1
"2010-02-02",21.18,21.690001,20.99,21.639999,984900,21.639999
"2010-02-03",21.440001,21.67,21.24,21.49,1210500,21.49
"2010-02-04",21.219999,21.389999,20.67,20.73,2022400,20.73
"2010-02-05",20.74,20.82,19.73,20.24,2623300,20.24
"2010-02-08",20.700001,20.76,20.25,20.33,1292800,20.33
"2010-02-09",20.889999,20.950001,20.4,20.75,2045100,20.75
"2010-02-10",20.73,21.049999,20.52,20.799999,1259200,20.799999
"2010-02-11",20.85,21.23,20.559999,21.209999,1662100,21.209999
"2010-02-12",20.969999,21.049999,20.76,21,1716300,21
"2010-02-16",21.15,21.290001,20.99,21.18,990800,21.18
"2010-02-17",21.290001,21.42,21.01,21.190001,1117000,21.190001
"2010-02-18",21.219999,21.290001,21.030001,21.1,797600,21.1
"2010-02-19",21.09,21.16,20.629999,20.780001,1741600,20.780001
"2010-02-22",20.91,20.91,20.49,20.559999,1287000,20.559999
"2010-02-23",20.559999,20.559999,19.98,20.17,2383700,20.17
"2010-02-24",20.379999,20.5,20.200001,20.42,2014800,20.42
"2010-02-25",20.110001,20.41,19.940001,20.33,1358400,20.33
"2010-02-26",20.370001,20.370001,20.01,20.190001,1465100,20.190001
"2010-03-01",20.33,21.48,20.299999,21.469999,2768000,21.469999
"2010-03-02",21.5,22,21.5,21.700001,2225500,21.700001
"2010-03-03",21.690001,22.620001,21.690001,22.200001,2153900,22.200001
"2010-03-04",22.190001,22.549999,22.18,22.52,1541200,22.52
"2010-03-05",22.709999,23.33,22.559999,23.299999,1951300,23.299999
"2010-03-08",23.33,23.73,23.190001,23.23,1579200,23.23
"2010-03-09",23.110001,23.35,22.9,22.98,1146100,22.98
"2010-03-10",22.92,23.35,22.91,23.290001,1105100,23.290001
"2010-03-11",23.09,23.299999,22.85,23.290001,821100,23.290001
"2010-03-12",23.370001,23.4,23,23.4,874200,23.4
"2010-03-15",23.34,23.469999,22.950001,23.27,602300,23.27
"2010-03-16",23.26,23.51,23.120001,23.370001,592000,23.370001
"2010-03-17",23.5,24.370001,23.389999,24.209999,2105500,24.209999
"2010-03-18",24.09,24.24,23.67,23.879999,1117900,23.879999
"2010-03-19",23.639999,24.08,23.41,23.639999,1355800,23.639999
"2010-03-22",23.4,24.200001,23.27,24.01,1425400,24.01
"2010-03-23",24.02,24.74,23.879999,24.73,1572400,24.73
"2010-03-24",24.610001,24.91,24.360001,24.450001,1572000,24.450001
"2010-03-25",24.59,24.950001,24.450001,24.51,1288000,24.51
"2010-03-26",24.690001,25.15,24.620001,25.01,1667900,25.01
"2010-03-29",25.040001,25.91,25.01,25.780001,3630000,25.780001
"2010-03-30",25.75,26.09,25.65,25.91,2104900,25.91
"2010-03-31",25.889999,26,25.08,25.120001,3183400,25.120001
"2010-04-01",26.120001,26.35,25.4,26.08,5458700,26.08
"2010-04-05",26.25,26.25,25.530001,25.709999,2559700,25.709999
"2010-04-06",25.5,25.6,25.09,25.459999,2966800,25.459999
"2010-04-07",25.309999,25.530001,24.74,24.969999,3520900,24.969999
"2010-04-08",24.889999,24.92,24.52,24.68,2719800,24.68
"2010-04-09",24.75,24.75,24.299999,24.629999,1532400,24.629999
"2010-04-12",24.559999,24.58,24.07,24.33,2284500,24.33
"2010-04-13",24.26,24.629999,24.120001,24.59,1916100,24.59
"2010-04-14",24.75,25.780001,24.530001,25.780001,2583500,25.780001
"2010-04-15",25.629999,25.860001,25.51,25.67,1826400,25.67
"2010-04-16",25.57,25.639999,24.98,25.190001,1691800,25.190001
"2010-04-19",25.030001,25.25,24.370001,24.879999,1561100,24.879999
"2010-04-20",25.059999,25.23,24.780001,25.07,1139500,25.07
"2010-04-21",25.030001,25.299999,24.6,25,2782100,25
"2010-04-22",24.77,25.639999,24.469999,25.540001,1905600,25.540001
"2010-04-23",25.5,26.24,25.290001,26.200001,1842500,26.200001
"2010-04-26",26.110001,26.5,25.65,25.700001,2508100,25.700001
"2010-04-27",25.52,25.83,24.99,25.01,1914800,25.01
"2010-04-28",25.190001,25.33,24.58,24.709999,1219300,24.709999
"2010-04-29",24.93,25.469999,24.860001,25.389999,1043900,25.389999
"2010-04-30",25.469999,25.49,24.549999,24.57,1786600,24.57
"2010-05-03",24.66,24.82,24.43,24.690001,2103700,24.690001
"2010-05-04",24.299999,24.389999,23.41,24.040001,2128500,24.040001
"2010-05-05",23.809999,24.559999,23.540001,23.969999,2013400,23.969999
"2010-05-06",23.75,23.879999,21.129999,22.690001,2555700,22.690001
"2010-05-07",22.68,23,21.57,22.23,3116400,22.23
"2010-05-10",23.08,23.75,23.02,23.75,2483000,23.75
"2010-05-11",23.370001,24.209999,23.35,23.940001,1239800,23.940001
"2010-05-12",24.110001,24.700001,23.940001,24.620001,1795000,24.620001
"2010-05-13",24.49,24.780001,23.91,24.07,1561400,24.07
"2010-05-14",23.83,23.9,22.92,23.219999,1807600,23.219999
"2010-05-17",23.41,23.66,22.700001,23.59,1129300,23.59
"2010-05-18",23.9,24.34,22.790001,22.85,2310400,22.85
"2010-05-19",22.700001,23.049999,21.99,22.780001,2553100,22.780001
"2010-05-20",21.969999,22.6,21.66,21.790001,2143500,21.790001
"2010-05-21",21.27,22.15,21.219999,21.870001,3494700,21.870001
"2010-05-24",21.809999,22.15,21.65,21.700001,1596700,21.700001
"2010-05-25",21.02,21.870001,20.719999,21.790001,3567700,21.790001
"2010-05-26",21.889999,22.32,21.34,21.469999,1971000,21.469999
"2010-05-27",22.030001,22.35,21.77,22.290001,2058500,22.290001
"2010-05-28",22.190001,22.33,21.48,21.73,2280100,21.73
"2010-06-01",21.450001,21.85,21.120001,21.139999,1597200,21.139999
"2010-06-02",21.52,21.889999,20.950001,21.879999,1571400,21.879999
"2010-06-03",22.07,22.549999,22.01,22.389999,2617600,22.389999
"2010-06-04",21.719999,21.870001,20.75,20.93,2515100,20.93
"2010-06-07",21.059999,21.209999,20.139999,20.17,1689900,20.17
"2010-06-08",20.24,20.49,19.48,19.629999,4727500,19.629999
"2010-06-09",19.85,20.059999,19.07,19.209999,5405400,19.209999
"2010-06-10",19.6,19.85,19.379999,19.780001,2215800,19.780001
"2010-06-11",19.49,20.26,19.459999,20.040001,2179300,20.040001
"2010-06-14",20.35,21.139999,20.219999,20.83,2598100,20.83
"2010-06-15",20.950001,21.33,20.700001,21.26,1589400,21.26
"2010-06-16",21.08,21.889999,20.92,21.6,4150000,21.6
"2010-06-17",21.799999,21.82,20.610001,20.82,2243300,20.82
"2010-06-18",20.74,21.08,20.6,20.67,2244000,20.67
"2010-06-21",20.959999,20.98,20.17,20.370001,2834300,20.370001
"2010-06-22",20.42,20.809999,19.870001,20,3621600,20
"2010-06-23",21.940001,22.040001,21.280001,21.85,10311300,21.85
"2010-06-24",21.98,22,21.120001,21.34,4554500,21.34
"2010-06-25",21.5,21.93,21.290001,21.35,42565300,21.35
"2010-06-28",21.27,21.41,20.82,20.93,5636500,20.93
"2010-06-29",20.51,20.629999,19.690001,19.940001,4434500,19.940001
"2010-06-30",19.93,20.459999,19.76,19.9,3724400,19.9
"2010-07-01",19.950001,20.309999,19.540001,20.18,4564000,20.18
"2010-07-02",20.290001,20.389999,19.65,19.76,2977300,19.76
"2010-07-06",20.110001,20.219999,19.18,19.42,2974400,19.42
"2010-07-07",19.440001,20.16,19.42,20.15,2481800,20.15
"2010-07-08",20.309999,20.59,19.049999,19.290001,6650000,19.290001
"2010-07-09",19.200001,19.5,19.110001,19.35,4275400,19.35
"2010-07-12",19.23,19.440001,18.709999,18.84,4533600,18.84
"2010-07-13",19.1,19.709999,19.01,19.629999,2769400,19.629999
"2010-07-14",19.5,19.58,19.07,19.18,3420100,19.18
"2010-07-15",19.139999,19.75,18.940001,19.610001,6176200,19.610001
"2010-07-16",19.469999,19.469999,18.620001,18.67,4105000,18.67
"2010-07-19",18.74,19.26,18.620001,19.16,2735400,19.16
"2010-07-20",18.809999,19.709999,18.719999,19.66,3115500,19.66
"2010-07-21",19.799999,20,19.370001,19.52,3260900,19.52
"2010-07-22",19.809999,20.290001,19.799999,20.129999,2545200,20.129999
"2010-07-23",20.01,21.040001,19.91,20.99,3529200,20.99
"2010-07-26",21.139999,21.51,20.709999,21.51,2073800,21.51
"2010-07-27",21.639999,21.809999,21.040001,21.120001,3470300,21.120001
"2010-07-28",20.98,21.26,20.809999,20.98,2759000,20.98
"2010-07-29",21.07,21.27,20.450001,20.889999,2791600,20.889999
"2010-07-30",20.540001,21.24,20.33,21.1,2424700,21.1
"2010-08-02",21.469999,21.84,21,21.709999,3028200,21.709999
"2010-08-03",21.620001,21.620001,21,21.280001,2289000,21.280001
"2010-08-04",21.34,21.51,21.120001,21.43,1472300,21.43
"2010-08-05",21.209999,21.209999,20.790001,21.110001,1445600,21.110001
"2010-08-06",20.809999,20.98,20.360001,20.799999,2338100,20.799999
"2010-08-09",20.84,21.83,20.84,21.83,2849500,21.83
"2010-08-10",21.51,21.809999,21.25,21.540001,3276700,21.540001
"2010-08-11",21.030001,21.42,20.85,20.93,2598400,20.93
"2010-08-12",20.51,21.049999,20.33,20.889999,2227800,20.889999
"2010-08-13",20.77,21.139999,20.629999,20.82,1659100,20.82
"2010-08-16",20.620001,21.370001,20.530001,20.809999,1432500,20.809999
"2010-08-17",21.1,21.23,20.879999,21.07,1622600,21.07
"2010-08-18",21.02,21.74,20.780001,21.629999,2693800,21.629999
"2010-08-19",21.5,21.690001,21.049999,21.17,2396200,21.17
"2010-08-20",21.01,21.59,20.9,21.559999,2580800,21.559999
"2010-08-23",21.57,21.85,20.84,20.84,1525200,20.84
"2010-08-24",20.5,20.92,20.08,20.68,2069900,20.68
"2010-08-25",20.540001,20.92,20.23,20.82,1390700,20.82
"2010-08-26",20.85,21.01,20.459999,20.48,1078200,20.48
"2010-08-27",20.690001,20.93,20.200001,20.85,1246200,20.85
"2010-08-30",20.790001,20.889999,20.26,20.280001,1175000,20.280001
"2010-08-31",20.1,20.49,19.75,19.93,2242900,19.93
"2010-09-01",20.24,20.98,20.24,20.780001,1866200,20.780001
"2010-09-02",20.84,21.450001,20.84,21.43,1079500,21.43
"2010-09-03",21.77,22.059999,21.370001,21.700001,1396600,21.700001
"2010-09-07",21.559999,21.629999,21.26,21.280001,1085800,21.280001
"2010-09-08",21.389999,22.5,21.33,22.280001,3345800,22.280001
"2010-09-09",22.66,22.690001,21.84,22.01,2112800,22.01
"2010-09-10",22.049999,22.43,22.01,22.389999,1406800,22.389999
"2010-09-13",22.969999,23.5,22.879999,23.110001,2132700,23.110001
"2010-09-14",23.09,23.84,23.09,23.540001,2557100,23.540001
"2010-09-15",23.360001,23.809999,23.219999,23.780001,2165200,23.780001
"2010-09-16",23.68,23.68,23.32,23.48,1954600,23.48
"2010-09-17",23.65,23.870001,23.059999,23.65,4492500,23.65
"2010-09-20",24.26,24.799999,23.889999,23.889999,5795000,23.889999
"2010-09-21",24,24.27,23.83,24.120001,2520500,24.120001
"2010-09-22",24.950001,26.190001,24.93,26.16,9557200,26.16
"2010-09-23",25.74,27.18,25.66,26.99,5778800,26.99
"2010-09-24",27.040001,27.51,26.690001,27.35,3567300,27.35
"2010-09-27",27.58,27.620001,27.200001,27.42,2587600,27.42
"2010-09-28",27.440001,27.629999,26.91,27.51,3400600,27.51
"2010-09-29",27.280001,27.700001,27.15,27.68,3220100,27.68
"2010-09-30",27.75,27.99,27.5,27.860001,2794600,27.860001
"2010-10-01",27.950001,28.219999,27.48,27.790001,2605800,27.790001
"2010-10-04",27.65,27.99,27.25,27.73,4061000,27.73
"2010-10-05",28,28.09,27.51,27.77,3690800,27.77
"2010-10-06",27.68,27.91,27.5,27.860001,3005600,27.860001
"2010-10-07",27.91,28.08,27.59,28.08,2288200,28.08
"2010-10-08",28.18,30.049999,28.16,29.65,5165900,29.65
"2010-10-11",29.6,29.889999,29.389999,29.68,2139900,29.68
"2010-10-12",29.450001,29.68,29.129999,29.43,2550500,29.43
"2010-10-13",29.74,29.85,29.26,29.459999,2776600,29.459999
"2010-10-14",29.43,29.59,29.040001,29.459999,2824400,29.459999
"2010-10-15",29.780001,29.860001,29.33,29.66,2492300,29.66
"2010-10-18",29.57,29.57,28.98,29.389999,2184500,29.389999
"2010-10-19",29.02,29.59,28.700001,29.559999,4123800,29.559999
"2010-10-20",29.65,29.99,29.41,29.709999,1473500,29.709999
"2010-10-21",29.84,30.1,28.959999,29.280001,2357700,29.280001
"2010-10-22",29.379999,29.540001,29.16,29.540001,1352900,29.540001
"2010-10-25",29.65,29.950001,29.559999,29.790001,1623800,29.790001
"2010-10-26",29.58,30.139999,29.33,29.9,1690700,29.9
"2010-10-27",29.639999,29.74,29.15,29.639999,1608000,29.639999
"2010-10-28",29.809999,29.9,29.23,29.48,1225200,29.48
"2010-10-29",29.549999,31.09,29.549999,30.99,2765000,30.99
"2010-11-01",31.139999,31.17,30.33,30.52,1652500,30.52
"2010-11-02",30.860001,31.23,30.379999,31.01,1552600,31.01
"2010-11-03",31.1,31.450001,30.73,31.440001,1554800,31.440001
"2010-11-04",31.9,32.09,31.690001,32.009998,2135500,32.009998
"2010-11-05",32.119999,32.939999,32.110001,32.349998,2082000,32.349998
"2010-11-08",32.209999,32.93,32.16,32.880001,1566100,32.880001
"2010-11-09",32.91,33.16,32.119999,32.369999,1520200,32.369999
"2010-11-10",32.450001,34.369999,32.380001,33.650002,3715500,33.650002
"2010-11-11",33.470001,33.91,33.099998,33.740002,1505500,33.740002
"2010-11-12",33.490002,33.810001,32.82,33,1520600,33
"2010-11-15",33.099998,33.490002,32.830002,32.860001,1072300,32.860001
"2010-11-16",32.59,32.880001,31.799999,32.049999,2214000,32.049999
"2010-11-17",32.060001,32.41,31.940001,32.240002,2175400,32.240002
"2010-11-18",32.549999,33,32.43,32.509998,1604700,32.509998
"2010-11-19",32.470001,32.619999,32,32.560001,1345800,32.560001
"2010-11-22",32.400002,33.23,32.360001,33.189999,2075800,33.189999
"2010-11-23",32.82,33.220001,32.470001,32.810001,1261700,32.810001
"2010-11-24",33.07,33.450001,32.98,33.369999,1595700,33.369999
"2010-11-26",33.130001,33.25,32.900002,33.060001,510400,33.060001
"2010-11-29",32.84,32.91,32.349998,32.810001,1784500,32.810001
"2010-11-30",32.5,33.099998,32.27,32.900002,1381100,32.900002
"2010-12-01",33.380001,33.689999,33.18,33.549999,1855100,33.549999
"2010-12-02",33.52,33.82,33.299999,33.639999,2153600,33.639999
"2010-12-03",33.419998,34.650002,33.290001,34.549999,2463400,34.549999
"2010-12-06",34.5,34.549999,34.189999,34.450001,1499400,34.450001
"2010-12-07",34.900002,35.220001,34.450001,34.529999,1785100,34.529999
"2010-12-08",34.669998,34.990002,34.369999,34.529999,1141300,34.529999
"2010-12-09",34.09,34.740002,33.610001,34.59,1714300,34.59
"2010-12-10",34.610001,34.66,34.040001,34.52,1567900,34.52
"2010-12-13",34.610001,34.950001,34.27,34.619999,2663600,34.619999
"2010-12-14",34.599998,34.790001,34.34,34.5,1596400,34.5
