"dates","KO.Open","KO.High","KO.Low","KO.Close","KO.Volume","KO.Adjusted"
"2010-01-04",28.58,28.610001,28.450001,28.52,13870400,20.098238
"2010-01-05",28.424999,28.495001,28.07,28.174999,23172400,19.85511
"2010-01-06",28.174999,28.219999,27.99,28.165001,19264600,19.848063
"2010-01-07",28.165001,28.184999,27.875,28.094999,13234600,19.798731
"2010-01-08",27.73,27.82,27.375,27.575001,28712400,19.432291
"2010-01-11",27.575001,28.225,27.4,28.135,28642400,19.826921
"2010-01-12",28.045,28.5,28.030001,28.440001,23269800,20.041861
"2010-01-13",28.43,28.715,28.344999,28.514999,15157400,20.094711
"2010-01-14",28.52,28.625,28.385,28.565001,12392600,20.129946
"2010-01-15",28.475,28.674999,28.02,28.145,27460800,19.833967
"2010-01-19",28.110001,28.245001,27.959999,28.209999,14615400,19.879776
"2010-01-20",28.08,28.195,27.645,27.75,18810200,19.555609
"2010-01-21",27.775,27.790001,27.094999,27.184999,27396800,19.157446
"2010-01-22",27.174999,27.43,26.99,27.120001,23551400,19.111645
"2010-01-25",27.245001,27.27,26.940001,27.174999,16853200,19.15041
"2010-01-26",27.035,27.25,26.934999,27.07,15515000,19.076406
"2010-01-27",27,27.33,26.85,27.254999,20414800,19.206779
"2010-01-28",27.355,27.42,27.065001,27.09,20905200,19.090509
"2010-01-29",27.219999,27.469999,26.950001,27.125,22146800,19.115171
"2010-02-01",27.254999,27.280001,27,27.190001,14517600,19.160976
"2010-02-02",27.264999,27.605,27.075001,27.525,16888600,19.397055
"2010-02-03",27.459999,27.48,27.264999,27.434999,15899400,19.333633
"2010-02-04",27.275,27.34,26.700001,26.715,21342800,18.826241
"2010-02-05",26.620001,26.715,26.264999,26.545,29285000,18.706436
"2010-02-08",26.635,26.635,26.285,26.325001,16721200,18.551409
"2010-02-09",26.844999,27.49,26.684999,27.004999,31495000,19.030605
"2010-02-10",27.299999,27.299999,26.584999,26.895,18717600,18.953083
"2010-02-11",26.799999,27.165001,26.635,27.110001,26327200,19.104597
"2010-02-12",26.959999,27.200001,26.809999,26.99,24640000,19.020044
"2010-02-16",27.254999,27.41,26.965,27.41,19339400,19.316011
"2010-02-17",27.405001,27.775,27.379999,27.665001,17064600,19.495712
"2010-02-18",27.575001,27.959999,27.575001,27.955,17264600,19.700081
"2010-02-19",27.9,27.950001,27.59,27.860001,18944800,19.633131
"2010-02-22",27.9,27.93,27.635,27.690001,13487600,19.51333
"2010-02-23",27.705,27.799999,27.395,27.415001,14835600,19.319534
"2010-02-24",27.5,27.59,27.344999,27.58,14470600,19.435812
"2010-02-25",26.57,26.790001,26.305,26.559999,63648600,18.717007
"2010-02-26",26.545,26.545,26.115,26.360001,63095400,18.576071
"2010-03-01",26.610001,26.684999,26.395,26.635,39449800,18.769863
"2010-03-02",26.690001,26.844999,26.575001,26.65,24506200,18.780434
"2010-03-03",26.65,27.059999,26.59,26.965,26574200,19.002419
"2010-03-04",27.35,27.52,27.16,27.235001,28983200,19.192684
"2010-03-05",27.344999,27.475,27.18,27.35,24238600,19.273733
"2010-03-08",27.360001,27.434999,27.16,27.23,18915600,19.189165
"2010-03-09",27.17,27.295,26.975,27.09,23070000,19.090509
"2010-03-10",27.129999,27.184999,27.02,27.1,21574800,19.097553
"2010-03-11",26.889999,26.889999,26.5,26.799999,29130600,19.040712
"2010-03-12",26.844999,26.885,26.629999,26.674999,22334400,18.95191
"2010-03-15",26.865,26.92,26.684999,26.825001,23874000,19.058477
"2010-03-16",26.9,26.934999,26.785,26.85,22287800,19.076241
"2010-03-17",26.91,26.995001,26.799999,26.92,26074400,19.125965
"2010-03-18",26.950001,27.02,26.870001,26.975,23496200,19.165045
"2010-03-19",27.375,27.530001,26.799999,27.375,43610800,19.44924
"2010-03-22",27.245001,27.424999,27.200001,27.27,18127400,19.374641
"2010-03-23",27.355,27.67,27.205,27.65,19081200,19.644615
"2010-03-24",27.610001,27.68,27.305,27.309999,17052600,19.403053
"2010-03-25",27.455,27.59,27.325001,27.4,16638800,19.466997
"2010-03-26",27.395,27.485001,27.25,27.325001,16276800,19.413713
"2010-03-29",27.4,27.48,27.334999,27.385,13853600,19.456345
"2010-03-30",27.450001,27.525,27.305,27.434999,13631600,19.491865
"2010-03-31",27.395,27.645,27.25,27.5,22922000,19.538046
"2010-04-01",27.68,27.715,27.565001,27.65,14346000,19.644615
"2010-04-05",27.780001,27.780001,27.325001,27.43,19191800,19.488316
"2010-04-06",27.42,27.42,27.110001,27.145,17604200,19.285828
"2010-04-07",27.15,27.15,26.780001,26.91,24060800,19.118864
"2010-04-08",26.889999,26.889999,26.719999,26.879999,19466800,19.097551
"2010-04-09",26.955,27.305,26.924999,27.295,20640600,19.392395
"2010-04-12",27.325001,27.43,27.254999,27.379999,16930400,19.452785
"2010-04-13",27.34,27.540001,27.325001,27.51,15055000,19.545153
"2010-04-14",27.514999,27.530001,27.325001,27.475,13865200,19.520288
"2010-04-15",27.379999,27.385,27.065001,27.129999,20351000,19.275175
"2010-04-16",27.115,27.57,27.084999,27.485001,35075600,19.527391
"2010-04-19",27.49,27.66,27.459999,27.66,26468600,19.651718
"2010-04-20",27.610001,27.645,27.16,27.235001,32508800,19.349766
"2010-04-21",27.285,27.290001,27,27.094999,19263200,19.250301
"2010-04-22",27.07,27.254999,27,27.155001,20295600,19.292933
"2010-04-23",27.23,27.23,26.870001,26.940001,21675400,19.140177
"2010-04-26",27,27.174999,26.865,26.865,17890800,19.086891
"2010-04-27",26.83,26.93,26.42,26.434999,27600400,18.781387
"2010-04-28",26.504999,26.785,26.280001,26.68,24754600,18.955454
"2010-04-29",26.809999,27.094999,26.780001,26.870001,17437600,19.09045
"2010-04-30",26.809999,26.98,26.700001,26.725,19349600,18.987429
"2010-05-03",26.855,26.975,26.635,26.879999,16123400,19.097551
"2010-05-04",26.695,26.9,26.525,26.59,23282800,18.891512
"2010-05-05",26.715,26.950001,26.6,26.83,23670400,19.062029
"2010-05-06",26.834999,27.1,25.605,26.15,47912000,18.578907
"2010-05-07",26.094999,26.42,25.77,26.334999,43535600,18.71034
"2010-05-10",26.924999,27.045,26.625,27.02,35311400,19.19702
"2010-05-11",26.809999,27.035,26.75,26.805,23165200,19.044262
"2010-05-12",26.9,27.049999,26.709999,27.01,24005400,19.189915
"2010-05-13",26.975,27,26.725,26.745001,19319800,19.001642
"2010-05-14",26.68,26.825001,26.43,26.67,25868200,18.948349
"2010-05-17",26.74,26.775,26.424999,26.705,17393400,18.973213
"2010-05-18",26.85,26.860001,26.540001,26.549999,20435600,18.863096
"2010-05-19",26.5,26.674999,26.23,26.559999,21119200,18.870199
"2010-05-20",26.25,26.25,25.764999,25.77,29290400,18.308928
"2010-05-21",25.42,25.860001,25.15,25.795,34233400,18.326683
"2010-05-24",25.605,25.934999,25.51,25.73,16832600,18.280504
"2010-05-25",25.184999,25.365,24.969999,25.309999,28693800,17.982103
"2010-05-26",25.415001,25.440001,24.969999,25.040001,32607800,17.790277
"2010-05-27",25.305,25.625,25.129999,25.615,22663600,18.198801
"2010-05-28",25.59,25.975,25.5,25.700001,23577000,18.259199
"2010-06-01",25.559999,26.055,25.365,25.645,24274800,18.220118
"2010-06-02",25.77,26.205,25.584999,26.205,18742200,18.617985
"2010-06-03",26.334999,26.5,26.225,26.375,23564400,18.738756
"2010-06-04",26.07,26.07,25.51,25.635,23942800,18.213011
"2010-06-07",25.615,25.75,25.385,25.4,20177800,18.046051
"2010-06-08",25.395,25.91,25.26,25.780001,22429800,18.316029
"2010-06-09",25.780001,25.924999,25.584999,25.674999,17645800,18.241432
"2010-06-10",25.93,26.25,25.93,26.225,18790000,18.632195
"2010-06-11",25.855,25.865,25.565001,25.825001,14946000,18.503225
"2010-06-14",25.969999,25.985001,25.73,25.754999,13656400,18.45307
"2010-06-15",25.915001,26.1,25.780001,26.09,16368600,18.693085
"2010-06-16",25.915001,26.219999,25.885,26.200001,16784800,18.771904
"2010-06-17",26.25,26.35,26.02,26.18,20740200,18.757576
"2010-06-18",26.195,26.365,26.129999,26.155001,28405800,18.739668
"2010-06-21",26.41,26.49,26.135,26.24,18346400,18.80057
"2010-06-22",26.23,26.540001,26.215,26.23,20805000,18.793398
"2010-06-23",26.280001,26.325001,26.004999,26.120001,20718000,18.714586
"2010-06-24",26.055,26.24,25.834999,25.9,17401400,18.556961
"2010-06-25",25.895,25.965,25.129999,25.129999,57969600,18.00527
