"dates","LLY.Open","LLY.High","LLY.Low","LLY.Close","LLY.Volume","LLY.Adjusted"
"2010-01-04",35.77,36.349998,35.77,35.82,6067100,24.647923
"2010-01-05",35.900002,35.91,34.93,35.189999,7517100,24.214424
"2010-01-06",35.240002,35.529999,35.240002,35.450001,7661600,24.393322
"2010-01-07",35.490002,35.560001,35.150002,35.27,5997100,24.269461
"2010-01-08",35.279999,35.279999,34.84,35,5624400,24.083675
"2010-01-11",35.09,35.560001,35.09,35.48,4793400,24.413965
"2010-01-12",35.349998,35.599998,35.209999,35.360001,4700800,24.331398
"2010-01-13",35.349998,36,35.27,35.849998,5320900,24.66856
"2010-01-14",35.75,36,35.75,36,6417300,24.771784
"2010-01-15",36,36.110001,35.43,35.82,6519600,24.647923
"2010-01-19",35.990002,37.919998,35.91,37.41,17795600,25.742012
"2010-01-20",37.400002,37.720001,36.66,37.299999,8851200,25.666317
"2010-01-21",37.27,37.48,36,36.110001,11022600,24.847471
"2010-01-22",36.09,36.41,35.459999,35.52,7247500,24.441494
"2010-01-25",35.849998,36.02,35.529999,35.75,6499400,24.599756
"2010-01-26",35.959999,36.240002,35.77,36.16,7128400,24.881876
"2010-01-27",36.16,36.419998,35.900002,36.389999,7009700,25.04015
"2010-01-28",35.91,36.009998,35.27,35.75,9423500,24.599756
"2010-01-29",35.939999,35.939999,35.130001,35.200001,9281900,24.221292
"2010-02-01",35.360001,35.689999,34.849998,35,6767300,24.083675
"2010-02-02",35,35.75,34.900002,35.619999,6573500,24.510298
"2010-02-03",35.450001,35.450001,35.07,35.310001,5493500,24.296988
"2010-02-04",35.099998,35.220001,34.610001,34.669998,8914200,23.856602
"2010-02-05",34.639999,34.82,33.91,34.52,8698500,23.753389
"2010-02-08",34.490002,35.130001,34.220001,34.779999,8301000,23.932291
"2010-02-09",34.950001,35.470001,34.860001,35.200001,10261600,24.221292
"2010-02-10",34.75,34.75,33.98,34.169998,9425900,23.844482
"2010-02-11",34.169998,34.43,33.82,34.169998,6352000,23.844482
"2010-02-12",33.950001,34.040001,33.630001,33.950001,8706400,23.690954
"2010-02-16",34.25,34.25,33.950001,34.080002,7280900,23.781673
"2010-02-17",34.349998,34.619999,34.220001,34.389999,5708100,23.997999
"2010-02-18",34.389999,34.59,34.259998,34.41,4158200,24.011953
"2010-02-19",34.200001,34.48,33.860001,34.240002,5476400,23.893328
"2010-02-22",34.400002,34.650002,34.080002,34.470001,5855000,24.053823
"2010-02-23",34.360001,34.470001,33.849998,33.959999,5547900,23.697929
"2010-02-24",34.110001,34.310001,33.959999,34.040001,4426200,23.753761
"2010-02-25",33.84,34.32,33.720001,34.240002,6111600,23.893328
"2010-02-26",34.330002,34.52,34.189999,34.34,4850100,23.963097
"2010-03-01",34.5,34.549999,34.279999,34.32,5714700,23.949146
"2010-03-02",34.34,34.759998,34.330002,34.549999,6316400,24.109646
"2010-03-03",34.619999,34.73,34.23,34.32,5317600,23.949146
"2010-03-04",34.389999,34.560001,34.310001,34.540001,5815300,24.102671
"2010-03-05",34.650002,35.09,34.630001,35.09,5995400,24.486464
"2010-03-08",35.110001,35.110001,34.810001,34.93,5672000,24.374819
"2010-03-09",35,35.169998,34.77,35.060001,4805800,24.465536
"2010-03-10",35.240002,35.459999,35.080002,35.34,5063800,24.660929
"2010-03-11",35.330002,35.830002,35.23,35.82,6661300,24.995876
"2010-03-12",35.990002,36,35.48,35.93,7245200,25.072638
"2010-03-15",35.91,36.040001,35.759998,36.009998,6446000,25.128456
"2010-03-16",36.09,36.220001,35.889999,36.18,6635900,25.247095
