"dates","LMT.Open","LMT.High","LMT.Low","LMT.Close","LMT.Volume","LMT.Adjusted"
"2010-01-04",75.870003,76.949997,75.519997,76.849998,2408300,53.263012
"2010-01-05",76.620003,77.790001,76.550003,77.650002,2356500,53.817471
"2010-01-06",76.099998,77.190002,75.849998,76.510002,5208100,53.027367
"2010-01-07",76.169998,76.199997,73.610001,74.410004,7038300,51.571884
"2010-01-08",74.349998,75.940002,74.32,75.610001,3629400,52.403591
"2010-01-11",75.760002,76.190002,75.190002,75.970001,1973500,52.653103
"2010-01-12",75.75,76.470001,75.309998,75.959999,2119000,52.64616
"2010-01-13",76.160004,77.019997,75.709999,76.879997,2245100,53.283806
"2010-01-14",76.790001,77.029999,76.150002,76.839996,1954500,53.256058
"2010-01-15",76.959999,77.190002,76.330002,76.760002,2041900,53.200626
"2010-01-19",76.800003,78.699997,76.550003,78.309998,3765500,54.274899
"2010-01-20",77.809998,78.300003,76.82,78.110001,3128200,54.13628
"2010-01-21",78.050003,78.580002,76.470001,76.980003,2304400,53.353123
"2010-01-22",76.75,77.309998,75.5,75.580002,2072100,52.382797
"2010-01-25",76.25,77.480003,75.82,76.760002,2559200,53.200626
"2010-01-26",76.419998,77.349998,75.849998,76.779999,2835100,53.214489
"2010-01-27",76.690002,77.339996,76,77.129997,3054500,53.457043
"2010-01-28",78.43,78.470001,75.25,76.150002,3542400,52.777855
"2010-01-29",76.160004,76.449997,74.370003,74.519997,3249800,51.648132
"2010-02-01",75.339996,75.339996,74.279999,74.889999,2781100,51.904587
"2010-02-02",75,76.760002,74.889999,76.550003,2995600,53.055096
"2010-02-03",76.18,76.949997,75.839996,76.690002,2647600,53.152126
"2010-02-04",76.25,77.120003,75.949997,76,4992800,52.673882
"2010-02-05",75.849998,76.620003,74.040001,75.720001,5029700,52.479832
"2010-02-08",75.68,75.860001,74.470001,74.529999,4308100,51.655071
"2010-02-09",75.169998,75.989998,74.699997,75.449997,3697800,52.292713
"2010-02-10",75.349998,75.589996,74.699997,75.110001,2798600,52.057053
"2010-02-11",74.900002,76.419998,74.510002,76.349998,3432500,52.916466
"2010-02-12",75.730003,75.959999,75.019997,75.580002,2478500,52.382797
"2010-02-16",75.919998,76.330002,75.480003,76.029999,2531400,52.694687
"2010-02-17",76.150002,76.769997,75.519997,76.370003,2060100,52.930321
"2010-02-18",76.169998,77.440002,76.150002,77.330002,2687400,53.59568
"2010-02-19",77.190002,77.459999,76.639999,77.209999,2801000,53.51252
"2010-02-22",77.190002,77.730003,76.550003,76.940002,3029100,53.325397
"2010-02-23",76.839996,78.050003,76.739998,76.900002,2900000,53.297653
"2010-02-24",77.169998,77.690002,76.93,77.559998,2379300,53.755089
"2010-02-25",76,77.040001,75.620003,76.989998,2047900,53.797001
"2010-02-26",76.889999,77.940002,76.699997,77.760002,2636000,54.335052
"2010-03-01",77.75,79.419998,77.690002,78.860001,2436600,55.103676
"2010-03-02",79.220001,80.089996,78.970001,79.209999,2727900,55.348244
"2010-03-03",79.730003,80.050003,78.720001,78.849998,1958900,55.096703
"2010-03-04",79.190002,79.830002,78.610001,79.269997,1850000,55.390175
"2010-03-05",79.419998,81.330002,79.419998,81.269997,3194500,56.787666
"2010-03-08",81.190002,81.970001,81.07,81.089996,2440100,56.661892
"2010-03-09",81.010002,82.449997,80.839996,82.220001,2553800,57.451496
"2010-03-10",82.489998,82.959999,82.230003,82.580002,2308000,57.703049
"2010-03-11",82.199997,83.239998,80.32,83.029999,3114300,58.01749
"2010-03-12",83.089996,83.349998,82.580002,83.089996,2008600,58.059399
"2010-03-15",83.139999,84.260002,83.059998,84.120003,2630900,58.779148
"2010-03-16",84.300003,84.989998,84.139999,84.620003,4087500,59.128487
"2010-03-17",84.769997,85.199997,84.5,84.860001,2587500,59.296204
"2010-03-18",84.739998,86.129997,84.339996,85.940002,2923100,60.050877
"2010-03-19",86.900002,87.18,86.099998,86.900002,4031700,60.721661
"2010-03-22",85.389999,86.349998,85.120003,85.709999,3012700,59.890137
"2010-03-23",85.5,85.75,84.419998,84.779999,3327800,59.240307
"2010-03-24",84.68,84.709999,83.459999,83.879997,2092500,58.611427
"2010-03-25",83.93,84.580002,83.489998,83.529999,1531900,58.366863
"2010-03-26",83.940002,84.580002,83.529999,84.239998,1674200,58.862972
"2010-03-29",84.540001,85.230003,84.529999,84.82,1343400,59.268246
"2010-03-30",84.699997,85.029999,83.610001,84.089996,1546900,58.758152
"2010-03-31",83.879997,83.879997,82.889999,83.220001,2260600,58.150249
"2010-04-01",83.610001,84.25,83.199997,83.879997,1856400,58.611427
"2010-04-05",84,84.489998,83.57,83.839996,1151700,58.583477
"2010-04-06",83.620003,83.620003,82.279999,82.519997,2228900,57.661114
"2010-04-07",82.220001,82.809998,81.970001,82.190002,1615300,57.430531
"2010-04-08",82.230003,82.589996,81.989998,82.190002,1323100,57.430531
"2010-04-09",82.440002,82.82,81.879997,82.790001,1077100,57.849804
"2010-04-12",82.720001,83.199997,82.529999,82.919998,1137800,57.940636
"2010-04-13",82.839996,82.919998,82.139999,82.599998,1273300,57.717014
"2010-04-14",82.629997,82.690002,81.489998,82.610001,1855800,57.724022
"2010-04-15",82.68,83.580002,82.610001,83.220001,1451200,58.150249
"2010-04-16",83.309998,83.540001,82.029999,82.989998,2595500,57.989529
"2010-04-19",82.949997,84.279999,82.870003,84.199997,2264400,58.835026
"2010-04-20",84.519997,85.419998,84.260002,84.970001,2275800,59.37307
"2010-04-21",84.839996,86.849998,84.290001,86.25,2372300,60.26746
"2010-04-22",85.889999,86.779999,85.410004,86.669998,2704400,60.560932
"2010-04-23",86.730003,86.919998,85.940002,86.919998,1332900,60.735622
"2010-04-26",87.029999,87.059998,85.919998,86.089996,1550200,60.155666
"2010-04-27",85.989998,86.269997,84.190002,84.5,2892600,59.044666
"2010-04-28",84.879997,85.230003,83.889999,84.959999,1758900,59.366051
"2010-04-29",85.440002,86.650002,85.440002,86.370003,1534300,60.351318
"2010-04-30",86.239998,86.870003,84.889999,84.889999,1555400,59.317165
"2010-05-03",85.290001,86.980003,85.029999,86.75,1485200,60.61684
"2010-05-04",86.279999,86.309998,85,85.400002,2416100,59.673527
"2010-05-05",84.440002,85.940002,84.440002,84.839996,2062500,59.282219
"2010-05-06",84.5,85.730003,78.739998,82.849998,3665700,57.891693
"2010-05-07",82.330002,83.260002,80.550003,81.269997,4108400,56.787666
"2010-05-10",83.980003,84.889999,82.639999,83.620003,2659400,58.429749
"2010-05-11",83.010002,83.949997,82.639999,83.099998,2421000,58.066399
"2010-05-12",83.489998,84.019997,82.959999,83.410004,2433900,58.283012
"2010-05-13",83.449997,83.919998,82.059998,82.349998,2181700,57.542332
"2010-05-14",81.779999,82.160004,80.099998,80.790001,2417100,56.452282
"2010-05-17",80.970001,81.699997,80.18,81.309998,2599600,56.815632
"2010-05-18",81.610001,82.709999,80.629997,81,3007200,56.598999
"2010-05-19",80.769997,81.010002,78.980003,80.5,2572500,56.249641
"2010-05-20",79.32,79.599998,77.550003,77.550003,3519400,54.188313
"2010-05-21",76.269997,81.190002,76.059998,81.160004,5904300,56.710835
"2010-05-24",80.760002,81.110001,79.669998,79.800003,2511900,55.760517
"2010-05-25",78.559998,80.760002,78.190002,80.400002,4258200,56.179764
"2010-05-26",80.940002,81.370003,79.709999,79.730003,3549200,55.711597
"2010-05-27",80.599998,80.599998,79.620003,80.559998,2488700,56.739902
"2010-05-28",80.419998,80.75,79.720001,79.919998,1907900,56.289143
"2010-06-01",79.849998,80.900002,78.970001,79.169998,1806500,55.760902
"2010-06-02",79.300003,79.839996,78.459999,79.800003,2551100,56.204636
"2010-06-03",79.809998,80.32,79.339996,79.709999,1797900,56.14122
"2010-06-04",78.760002,78.760002,77.169998,77.389999,2274200,54.50721
"2010-06-07",77.989998,77.989998,76.220001,76.32,2469900,53.753609
"2010-06-08",76.300003,77.279999,75.739998,77,2301600,54.23254
"2010-06-09",77.040001,78.540001,77,77.339996,2256100,54.471989
"2010-06-10",77.970001,78.830002,77.519997,78.470001,2099500,55.267887
"2010-06-11",77.809998,78.860001,77.419998,78.75,1455800,55.465099
"2010-06-14",79.25,80.669998,79.25,79.669998,2311200,56.113045
"2010-06-15",80.190002,80.889999,79.949997,80.839996,2167000,56.937119
"2010-06-16",80.459999,81.599998,80.419998,81.199997,1208800,57.190655
"2010-06-17",80.959999,81.449997,79.989998,80.949997,1826400,57.014591
"2010-06-18",81.089996,81.089996,80.010002,80.690002,2606000,56.831474
"2010-06-21",81.449997,81.699997,79.610001,80.07,2147700,56.394787
"2010-06-22",79.959999,81.139999,79.769997,79.860001,1894200,56.246891
"2010-06-23",80.07,80.57,79.239998,79.690002,2231200,56.12714
"2010-06-24",79.440002,80.019997,78,78.120003,1728200,55.021358
"2010-06-25",78.120003,78.5,77.580002,78.050003,3091600,54.97208
"2010-06-28",78.349998,78.639999,77.580002,77.580002,1602600,54.641033
"2010-06-29",77.080002,77.339996,74.620003,75.150002,3106900,52.929558
"2010-06-30",75,75.519997,74.360001,74.5,2659600,52.471733
"2010-07-01",74.5,74.959999,73.779999,74.459999,2332400,52.443546
"2010-07-02",74.739998,75.019997,73.889999,74.440002,1499900,52.429489
"2010-07-06",75.029999,75.32,73.650002,74.330002,1810400,52.351997
