"dates","LNC.Open","LNC.High","LNC.Low","LNC.Close","LNC.Volume","LNC.Adjusted"
"2010-01-04",25.32,25.91,24.93,25.879999,3811400,21.184679
"2010-01-05",25.799999,26.610001,25.719999,26.42,4839200,21.626717
"2010-01-06",26.25,26.93,25.93,26.82,4520000,21.954136
"2010-01-07",26.82,27.59,26.469999,27.450001,5713900,22.478216
"2010-01-08",27.18,27.48,26.65,27.030001,3479000,22.134293
"2010-01-11",27.32,27.530001,26.99,27.389999,3233100,22.42909
"2010-01-12",28.4,28.440001,26.67,26.93,5980100,22.052402
"2010-01-13",26.9,27.530001,26.32,27.309999,4143500,22.363579
"2010-01-14",27.18,27.559999,26.49,27.459999,4901700,22.486406
"2010-01-15",27.23,27.360001,26.690001,26.889999,3940400,22.01965
"2010-01-19",26.85,27.709999,26.6,27.690001,3802400,22.674747
"2010-01-20",27.459999,27.459999,26.889999,27.07,2664100,22.167048
"2010-01-21",27.110001,27.4,25.83,26.01,5978100,21.29904
"2010-01-22",25.99,26.18,24.32,24.469999,7236800,20.03796
"2010-01-25",25.1,25.65,24.540001,24.809999,3253800,20.31638
"2010-01-26",24.559999,25.58,24.450001,24.67,4413700,20.201744
"2010-01-27",24.469999,25.57,24.34,25.49,3778200,20.873219
"2010-01-28",25.809999,25.809999,24.4,24.82,4469500,20.324568
"2010-01-29",25.09,25.68,24.43,24.58,4325000,20.128031
"2010-02-01",25,25.27,24.709999,24.93,3440500,20.414646
"2010-02-02",25,26.299999,24.709999,26.17,6030600,21.430056
"2010-02-03",26,26.08,25.219999,25.469999,4034800,20.856842
"2010-02-04",25.190001,25.190001,23.75,23.77,7142100,19.464746
"2010-02-05",23.809999,24.280001,22.52,23.719999,7099800,19.423801
"2010-02-08",23.82,24.52,23.370001,23.5,5032400,19.24365
"2010-02-09",24.5,25.200001,23.84,24.5,10533700,20.062525
"2010-02-10",24.5,24.879999,24.049999,24.459999,3340200,20.02977
"2010-02-11",24.440001,24.879999,23.709999,24.82,3891200,20.324568
"2010-02-12",24.459999,24.799999,23.959999,24.700001,3857400,20.226301
"2010-02-16",24.57,24.950001,24.110001,24.93,3897000,20.414646
"2010-02-17",25.190001,25.4,24.91,25.15,3309500,20.594799
"2010-02-18",24.879999,25.76,24.879999,25.719999,4458600,21.061554
"2010-02-19",25.43,25.709999,24.76,25.48,4873700,20.865026
"2010-02-22",25.6,25.889999,25.459999,25.780001,3442300,21.110693
"2010-02-23",25.610001,25.610001,24.42,24.65,5113400,20.185354
"2010-02-24",24.77,25.360001,24.639999,25.34,3345300,20.750383
"2010-02-25",24.799999,25.299999,24.51,25.27,5087200,20.693066
"2010-02-26",25.219999,25.27,24.809999,25.18,3086600,20.61937
"2010-03-01",25.27,25.690001,25.190001,25.620001,2629700,20.979671
"2010-03-02",25.719999,26.549999,25.690001,26.110001,5537300,21.380922
"2010-03-03",26.15,26.35,25.940001,26.27,3396100,21.511942
"2010-03-04",26.219999,26.68,26.120001,26.58,3089800,21.765795
"2010-03-05",26.66,27.1,26.530001,26.98,3131800,22.093346
"2010-03-08",27.059999,27.43,26.870001,26.940001,2779200,22.060593
"2010-03-09",26.9,27.4,26.559999,27.18,2365800,22.25712
"2010-03-10",27.379999,27.66,27.040001,27.209999,3229300,22.281689
"2010-03-11",27.059999,27.34,26.84,27.33,1861000,22.37995
"2010-03-12",27.549999,27.75,27.18,27.360001,2696000,22.404522
"2010-03-15",27.120001,28.32,27.120001,28.200001,5472500,23.092379
