"dates","LUMN.Open","LUMN.High","LUMN.Low","LUMN.Close","LUMN.Volume","LUMN.Adjusted"
"2010-01-04",36.540001,37,36.369999,36.66,2068100,14.695604
"2010-01-05",36.759998,36.990002,36.689999,36.720001,3450100,14.719656
"2010-01-06",36.540001,36.540001,35.220001,35.279999,5333000,14.142414
"2010-01-07",35.419998,35.490002,34.830002,34.939999,3994000,14.006119
"2010-01-08",34.990002,34.990002,34.509998,34.84,2286100,13.966032
"2010-01-11",35.099998,35.240002,34.93,35.200001,1976800,14.110345
"2010-01-12",35.099998,35.43,34.98,35.110001,2251500,14.074271
"2010-01-13",35.240002,35.439999,35.110001,35.400002,1780100,14.190522
"2010-01-14",35.450001,35.599998,35.290001,35.43,1730100,14.202544
"2010-01-15",35.450001,35.490002,34.849998,35.07,2595900,14.058233
"2010-01-19",35.16,35.48,35.02,35.439999,2699800,14.206551
"2010-01-20",35.200001,35.580002,35.049999,35.25,3936000,14.130391
"2010-01-21",35.240002,35.419998,34.369999,34.43,3156800,13.801685
"2010-01-22",34.41,34.630001,33.959999,33.990002,2841800,13.625302
"2010-01-25",34.18,34.959999,34.02,34.77,2935900,13.937976
"2010-01-26",34.84,34.939999,34.25,34.77,2813500,13.937976
"2010-01-27",34.799999,34.970001,34.119999,34.5,3770700,13.829745
"2010-01-28",34.450001,34.549999,33.84,34.110001,2295100,13.673408
"2010-01-29",34.290001,34.439999,33.91,34.009998,2008400,13.63332
"2010-02-01",34.189999,34.389999,34.060001,34.27,1977900,13.737546
"2010-02-02",34.360001,34.360001,34,34.16,2975900,13.693447
"2010-02-03",34.049999,34.630001,34.049999,34.470001,4931400,13.81772
"2010-02-04",34.25,34.490002,33.630001,33.630001,2236900,13.480992
"2010-02-05",33.630001,33.810001,33.169998,33.810001,3541600,13.55315
"2010-02-08",34.310001,35.139999,34,34.349998,3081200,13.769619
"2010-02-09",34.720001,35.139999,34.509998,34.740002,2589300,13.925951
"2010-02-10",34.84,35.209999,34.68,35.009998,1954500,14.034184
"2010-02-11",35.060001,35.389999,34.740002,35.259998,2277200,14.134398
"2010-02-12",34.880001,34.990002,34.279999,34.57,3915600,13.857805
"2010-02-16",34.93,35.240002,34.82,35.139999,2161200,14.086296
"2010-02-17",35.27,35.34,34.919998,35.099998,2972000,14.070262
"2010-02-18",35.099998,35.830002,35.099998,35.810001,2033500,14.354872
"2010-02-19",35.790001,35.790001,35,35.099998,3357500,14.070262
"2010-02-22",35.290001,35.380001,35.040001,35.119999,2128600,14.078278
"2010-02-23",35.139999,35.400002,34.900002,35.07,2324500,14.058233
"2010-02-24",35.110001,35.330002,34.900002,35.279999,2139500,14.142414
"2010-02-25",34.48,34.740002,34.099998,34.650002,4296400,13.88987
"2010-02-26",34.73,34.919998,34.200001,34.27,4155800,13.737546
"2010-03-01",34.290001,34.689999,34.25,34.68,2969700,13.9019
"2010-03-02",34.860001,35,34.540001,34.77,3059300,13.937976
"2010-03-03",34.900002,34.990002,34.419998,34.580002,4042500,13.861809
"2010-03-04",34.630001,34.669998,34.130001,34.150002,4697600,13.68944
"2010-03-05",33.68,33.700001,32.98,33.380001,5217100,13.671015
"2010-03-08",33.310001,33.709999,33.25,33.57,3756700,13.748833
"2010-03-09",33.59,34.16,33.560001,34.02,3297100,13.933129
"2010-03-10",34.009998,34.32,33.98,34.18,3680000,13.998654
"2010-03-11",34.23,34.75,34.23,34.73,3762400,14.223912
"2010-03-12",34.740002,34.799999,34.419998,34.619999,2407500,14.178861
"2010-03-15",34.540001,34.790001,34.540001,34.790001,2721200,14.248487
"2010-03-16",34.759998,34.860001,34.560001,34.849998,2891100,14.27306
"2010-03-17",34.900002,35.209999,34.869999,35.07,2781100,14.36316
"2010-03-18",35.080002,35.25,34.77,35.029999,2733700,14.346784
"2010-03-19",34.860001,35.240002,34.720001,34.860001,2699200,14.277154
"2010-03-22",34.779999,35.299999,34.75,35.18,2022200,14.408213
"2010-03-23",35.279999,35.400002,35.040001,35.34,1658700,14.473738
