"dates","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume","LYB.Adjusted"
"2010-04-28",22.25,22.25,21.700001,22,5244400,12.505026
"2010-04-29",22,23.25,21.9,23,8773600,13.073439
"2010-04-30",22.950001,23,22.25,22.299999,1644400,12.67555
"2010-05-03",22.75,22.950001,22.65,22.799999,3302700,12.959756
"2010-05-04",22.799999,22.799999,21.5,21.5,2276500,12.22082
"2010-05-05",22,22,20,20.59,6999200,11.70357
"2010-05-06",20.5,20.549999,18.450001,19.450001,8029400,11.055582
"2010-05-07",19.5,19.549999,17.9,18.6,3881500,10.572432
"2010-05-10",19.75,19.85,18.700001,19.01,3861100,10.805482
"2010-05-11",18.75,19.280001,18.75,18.9,2626900,10.742958
"2010-05-12",19.200001,20.040001,19.200001,19.799999,5714300,11.254523
"2010-05-13",19.85,20.1,19.6,19.65,2475900,11.169261
"2010-05-14",19.299999,19.4,18.75,18.75,3133400,10.657692
"2010-05-17",19,19.200001,18.700001,18.85,10117000,10.714537
"2010-05-18",19.049999,19.32,18.25,18.790001,6219800,10.680431
"2010-05-19",18.9,18.93,17.549999,17.700001,6227700,10.060864
"2010-05-20",17.139999,17.139999,16.200001,16.9,10248400,9.606135
"2010-05-21",16.35,17.120001,16.25,16.549999,4560800,9.407189
"2010-05-24",16.700001,17.15,16.68,16.9,1761300,9.606135
"2010-05-25",16.790001,16.790001,16.200001,16.57,4649600,9.418561
"2010-05-26",16.99,17.4,16.799999,17.15,2079300,9.748238
"2010-05-27",17.65,18,17.65,17.9,3156100,10.174545
"2010-05-28",17.9,17.9,16.25,17.77,222200,10.100657
"2010-06-01",17.65,17.799999,17.200001,17.5,900800,9.947184
"2010-06-02",17.610001,17.66,17.219999,17.33,829900,9.850551
"2010-06-03",17.450001,17.5,17.15,17.33,2173600,9.850551
"2010-06-04",17.049999,17.1,16.75,17.049999,3147200,9.691396
"2010-06-07",17.15,17.200001,16.74,16.889999,2826800,9.600448
"2010-06-08",17.030001,17.030001,16.5,16.75,2037700,9.520873
"2010-06-09",16.790001,17.1,16.700001,16.790001,1410200,9.543611
"2010-06-10",16.969999,17.07,16.85,16.969999,1401000,9.645925
"2010-06-11",16.940001,17.190001,16.940001,17.139999,452500,9.742555
"2010-06-14",17.190001,17.58,17.190001,17.49,1008500,9.941499
"2010-06-15",17.48,18,17.35,17.969999,1974300,10.214336
"2010-06-16",17.93,17.969999,17.629999,17.639999,1041500,10.026756
"2010-06-17",17.68,17.75,17.139999,17.299999,1090600,9.833499
"2010-06-18",17.33,17.35,17.15,17.209999,1373700,9.782343
"2010-06-21",17.450001,17.530001,17.09,17.1,514100,9.719818
"2010-06-22",17.09,17.1,16.799999,16.84,1502900,9.572029
"2010-06-23",16.9,16.950001,16.6,16.65,1125700,9.464031
"2010-06-24",16.690001,16.92,16.35,16.799999,2151600,9.549295
"2010-06-25",16.9,16.92,16.700001,16.82,612000,9.560661
"2010-06-28",16.870001,16.870001,16.700001,16.870001,355800,9.589084
"2010-06-29",16.74,16.74,16.25,16.25,2561000,9.236668
"2010-06-30",16.27,16.5,16.15,16.15,1534100,9.179826
"2010-07-01",16.24,16.299999,15.4,15.55,4006100,8.838781
"2010-07-02",15.58,15.69,15.4,15.48,231700,8.798992
"2010-07-06",15.5,15.59,14.9,15.06,833700,8.560258
"2010-07-07",15.05,15.15,14.86,15,2137200,8.526154
"2010-07-08",14.95,15.15,14.95,15.05,2422200,8.554575
"2010-07-09",15.1,16.02,15,15.8,1478700,8.980885
"2010-07-12",15.82,16.02,15.8,15.82,786100,8.992252
"2010-07-13",15.83,16.5,15.83,16.4,1647300,9.321932
"2010-07-14",16.4,16.450001,16.25,16.4,1537200,9.321932
"2010-07-15",16.43,16.43,16,16.370001,905900,9.304878
"2010-07-16",16.299999,16.299999,16,16.200001,624700,9.208249
"2010-07-19",16.18,16.700001,16.110001,16.450001,497300,9.350351
"2010-07-20",16.440001,16.440001,16.15,16.190001,1244700,9.202565
"2010-07-21",16.190001,16.299999,16.190001,16.24,1801200,9.230984
"2010-07-22",16.26,16.59,16.26,16.549999,1126300,9.407189
"2010-07-23",16.549999,16.790001,16.52,16.780001,1415100,9.537928
"2010-07-26",17,17.700001,17,17.65,3400400,10.032441
"2010-07-27",17.92,18.34,17.25,18.23,5778800,10.362123
"2010-07-28",18.219999,18.219999,17.82,17.93,2440000,10.191596
"2010-07-29",18.1,18.15,17.84,17.940001,1598500,10.197283
"2010-07-30",17.92,18.07,17.68,18,2023100,10.231388
"2010-08-02",18.15,18.26,18.049999,18.059999,1543000,10.265491
"2010-08-03",18.09,18.120001,17.700001,17.9,1558700,10.174545
"2010-08-04",17.9,18.459999,17.9,18.299999,4194300,10.401911
"2010-08-05",18.299999,18.299999,18.200001,18.24,252300,10.367803
"2010-08-06",18.219999,18.25,17.92,18,500600,10.231388
"2010-08-09",18,18.15,17.99,18.049999,1252900,10.259809
"2010-08-10",18.049999,18.049999,17.9,17.99,1056300,10.225701
"2010-08-11",17.799999,17.799999,17.6,17.610001,2021000,10.009705
"2010-08-12",17.629999,17.629999,17.4,17.5,3260500,9.947184
"2010-08-13",17.51,18.030001,17.51,18.02,2973700,10.242756
"2010-08-16",18.85,19.299999,18.65,18.700001,10729700,10.629272
"2010-08-17",18.950001,19.200001,18.950001,19.07,4572800,10.839586
"2010-08-18",19.1,20.049999,19.1,19.799999,3564800,11.254523
"2010-08-19",19.889999,20.09,19,19.799999,5313000,11.254523
"2010-08-20",19.799999,20.02,19.76,19.889999,3292700,11.305683
"2010-08-23",19.9,20.25,19.9,20.059999,2222900,11.402312
"2010-08-24",19.799999,20.049999,19.700001,19.99,5178500,11.362518
"2010-08-25",19.940001,20.049999,19.870001,19.93,3994300,11.328422
"2010-08-26",19.950001,20.5,19.950001,20,2807100,11.368208
"2010-08-27",20.139999,20.440001,19.98,20.440001,1984200,11.618308
"2010-08-30",20.4,20.799999,20.219999,20.219999,1728000,11.493258
"2010-08-31",20.219999,20.51,20.219999,20.5,2316300,11.652414
"2010-09-01",20.5,21.299999,20.49,21.02,5464700,11.947986
"2010-09-02",21.049999,21.049999,20.76,20.950001,1548700,11.908198
"2010-09-03",20.99,21.299999,20.99,21.129999,1072600,12.01051
"2010-09-07",21.120001,21.120001,20.799999,20.959999,1540000,11.913881
"2010-09-08",20.950001,21.129999,20.950001,20.99,2135400,11.930936
"2010-09-09",21,21.15,20.67,20.700001,2958400,11.766099
"2010-09-10",20.709999,20.82,20.690001,20.790001,806500,11.817252
"2010-09-13",20.780001,21.41,20.780001,21.379999,3431400,12.152617
"2010-09-14",21.389999,21.57,21.309999,21.51,2403900,12.226509
"2010-09-15",21.51,21.639999,21.450001,21.559999,1302100,12.254928
"2010-09-16",21.75,22.280001,21.75,21.85,4179800,12.419767
"2010-09-17",22.190001,22.25,22.01,22.25,2845700,12.647131
"2010-09-20",22.25,22.27,22.190001,22.200001,1651400,12.618708
"2010-09-21",22.209999,22.27,22.17,22.209999,3081900,12.624394
"2010-09-22",22.24,22.280001,21.85,21.940001,1636900,12.470928
"2010-09-23",21.85,21.950001,21.6,21.85,1356500,12.419767
"2010-09-24",22,22.469999,22,22.459999,2632000,12.766496
"2010-09-27",22.690001,23.110001,22.690001,23.1,4341200,13.13028
"2010-09-28",23.1,23.639999,23.030001,23.450001,2932200,13.329224
"2010-09-29",23.379999,23.950001,23.370001,23.620001,3805000,13.425856
"2010-09-30",23.65,23.950001,23.26,23.9,4344600,13.585006
"2010-10-01",23.92,24.059999,23.709999,23.870001,6646000,13.567953
"2010-10-04",24.030001,24.4,23.93,24.09,3833700,13.693009
"2010-10-05",24.040001,25,24.030001,24.790001,7091600,14.090895
"2010-10-06",24.85,24.879999,23.950001,24.219999,1901200,13.766896
