"dates","MAR.Open","MAR.High","MAR.Low","MAR.Close","MAR.Volume","MAR.Adjusted"
"2010-01-04",26.022619,26.324223,25.636192,26.04147,2860350,22.855019
"2010-01-05",25.984921,26.314796,25.796417,26.19227,2627885,22.987368
"2010-01-06",26.145145,26.409048,25.94722,26.267672,2789900,23.053551
"2010-01-07",26.154572,26.550425,26.107447,26.371347,2560724,23.144535
"2010-01-08",26.182846,26.550425,26.163996,26.427898,3961031,23.194164
"2010-01-11",26.512724,26.710649,26.211123,26.371347,2714250,23.144535
"2010-01-12",26.19227,26.248821,25.655043,26.145145,3009633,22.946011
"2010-01-13",26.211123,26.597549,26.126295,26.512724,2632978,23.268614
"2010-01-14",26.446749,28.162111,26.361923,27.983034,7138090,24.559015
"2010-01-15",27.97361,27.97361,27.370405,27.615458,4868823,24.236416
"2010-01-19",27.719133,27.832233,27.464657,27.803959,2610803,24.401854
"2010-01-20",27.634308,27.690859,27.021679,27.134779,3554350,23.814554
"2010-01-21",27.266729,27.681433,26.5033,26.512724,4382354,23.268614
"2010-01-22",26.5033,26.625826,25.824694,25.871819,3323689,22.706127
"2010-01-25",26.135721,26.286522,25.749292,25.92837,1982266,22.755766
"2010-01-26",25.815269,26.154572,25.560793,25.579641,4083683,22.449707
"2010-01-27",25.560793,25.655043,24.787935,25.334591,3890687,22.234632
"2010-01-28",25.494816,25.664467,24.806786,25.136663,2846557,22.060923
"2010-01-29",25.240339,25.570217,24.637135,24.72196,5062986,21.69697
"2010-02-01",24.872763,25.098963,24.825636,25.032988,2783534,21.969944
"2010-02-02",25.155514,25.447691,25.061262,25.25919,3915939,22.168459
"2010-02-03",25.155514,25.174364,24.863337,24.985863,4025858,21.928577
"2010-02-04",25.16494,25.636192,24.260132,24.260132,6435814,21.291653
"2010-02-05",24.297832,24.712536,24.156456,24.693686,7885458,21.672157
"2010-02-08",24.72196,24.919888,24.344957,24.458057,3191700,21.465355
"2010-02-09",24.85391,24.929312,24.495758,24.618284,4555085,21.605984
"2010-02-10",24.769087,25.240339,24.72196,24.882187,5832741,21.837589
"2010-02-11",24.872763,25.212065,24.429783,25.127237,5260969,22.052656
"2010-02-12",25.268616,25.438267,24.750237,25.29689,4375246,22.201546
"2010-02-16",25.570217,25.702168,25.16494,25.560793,5916348,22.433161
"2010-02-17",25.513666,25.749292,25.381716,25.532516,4593812,22.441444
"2010-02-18",25.27804,25.541943,25.212065,25.494816,3080083,22.408306
"2010-02-19",25.325165,25.758718,25.315741,25.692743,3267243,22.582273
"2010-02-22",25.702168,25.918943,25.607918,25.786993,4407182,22.665119
"2010-02-23",25.749292,25.843544,25.27804,25.513666,3324962,22.424871
"2010-02-24",25.636192,25.711594,25.419416,25.692743,3145016,22.582273
"2010-02-25",25.466541,25.475965,25.108389,25.447691,3789680,22.366886
"2010-02-26",25.447691,25.673893,25.183788,25.551367,2873825,22.458012
"2010-03-01",25.664467,25.909519,25.504242,25.655043,2710537,22.549141
"2010-03-02",25.881245,25.918943,25.268616,25.325165,4150844,22.259195
"2010-03-03",25.457115,25.504242,24.995287,25.183788,4429251,22.134933
"2010-03-04",25.16494,25.466541,25.042414,25.438267,4056734,22.358606
"2010-03-05",25.541943,26.409048,25.494816,26.267672,5902343,23.087605
"2010-03-08",26.352497,26.352497,25.984921,26.295946,2988731,23.112452
"2010-03-09",26.248821,26.710649,25.909519,26.484449,5110094,23.278135
"2010-03-10",26.465597,26.569275,26.098021,26.484449,3624907,23.278135
"2010-03-11",26.333649,26.720076,26.154572,26.701225,3898432,23.468666
"2010-03-12",26.757776,27.144203,26.6541,27.049953,4895985,23.775175
"2010-03-15",27.012253,27.040527,26.6164,26.974552,2623110,23.708902
"2010-03-16",26.974552,27.144203,26.786051,27.144203,3046662,23.858015
"2010-03-17",27.106503,27.229029,26.870876,27.068804,3038492,23.791733
"2010-03-18",27.106503,27.219604,26.842602,27.087652,2893878,23.80831
"2010-03-19",27.389256,27.766258,27.276155,27.389256,3840820,24.073397
"2010-03-22",27.059378,28.039585,27.059378,27.851084,4167184,24.479319
"2010-03-23",27.917059,28.133837,27.737984,28.039585,4995082,24.645008
"2010-03-24",27.907635,28.058435,27.719133,27.964186,4004745,24.578728
"2010-03-25",28.605089,29.057493,28.369463,28.416588,18396997,24.976358
"2010-03-26",28.539114,29.44392,28.463713,29.302546,8491926,25.755064
"2010-03-29",29.34967,29.651272,29.245995,29.481621,5852582,25.912453
"2010-03-30",29.481621,30.141376,29.425072,29.952875,5973961,26.326658
"2010-03-31",29.792648,30.084826,29.641848,29.707823,4164213,26.111275
"2010-04-01",29.849199,30.245052,29.811499,30.094252,3940660,26.45092
"2010-04-05",30.254477,30.876532,30.254477,30.574928,3836576,26.873407
"2010-04-06",30.377003,30.914232,30.329878,30.819981,3601989,27.088781
"2010-04-07",30.829407,31.017908,30.282751,30.490105,11823572,26.798843
"2010-04-08",30.433554,31.074457,30.207352,30.970781,10621777,27.221329
"2010-04-09",31.036758,31.196983,30.706881,31.196983,3369418,27.420147
"2010-04-12",31.187559,31.35721,30.838831,31.083883,3054407,27.320744
"2010-04-13",31.074457,31.583412,30.933083,31.442036,3892066,27.635536
"2010-04-14",31.611687,32.007542,31.47031,31.960415,3827770,28.091158
"2010-04-15",31.828465,32.393967,31.800188,32.073517,4454927,28.190563
"2010-04-16",31.950991,32.233742,31.573986,31.932138,7329919,28.066301
"2010-04-19",31.724789,32.082939,31.291235,31.932138,4832961,28.066301
"2010-04-20",32.101791,32.45052,31.960415,32.214893,5527598,28.314821
"2010-04-21",32.196041,32.723846,32.111217,32.67672,5451100,28.720737
"2010-04-22",32.752121,34.901035,32.412819,34.70311,11144107,30.501806
"2010-04-23",34.863335,35.428841,34.505184,35.409992,7544453,31.123108
"2010-04-26",35.325165,35.890671,35.221489,35.230915,6864882,30.965714
"2010-04-27",35.108387,35.212063,33.930256,33.977379,9566400,29.863943
"2010-04-28",34.128181,34.241283,33.279926,33.82658,7269123,29.731392
"2010-04-29",34.269558,35.956646,34.213009,35.504242,6271783,31.205954
"2010-04-30",35.570217,35.598492,34.571159,34.646561,5403779,30.452105
"2010-05-03",34.891613,35.551369,34.721958,35.513664,3181727,31.214237
"2010-05-04",35.051838,35.051838,33.930256,34.081055,4792961,29.955059
"2010-05-05",33.609802,34.203583,32.94062,33.2328,5120068,29.209496
"2010-05-06",33.100849,33.817154,30.207352,32.327991,7487689,28.414232
"2010-05-07",32.073517,32.35627,30.603205,31.423185,7393366,27.618961
"2010-05-10",32.978321,33.92083,32.950047,33.741753,6115392,29.656839
"2010-05-11",33.044296,34.062206,32.648445,33.553253,4483680,29.491156
"2010-05-12",33.628651,34.618286,33.553253,34.599434,3652811,30.410681
"2010-05-13",34.467484,34.985863,33.836002,33.95853,3929307,29.847368
"2010-05-14",33.675777,33.704052,32.271442,32.620171,4667976,28.671034
"2010-05-17",32.686146,33.279926,31.979265,32.921772,4892695,28.936134
"2010-05-18",33.336475,33.82658,32.205467,32.327991,4034134,28.414232
"2010-05-19",32.101791,32.525921,30.772856,31.753063,5725899,27.941486
"2010-05-20",30.80113,31.413761,30.339302,30.386429,8437072,26.738903
"2010-05-21",29.783222,31.140434,29.481621,31.046183,5895022,27.319464
"2010-05-24",30.744581,31.244108,30.386429,30.414703,3441035,26.763784
"2010-05-25",29.434496,30.480679,29.104618,30.395853,9581148,26.747206
"2010-05-26",30.791706,31.442036,30.311028,30.424128,5781283,26.772078
"2010-05-27",31.112158,32.082939,30.951933,32.064091,3180878,28.215181
"2010-05-28",32.045238,32.262016,31.168709,31.526861,3504377,27.742439
"2010-06-01",31.093307,31.687088,30.914232,30.989632,3857266,27.269705
"2010-06-02",31.036758,31.573986,30.584354,31.573986,4096839,27.783909
"2010-06-03",31.639961,32.478794,31.602262,32.393967,5028079,28.505461
"2010-06-04",31.35721,31.555138,30.028275,30.329878,5348501,26.68914
"2010-06-07",30.367579,30.659756,29.236568,29.302546,5771416,25.785131
"2010-06-08",29.283695,30.377003,28.689915,30.292177,6846209,26.655972
"2010-06-09",30.480679,31.734213,30.424128,30.640905,6341809,26.962826
"2010-06-10",30.857681,31.668238,30.848255,31.489161,4776622,27.709265
"2010-06-11",31.027332,31.423185,30.716305,31.404337,2874037,27.634626
"2010-06-14",31.658812,32.535343,31.583412,32.016964,6114013,28.173712
"2010-06-15",32.412819,33.17625,32.243168,33.129124,4527075,29.152376
"2010-06-16",32.874645,33.572102,32.874645,33.289349,5314337,29.293367
"2010-06-17",33.289349,33.421303,32.733269,33.213947,5121978,29.227009
"2010-06-18",33.345901,33.770027,33.072575,33.2705,5362931,29.276781
"2010-06-21",33.82658,34.297832,32.94062,33.223373,4550841,29.235312
"2010-06-22",33.110271,33.345901,31.969839,32.111217,5387334,28.256655
"2010-06-23",32.148914,32.365692,31.366634,31.781338,4891528,27.966375
"2010-06-24",31.677664,31.960415,30.66918,30.782282,5632425,27.087238
"2010-06-25",30.80113,30.970781,30.028275,30.829407,11078538,27.128708
"2010-06-28",31.017908,31.244108,30.329878,30.367579,3266501,26.722319
"2010-06-29",29.698399,29.915174,28.68049,28.878416,5626907,25.411909
"2010-06-30",28.878416,29.434496,28.162111,28.218662,5016408,24.83135
"2010-07-01",28.190386,28.605089,27.426956,28.388313,6960372,24.980635
"2010-07-02",28.586239,28.784166,27.643732,27.851084,4352116,24.507895
"2010-07-06",28.246937,28.595663,27.276155,27.568333,4980122,24.25909
"2010-07-07",27.596607,29.000942,27.596607,28.982092,4609302,25.503136
"2010-07-08",29.302546,29.34967,28.454288,28.916117,4791476,25.445082
"2010-07-09",28.982092,29.500471,28.916117,29.34967,2805602,25.826595
"2010-07-12",28.803017,29.538172,28.803017,29.189444,5087177,25.685606
"2010-07-13",29.538172,30.367579,29.509895,30.037701,4879751,26.432039
"2010-07-14",29.962299,30.55608,29.764374,30.311028,6981168,26.672556
"2010-07-15",30.188501,30.339302,29.293119,29.839773,7582330,26.257864
"2010-07-16",29.594723,29.783222,28.482565,28.567389,5908179,25.138222
"2010-07-19",28.68049,29.180019,28.322336,29.161169,5064896,25.660719
"2010-07-20",28.567389,29.802074,28.567389,29.736097,4325167,26.166634
"2010-07-21",29.943451,29.943451,28.765316,28.991516,3972702,25.511433
"2010-07-22",29.425072,30.414703,29.425072,30.197926,3988830,26.57303
"2010-07-23",30.188501,31.244108,29.896324,31.234684,4992960,27.485338
"2010-07-26",31.291235,32.101791,31.017908,31.922714,4509462,28.090776
"2010-07-27",32.045238,32.045238,31.328936,31.649387,4323681,27.850266
"2010-07-28",31.677664,32.167767,31.432611,31.734213,4168457,27.924906
"2010-07-29",31.913288,32.233742,31.432611,31.819038,4141932,27.999546
"2010-07-30",31.347786,32.073517,31.159285,31.960415,4568666,28.123949
"2010-08-02",32.554195,33.374176,32.35627,33.289349,4940547,29.293367
"2010-08-03",33.242226,33.421303,32.497643,32.94062,5126752,28.9865
"2010-08-04",33.100849,33.666351,32.865219,33.590954,3191912,29.558765
"2010-08-05",33.2328,33.647503,33.110271,33.317623,2899076,29.318243
"2010-08-06",32.931198,33.166824,32.412819,33.157398,3332177,29.177248
"2010-08-09",33.355324,33.647503,33.223373,33.590954,1910224,29.558765
"2010-08-10",32.987747,33.157398,32.469368,32.827522,3246660,28.886972
"2010-08-11",32.139492,32.167767,31.432611,31.630537,3513183,27.833673
"2010-08-12",31.008484,31.979265,30.904806,31.677664,4039227,27.875145
"2010-08-13",31.479736,31.979265,31.366634,31.555138,2783746,27.767323
"2010-08-16",31.253534,31.950991,31.149858,31.847315,2425022,28.024429
"2010-08-17",32.205467,33.166824,32.007542,32.686146,3567506,28.79665
"2010-08-18",32.610744,33.053722,32.243168,32.704994,2668733,28.813265
"2010-08-19",32.497643,32.648445,31.281811,31.639961,3904586,27.874962
"2010-08-20",31.366634,31.715363,30.895382,31.639961,3337163,27.874962
"2010-08-23",31.89444,31.932138,31.178135,31.234684,2105661,27.517912
"2010-08-24",30.659756,30.744581,29.820925,30.169651,4787232,26.579609
"2010-08-25",30.009424,30.424128,29.651272,30.311028,4519648,26.704168
"2010-08-26",30.405277,31.102734,29.962299,30.084826,3889308,26.504883
"2010-08-27",30.263903,31.046183,29.453346,30.819981,5008132,27.152554
"2010-08-30",30.772856,30.772856,29.839773,29.839773,2599026,26.288986
"2010-08-31",29.717249,30.452402,29.528746,30.141376,4158059,26.554699
"2010-09-01",30.640905,31.715363,30.527803,31.668238,3919546,27.899876
"2010-09-02",31.564562,32.761547,31.564562,32.71442,4116043,28.821564
"2010-09-03",33.100849,33.534401,32.827522,33.317623,3468409,29.352995
"2010-09-07",33.053722,33.129124,32.657871,32.780396,3142788,28.879692
"2010-09-08",32.742695,33.374176,32.742695,33.242226,3128995,29.286566
"2010-09-09",33.69463,33.949104,33.327049,33.468426,3152019,29.485844
"2010-09-10",33.543827,33.92083,33.327049,33.468426,2522209,29.485844
"2010-09-13",33.864281,34.165882,33.722904,34.099907,2928042,30.042185
"2010-09-14",33.986805,34.580585,33.713478,34.118755,4212064,30.05879
"2010-09-15",33.901978,33.996231,33.534401,33.873703,3419073,29.842901
"2010-09-16",33.704052,33.892555,33.2328,33.2705,4179597,29.311476
"2010-09-17",33.393024,33.939678,33.185673,33.572102,8177870,29.577183
"2010-09-20",33.741753,34.60886,33.647503,34.307259,3832120,30.224863
"2010-09-21",34.307259,34.439209,33.836002,33.986805,4024585,29.942541
"2010-09-22",33.930256,34.203583,33.17625,33.223373,5116248,29.269958
"2010-09-23",32.874645,33.308201,32.525921,32.591892,3357428,28.713619
"2010-09-24",33.251648,34.316681,33.204525,34.137608,4326758,30.075403
"2010-09-27",34.203583,34.203583,33.779453,33.854855,3109685,29.826298
"2010-09-28",33.911404,34.316681,33.091423,34.222431,3849308,30.150137
"2010-09-29",34.05278,34.222431,33.638077,33.807728,2303325,29.784781
"2010-09-30",34.015079,34.552307,33.459,33.770027,2928360,29.751562
"2010-10-01",34.071632,34.241283,33.656925,34.194157,3262257,30.125219
"2010-10-04",34.043354,34.590008,33.911404,34.590008,4668612,30.473972
"2010-10-05",34.806786,35.692741,34.693684,35.636192,6101917,31.395664
"2010-10-06",35.72102,35.730442,35.080112,35.683319,6547749,31.437187
"2010-10-07",34.062206,34.891613,33.110271,33.619228,13263031,29.6187
"2010-10-08",33.647503,34.307259,33.572102,34.090481,5714970,30.033876
"2010-10-11",34.062206,34.128181,33.36475,33.619228,3442415,29.6187
"2010-10-12",33.393024,33.873703,33.100849,33.704052,3556790,29.693443
"2010-10-13",34.05278,34.128181,33.628651,33.930256,6004836,29.892725
"2010-10-14",33.798302,34.137608,33.581528,33.864281,5508712,29.834604
"2010-10-15",34.14703,34.165882,33.411877,33.553253,5868073,29.560587
"2010-10-18",33.543827,33.656925,33.242226,33.449577,3366129,29.469236
"2010-10-19",33.100849,33.628651,32.799248,33.016022,4028193,29.087273
"2010-10-20",33.110271,34.401508,33.063148,33.95853,4342461,29.917633
"2010-10-21",34.062206,34.495758,33.779453,34.14703,4860653,30.083702
"2010-10-22",34.439209,35.447693,34.213009,35.146088,3825436,30.963882
"2010-10-25",35.372292,35.871819,35.25919,35.409992,2960508,31.196377
"2010-10-26",35.739868,36.04147,35.532516,35.598492,4006124,31.362448
"2010-10-27",35.287464,35.579643,35.117813,35.541943,3886125,31.312624
"2010-10-28",35.862392,35.871819,34.83506,35.362865,4070420,31.154858
"2010-10-29",35.16494,35.532516,34.495758,34.919888,7632622,30.764587
"2010-11-01",35.212063,35.589066,35.014137,35.278042,4504582,31.080133
"2010-11-02",35.589066,35.768143,35.193214,35.758717,3519761,31.503601
"2010-11-03",35.843544,35.909519,35.268616,35.834118,3788725,31.570042
"2010-11-04",35.928368,37.276154,35.928368,36.899151,6079530,32.508339
"2010-11-05",36.927425,37.700283,36.710651,37.276154,5686960,32.840477
"2010-11-08",37.153629,37.313854,36.720074,37.200752,3168252,32.774048
"2010-11-09",37.115929,37.304428,36.069744,36.333649,4310949,32.010128
"2010-11-10",36.258247,37.068802,36.088596,36.936852,3008041,32.541553
"2010-11-11",36.522148,37.19133,36.060322,36.880302,2904806,32.491734
"2010-11-12",36.550423,37.257305,36.098022,36.324223,3221196,32.001816
"2010-11-15",36.541,36.7295,36.060322,36.098022,2255474,31.802536
"2010-11-16",35.805843,36.060322,35.230915,35.428841,3722837,31.284861
"2010-11-17",35.400566,35.85297,34.96701,35.617344,2444544,31.451334
"2010-11-18",36.145145,36.842602,36.145145,36.493874,2773878,32.225315
"2010-11-19",36.399624,36.814327,36.17342,36.7672,2830324,32.466667
"2010-11-22",36.512726,36.936852,36.163998,36.899151,2266614,32.583206
"2010-11-23",36.295948,36.522148,36.022621,36.380772,1706300,32.12545
"2010-11-24",36.710651,37.530632,36.701225,37.408108,2249108,33.032631
"2010-11-26",37.115929,37.304428,36.870876,37.125355,680738,32.78294
"2010-11-29",36.82375,37.002827,36.229973,36.889729,2342582,32.574883
"2010-11-30",36.512726,37.181904,36.418472,36.955704,3100773,32.633137
"2010-12-01",37.690857,37.907635,37.332706,37.907635,4594024,33.473721
"2010-12-02",37.907635,38.369465,37.709709,38.190388,3200294,33.723412
"2010-12-03",37.992458,38.642792,37.907635,38.633366,2318603,34.114563
"2010-12-06",38.426014,38.774742,38.256363,38.642792,2430008,34.12289
"2010-12-07",39.038643,39.114044,38.444862,38.539116,2755099,34.031334
"2010-12-08",38.539116,38.963242,38.228088,38.944393,2553297,34.389217
"2010-12-09",39.161167,39.491047,39.048069,39.31197,2344810,34.713802
"2010-12-10",39.387371,39.802074,39.321396,39.547596,2332184,34.921867
"2010-12-13",39.613571,39.764374,39.293121,39.368519,2555843,34.763729
"2010-12-14",39.321396,39.453346,39.057491,39.189445,2020144,34.605606
"2010-12-15",39.132893,39.519321,38.520264,38.557964,2390221,34.047985
"2010-12-16",38.708763,39.08577,38.397739,38.88784,3204432,34.339287
"2010-12-17",38.906693,39.31197,38.727615,39.255421,2994036,34.663872
"2010-12-20",39.396793,40.2262,39.245995,40.09425,2956477,35.404587
"2010-12-21",40.09425,40.188499,39.679546,39.943451,2489530,35.271416
"2010-12-22",39.896324,40.103676,39.585297,39.7738,1671818,35.121624
"2010-12-23",39.783222,39.90575,39.538174,39.670124,1165402,35.030056
"2010-12-27",39.557022,39.557022,39.123466,39.377945,1288160,34.772072
"2010-12-28",39.406219,39.500469,39.08577,39.425072,1483384,34.813671
"2010-12-29",39.462772,39.736099,39.34967,39.34967,1202644,34.747082
"2010-12-30",39.293121,39.330818,38.991516,39.076344,1714788,34.505733
"2010-12-31",39.038643,39.462772,38.906693,39.151745,1796061,34.572311
"2011-01-03",39.491047,39.717247,39.321396,39.575871,2777168,34.946835
"2011-01-04",39.604149,39.736099,38.520264,38.793591,3297164,34.25605
"2011-01-05",38.576813,39.283695,38.473141,39.180019,2201787,34.597282
"2011-01-06",39.198868,39.330818,38.33176,38.520264,2548416,34.014706
"2011-01-07",38.586239,39.170593,38.011311,38.463715,3162523,33.96476
"2011-01-10",38.265785,38.397739,37.803959,38.19981,2237437,33.73172
"2011-01-11",38.482563,38.812443,38.143261,38.397739,2095793,33.906494
"2011-01-12",38.793591,38.868992,38.284637,38.473141,2120409,33.973083
"2011-01-13",38.397739,38.868992,38.397739,38.765316,2996264,34.231091
"2011-01-14",38.605091,39.519321,38.605091,39.481621,1802639,34.863602
"2011-01-18",39.453346,39.670124,38.925541,39.029217,2066934,34.464127
"2011-01-19",39.000942,39.066917,38.256363,38.501415,2214625,33.998051
"2011-01-20",38.322338,38.378887,37.662582,37.832233,3957954,33.407143
"2011-01-21",38.162109,38.407162,37.32328,37.521206,3653129,33.132492
"2011-01-24",37.455231,37.954762,37.181904,37.945335,2843268,33.507015
"2011-01-25",37.794533,37.926483,37.134781,37.577759,3001357,33.182434
