"dates","MAS.Open","MAS.High","MAS.Low","MAS.Close","MAS.Volume","MAS.Adjusted"
"2010-01-04",12.275923,12.565905,12.196837,12.557118,3380543,10.473915
"2010-01-05",12.478032,12.680141,12.407733,12.671353,3258663,10.569201
"2010-01-06",12.697715,12.961336,12.574692,12.803163,7311081,10.734975
"2010-01-07",12.794376,13.681898,12.750439,13.602812,9601761,11.40546
"2010-01-08",13.471002,13.70826,13.181019,13.690685,4110911,11.479133
"2010-01-11",13.804921,13.84007,13.497364,13.655536,3189473,11.449658
"2010-01-12",13.506151,13.567663,13.304042,13.44464,2465249,11.272831
"2010-01-13",13.479789,13.488576,13.049209,13.268893,3817193,11.125473
"2010-01-14",13.198594,13.321617,12.961336,13.207381,3160226,11.073897
"2010-01-15",13.462214,13.479789,13.057996,13.181019,6323525,11.051799
"2010-01-19",13.163445,13.567663,13.110721,13.550088,3071803,11.361245
"2010-01-20",13.198594,13.286467,12.943761,13.137083,3482621,11.014957
"2010-01-21",13.260105,13.268893,12.644991,12.732865,4563039,10.676037
"2010-01-22",12.618629,12.952548,12.214411,12.223199,3796482,10.248701
"2010-01-25",12.41652,12.539543,12.073814,12.108963,3860096,10.152918
"2010-01-26",12.029877,12.372583,11.968366,12.108963,5118383,10.152918
"2010-01-27",11.977153,12.02109,11.608084,11.933216,7173383,10.005559
"2010-01-28",12.02109,12.293497,11.713533,11.950791,5505758,10.020295
"2010-01-29",12.038664,12.355009,11.845343,11.915641,7458452,9.990824
"2010-02-01",12.029877,12.302285,11.915641,12.293497,4239960,10.307646
"2010-02-02",12.275923,13.005272,12.249561,12.987698,6038114,10.889703
"2010-02-03",12.88225,13.181019,12.88225,13.049209,5328344,10.941278
"2010-02-04",12.864675,12.873462,12.530756,12.741652,7710405,10.683404
"2010-02-05",12.662566,12.732865,11.950791,12.425308,6391918,10.418162
"2010-02-08",12.328647,12.504394,12.170475,12.346221,3684161,10.351849
"2010-02-09",12.601054,12.8471,12.363796,12.697715,5297276,10.646564
"2010-02-10",12.706503,12.820738,12.363796,12.741652,3570589,10.683404
"2010-02-11",12.170475,12.372583,11.230228,12.100176,14592233,10.14555
"2010-02-12",11.85413,12.135325,11.731107,12.135325,8129303,10.175019
"2010-02-16",12.214411,12.355009,12.047452,12.302285,4833769,10.315011
"2010-02-17",12.407733,12.407733,12.082601,12.258348,5139549,10.278172
"2010-02-18",12.28471,12.337434,12.091388,12.1529,4232791,10.189754
"2010-02-19",12.100176,12.135325,11.915641,11.950791,7121832,10.020295
"2010-02-22",12.029877,12.258348,11.950791,11.968366,4199220,10.03503
"2010-02-23",11.933216,12.056239,11.467487,11.643234,5311387,9.762421
"2010-02-24",11.68717,11.739895,11.344464,11.695958,3845302,9.806628
"2010-02-25",11.42355,11.59051,11.212654,11.564148,4984554,9.696112
"2010-02-26",11.616872,11.818981,11.432337,11.748682,5482429,9.850835
"2010-03-01",11.836555,12.311072,11.836555,12.275923,5179835,10.292908
"2010-03-02",12.398946,12.41652,12.214411,12.319859,3165461,10.329742
"2010-03-03",12.41652,12.688928,12.293497,12.45167,3705442,10.440265
"2010-03-04",12.460457,12.609842,12.311072,12.425308,2180408,10.418162
"2010-03-05",12.54833,12.680141,12.521968,12.644991,2193381,10.602357
"2010-03-08",12.680141,12.88225,12.653779,12.88225,2462632,10.801287
"2010-03-09",12.820738,12.961336,12.750439,12.899824,2785255,10.816027
"2010-03-10",12.864675,13.14587,12.8471,13.057996,4054808,10.948647
"2010-03-11",12.97891,13.330404,12.873462,13.286467,4178281,11.140208
"2010-03-12",13.356766,13.462214,13.14587,13.330404,3521541,11.177052
"2010-03-15",13.321617,13.383128,13.154657,13.31283,3204836,11.162313
"2010-03-16",13.356766,13.488576,13.242531,13.453427,2787190,11.280203
"2010-03-17",13.479789,13.831283,13.44464,13.646749,3722398,11.442295
"2010-03-18",13.594025,13.84007,13.550088,13.629174,2641526,11.427558
"2010-03-19",13.181019,13.84007,13.181019,13.181019,6617470,11.051799
"2010-03-22",13.049209,13.40949,13.022847,13.383128,3223499,11.221256
"2010-03-23",13.383128,13.637961,13.216169,13.602812,4679684,11.40546
"2010-03-24",13.620387,13.760984,13.295255,13.330404,4596723,11.177052
"2010-03-25",13.506151,13.602812,13.27768,13.295255,3942260,11.147579
"2010-03-26",13.383128,13.532513,13.224956,13.347979,3171265,11.191786
"2010-03-29",13.427065,13.57645,13.295255,13.462214,2988957,11.287566
"2010-03-30",13.462214,13.699473,13.44464,13.532513,1939038,11.346509
"2010-03-31",13.435852,13.760984,13.251318,13.637961,6144176,11.43493
"2010-04-01",13.778559,14.015817,13.734622,13.892794,4902276,11.648594
"2010-04-05",13.980668,14.253076,13.804921,14.191564,3611671,11.899101
"2010-04-06",14.121265,14.349736,13.989455,14.3058,3986528,11.994886
"2010-04-07",14.200351,14.253076,13.813708,13.927944,4900683,11.732114
"2010-04-08",13.884007,14.024605,13.673111,13.963093,4510463,11.761719
"2010-04-09",13.97188,14.165202,13.892794,14.147627,3308052,11.91716
"2010-04-12",14.217926,14.217926,13.980668,14.156415,3651728,11.924564
"2010-04-13",14.086116,14.253076,14.077329,14.182777,2835327,11.946773
"2010-04-14",14.261863,14.859402,14.217926,14.83304,4809074,12.494516
"2010-04-15",14.771529,15.289982,14.657293,14.938489,7127294,12.58334
"2010-04-16",15.500879,15.571178,14.780316,14.903339,8229219,12.553732
"2010-04-19",14.815466,15.158172,14.674868,15.149385,6505377,12.760986
"2010-04-20",15.272408,15.527241,15.16696,15.369069,8316390,12.946035
"2010-04-21",15.342707,15.509666,15.254833,15.448155,5426439,13.012657
"2010-04-22",15.281195,15.966608,15.017575,15.905097,9712033,13.397555
"2010-04-23",15.966608,16.344463,15.755712,16.124781,10012921,13.582605
"2010-04-26",16.256592,16.502636,15.702988,15.817223,10810659,13.323539
"2010-04-27",15.087873,15.114236,13.585237,13.725835,20724346,11.561866
"2010-04-28",14.103691,14.815466,14.068541,14.455185,13316079,12.176232
"2010-04-29",14.613357,14.920914,14.595782,14.797891,5785820,12.464907
"2010-04-30",14.753954,15.16696,14.261863,14.261863,5498475,12.013388
"2010-05-03",14.358524,14.674868,14.3058,14.613357,5157416,12.309467
"2010-05-04",14.288225,14.340949,13.655536,13.84007,8178237,11.658092
"2010-05-05",13.602812,14.024605,13.14587,13.594025,10311190,11.45084
"2010-05-06",13.523726,13.760984,11.994728,12.864675,14007756,10.836476
"2010-05-07",12.785589,12.917399,11.898067,12.003515,15633958,10.111083
"2010-05-10",12.530756,13.330404,12.530756,13.295255,9894113,11.199174
"2010-05-11",13.066784,13.532513,12.970123,13.286467,6663218,11.191766
"2010-05-12",13.383128,13.752197,13.260105,13.70826,6564553,11.547063
"2010-05-13",13.611599,13.646749,13.31283,13.339192,6210180,11.236184
"2010-05-14",13.137083,13.172232,12.671353,12.952548,8244241,10.910495
"2010-05-17",12.952548,13.031634,12.407733,12.970123,6346057,10.925299
"2010-05-18",13.119508,13.304042,12.601054,12.662566,7403600,10.666231
"2010-05-19",12.521968,12.697715,12.038664,12.363796,8025859,10.414563
"2010-05-20",11.942004,12.108963,11.669596,11.713533,8780694,9.866819
"2010-05-21",11.485062,12.196837,11.485062,12.073814,7965545,10.1703
"2010-05-24",11.818981,12.372583,11.801406,12.003515,5970517,10.111083
"2010-05-25",11.485062,11.898067,11.335677,11.889279,9265596,10.014862
"2010-05-26",12.056239,12.126538,11.414763,11.502636,13685133,9.689172
"2010-05-27",11.915641,11.977153,11.616872,11.942004,7674217,10.059267
"2010-05-28",11.977153,12.003515,11.669596,11.731107,7769467,9.881621
"2010-06-01",11.511424,11.55536,10.984183,10.99297,10210819,9.259859
"2010-06-02",11.115993,11.344464,11.02812,11.335677,8562995,9.548533
"2010-06-03",11.362039,11.476274,11.107206,11.370826,6881372,9.578141
"2010-06-04",10.975395,11.177504,10.869947,10.896309,9331828,9.178434
"2010-06-07",10.896309,11.010545,10.404218,10.43058,6618494,8.786135
"2010-06-08",10.351494,10.536028,10.096661,10.281195,13130016,8.660297
"2010-06-09",10.474517,10.59754,10.123023,10.184534,5397306,8.578879
"2010-06-10",10.456942,10.913884,10.421793,10.869947,5944343,9.156233
"2010-06-11",10.6942,10.975395,10.632689,10.86116,3558640,9.148828
"2010-06-14",11.02812,11.414763,11.02812,11.098418,6389415,9.34868
"2010-06-15",11.177504,11.643234,11.045694,11.599297,5996122,9.770591
"2010-06-16",11.458699,11.467487,11.12478,11.177504,6520626,9.415298
"2010-06-17",11.186292,11.247803,10.641476,10.738137,7406787,9.045198
"2010-06-18",10.746924,10.949033,10.676626,10.826011,5407207,9.119222
"2010-06-21",11.02812,11.15993,10.755712,10.834798,4599796,9.126624
"2010-06-22",10.790861,10.887522,10.456942,10.509666,4952576,8.852751
"2010-06-23",10.509666,10.6942,10.184534,10.632689,8514061,8.956379
"2010-06-24",10.579965,10.59754,10.26362,10.272408,7632225,8.652894
"2010-06-25",10.316344,10.465729,10.149385,10.377856,6775880,8.74172
"2010-06-28",10.448155,10.536028,10.289982,10.386643,4710979,8.749124
"2010-06-29",10.114236,10.237258,9.73638,9.894552,10557112,8.334612
"2010-06-30",9.86819,10.008787,9.43761,9.455185,11331180,7.964511
"2010-07-01",9.507909,9.622144,9.182777,9.516696,7218220,8.016323
"2010-07-02",9.56942,9.648506,9.288225,9.40246,5056703,7.920104
"2010-07-06",9.639719,9.70123,9.332162,9.411248,5599415,7.927505
"2010-07-07",9.428822,9.876977,9.261863,9.876977,7127066,8.378481
"2010-07-08",9.982425,10.114236,9.657293,9.859402,4637578,8.363574
"2010-07-09",9.824253,10.123023,9.727592,10.114236,3728771,8.579741
"2010-07-12",10.079086,10.13181,9.718805,9.771529,5366694,8.28903
"2010-07-13",9.929701,10.087873,9.797891,10.043937,5423936,8.520108
"2010-07-14",9.964851,9.973638,9.70123,9.815466,4424089,8.326303
"2010-07-15",9.824253,9.920914,9.604569,9.86819,4347274,8.371027
"2010-07-16",9.771529,9.824253,9.121265,9.200351,9673910,7.804511
"2010-07-19",9.253076,9.3058,8.963093,9.068541,6998586,7.692699
"2010-07-20",8.848858,9.358524,8.796134,9.332162,9015464,7.916321
"2010-07-21",9.112478,9.182777,8.910369,8.97188,13280232,7.6107
"2010-07-22",9.165202,9.543058,9.130053,9.490334,6422986,8.0505
"2010-07-23",9.507909,10.087873,9.340949,10.035149,11117919,8.512655
"2010-07-26",10.035149,10.588752,10,10.483304,10274092,8.892815
"2010-07-27",10.105448,10.289982,9.156415,9.253076,23603941,7.849235
"2010-07-28",9.200351,9.314587,8.866432,8.884007,15619619,7.53616
"2010-07-29",8.97188,9.121265,8.734622,8.831283,10335544,7.491434
"2010-07-30",8.796134,9.13884,8.734622,9.033392,9701109,7.66288
"2010-08-02",9.13884,9.472759,9.094903,9.358524,5958568,7.938691
"2010-08-03",9.279438,9.43761,9.165202,9.411248,5637197,7.98341
"2010-08-04",9.43761,9.551845,9.384886,9.472759,4699143,8.03559
"2010-08-05",9.428822,9.472759,9.332162,9.420035,4219363,7.990862
"2010-08-06",9.244288,9.639719,9.244288,9.613357,4701647,8.154856
"2010-08-09",9.674868,9.982425,9.674868,9.964851,4630636,8.453023
"2010-08-10",9.780316,9.876977,9.622144,9.683656,4529354,8.21449
"2010-08-11",9.420035,9.481547,9.261863,9.332162,5893133,7.916321
"2010-08-12",9.173989,9.323374,8.989455,9.261863,8235478,7.856688
"2010-08-13",9.226714,9.3058,9.130053,9.209139,8365893,7.811965
"2010-08-16",9.112478,9.182777,9.015817,9.050967,5356111,7.67779
"2010-08-17",9.226714,9.384886,9.191564,9.358524,5243563,7.938691
"2010-08-18",9.376098,9.666081,9.314587,9.560633,3127452,8.11013
"2010-08-19",9.455185,9.56942,9.279438,9.367311,4448214,7.946138
"2010-08-20",9.244288,9.349736,9.130053,9.279438,2917718,7.8716
"2010-08-23",9.332162,9.376098,9.103691,9.121265,3208136,7.737422
"2010-08-24",8.954306,9.358524,8.787346,9.217926,7277510,7.819418
"2010-08-25",9.024605,9.420035,8.919156,9.384886,8721973,7.961046
"2010-08-26",9.43761,9.481547,9.00703,9.015817,5344276,7.647973
