"dates","MCD.Open","MCD.High","MCD.Low","MCD.Close","MCD.Volume","MCD.Adjusted"
"2010-01-04",62.630001,63.07,62.310001,62.779999,5839300,45.185108
"2010-01-05",62.66,62.75,62.189999,62.299999,7099000,44.839626
"2010-01-06",62.200001,62.41,61.060001,61.450001,10551300,44.227863
"2010-01-07",61.25,62.34,61.110001,61.900002,7517700,44.551743
"2010-01-08",62.27,62.41,61.599998,61.84,6107300,44.508553
"2010-01-11",62.02,62.43,61.849998,62.32,6081300,44.854023
"2010-01-12",62.029999,62.66,62,62.66,7199400,45.098747
"2010-01-13",62.860001,63.290001,62.560001,62.59,8623000,45.048351
"2010-01-14",62.560001,62.73,62.09,62.650002,7095600,45.091534
"2010-01-15",62.669998,62.98,62.049999,62.279999,9429100,44.825233
"2010-01-19",62.900002,63.82,62.77,63.48,8551500,45.688915
"2010-01-20",63.490002,63.599998,62.75,63.009998,6996800,45.350651
"2010-01-21",62.970001,63.599998,62.799999,63.200001,11724100,45.487404
"2010-01-22",63.23,64.779999,62.810001,63.389999,15645900,45.624153
"2010-01-25",63.34,63.599998,62.919998,63.09,6382200,45.408226
"2010-01-26",62.75,64,62.75,63.810001,9292700,45.926441
"2010-01-27",63.669998,64,63.299999,63.73,8080800,45.868862
"2010-01-28",63.849998,63.869999,62.75,62.830002,8560100,45.221096
"2010-01-29",62.82,63.220001,62.389999,62.43,7589600,44.933201
"2010-02-01",62.830002,63.970001,62.830002,63.889999,8062700,45.984032
"2010-02-02",63.869999,64.050003,63.349998,64.029999,7271400,46.084766
"2010-02-03",64.629997,65.75,64.610001,65.209999,13695300,46.934067
"2010-02-04",65.190002,65.269997,64.019997,64.059998,10868400,46.106373
"2010-02-05",64.07,64.339996,62.630001,63.369999,14007600,45.609753
"2010-02-08",63.48,63.799999,62.919998,62.919998,6975100,45.28587
"2010-02-09",63.150002,63.849998,62.77,63.57,10131500,45.753708
"2010-02-10",63.540001,63.830002,62.970001,63.25,6161300,45.523373
"2010-02-11",63.25,63.84,62.540001,63.790001,7478900,45.912052
