"dates","MDLZ.Open","MDLZ.High","MDLZ.Low","MDLZ.Close","MDLZ.Volume","MDLZ.Adjusted"
"2010-01-04",27.299999,27.48,27.17,27.43,7953300,14.093776
"2010-01-05",28.32,28.809999,28.01,28.77,37152800,14.782275
"2010-01-06",28.299999,29.16,28.1,28.969999,40848800,14.885036
"2010-01-07",29.049999,29.09,28.57,28.9,18359900,14.849069
"2010-01-08",28.76,28.940001,28.530001,28.93,1.1e+07,14.864485
"2010-01-11",28.98,29.1,28.629999,28.799999,11819700,14.797695
"2010-01-12",28.75,29.34,28.639999,29.290001,19561000,15.049458
"2010-01-13",29.709999,30.1,29.16,29.23,18000100,15.018632
"2010-01-14",29.450001,29.59,28.73,29.120001,10023700,14.962115
"2010-01-15",28.41,30,28.1,29.58,25979600,15.19846
"2010-01-19",29,29.43,28.620001,29.41,53008900,15.111112
"2010-01-20",28.540001,28.85,28.4,28.780001,29477300,14.787415
"2010-01-21",28.6,28.700001,28.049999,28.24,29094200,14.509957
"2010-01-22",27.9,28.190001,27.83,27.870001,28024500,14.319851
"2010-01-25",27.6,27.860001,27.52,27.690001,23989200,14.227365
"2010-01-26",27.24,27.83,27.09,27.76,33282200,14.26333
"2010-01-27",27.75,28.469999,27.75,28.35,24109300,14.566482
"2010-01-28",28.27,28.450001,27.99,28.040001,21415500,14.4072
"2010-01-29",27.93,28.1,27.65,27.66,15402500,14.211947
"2010-02-01",27.83,28.120001,27.639999,28.059999,16347600,14.417474
"2010-02-02",28.15,28.65,28.07,28.5,22109600,14.643551
"2010-02-03",28.379999,28.92,28.27,28.48,27546500,14.633273
"2010-02-04",28.07,28.42,27.870001,28.389999,58782300,14.587029
"2010-02-05",28.299999,28.620001,27.83,28.440001,53305800,14.61272
"2010-02-08",28.459999,28.66,28.35,28.360001,20271300,14.571612
"2010-02-09",28.48,29.01,28.41,28.9,24555300,14.849069
"2010-02-10",28.969999,29.049999,28.75,28.93,19987800,14.864485
"2010-02-11",29.02,29.15,28.75,28.99,21738800,14.895316
"2010-02-12",29,29.09,28.559999,29.09,74196600,14.946697
"2010-02-16",28.68,28.969999,28.32,28.969999,54149700,14.885036
"2010-02-17",28.860001,28.950001,28.450001,28.629999,24839500,14.710347
"2010-02-18",28.65,28.809999,28.48,28.809999,20606500,14.802829
"2010-02-19",28.76,29.049999,28.65,28.92,15497300,14.859352
"2010-02-22",28.889999,29.09,28.65,28.950001,27353400,14.874765
"2010-02-23",29.07,29.370001,28.92,29.129999,27848300,14.967247
"2010-02-24",29.200001,29.299999,28.99,29.049999,22312000,14.926143
"2010-02-25",28.790001,28.98,28.530001,28.809999,22799300,14.802829
"2010-02-26",28.75,28.77,28.299999,28.43,26546400,14.607581
"2010-03-01",28.43,28.76,28.379999,28.719999,13289700,14.756587
"2010-03-02",28.82,29.129999,28.75,28.91,13813800,14.854211
"2010-03-03",28.99,29.07,28.879999,28.969999,13534300,14.885036
"2010-03-04",29,29.219999,28.99,29.08,11131100,14.941554
"2010-03-05",29.190001,29.379999,29.02,29.34,12133500,15.075152
"2010-03-08",29.360001,29.43,29.09,29.17,7578600,14.987803
"2010-03-09",29.389999,29.440001,29.16,29.23,14592500,15.018632
"2010-03-10",29.27,29.51,29.17,29.379999,13906700,15.095703
"2010-03-11",29.32,29.42,29.110001,29.42,8597100,15.116254
"2010-03-12",29.379999,29.6,29.34,29.450001,8989700,15.13167
"2010-03-15",29.41,29.77,29.4,29.559999,9896900,15.18819
"2010-03-16",29.75,29.77,29.5,29.690001,11378600,15.254981
"2010-03-17",29.74,29.790001,29.540001,29.700001,15558100,15.260119
"2010-03-18",29.76,29.99,29.68,29.83,10776900,15.326916
"2010-03-19",29.629999,29.99,29.5,29.629999,16581600,15.224151
"2010-03-22",29.559999,29.83,29.51,29.73,8633800,15.275532
"2010-03-23",29.83,30.799999,29.76,30.780001,28224800,15.815032
"2010-03-24",30.76,30.889999,30.58,30.719999,17918800,15.784203
"2010-03-25",30.790001,30.98,30.73,30.799999,14827800,15.82531
"2010-03-26",30.74,30.84,30.33,30.629999,17103100,15.737961
"2010-03-29",30.4,30.6,30.26,30.540001,10126800,15.841705
"2010-03-30",30.629999,30.790001,30.34,30.5,9197700,15.820957
"2010-03-31",30.52,30.52,30.200001,30.24,8654100,15.686091
"2010-04-01",30.4,30.5,30.200001,30.34,9584100,15.737961
"2010-04-05",30.48,30.530001,30.16,30.209999,10098800,15.670528
"2010-04-06",30.200001,30.25,30.02,30.08,10026400,15.603096
"2010-04-07",30.059999,30.32,30,30.07,8486300,15.597907
"2010-04-08",30,30.290001,29.91,30.129999,7826900,15.629026
"2010-04-09",30.17,30.290001,29.98,30.24,11309700,15.686091
"2010-04-12",30.32,30.41,30.24,30.34,5293300,15.737961
"2010-04-13",30.26,30.73,30.209999,30.65,10297400,15.898764
"2010-04-14",30.67,30.889999,30.549999,30.879999,9356100,16.01807
"2010-04-15",30.879999,31.09,30.66,31.07,15277900,16.116627
"2010-04-16",30.870001,30.959999,30.540001,30.66,11718000,15.903951
"2010-04-19",30.66,30.83,30.290001,30.790001,10369100,15.971387
"2010-04-20",30.809999,30.940001,30.35,30.450001,9387900,15.795018
"2010-04-21",30.52,30.559999,30.18,30.25,14100500,15.691278
"2010-04-22",30.25,30.35,30.01,30.190001,11029400,15.660155
"2010-04-23",30.35,30.4,29.799999,30.09,11843800,15.60828
"2010-04-26",30.209999,30.4,29.969999,30.09,9148000,15.60828
"2010-04-27",29.99,30.049999,29.48,29.5,10743100,15.302238
"2010-04-28",29.540001,29.93,29.35,29.75,10251200,15.431915
"2010-04-29",29.99,30.09,29.780001,29.91,11464700,15.514912
"2010-04-30",29.950001,30.030001,29.540001,29.6,12490200,15.354115
"2010-05-03",29.73,30.02,29.549999,29.9,11894800,15.509727
"2010-05-04",29.719999,29.93,29.549999,29.57,14595300,15.338545
"2010-05-05",29.639999,29.889999,29.469999,29.75,14565400,15.431915
"2010-05-06",29.629999,29.82,27.49,29.209999,20860400,15.151805
"2010-05-07",29.9,30.440001,29.27,30.07,34280700,15.597907
"2010-05-10",30.360001,30.59,30.15,30.52,21019000,15.831331
"2010-05-11",30.33,30.780001,30.25,30.370001,12701000,15.753522
"2010-05-12",30.59,30.59,30.129999,30.4,10452000,15.769081
"2010-05-13",30.4,30.629999,30.200001,30.309999,11088500,15.722397
"2010-05-14",30.27,30.360001,29.59,30.030001,16105400,15.577157
"2010-05-17",30.389999,30.639999,30.09,30.549999,13596300,15.84689
"2010-05-18",30.34,30.639999,30.030001,30.030001,15063900,15.577157
"2010-05-19",29.98,30.450001,29.77,30.290001,14037000,15.712027
"2010-05-20",30.040001,30.07,29.120001,29.129999,26854200,15.11031
"2010-05-21",28.950001,29.73,28.620001,29.690001,17770700,15.400797
"2010-05-24",29.530001,29.530001,28.9,28.93,14092300,15.006564
