"dates","MGM.Open","MGM.High","MGM.Low","MGM.Close","MGM.Volume","MGM.Adjusted"
"2010-01-04",9.43,9.75,9.31,9.73,24670100,9.195823
"2010-01-05",9.82,10.59,9.8,10.5,49268000,9.923553
"2010-01-06",10.44,10.45,10.14,10.14,21539900,9.583316
"2010-01-07",10.01,10.81,9.98,10.8,30219400,10.207082
"2010-01-08",10.7,10.87,10.45,10.6,17728500,10.018063
"2010-01-11",10.81,11.28,10.8,10.9,34876800,10.301594
"2010-01-12",11.45,12,11.38,11.95,64444400,11.293947
"2010-01-13",12.18,12.43,11.7,12.39,47281900,11.709794
"2010-01-14",12.37,12.87,12.22,12.38,37690800,11.700339
"2010-01-15",12.41,12.54,11.91,12.09,32463700,11.426261
"2010-01-19",11.91,12.25,11.77,12.21,17557900,11.539673
"2010-01-20",12.02,12.15,11.75,11.91,19593700,11.256145
"2010-01-21",11.88,12.05,11.3,11.32,25130400,10.698534
"2010-01-22",11.22,11.84,10.76,11.62,40824400,10.982066
"2010-01-25",11.91,12.15,11.58,11.99,31520600,11.331751
"2010-01-26",11.9,12.29,11.75,12.09,24611200,11.426261
"2010-01-27",12.03,12.23,11.75,12.22,22801700,11.549124
"2010-01-28",12.3,12.49,11.6,11.76,27511700,11.114378
"2010-01-29",11.94,11.98,10.86,11.06,38947300,10.45281
"2010-02-01",11.14,11.82,11.14,11.82,30873300,11.171084
"2010-02-02",11.88,12.03,11.45,11.88,19444000,11.227792
"2010-02-03",11.69,11.87,11.35,11.42,21160400,10.793044
"2010-02-04",11.14,11.52,10.76,10.79,23375400,10.197632
"2010-02-05",10.86,11.1,10.53,10.94,29041900,10.339399
"2010-02-08",11.14,11.22,10.61,10.73,16842300,10.140923
"2010-02-09",11.07,11.07,10.61,10.72,20680600,10.131476
"2010-02-10",10.81,10.95,10.35,10.4,23953800,9.829043
"2010-02-11",10.44,11.4,10.4,11.38,43962500,10.755239
"2010-02-12",11.1,11.17,10.8,11.03,29246600,10.424456
"2010-02-16",11.23,11.61,11.23,11.59,21592200,10.953712
"2010-02-17",11.7,11.76,11.36,11.63,23478100,10.991516
"2010-02-18",11.07,11.18,10.63,10.8,49440500,10.207082
"2010-02-19",10.7,11.05,10.62,10.86,18008400,10.263787
"2010-02-22",11.01,11.02,10.85,10.92,15957500,10.320494
"2010-02-23",10.81,10.84,10.33,10.43,19171200,9.857397
"2010-02-24",10.48,10.63,10.38,10.44,11404600,9.866845
"2010-02-25",10.31,10.49,10.08,10.45,13591000,9.876296
"2010-02-26",10.52,10.67,10.11,10.54,17487000,9.961355
"2010-03-01",10.69,10.77,10.57,10.66,16189600,10.074768
"2010-03-02",10.81,10.85,10.63,10.69,13068300,10.103123
"2010-03-03",10.75,11.17,10.63,10.85,20171600,10.254338
"2010-03-04",10.93,10.99,10.63,10.77,12453700,10.178731
"2010-03-05",10.91,11.35,10.85,11.27,20738400,10.65128
"2010-03-08",11.28,11.55,11.16,11.47,16415200,10.8403
"2010-03-09",11.22,11.8,11.21,11.54,21965300,10.906457
"2010-03-10",11.7,11.95,11.61,11.89,23403200,11.237241
"2010-03-11",11.79,11.8,11.47,11.67,13862700,11.029318
"2010-03-12",11.84,12,11.65,11.8,16217300,11.152182
