"dates","MKC.Open","MKC.High","MKC.Low","MKC.Close","MKC.Volume","MKC.Adjusted"
"2010-01-04",18.205,18.205,18.030001,18.15,980000,14.629938
"2010-01-05",18.110001,18.16,18.030001,18.1,1097400,14.58963
"2010-01-06",18.09,18.190001,18.004999,18.17,1175800,14.646053
"2010-01-07",18.215,18.325001,18.09,18.309999,1399800,14.758901
"2010-01-08",18.305,18.360001,18.110001,18.360001,1332600,14.799208
"2010-01-11",18.35,18.584999,18.34,18.51,1019800,14.920115
"2010-01-12",18.43,18.684999,18.41,18.68,997800,15.057147
"2010-01-13",18.725,18.98,18.725,18.85,1559000,15.194174
"2010-01-14",18.73,18.844999,18.705,18.83,870200,15.178051
"2010-01-15",18.825001,18.98,18.645,18.795,1680400,15.149838
"2010-01-19",18.790001,18.895,18.715,18.870001,926800,15.210294
"2010-01-20",18.84,18.84,18.549999,18.645,874400,15.028934
"2010-01-21",18.684999,18.870001,18.459999,18.52,1438400,14.92818
"2010-01-22",18.52,18.674999,18.379999,18.385,891800,14.819359
"2010-01-25",18.459999,18.620001,18.360001,18.610001,1085000,15.00072
"2010-01-26",18.525,18.575001,18.41,18.545,1256600,14.948327
"2010-01-27",18.565001,18.815001,18.475,18.77,2097200,15.129687
"2010-01-28",18.875,18.875,18.145,18.225,3144600,14.690387
"2010-01-29",18.32,18.5,18.049999,18.15,2236800,14.629938
"2010-02-01",18.209999,18.32,18.105,18.290001,835200,14.742779
"2010-02-02",18.355,18.504999,18.26,18.5,1043400,14.912052
"2010-02-03",18.415001,18.415001,18.205,18.245001,1174800,14.706511
"2010-02-04",18.18,18.18,17.844999,17.879999,1514400,14.412302
"2010-02-05",17.855,17.93,17.764999,17.885,2483400,14.416328
"2010-02-08",17.870001,17.98,17.73,17.780001,1246200,14.331697
"2010-02-09",17.855,17.99,17.700001,17.924999,1413600,14.44857
"2010-02-10",17.950001,18,17.809999,17.959999,1510000,14.476786
"2010-02-11",17.975,17.99,17.700001,17.98,1362400,14.4929
"2010-02-12",17.9,18.094999,17.855,18.040001,1549600,14.541275
"2010-02-16",18.125,18.290001,17.975,18.290001,1226600,14.742779
"2010-02-17",18.299999,18.645,18.299999,18.559999,1371400,14.960419
"2010-02-18",18.555,18.83,18.555,18.805,1000200,15.157904
"2010-02-19",18.780001,18.934999,18.715,18.879999,1083400,15.218354
"2010-02-22",18.885,18.93,18.684999,18.735001,1014200,15.101478
"2010-02-23",18.735001,18.82,18.549999,18.575001,1344200,14.972507
"2010-02-24",18.629999,18.68,18.455,18.629999,1123000,15.016841
"2010-02-25",18.459999,18.555,18.35,18.549999,1467600,14.952356
"2010-02-26",18.594999,18.610001,18.424999,18.555,1030000,14.956386
"2010-03-01",18.625,18.674999,18.49,18.665001,811200,15.045059
"2010-03-02",18.719999,18.93,18.700001,18.860001,1297200,15.202232
"2010-03-03",18.905001,18.98,18.809999,18.91,731400,15.242539
"2010-03-04",18.98,18.995001,18.825001,18.950001,1551000,15.274782
"2010-03-05",19,19,18.825001,19,1834000,15.315082
"2010-03-08",18.955,19,18.805,18.879999,1128200,15.218354
"2010-03-09",18.809999,19,18.805,18.985001,1422400,15.302993
"2010-03-10",18.955,19.075001,18.934999,19.049999,1625800,15.355389
