"dates","MKTX.Open","MKTX.High","MKTX.Low","MKTX.Close","MKTX.Volume","MKTX.Adjusted"
"2010-01-04",14.13,14.4,14.07,14.19,68800,12.662394
"2010-01-05",14.1,14.15,13.61,13.68,66100,12.2073
"2010-01-06",13.7,14.07,13.05,14.02,226400,12.510696
"2010-01-07",14.04,14.26,13.8,14.12,74700,12.599927
"2010-01-08",14.02,14.67,14.02,14.58,187600,13.010406
"2010-01-11",14.65,14.69,14.47,14.52,32900,12.956869
"2010-01-12",14.5,14.7,14.42,14.54,58400,12.974714
"2010-01-13",14.58,14.94,14.47,14.49,142500,12.930098
"2010-01-14",14.46,14.7,14.38,14.53,56000,12.965786
"2010-01-15",14.59,14.59,13.89,14.29,145300,12.751626
"2010-01-19",14.34,14.98,14.34,14.71,97200,13.126411
"2010-01-20",14.54,14.8,14.07,14.72,108000,13.135337
"2010-01-21",14.76,14.89,13.88,14.26,107700,12.724858
"2010-01-22",14.2,14.65,14.08,14.11,64800,12.591006
"2010-01-25",14.26,14.59,14.08,14.39,65600,12.84086
"2010-01-26",14.28,14.28,13.52,13.6,92500,12.135911
"2010-01-27",13.52,13.86,13.52,13.84,119200,12.350075
"2010-01-28",13.89,13.89,13.51,13.63,89200,12.16268
"2010-01-29",13.67,13.81,13.43,13.63,106200,12.16268
"2010-02-01",13.64,13.82,13.26,13.8,190200,12.31438
"2010-02-02",13.77,13.92,13.62,13.83,106100,12.341153
"2010-02-03",13.71,14.88,13.71,14.16,197200,12.635625
"2010-02-04",14.06,14.38,13.2,13.25,144900,11.823586
"2010-02-05",13.32,13.73,13.09,13.64,118700,12.171605
"2010-02-08",13.56,13.61,13.26,13.36,70800,11.921749
"2010-02-09",13.55,13.65,13.23,13.52,65400,12.064522
"2010-02-10",13.44,13.95,13.28,13.82,72100,12.332223
"2010-02-11",13.74,14.54,13.54,14.52,139000,12.956869
"2010-02-12",14.28,14.71,14.22,14.71,114100,13.190001
"2010-02-16",14.82,14.91,14.59,14.89,49500,13.351401
"2010-02-17",15,15,14.73,15,61600,13.450038
