"dates","MMM.Open","MMM.High","MMM.Low","MMM.Close","MMM.Volume","MMM.Adjusted"
"2010-01-04",83.089996,83.449997,82.669998,83.019997,3043700,61.288338
"2010-01-05",82.800003,83.230003,81.699997,82.5,2847000,60.904442
"2010-01-06",83.879997,84.599998,83.510002,83.669998,5268500,61.768192
"2010-01-07",83.32,83.760002,82.120003,83.730003,4470100,61.812481
"2010-01-08",83.690002,84.32,83.300003,84.32,3405800,62.248039
"2010-01-11",84.379997,84.599998,83.410004,83.980003,2927100,61.997036
"2010-01-12",83.580002,84.18,83.300003,84.050003,3031800,62.048702
"2010-01-13",84.110001,84.110001,83.199997,83.779999,3102000,61.84938
"2010-01-14",83.739998,83.93,83.419998,83.5,2634100,61.642693
"2010-01-15",83.519997,84.089996,82.870003,83.370003,3955000,61.546707
"2010-01-19",83.82,85.169998,83.5,85.120003,4500400,62.838642
"2010-01-20",84.830002,85.129997,83.589996,84.720001,3671200,62.543354
"2010-01-21",84.599998,84.599998,82.57,82.699997,4783200,61.052109
"2010-01-22",82.400002,82.830002,81.300003,81.480003,4809000,60.15147
"2010-01-25",82.330002,82.889999,81.480003,81.830002,3386600,60.409843
"2010-01-26",81.459999,82.730003,81.040001,81.629997,3138000,60.262184
"2010-01-27",81.330002,82.839996,81.010002,82.300003,5066900,60.756798
"2010-01-28",82.620003,82.639999,79.110001,80.75,6820700,59.612526
"2010-01-29",81.349998,81.879997,80.18,80.489998,4347000,59.420589
"2010-02-01",80.839996,80.889999,79.940002,80.440002,3632700,59.383686
"2010-02-02",80.699997,80.940002,79.699997,80.43,4690000,59.376328
"2010-02-03",79.830002,81.68,79.830002,81.5,3401300,60.166229
"2010-02-04",81.129997,81.129997,78.830002,79.209999,5312600,58.475666
"2010-02-05",79.160004,79.5,77.260002,78.540001,5408000,57.981049
"2010-02-08",78.480003,78.480003,77.25,77.529999,4407300,57.235428
"2010-02-09",78.279999,79.410004,77.900002,78.720001,4252500,58.113941
"2010-02-10",78.800003,79.290001,78,78.620003,2445200,58.040104
"2010-02-11",79.220001,80.389999,78.839996,80.269997,5524500,59.25819
"2010-02-12",79.139999,79.230003,78.07,79.18,5443000,58.453491
"2010-02-16",80.080002,80.639999,79.339996,80.470001,3619100,59.405838
"2010-02-17",80.419998,80.690002,79.739998,80.139999,3095200,59.550728
"2010-02-18",80.059998,81.18,80.059998,81.110001,2702400,60.271515
"2010-02-19",81.139999,81.739998,80.610001,81.519997,3217900,60.576199
"2010-02-22",81.709999,81.760002,80.550003,80.68,3025400,59.952003
"2010-02-23",80.410004,81.089996,79.669998,79.709999,3981900,59.231197
"2010-02-24",80,80.599998,79.5,80.07,3530700,59.498726
"2010-02-25",79.160004,79.769997,78.639999,79.739998,4106300,59.253502
"2010-02-26",79.739998,80.330002,79.099998,80.150002,3224400,59.558151
"2010-03-01",80.57,80.949997,80.349998,80.580002,2545100,59.877708
"2010-03-02",80.739998,81.379997,80.580002,81.129997,3365600,60.286407
"2010-03-03",81.160004,81.68,80.860001,81,2852300,60.189774
"2010-03-04",81.209999,81.360001,80.57,81.019997,2620300,60.204639
"2010-03-05",81.349998,82.5,81.230003,82.440002,3142600,61.25983
"2010-03-08",82.419998,82.529999,81.230003,81.309998,3627900,60.420128
"2010-03-09",81.150002,82.129997,80.739998,81.989998,4249800,60.925415
"2010-03-10",81.919998,82.059998,81.25,81.559998,3584600,60.60593
"2010-03-11",81.260002,81.540001,80.510002,81.260002,4048100,60.383007
"2010-03-12",81.57,81.669998,80.919998,81.379997,2945900,60.472153
"2010-03-15",81.160004,81.660004,80.779999,81.260002,2622300,60.383007
"2010-03-16",81.260002,81.660004,80.529999,81.660004,4242200,60.680229
"2010-03-17",81.93,82.410004,81.650002,82.18,3989700,61.066631
"2010-03-18",82.300003,83.75,82,83.669998,4939500,62.173801
"2010-03-19",81.959999,84,81.510002,81.959999,6876200,60.903137
"2010-03-22",81.5,82.199997,81.5,81.839996,3256700,60.814003
"2010-03-23",82.099998,82.410004,81.160004,82.349998,4153100,61.192959
"2010-03-24",81.860001,82.300003,81.43,81.610001,3102500,60.643097
"2010-03-25",82.010002,82.25,80.839996,80.93,4942500,60.137768
"2010-03-26",81.099998,81.360001,80.75,81,3815300,60.189774
"2010-03-29",81.239998,81.690002,81.029999,81.360001,3102600,60.457298
"2010-03-30",82.360001,84.5,82.239998,84.279999,8704600,62.627098
"2010-03-31",84.050003,84.459999,83.349998,83.57,4336700,62.099506
"2010-04-01",83.870003,84.230003,83.400002,83.849998,2965800,62.307594
"2010-04-05",84.220001,84.480003,83.580002,84.190002,2600800,62.560207
"2010-04-06",83.900002,84.470001,83.550003,84.349998,3208500,62.679108
"2010-04-07",84.110001,84.629997,83.199997,83.660004,4463500,62.166386
"2010-04-08",83.410004,83.599998,82.769997,82.949997,3757700,61.638813
"2010-04-09",82.970001,83.669998,82.790001,83.489998,2883900,62.040043
"2010-04-12",83.760002,83.760002,83.089996,83.279999,2626100,61.884029
"2010-04-13",83.040001,84.239998,82.690002,83.940002,4256000,62.374458
"2010-04-14",83.910004,84.470001,83.480003,84.389999,3632100,62.708824
"2010-04-15",84.139999,85,83.93,85,4535500,63.162128
"2010-04-16",84.699997,84.949997,83.199997,83.760002,5342300,62.240711
"2010-04-19",83.610001,84.129997,83.139999,83.900002,3554200,62.344738
"2010-04-20",84.410004,85.849998,84.32,85.269997,5735000,63.36277
"2010-04-21",85.440002,85.849998,85.07,85.699997,4522900,63.682289
"2010-04-22",85.099998,86.139999,84.470001,86.050003,4627700,63.942352
"2010-04-23",86.18,87.089996,85.93,86.580002,3990600,64.336166
"2010-04-26",86.82,87.790001,86.739998,87.440002,6288900,64.975258
"2010-04-27",89.919998,90.25,87.769997,87.970001,11138700,65.369087
"2010-04-28",88.889999,89.080002,87.650002,88.239998,5730600,65.569725
"2010-04-29",88.940002,90,88.639999,89.330002,5284200,66.379677
"2010-04-30",88.699997,89.699997,88.400002,88.669998,5262000,65.889244
"2010-05-03",89.190002,90,88.620003,89.809998,4647400,66.736366
"2010-05-04",89.220001,89.220001,87.010002,87.68,5456400,65.153587
"2010-05-05",87.040001,87.220001,86.080002,86.589996,4880000,64.343628
"2010-05-06",86.059998,90.519997,68.959999,84.239998,9156000,62.597378
"2010-05-07",83.660004,84.309998,81.260002,82.629997,8368800,61.401001
"2010-05-10",85.599998,87.040001,84.900002,85.970001,6271600,63.882915
"2010-05-11",85.18,85.970001,84.870003,85.040001,4760800,63.191879
"2010-05-12",85.389999,86.620003,85.209999,86.440002,3431000,64.23217
"2010-05-13",86.059998,87,85.419998,85.589996,3314300,63.600552
"2010-05-14",85.059998,85.550003,83.949997,84.68,4138400,62.924335
"2010-05-17",84.879997,85.139999,83.019997,84.68,3191700,62.924335
"2010-05-18",85.089996,86.199997,83.849998,84.019997,5219900,62.433884
"2010-05-19",83.339996,83.339996,81.949997,82.540001,6405200,61.719788
