"dates","MNST.Open","MNST.High","MNST.Low","MNST.Close","MNST.Volume","MNST.Adjusted"
"2010-01-04",6.443333,6.55,6.418333,6.546667,3880200,6.546667
"2010-01-05",6.565,6.586667,6.505,6.571667,3784200,6.571667
"2010-01-06",6.591667,6.783333,6.503333,6.708333,5639400,6.708333
"2010-01-07",6.681667,6.725,6.651667,6.681667,2509200,6.681667
"2010-01-08",6.69,6.718333,6.62,6.715,1963800,6.715
"2010-01-11",6.701667,6.753333,6.673333,6.715,2890800,6.715
"2010-01-12",6.693333,6.723333,6.546667,6.663333,3038400,6.663333
"2010-01-13",6.655,6.778333,6.618333,6.76,5320200,6.76
"2010-01-14",6.748333,6.828333,6.698333,6.753333,3721800,6.753333
"2010-01-15",6.761667,6.823333,6.683333,6.741667,3732600,6.741667
"2010-01-19",6.735,6.87,6.666667,6.826667,3001200,6.826667
"2010-01-20",6.81,6.823333,6.715,6.8,3657000,6.8
"2010-01-21",6.825,6.93,6.743333,6.755,4985400,6.755
"2010-01-22",6.736667,6.763333,6.596667,6.605,3616800,6.605
"2010-01-25",6.63,6.63,6.523333,6.576667,2469600,6.576667
"2010-01-26",6.588333,6.64,6.506667,6.538333,2652600,6.538333
"2010-01-27",6.558333,6.605,6.468333,6.578333,2941800,6.578333
"2010-01-28",6.566667,6.566667,6.448333,6.486667,2066400,6.486667
"2010-01-29",6.493333,6.541667,6.408333,6.408333,3946800,6.408333
"2010-02-01",6.436667,6.538333,6.388333,6.538333,5710200,6.538333
"2010-02-02",6.555,6.576667,6.34,6.513333,3132000,6.513333
"2010-02-03",6.478333,6.548333,6.451667,6.49,2310000,6.49
"2010-02-04",6.473333,6.486667,6.333333,6.338333,3026400,6.338333
"2010-02-05",6.355,6.501667,6.305,6.463333,5082000,6.463333
"2010-02-08",6.483333,6.498333,6.368333,6.391667,2427000,6.391667
"2010-02-09",6.463333,6.543333,6.423333,6.456667,2974800,6.456667
"2010-02-10",6.435,6.486667,6.346667,6.43,2105400,6.43
"2010-02-11",6.421667,6.53,6.381667,6.52,2759400,6.52
"2010-02-12",6.485,6.55,6.453333,6.538333,3259800,6.538333
"2010-02-16",6.551667,6.583333,6.486667,6.508333,2592000,6.508333
"2010-02-17",6.5,6.593333,6.461667,6.58,4465800,6.58
"2010-02-18",6.598333,6.795,6.593333,6.751667,4672800,6.751667
"2010-02-19",6.763333,6.853333,6.606667,6.808333,3834000,6.808333
"2010-02-22",6.828333,6.835,6.723333,6.758333,2721000,6.758333
"2010-02-23",6.735,6.821667,6.648333,6.648333,3973200,6.648333
"2010-02-24",6.676667,6.726667,6.575,6.688333,5938200,6.688333
"2010-02-25",6.618333,6.993333,6.598333,6.735,17128200,6.735
"2010-02-26",6.795,6.933333,6.721667,6.93,9184200,6.93
"2010-03-01",6.968333,7.06,6.938333,6.975,8109600,6.975
"2010-03-02",6.948333,7.003333,6.858333,6.965,11404200,6.965
"2010-03-03",6.993333,6.998333,6.868333,6.9,7907400,6.9
"2010-03-04",6.928333,6.961667,6.875,6.96,4000200,6.96
"2010-03-05",6.965,6.966667,6.835,6.901667,4755600,6.901667
"2010-03-08",6.881667,6.908333,6.855,6.858333,2275200,6.858333
"2010-03-09",6.833333,6.898333,6.811667,6.818333,5597400,6.818333
"2010-03-10",6.818333,6.888333,6.785,6.813333,3934800,6.813333
"2010-03-11",6.791667,6.901667,6.785,6.898333,3874200,6.898333
"2010-03-12",6.93,7.005,6.92,7.005,5760600,7.005
"2010-03-15",7.01,7.108333,6.953333,6.995,7138200,6.995
"2010-03-16",6.986667,7.036667,6.921667,7.033333,4415400,7.033333
"2010-03-17",7.063333,7.181667,7.041667,7.096667,3740400,7.096667
"2010-03-18",7.083333,7.098333,7.015,7.033333,2706600,7.033333
"2010-03-19",7.113333,7.268333,6.96,7.155,10647000,7.155
"2010-03-22",7.138333,7.283333,7.06,7.146667,4144200,7.146667
"2010-03-23",7.166667,7.241667,7.16,7.228333,4316400,7.228333
"2010-03-24",7.226667,7.261667,7.19,7.19,2230200,7.19
"2010-03-25",7.233333,7.291667,7.201667,7.225,2951400,7.225
"2010-03-26",7.231667,7.28,7.168333,7.198333,3812400,7.198333
"2010-03-29",7.231667,7.286667,7.146667,7.175,2236800,7.175
"2010-03-30",7.178333,7.278333,7.12,7.22,5961600,7.22
"2010-03-31",7.216667,7.323333,7.183333,7.23,3852600,7.23
"2010-04-01",7.268333,7.298333,7.205,7.25,3216600,7.25
"2010-04-05",7.27,7.296667,7.238333,7.263333,3528600,7.263333
"2010-04-06",7.22,7.308333,7.195,7.27,2916600,7.27
"2010-04-07",7.271667,7.285,7.076667,7.091667,3814800,7.091667
"2010-04-08",7.093333,7.101667,6.99,6.996667,3492000,6.996667
"2010-04-09",7.02,7.086667,6.945,7.076667,4625400,7.076667
"2010-04-12",7.091667,7.118333,6.901667,7.005,4554000,7.005
"2010-04-13",6.975,7.043333,6.975,7.02,1827000,7.02
"2010-04-14",7.061667,7.061667,7.006667,7.053333,2088600,7.053333
"2010-04-15",7.065,7.065,6.955,6.966667,2429400,6.966667
"2010-04-16",6.97,7,6.921667,6.936667,2098800,6.936667
"2010-04-19",6.938333,6.941667,6.83,6.915,2275200,6.915
"2010-04-20",6.923333,6.966667,6.828333,6.873333,3787800,6.873333
"2010-04-21",6.866667,7.028333,6.836667,6.873333,5128800,6.873333
"2010-04-22",6.851667,6.908333,6.806667,6.886667,2878200,6.886667
"2010-04-23",6.918333,7.211667,6.875,7.18,8053200,7.18
"2010-04-26",7.203333,7.223333,7.136667,7.173333,3685200,7.173333
"2010-04-27",7.12,7.178333,7.09,7.093333,2926800,7.093333
"2010-04-28",7.115,7.165,7.098333,7.136667,1966800,7.136667
"2010-04-29",7.168333,7.435,7.161667,7.401667,9298200,7.401667
"2010-04-30",7.43,7.498333,7.346667,7.358333,3537600,7.358333
"2010-05-03",7.346667,7.348333,7.205,7.305,4450200,7.305
"2010-05-04",7.245,7.256667,7.123333,7.241667,3571200,7.241667
"2010-05-05",7.175,7.32,7.133333,7.191667,3264600,7.191667
"2010-05-06",7.18,7.275,4.001667,7.09,8850000,7.09
"2010-05-07",5.89,6.433333,5.691667,6.225,66759000,6.225
"2010-05-10",6.335,6.446667,6.168333,6.433333,23567400,6.433333
"2010-05-11",6.428333,6.68,6.378333,6.661667,8421600,6.661667
"2010-05-12",6.705,6.731667,6.591667,6.72,4552800,6.72
"2010-05-13",6.673333,6.711667,6.506667,6.545,5474400,6.545
"2010-05-14",6.44,6.548333,6.44,6.5,4901400,6.5
"2010-05-17",6.493333,6.556667,6.376667,6.495,4924200,6.495
"2010-05-18",6.803333,6.9,6.593333,6.645,10620000,6.645
"2010-05-19",6.61,6.691667,6.566667,6.583333,6180600,6.583333
"2010-05-20",6.483333,6.551667,6.416667,6.441667,7654800,6.441667
"2010-05-21",6.401667,6.47,6.311667,6.381667,8181000,6.381667
"2010-05-24",6.388333,6.446667,6.365,6.37,5407200,6.37
"2010-05-25",6.253333,6.33,6.198333,6.255,10093800,6.255
"2010-05-26",6.263333,6.45,6.225,6.343333,8824800,6.343333
