"dates","MSCI.Open","MSCI.High","MSCI.Low","MSCI.Close","MSCI.Volume","MSCI.Adjusted"
"2010-01-04",31.959999,32.34,31.799999,31.98,470900,29.635715
"2010-01-05",31.91,32.450001,31.719999,32.099998,1330400,29.746925
"2010-01-06",32.02,32.27,31.059999,31.23,1901900,28.940699
"2010-01-07",31.549999,34.599998,31.32,33.380001,2247900,30.93309
"2010-01-08",33.389999,35.099998,33.389999,34.5,1648100,31.970993
"2010-01-11",34.459999,34.77,33.650002,34.209999,1458600,31.702255
"2010-01-12",33.799999,33.799999,33.080002,33.23,692900,30.794079
"2010-01-13",33.220001,33.57,33.220001,33.349998,603700,30.905296
"2010-01-14",33.470001,33.599998,33.080002,33.099998,473400,30.673618
"2010-01-15",33,33.139999,32.07,32.139999,750300,29.783991
"2010-01-19",32.080002,32.740002,32.080002,32.5,410800,30.117607
"2010-01-20",32.400002,32.490002,32.080002,32.080002,531500,29.72839
"2010-01-21",32.25,32.48,30.959999,31.07,532300,28.792427
"2010-01-22",30.969999,31.33,30.27,30.450001,548900,28.217873
"2010-01-25",30.700001,30.870001,29.870001,30.389999,374900,28.162271
"2010-01-26",30.26,30.49,29.4,29.469999,789000,27.309715
"2010-01-27",29.5,29.99,29.200001,29.9,801900,27.708195
"2010-01-28",29.9,29.9,29.33,29.690001,615100,27.513586
"2010-01-29",29.870001,29.9,29.549999,29.559999,651500,27.393118
"2010-02-01",29.620001,30.08,29.559999,29.91,1482900,27.717464
"2010-02-02",29.860001,30.02,29.450001,29.74,808600,27.559925
"2010-02-03",29.48,29.68,29.23,29.450001,518000,27.291182
"2010-02-04",29.09,29.219999,28.530001,28.59,792000,26.494225
"2010-02-05",28.51,28.84,28.01,28.780001,714500,26.670294
"2010-02-08",28.73,28.74,27.870001,27.879999,632300,25.836262
"2010-02-09",28.209999,29.049999,28.02,28.360001,635000,26.281076
"2010-02-10",28.209999,28.549999,27.959999,28.530001,399900,26.438618
"2010-02-11",28.52,29.51,27.98,29.200001,749500,27.059505
"2010-02-12",28.809999,29.209999,28.6,29.17,795600,27.031706
"2010-02-16",29.42,29.58,28.9,29.58,250600,27.411654
"2010-02-17",29.709999,29.790001,29.02,29.08,619900,26.948307
"2010-02-18",29.17,29.299999,28.610001,28.700001,768800,26.596161
"2010-02-19",28.709999,29.360001,28.6,29.290001,728400,27.142906
"2010-02-22",29.309999,29.68,29.09,29.360001,646200,27.207775
"2010-02-23",29.389999,29.67,29.299999,29.459999,661700,27.300447
"2010-02-24",29.49,30.01,29.41,29.959999,343800,27.763796
"2010-02-25",29.540001,29.889999,29.379999,29.84,301800,27.65259
"2010-02-26",29.950001,30.040001,29.52,29.98,367800,27.78233
"2010-03-01",28.09,29.49,27.9,28.59,5746900,26.494225
"2010-03-02",29.74,32.73,29.469999,32.610001,4981500,30.219542
"2010-03-03",32.560001,32.709999,31.959999,32.119999,1290300,29.765465
"2010-03-04",32.029999,33.209999,31.969999,32.869999,1332500,30.460476
"2010-03-05",33.040001,35.169998,32.860001,33.619999,2729900,31.155499
"2010-03-08",33.689999,34.799999,33.5,34.009998,2221300,31.516905
"2010-03-09",33.900002,34.029999,33.509998,33.580002,896600,31.118431
"2010-03-10",33.52,33.740002,33.330002,33.580002,896000,31.118431
"2010-03-11",33.349998,34.34,33.139999,34.32,729400,31.804195
"2010-03-12",34.32,35.470001,34.07,34.860001,1573400,32.304607
"2010-03-15",34.75,34.75,34,34.549999,869800,32.017315
"2010-03-16",34.52,34.970001,34.439999,34.919998,626500,32.360203
"2010-03-17",35.02,35.400002,34.75,35.369999,1122600,32.777229
"2010-03-18",35.169998,35.599998,35.049999,35.220001,600100,32.63821
"2010-03-19",35.07,35.490002,34.790001,35.07,1364200,32.499207
"2010-03-22",35.009998,35.810001,34.25,35.720001,576600,33.101555
"2010-03-23",35.77,36.189999,35.540001,36.189999,724300,33.537102
"2010-03-24",36.09,36.25,35.720001,35.93,438000,33.296165
"2010-03-25",36.279999,36.580002,35.82,35.84,595700,33.212765
"2010-03-26",35.880001,36,35.16,35.759998,643100,33.138634
"2010-03-29",35.869999,35.93,35.43,35.790001,358200,33.166435
"2010-03-30",35.75,36.619999,35.560001,36.150002,490300,33.500034
"2010-03-31",36.07,36.360001,35.900002,36.099998,397100,33.453705
"2010-04-01",36.32,36.470001,36.07,36.470001,238000,33.796581
"2010-04-05",36.490002,36.990002,36.439999,36.98,353900,34.269188
"2010-04-06",36.849998,37.450001,36.389999,37.369999,605000,34.630608
"2010-04-07",37.07,37.779999,37.07,37.310001,942700,34.575001
