"dates","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted"
"2010-01-04",30.620001,31.1,30.59,30.950001,38409100,24.049969
"2010-01-05",30.85,31.1,30.639999,30.959999,49749600,24.057743
"2010-01-06",30.879999,31.08,30.52,30.77,58182400,23.910097
"2010-01-07",30.629999,30.700001,30.190001,30.450001,50559700,23.661432
"2010-01-08",30.280001,30.879999,30.24,30.66,51197400,23.824627
"2010-01-11",30.709999,30.76,30.120001,30.27,68754700,23.521576
"2010-01-12",30.15,30.4,29.91,30.07,65912100,23.366163
"2010-01-13",30.26,30.52,30.01,30.35,51863500,23.583742
"2010-01-14",30.309999,31.1,30.26,30.959999,63228100,24.057743
"2010-01-15",31.08,31.24,30.709999,30.860001,79913200,23.980036
"2010-01-19",30.75,31.24,30.68,31.1,46575700,24.166536
"2010-01-20",30.809999,30.940001,30.309999,30.59,54849500,23.770227
"2010-01-21",30.610001,30.719999,30,30.01,73086700,23.31954
"2010-01-22",30,30.200001,28.84,28.959999,102004600,22.503624
"2010-01-25",29.24,29.66,29.1,29.32,63373000,22.783371
"2010-01-26",29.200001,29.85,29.09,29.5,66639900,22.923231
"2010-01-27",29.35,29.82,29.02,29.67,63949500,23.055338
"2010-01-28",29.84,29.870001,28.889999,29.16,117513700,22.659039
"2010-01-29",29.9,29.92,27.66,28.18,193888500,21.89752
"2010-02-01",28.389999,28.48,27.92,28.41,85931100,22.076241
"2010-02-02",28.370001,28.5,28.139999,28.459999,54413700,22.115095
"2010-02-03",28.26,28.790001,28.120001,28.629999,61397900,22.247196
"2010-02-04",28.379999,28.5,27.809999,27.84,77850000,21.633324
"2010-02-05",28,28.280001,27.57,28.02,80960100,21.77319
"2010-02-08",28.01,28.08,27.57,27.719999,52820600,21.540071
"2010-02-09",27.969999,28.34,27.75,28.01,59195800,21.765419
"2010-02-10",28.030001,28.24,27.84,27.99,48591300,21.749876
"2010-02-11",27.93,28.4,27.700001,28.120001,65993700,21.850897
"2010-02-12",27.809999,28.059999,27.58,27.93,81117200,21.703253
"2010-02-16",28.129999,28.370001,28.02,28.35,51935600,22.132629
"2010-02-17",28.530001,28.65,28.360001,28.59,45882900,22.320002
"2010-02-18",28.59,29.030001,28.51,28.969999,42856500,22.616663
"2010-02-19",28.790001,28.92,28.690001,28.77,44451800,22.460526
"2010-02-22",28.84,28.940001,28.65,28.73,36707100,22.429291
"2010-02-23",28.68,28.83,28.09,28.33,52266200,22.117018
"2010-02-24",28.52,28.790001,28.379999,28.629999,43165900,22.351229
"2010-02-25",28.27,28.65,28.02,28.6,48735300,22.327806
"2010-02-26",28.65,28.85,28.51,28.67,40370600,22.382458
"2010-03-01",28.77,29.049999,28.530001,29.02,43805400,22.655703
"2010-03-02",29.08,29.299999,28.24,28.459999,93123900,22.218512
"2010-03-03",28.51,28.610001,28.35,28.459999,48442100,22.218512
"2010-03-04",28.459999,28.65,28.27,28.629999,42890600,22.351229
"2010-03-05",28.66,28.68,28.42,28.59,56001800,22.320002
"2010-03-08",28.52,28.93,28.5,28.629999,39414500,22.351229
"2010-03-09",28.559999,29.110001,28.549999,28.799999,50271600,22.48394
"2010-03-10",28.860001,29.110001,28.799999,28.969999,44891400,22.616663
"2010-03-11",28.889999,29.190001,28.85,29.18,35349700,22.780609
"2010-03-12",29.32,29.379999,29.040001,29.27,31700200,22.850872
"2010-03-15",29.18,29.370001,29.01,29.290001,37512000,22.866486
"2010-03-16",29.42,29.49,29.200001,29.370001,36723500,22.928942
"2010-03-17",29.5,29.870001,29.4,29.629999,50385700,23.131914
"2010-03-18",29.629999,29.719999,29.5,29.610001,43845200,23.116302
"2010-03-19",29.76,29.9,29.35,29.59,81332100,23.100687
"2010-03-22",29.5,29.700001,29.389999,29.6,37718200,23.108503
"2010-03-23",29.59,29.9,29.41,29.879999,42026600,23.327097
"2010-03-24",29.719999,29.85,29.6,29.65,33987700,23.147533
"2010-03-25",29.83,30.57,29.799999,30.01,73168700,23.428585
"2010-03-26",30.09,30.200001,29.59,29.66,55595500,23.15534
"2010-03-29",29.709999,29.82,29.549999,29.59,33336000,23.100687
"2010-03-30",29.629999,29.860001,29.5,29.77,34954800,23.241215
"2010-03-31",29.639999,29.719999,29.17,29.290001,63760000,22.866486
"2010-04-01",29.35,29.540001,28.620001,29.16,74768100,22.764992
"2010-04-05",29.129999,29.43,29.030001,29.27,34331200,22.850872
"2010-04-06",29.15,29.58,28.98,29.32,47366800,22.889906
"2010-04-07",29.16,29.559999,29.139999,29.35,58318800,22.913326
"2010-04-08",29.32,29.98,29.299999,29.92,63713800,23.358322
"2010-04-09",29.950001,30.41,29.9,30.34,54752500,23.686214
"2010-04-12",30.25,30.49,30.209999,30.32,37068800,23.670597
"2010-04-13",30.15,30.5,30.129999,30.450001,41374600,23.772085
"2010-04-14",30.790001,31,30.66,30.82,68941200,24.060944
"2010-04-15",30.82,30.950001,30.709999,30.870001,52745400,24.099979
"2010-04-16",30.790001,30.98,30.6,30.67,88703100,23.943846
"2010-04-19",30.77,31.25,30.76,31.040001,64970300,24.232697
"2010-04-20",31.219999,31.440001,31.129999,31.360001,52199500,24.482513
"2010-04-21",31.33,31.5,31.23,31.33,55343100,24.459091
"2010-04-22",31.040001,31.530001,30.9,31.389999,84847600,24.505941
"2010-04-23",31.120001,31.58,30.65,30.959999,126766600,24.170242
"2010-04-26",31,31.280001,30.860001,31.110001,63649300,24.287352
"2010-04-27",30.950001,31.25,30.75,30.85,68730900,24.08437
"2010-04-28",30.92,31,30.620001,30.91,64557900,24.131205
"2010-04-29",30.93,31.43,30.67,31,52665200,24.201466
"2010-04-30",31.07,31.08,30.52,30.540001,63214800,23.842352
"2010-05-03",30.67,31.059999,30.58,30.860001,43989500,24.092169
"2010-05-04",30.52,30.549999,29.75,30.129999,82085600,23.522266
"2010-05-05",29.77,30.09,29.690001,29.85,66833800,23.303669
"2010-05-06",29.59,29.879999,27.91,28.98,128613000,22.624477
"2010-05-07",28.93,28.950001,27.32,28.209999,173718100,22.023335
"2010-05-10",29.01,29.48,28.709999,28.940001,86653300,22.593245
"2010-05-11",28.68,29.65,28.57,28.879999,63789400,22.546406
"2010-05-12",28.98,29.58,28.92,29.440001,47146800,22.983589
"2010-05-13",29.26,29.73,29.18,29.24,45188800,22.827452
"2010-05-14",29.200001,29.209999,28.639999,28.93,63334000,22.585432
