"dates","MSI.Open","MSI.High","MSI.Low","MSI.Close","MSI.Volume","MSI.Adjusted"
"2010-01-04",31.8549,32.420849,31.814474,32.218723,7511713,26.659513
"2010-01-05",32.137875,33.391048,31.208099,31.77405,18863970,26.291567
"2010-01-06",32.34,32.501701,31.8549,32.218723,12137069,26.659513
"2010-01-07",32.380424,33.108074,32.218723,32.865524,13517526,27.194719
"2010-01-08",32.703827,32.8251,31.248526,31.369801,18596092,25.957073
"2010-01-11",31.8549,31.8549,31.005976,31.0464,10368856,25.689476
"2010-01-12",30.884701,30.925125,29.671949,29.914499,10715498,24.752876
"2010-01-13",29.954926,30.925125,29.954926,30.723,8125690,25.421867
"2010-01-14",30.5613,31.61235,30.520876,31.167675,11342560,25.789827
"2010-01-15",31.127251,31.248526,30.440025,30.642151,9741126,25.354977
"2010-01-19",30.642151,31.086824,30.116625,30.884701,6744168,25.555676
"2010-01-20",30.5613,30.5613,29.874075,30.2379,7053531,25.020475
"2010-01-21",30.440025,30.642151,29.591101,29.793224,9960989,24.652529
"2010-01-22",29.51025,30.0762,28.9443,29.146425,10517477,24.117336
"2010-01-25",29.712376,30.0762,28.984726,29.02515,8891948,24.016981
"2010-01-26",29.146425,29.550674,28.863449,29.065575,7430006,24.05043
"2010-01-27",29.106001,30.0762,28.984726,29.914499,11567644,24.752876
"2010-01-28",26.882626,27.569851,25.589025,26.1954,32895708,21.675497
"2010-01-29",25.993275,26.033701,24.4167,24.861376,25815609,20.57165
"2010-02-01",25.184774,25.669874,24.9018,25.589025,16983723,21.173746
"2010-02-02",25.750725,26.6805,25.306049,26.478374,15761732,21.909641
"2010-02-03",26.43795,27.569851,26.276251,27.044325,18683389,22.377937
"2010-02-04",26.640076,26.6805,25.427324,25.548599,17730142,21.140295
"2010-02-05",26.235825,26.276251,25.589025,25.872,15581274,21.40789
"2010-02-08",26.761351,27.084749,26.316675,26.559225,11028448,21.976545
"2010-02-09",26.882626,27.1656,26.235825,26.43795,8672183,21.876194
"2010-02-10",26.478374,27.044325,26.397526,26.801775,8172863,22.177244
"2010-02-11",26.6805,26.963474,26.559225,26.882626,7431268,22.244143
"2010-02-12",27.529425,29.469826,27.286875,28.903875,22203612,23.916634
"2010-02-16",29.469826,29.671949,28.903875,29.348551,9826395,24.284584
"2010-02-17",29.429399,29.51025,28.257074,28.742174,9358194,23.782831
"2010-02-18",28.661325,28.742174,28.21665,28.337925,6442078,23.448336
"2010-02-19",28.257074,28.580475,28.095375,28.337925,4358268,23.448336
"2010-02-22",28.418776,28.499624,27.6507,27.771975,7112356,22.980034
"2010-02-23",27.73155,27.771975,27.286875,27.40815,5608905,22.678984
"2010-02-24",27.529425,27.6507,27.24645,27.448574,5046432,22.712437
"2010-02-25",27.044325,27.771975,26.720924,27.691126,6598466,22.913136
"2010-02-26",27.286875,27.691126,27.084749,27.327299,6343030,22.612089
"2010-03-01",27.40815,27.529425,26.720924,27.24645,4802028,22.545187
"2010-03-02",27.367725,27.569851,26.92305,27.529425,6342288,22.779337
"2010-03-03",27.569851,28.297501,27.569851,27.771975,5289870,22.980034
"2010-03-04",27.89325,27.89325,27.206024,27.489,4526432,22.745892
