"dates","MTD.Open","MTD.High","MTD.Low","MTD.Close","MTD.Volume","MTD.Adjusted"
"2010-01-04",105.480003,106.209999,104.830002,105.639999,95100,105.639999
"2010-01-05",104.730003,104.730003,101.309998,103,317200,103
"2010-01-06",102.650002,104.269997,101.519997,102.209999,243400,102.209999
"2010-01-07",102,102.550003,100.360001,100.440002,209400,100.440002
"2010-01-08",99.900002,102.300003,99.540001,102.139999,119500,102.139999
"2010-01-11",102.099998,103.349998,101.839996,103.050003,112300,103.050003
"2010-01-12",102.879997,103.120003,101.150002,101.589996,97300,101.589996
"2010-01-13",101.379997,103.57,101.040001,102.970001,160100,102.970001
"2010-01-14",103.199997,104.529999,103.010002,103.82,132000,103.82
"2010-01-15",104.050003,104.339996,100.970001,101.089996,101700,101.089996
"2010-01-19",100.720001,102.029999,100.550003,101.699997,153400,101.699997
"2010-01-20",101.199997,101.639999,99.910004,100.82,136600,100.82
"2010-01-21",101.459999,102.129997,99.690002,100.169998,314100,100.169998
"2010-01-22",100.480003,101.059998,98.699997,98.779999,149000,98.779999
"2010-01-25",99.059998,99.589996,98.589996,99.089996,139500,99.089996
"2010-01-26",98.709999,100.07,98,98.970001,80100,98.970001
"2010-01-27",98.690002,98.75,97,98.230003,182500,98.230003
"2010-01-28",98,99.389999,97.339996,97.339996,184900,97.339996
"2010-01-29",97.349998,99,97.269997,97.470001,206300,97.470001
"2010-02-01",97.639999,98.459999,97.059998,97.68,234000,97.68
"2010-02-02",97.970001,98.949997,97.260002,98.099998,267500,98.099998
"2010-02-03",97.519997,100.300003,97.519997,100.239998,282100,100.239998
"2010-02-04",99.440002,99.940002,96.139999,96.290001,361000,96.290001
"2010-02-05",96.010002,98.449997,93.949997,96.940002,620400,96.940002
"2010-02-08",96.349998,96.980003,94.459999,94.459999,312400,94.459999
"2010-02-09",95.489998,96.18,95.260002,95.589996,156800,95.589996
"2010-02-10",95.25,95.669998,93.989998,94.099998,120100,94.099998
"2010-02-11",93.739998,95.029999,93.650002,94.849998,221400,94.849998
"2010-02-12",93.949997,94.669998,93.43,94.330002,424800,94.330002
"2010-02-16",94.800003,95.769997,94.220001,95.760002,209700,95.760002
"2010-02-17",95.809998,96.449997,95.699997,96.239998,157700,96.239998
"2010-02-18",96.309998,96.540001,95.839996,96,180200,96
"2010-02-19",95.629997,97.510002,95.089996,97.43,245600,97.43
"2010-02-22",98.309998,98.43,97.440002,98.360001,243500,98.360001
"2010-02-23",98.449997,98.669998,97.800003,98.360001,247600,98.360001
"2010-02-24",98.209999,99.349998,98,98.550003,169600,98.550003
"2010-02-25",98.010002,98.919998,97.110001,98.790001,137600,98.790001
"2010-02-26",98.410004,99.739998,98.410004,99.410004,140000,99.410004
"2010-03-01",99.860001,102.980003,99.43,102.620003,215500,102.620003
"2010-03-02",102.669998,103.839996,102.32,103.610001,156400,103.610001
"2010-03-03",103.870003,104.629997,103.360001,103.940002,96900,103.940002
"2010-03-04",104.18,104.379997,101.650002,103.370003,231500,103.370003
"2010-03-05",104.209999,105.599998,104,105.5,154800,105.5
"2010-03-08",105.029999,105.760002,104.809998,105.290001,153200,105.290001
"2010-03-09",105.290001,105.5,104.480003,105,84200,105
"2010-03-10",104.620003,106.059998,104.580002,105.620003,284000,105.620003
"2010-03-11",105.690002,106.18,104.629997,105.300003,197200,105.300003
"2010-03-12",105.5,106.099998,104.879997,106.089996,120600,106.089996
"2010-03-15",106.089996,107.360001,105.769997,107.169998,150000,107.169998
"2010-03-16",107.230003,109.239998,107.230003,109.139999,304300,109.139999
"2010-03-17",109.239998,109.75,108.559998,108.809998,151200,108.809998
"2010-03-18",109.050003,109.220001,107.849998,108.220001,97100,108.220001
"2010-03-19",107.199997,108.25,107.019997,107.199997,186900,107.199997
"2010-03-22",107.07,108.769997,106.43,108.599998,145900,108.599998
"2010-03-23",108.959999,109.980003,108.410004,109.769997,105500,109.769997
"2010-03-24",108.779999,109.339996,108.25,108.360001,120300,108.360001
"2010-03-25",109.150002,110.75,108.650002,109.419998,135200,109.419998
"2010-03-26",109.620003,110,108.870003,109.389999,80000,109.389999
"2010-03-29",109.010002,111.449997,108.93,109.059998,245100,109.059998
"2010-03-30",109.440002,111.07,108.940002,110.309998,123200,110.309998
"2010-03-31",110.309998,110.779999,109.199997,109.199997,124900,109.199997
"2010-04-01",109.860001,110.989998,109.650002,110.260002,100900,110.260002
"2010-04-05",110.330002,111.370003,110.300003,111.190002,158900,111.190002
"2010-04-06",110.389999,112.75,109.910004,112.580002,185800,112.580002
"2010-04-07",112.660004,112.870003,111.330002,112.269997,121500,112.269997
"2010-04-08",112.220001,112.540001,110.559998,112.32,174700,112.32
"2010-04-09",112.330002,113.480003,111.949997,113.480003,97200,113.480003
"2010-04-12",113.489998,114.489998,113.339996,114.220001,120000,114.220001
"2010-04-13",114.160004,115.470001,113.839996,115.260002,228200,115.260002
"2010-04-14",115.489998,116.989998,115.419998,116.68,157200,116.68
