"dates","NI.Open","NI.High","NI.Low","NI.Close","NI.Volume","NI.Adjusted"
"2010-01-04",6.113949,6.165029,6.062868,6.094303,6905603,4.134311
"2010-01-05",6.11002,6.141454,6.019646,6.078585,8784322,4.12365
"2010-01-06",6.082515,6.098232,5.972495,6.007859,7382791,4.075669
"2010-01-07",5.992141,6.011788,5.897839,5.933202,7407223,4.025022
"2010-01-08",5.89391,5.94499,5.842829,5.901768,15739298,4.003698
"2010-01-11",5.909627,5.988212,5.874263,5.976424,7952107,4.054344
"2010-01-12",5.960707,6.058939,5.933202,5.996071,6515964,4.06767
"2010-01-13",6.043222,6.098232,5.984283,6.090373,6572717,4.131645
"2010-01-14",6.094303,6.117878,6.070727,6.098232,3255310,4.136975
"2010-01-15",6.062868,6.082515,5.937132,6.007859,5240155,4.075669
"2010-01-19",6.019646,6.098232,5.980354,6.098232,2950164,4.136975
"2010-01-20",6.062868,6.074656,6,6.074656,3826153,4.120984
"2010-01-21",6,6.066798,5.791749,5.842829,22677223,3.963714
"2010-01-22",5.8389,5.89391,5.721022,5.72888,11887695,3.88641
"2010-01-25",5.779961,5.823183,5.701375,5.764244,7603442,3.910403
"2010-01-26",5.768173,5.846758,5.732809,5.819253,6195039,3.94772
"2010-01-27",5.744597,5.760314,5.618861,5.6778,8991231,3.912521
"2010-01-28",5.689587,5.721022,5.595285,5.62279,9851186,3.874614
"2010-01-29",5.654224,5.697446,5.599214,5.599214,8842603,3.858368
"2010-02-01",5.626719,5.88998,5.599214,5.834971,14476978,4.020826
"2010-02-02",5.827112,5.964637,5.779961,5.960707,8762944,4.107469
"2010-02-03",5.88998,5.972495,5.88998,5.937132,6164499,4.091224
"2010-02-04",5.89391,5.901768,5.787819,5.787819,6140067,3.988334
"2010-02-05",5.779961,5.799607,5.669941,5.768173,7216093,3.974796
"2010-02-08",5.752456,5.799607,5.721022,5.72888,5735412,3.94772
"2010-02-09",5.779961,5.897839,5.760314,5.819253,8917171,4.009995
"2010-02-10",5.831041,5.8389,5.744597,5.78389,6094512,3.985626
"2010-02-11",5.736739,5.819253,5.697446,5.811395,7384572,4.00458
"2010-02-12",5.768173,5.772102,5.681729,5.752456,9643769,3.963967
"2010-02-16",5.819253,5.897839,5.787819,5.897839,7927675,4.064149
"2010-02-17",5.925344,5.925344,5.874263,5.882122,5236592,4.053317
"2010-02-18",5.862475,5.94499,5.858546,5.89391,8357780,4.06144
"2010-02-19",5.870334,5.976424,5.842829,5.956778,6267063,4.104762
"2010-02-22",5.992141,6.007859,5.952849,5.976424,6529198,4.118301
"2010-02-23",5.972495,5.988212,5.89391,5.909627,6139304,4.07227
"2010-02-24",5.909627,5.937132,5.823183,5.897839,7452269,4.064149
"2010-02-25",5.823183,5.897839,5.791749,5.88998,4593471,4.058733
"2010-02-26",5.905697,5.960707,5.870334,5.901768,23137868,4.066855
"2010-03-01",5.929273,5.984283,5.913556,5.960707,5208852,4.107469
"2010-03-02",5.976424,6,5.8389,5.948919,6397621,4.099346
"2010-03-03",5.948919,5.984283,5.917485,5.952849,4486072,4.102057
"2010-03-04",5.972495,5.988212,5.89391,5.948919,5037319,4.099346
"2010-03-05",5.972495,6.043222,5.94499,6.043222,3692541,4.16433
"2010-03-08",6.031434,6.070727,6.027505,6.066798,2848619,4.180576
"2010-03-09",6.078585,6.078585,6.019646,6.062868,3165471,4.177867
"2010-03-10",6.078585,6.11002,6.043222,6.11002,4270510,4.210361
"2010-03-11",6.082515,6.121807,6.043222,6.117878,3670654,4.215775
"2010-03-12",6.145383,6.157171,6.062868,6.086444,3897922,4.194115
"2010-03-15",6.094303,6.094303,6.039293,6.094303,3363218,4.199531
"2010-03-16",6.090373,6.1611,6.070727,6.1611,4139952,4.245558
"2010-03-17",6.168959,6.243615,6.153242,6.220039,4089815,4.286174
"2010-03-18",6.212181,6.21611,6.153242,6.192534,3590232,4.26722
"2010-03-19",6.180747,6.239686,6.11002,6.180747,6254847,4.259097
"2010-03-22",6.145383,6.176817,6.117878,6.168959,2976632,4.250974
"2010-03-23",6.168959,6.243615,6.141454,6.231827,3827935,4.294295
"2010-03-24",6.200393,6.227898,6.157171,6.168959,3842187,4.250974
"2010-03-25",6.184676,6.21611,6.133595,6.133595,3191685,4.226604
"2010-03-26",6.153242,6.255403,6.149312,6.200393,14055272,4.272635
"2010-03-29",6.21611,6.286837,6.196464,6.275049,3453565,4.324081
"2010-03-30",6.282908,6.298625,6.259332,6.282908,2773541,4.329495
"2010-03-31",6.275049,6.290766,6.208251,6.208251,4810814,4.27805
"2010-04-01",6.231827,6.353635,6.231827,6.349705,4904215,4.375525
"2010-04-05",6.353635,6.416503,6.353635,6.400786,4303086,4.410724
"2010-04-06",6.373281,6.475442,6.361493,6.463654,2949146,4.454046
"2010-04-07",6.471513,6.502947,6.353635,6.416503,5088473,4.421555
"2010-04-08",6.396857,6.400786,6.333988,6.365422,3643168,4.386356
"2010-04-09",6.381139,6.385069,6.333988,6.385069,14332931,4.399894
"2010-04-12",6.396857,6.43222,6.388998,6.396857,2223821,4.408018
"2010-04-13",6.388998,6.408644,6.333988,6.381139,2213641,4.397185
"2010-04-14",6.392927,6.43222,6.361493,6.424361,7103095,4.42697
"2010-04-15",6.385069,6.440079,6.381139,6.416503,3487414,4.421555
"2010-04-16",6.416503,6.467583,6.385069,6.412574,8565707,4.418848
"2010-04-19",6.392927,6.447937,6.357564,6.440079,9150548,4.437801
"2010-04-20",6.475442,6.506876,6.436149,6.467583,6558211,4.456753
"2010-04-21",6.467583,6.499018,6.440079,6.447937,6986534,4.443216
"2010-04-22",6.416503,6.463654,6.369352,6.447937,5082874,4.443216
"2010-04-23",6.436149,6.565815,6.424361,6.565815,5356716,4.524445
"2010-04-26",6.577603,6.601179,6.518664,6.522593,4751770,4.49466
"2010-04-27",6.502947,6.522593,6.37721,6.392927,6915783,4.405309
"2010-04-28",6.330059,6.396857,6.282908,6.353635,8103026,4.441013
"2010-04-29",6.373281,6.495088,6.361493,6.420432,8164106,4.487703
"2010-04-30",6.404715,6.522593,6.404715,6.404715,6976354,4.476716
"2010-05-03",6.424361,6.569745,6.404715,6.550098,7318402,4.578335
"2010-05-04",6.467583,6.573674,6.447937,6.522593,8206098,4.559109
"2010-05-05",6.475442,6.534381,6.330059,6.365422,10842464,4.449251
"2010-05-06",6.333988,6.349705,5.681729,6.121807,14820808,4.278971
"2010-05-07",6.133595,6.196464,5.960707,6.035363,13994446,4.21855
"2010-05-10",6.239686,6.333988,6.149312,6.223969,10968950,4.35038
"2010-05-11",6.176817,6.337917,6.133595,6.243615,8673360,4.364113
"2010-05-12",6.239686,6.361493,6.208251,6.330059,5675859,4.424534
