"dates","NKE.Open","NKE.High","NKE.Low","NKE.Close","NKE.Volume","NKE.Adjusted"
"2010-01-04",16.514999,16.5175,16.280001,16.3375,11972400,14.217164
"2010-01-05",16.285,16.4475,16.174999,16.4025,6275200,14.273727
"2010-01-06",16.35,16.422501,16.235001,16.3025,13399200,14.186704
"2010-01-07",16.280001,16.5,16.262501,16.4625,7187600,14.325938
"2010-01-08",16.4475,16.4625,16.235001,16.43,7249600,14.29766
"2010-01-11",16.48,16.4825,16.1625,16.227501,10678000,14.121439
"2010-01-12",16.15,16.275,16.07,16.205,11485600,14.101858
"2010-01-13",16.2775,16.4175,16.195,16.35,5648800,14.228041
"2010-01-14",16.372499,16.4575,16.1875,16.247499,7311600,14.138839
"2010-01-15",16.195,16.252501,15.9875,16.0975,11293200,14.008311
"2010-01-19",16.049999,16.200001,15.99,16.1775,7453200,14.077924
"2010-01-20",16.0525,16.102501,15.8925,16.045,8008400,13.962623
"2010-01-21",16.077499,16.084999,15.7575,15.91,13983200,13.845145
"2010-01-22",15.8775,16.059999,15.7375,15.745,13320000,13.701563
"2010-01-25",15.8425,16.01,15.8275,15.9175,10749600,13.851674
"2010-01-26",15.8325,16.0275,15.7625,15.935,6711200,13.866901
"2010-01-27",15.9175,16.0425,15.8125,16,13560400,13.923463
"2010-01-28",16.0625,16.25,15.8425,15.88,7158000,13.819041
"2010-01-29",15.91,16.1625,15.8875,15.9375,10402400,13.869078
"2010-02-01",15.9925,16.112499,15.8775,16.025,6407600,13.945218
"2010-02-02",16.0725,16.0725,15.9025,15.9825,9539200,13.908236
"2010-02-03",15.9225,16.025,15.83,16,7889200,13.923463
"2010-02-04",15.8825,15.9375,15.5125,15.5225,17924800,13.507936
"2010-02-05",15.505,15.5575,15.2225,15.425,13110800,13.423092
"2010-02-08",15.405,15.53,15.3075,15.325,8177200,13.336067
"2010-02-09",15.445,15.775,15.4175,15.6275,9438000,13.59931
"2010-02-10",15.6275,15.7375,15.5625,15.66,7698400,13.627593
"2010-02-11",15.6075,15.7925,15.53,15.7375,7010000,13.695036
"2010-02-12",15.63,15.6375,15.43,15.6225,11152000,13.59496
"2010-02-16",15.705,15.9125,15.5825,15.9125,9628000,13.847322
"2010-02-17",15.9675,16.172501,15.905,16.120001,10640400,14.027893
"2010-02-18",16.122499,16.147499,15.9775,16.110001,6468000,14.019189
"2010-02-19",16.035,16.15,16.002501,16.0875,9498000,13.999605
"2010-02-22",16.1425,16.192499,16.0075,16.077499,6864800,13.990908
"2010-02-23",16.075001,16.137501,15.9025,16.032499,7738800,13.951748
"2010-02-24",16,16.254999,16,16.2325,11618000,14.125793
"2010-02-25",16.252501,16.57,16.002501,16.540001,15967600,14.393381
"2010-02-26",16.557501,16.9625,16.557501,16.9,19633200,14.706656
"2010-03-01",16.977501,17.1775,16.9025,17.059999,10674000,14.845893
"2010-03-02",17.014999,17.0825,16.92,17.0075,9844800,14.800207
"2010-03-03",16.924999,16.9925,16.815001,16.91,8670400,14.715358
"2010-03-04",17.004999,17.014999,16.860001,16.907499,6306400,14.772149
"2010-03-05",16.9575,17.127501,16.9575,17.08,7460000,14.922871
"2010-03-08",16.9925,17.24,16.9925,17.205,7084000,15.032079
"2010-03-09",17.190001,17.295,17.1325,17.2325,6042400,15.056108
"2010-03-10",17.227501,17.3125,17.102501,17.280001,5592800,15.09761
"2010-03-11",17.275,17.4625,17.1775,17.4375,6960000,15.23522
"2010-03-12",17.355,17.497499,17.352501,17.475,7208400,15.267985
"2010-03-15",17.4375,17.682501,17.43,17.5975,9514000,15.375011
"2010-03-16",17.5825,17.762501,17.525,17.594999,10107200,15.372821
"2010-03-17",17.5975,17.8325,17.57,17.719999,14751600,15.482038
"2010-03-18",18.3375,18.8375,18.325001,18.665001,43696000,16.307692
"2010-03-19",18.565001,18.58,18.280001,18.379999,18789600,16.058683
"2010-03-22",18.2225,18.540001,18.205,18.469999,11696000,16.137316
"2010-03-23",18.6,18.647499,18.4925,18.622499,8986000,16.270548
"2010-03-24",18.5875,18.5975,18.252501,18.344999,11069200,16.028103
"2010-03-25",18.5425,18.695,18.3825,18.3925,11321600,16.069597
"2010-03-26",18.450001,18.6875,18.342501,18.4725,8661600,16.139503
"2010-03-29",18.540001,18.5825,18.395,18.4925,6522400,16.156977
"2010-03-30",18.502501,18.6,18.387501,18.452499,6461200,16.122021
"2010-03-31",18.372499,18.525,18.32,18.375,7916000,16.054312
"2010-04-01",18.49,18.5975,18.4375,18.502501,8376400,16.16571
"2010-04-05",18.547501,18.705,18.405001,18.5275,7081600,16.187553
"2010-04-06",18.385,18.5375,18.375,18.477501,8428000,16.143864
"2010-04-07",18.4925,18.547501,18.325001,18.397499,8851200,16.073969
"2010-04-08",18.365,18.57,18.264999,18.497499,10410400,16.161337
"2010-04-09",18.545,18.82,18.4125,18.795,12502000,16.421268
"2010-04-12",18.8225,18.987499,18.799999,18.8825,8867200,16.497717
"2010-04-13",18.8575,18.9825,18.6875,18.877501,7025200,16.493355
"2010-04-14",18.9025,18.965,18.75,18.950001,6804400,16.55669
"2010-04-15",18.8925,18.955,18.7425,18.91,7014400,16.521748
"2010-04-16",18.897499,19,18.745001,18.7925,13739200,16.419085
"2010-04-19",18.737499,18.950001,18.5625,18.895,8790400,16.508642
"2010-04-20",19.004999,19.145,18.975,19.09,9584400,16.679018
"2010-04-21",19.1,19.285,19.0425,19.18,10800800,16.757648
"2010-04-22",19.0725,19.6325,19.0525,19.557501,13848800,17.087471
"2010-04-23",19.455,19.610001,19.325001,19.475,10151200,17.015388
"2010-04-26",19.477501,19.6175,19.445,19.504999,6050400,17.041597
"2010-04-27",19.4175,19.622499,19.1525,19.184999,11016800,16.762011
"2010-04-28",19.235001,19.5075,19.035,19.110001,10812000,16.696491
"2010-04-29",19.275,19.422501,19.18,19.3925,9083600,16.94331
"2010-04-30",19.362499,19.469999,18.9725,18.977501,9869600,16.580723
"2010-05-03",19.002501,19.5975,18.977501,19.442499,8428400,16.98699
"2010-05-04",19.504999,19.637501,19.275,19.3375,14530400,16.895248
"2010-05-05",19.217501,19.325001,18.674999,18.8025,17310400,16.427824
"2010-05-06",18.637501,18.997499,16.747499,18.075001,26330000,15.792206
"2010-05-07",17.8375,18.110001,17.445,17.6525,21502400,15.423058
"2010-05-10",18.4725,19.192499,18.434999,19.1625,26477600,16.742357
"2010-05-11",18.950001,19.2675,18.940001,19.1075,13755200,16.694302
"2010-05-12",19.1775,19.495001,19.002501,19.4625,9956000,17.004471
"2010-05-13",19.4125,19.497499,18.8375,18.887501,20976800,16.502089
"2010-05-14",18.657499,18.75,18.295,18.434999,19014000,16.106741
"2010-05-17",18.432501,18.4625,18.0075,18.407499,16944400,16.082705
"2010-05-18",18.540001,18.752501,18.174999,18.2325,18855600,15.929811
