"dates","NLOK.Open","NLOK.High","NLOK.Low","NLOK.Close","NLOK.Volume","NLOK.Adjusted"
"2010-01-04",18.040001,18.530001,18.01,18.4,8322300,7.293435
"2010-01-05",18.4,18.440001,18.139999,18.299999,6621200,7.253799
"2010-01-06",18.219999,18.459999,18.139999,18.360001,6043600,7.277584
"2010-01-07",18.469999,18.469999,18.129999,18.32,8085300,7.261724
"2010-01-08",18.25,18.5,18.209999,18.370001,6030900,7.281545
"2010-01-11",18.459999,18.5,18.23,18.360001,6345500,7.277584
"2010-01-12",18.33,18.620001,18.25,18.469999,12956400,7.321184
"2010-01-13",18.74,18.860001,18.530001,18.690001,9715100,7.408386
"2010-01-14",18.790001,18.889999,18.610001,18.780001,7193900,7.444062
"2010-01-15",18.99,19.139999,18.57,18.85,17047700,7.471807
"2010-01-19",18.790001,19.16,18.790001,19.139999,10053200,7.586758
"2010-01-20",19.08,19.08,18.360001,18.709999,14625800,7.416313
"2010-01-21",18.9,19.040001,18.49,18.629999,17268700,7.384603
"2010-01-22",18.629999,18.84,18.280001,18.290001,14710000,7.249834
"2010-01-25",18.360001,18.629999,18.24,18.469999,11209500,7.321184
"2010-01-26",18.299999,18.629999,18.280001,18.459999,10200100,7.317218
"2010-01-27",18.389999,18.66,18.23,18.610001,14282600,7.376676
"2010-01-28",18.040001,18.1,17.15,17.41,35318900,6.901017
"2010-01-29",17.51,17.559999,16.9,16.950001,16538800,6.718681
"2010-02-01",17.110001,17.370001,16.99,17.33,13670000,6.869307
"2010-02-02",17.309999,17.43,17.09,17.33,12981800,6.869307
"2010-02-03",17.18,17.389999,17.139999,17.26,11434600,6.841559
"2010-02-04",17.15,17.190001,16.85,16.93,13881000,6.710752
"2010-02-05",16.870001,17.200001,16.83,17.139999,13726800,6.793994
"2010-02-08",16.950001,17.129999,16.870001,17.01,9241900,6.742465
"2010-02-09",17.209999,17.209999,16.85,17.059999,13685300,6.762282
"2010-02-10",17,17.15,16.879999,17.09,7281100,6.774175
"2010-02-11",17.07,17.4,16.92,17.23,11169000,6.829668
"2010-02-12",16.77,16.860001,16.6,16.83,17203300,6.671116
"2010-02-16",16.6,17.120001,16.58,17.09,7827800,6.774175
"2010-02-17",17.07,17.200001,16.83,16.940001,9752400,6.714718
"2010-02-18",17.120001,17.139999,16.799999,17.120001,7889500,6.786065
"2010-02-19",16.92,17.25,16.92,17.17,6340600,6.805887
"2010-02-22",17.27,17.27,16.82,16.879999,18500900,6.690934
"2010-02-23",16.940001,16.940001,16.610001,16.639999,15557100,6.595803
"2010-02-24",16.75,16.870001,16.450001,16.52,23826800,6.548236
"2010-02-25",16.309999,16.59,16.129999,16.540001,20631600,6.556165
"2010-02-26",16.6,16.66,16.34,16.549999,14737700,6.560127
"2010-03-01",16.549999,16.76,16.48,16.68,13100000,6.611659
"2010-03-02",16.799999,16.85,16.559999,16.57,12286600,6.568056
"2010-03-03",16.58,16.790001,16.58,16.66,9501100,6.60373
"2010-03-04",16.860001,16.860001,16.51,16.73,9526600,6.631478
"2010-03-05",16.889999,17,16.77,16.969999,10332000,6.72661
"2010-03-08",16.92,16.99,16.82,16.9,6986300,6.698862
"2010-03-09",16.92,17.299999,16.76,17.200001,11990700,6.817776
"2010-03-10",17.049999,17.49,17,17.450001,16531800,6.916872
"2010-03-11",17.360001,17.450001,17.24,17.379999,8798300,6.889123
"2010-03-12",17.370001,17.52,17.27,17.469999,7423300,6.9248
"2010-03-15",17.48,17.5,17.200001,17.379999,6733700,6.889123
"2010-03-16",17.370001,17.48,17.17,17.280001,8323100,6.849489
"2010-03-17",17.34,17.34,17.02,17.120001,14225800,6.786065
"2010-03-18",17.16,17.5,17.120001,17.459999,18478900,6.920834
"2010-03-19",17.43,17.57,17.110001,17.190001,34974800,6.813813
"2010-03-22",17.15,17.25,17.1,17.17,20268400,6.805887
"2010-03-23",17.15,17.17,16.92,17.049999,14694800,6.758317
"2010-03-24",16.99,17.049999,16.83,16.969999,23934400,6.72661
"2010-03-25",17.24,17.24,16.91,17.030001,16333300,6.750393
"2010-03-26",17.1,17.1,16.76,16.84,10019800,6.67508
"2010-03-29",16.889999,16.99,16.84,16.950001,9323000,6.718681
