"dates","NRG.Open","NRG.High","NRG.Low","NRG.Close","NRG.Volume","NRG.Adjusted"
"2010-01-04",23.780001,24.129999,23.700001,23.870001,1683700,20.531914
"2010-01-05",23.959999,24.280001,23.809999,24.24,3473400,20.850166
"2010-01-06",24.25,24.790001,24.110001,24.77,2719300,21.306055
"2010-01-07",24.790001,25.24,24.73,24.91,3200800,21.426474
"2010-01-08",24.809999,25.01,24.48,24.5,1694600,21.073816
"2010-01-11",24.690001,25,24.690001,24.73,2128700,21.271639
"2010-01-12",24.6,24.6,24,24.040001,3446100,20.678144
"2010-01-13",24.129999,24.35,24.09,24.299999,2704100,20.901779
"2010-01-14",24.25,24.34,24,24.049999,2016600,20.686741
"2010-01-15",24.620001,25.129999,24.309999,24.4,4573900,20.987795
"2010-01-19",24.299999,25.15,24.299999,25.15,3141600,21.632915
"2010-01-20",25.040001,25.049999,24.5,24.67,3770000,21.220039
"2010-01-21",24.629999,24.84,23.99,24,4069800,20.643732
"2010-01-22",25.15,25.540001,24.59,24.73,16160300,21.271639
"2010-01-25",24.91,25.09,24.799999,24.940001,5075600,21.45228
"2010-01-26",24.93,25.040001,24.73,24.92,3794800,21.43508
"2010-01-27",25.219999,25.700001,24.639999,24.99,11804700,21.495291
"2010-01-28",25.110001,25.25,24.51,24.719999,52002800,21.263048
"2010-01-29",24.540001,24.690001,24.049999,24.110001,8070400,20.73835
"2010-02-01",24.15,24.23,23.559999,23.9,6514500,20.557716
"2010-02-02",23.889999,23.889999,23.389999,23.559999,6373100,20.265263
"2010-02-03",23.42,23.549999,23.049999,23.110001,3993600,19.878195
"2010-02-04",23,23,22.049999,22.1,5576400,19.009439
"2010-02-05",22.09,22.129999,21.379999,21.709999,5825600,18.673977
"2010-02-08",21.82,22.01,21.559999,21.59,3785300,18.570761
"2010-02-09",21.860001,22.27,21.74,21.889999,4363100,18.828806
"2010-02-10",21.9,21.91,21.34,21.66,3560600,18.630964
"2010-02-11",21.950001,22.280001,21.68,22.219999,4536200,19.112658
"2010-02-12",22.049999,22.07,21.65,22.059999,4044000,18.975033
"2010-02-16",22.129999,22.49,22.1,22.49,2689900,19.344898
"2010-02-17",22.549999,22.76,22.41,22.59,3466400,19.430914
"2010-02-18",22.41,22.65,22.280001,22.57,4348400,19.413713
"2010-02-19",22.59,23.450001,22.440001,23.200001,5192300,19.955612
"2010-02-22",23.42,23.52,23.049999,23.07,3992000,19.84379
"2010-02-23",22.5,22.879999,22.200001,22.26,5158300,19.147064
"2010-02-24",22.33,22.5,21.57,21.860001,5536400,18.803005
"2010-02-25",21.42,22.129999,21.360001,22.07,5194900,18.983631
"2010-02-26",22.110001,22.24,21.6,21.84,5076400,18.785797
"2010-03-01",21.889999,22.66,21.879999,22.58,4454300,19.42231
"2010-03-02",22.66,22.969999,22.639999,22.67,5342400,19.499727
"2010-03-03",22.74,22.98,22.48,22.5,4167100,19.353497
"2010-03-04",22.41,22.43,22,22.299999,5632700,19.181469
"2010-03-05",22.34,23.02,22.34,22.82,4665700,19.628744
"2010-03-08",22.799999,23.030001,22.700001,22.9,1857500,19.697561
"2010-03-09",22.83,22.98,22.719999,22.75,2425900,19.568544
"2010-03-10",22.700001,22.83,22.559999,22.639999,2847600,19.473923
"2010-03-11",22.559999,22.940001,22.52,22.940001,2830900,19.731966
"2010-03-12",22.73,22.879999,22.07,22.190001,5232100,19.086855
"2010-03-15",22.16,22.35,22.02,22.27,2323500,19.15567
"2010-03-16",22.309999,22.52,22.129999,22.5,2155700,19.353497
"2010-03-17",22.5,22.639999,22.379999,22.469999,2610400,19.327692
"2010-03-18",22.59,22.6,21.959999,22.02,5028000,18.940628
"2010-03-19",22.059999,22.35,21.799999,22.059999,5196100,18.975033
"2010-03-22",21.98,22.030001,21.59,21.620001,3602500,18.596565
"2010-03-23",21.610001,21.719999,21.51,21.58,5733800,18.562155
"2010-03-24",21.34,21.57,21.030001,21.17,5763500,18.209494
"2010-03-25",20.93,21.049999,20.280001,20.32,5807500,17.478357
"2010-03-26",20.280001,20.58,20.200001,20.25,4812200,17.418148
"2010-03-29",20.34,20.629999,20.299999,20.6,4323100,17.719208
"2010-03-30",20.700001,21.17,20.58,21.09,4447200,18.140678
"2010-03-31",21.02,21.120001,20.85,20.9,3365700,17.977255
"2010-04-01",21.08,21.6,21.059999,21.459999,3671500,18.458935
"2010-04-05",21.549999,21.809999,21.459999,21.65,4275700,18.622366
"2010-04-06",21.620001,21.74,21.4,21.639999,3130600,18.61376
"2010-04-07",21.5,21.620001,21.389999,21.450001,4468000,18.450335
"2010-04-08",21.370001,21.76,21.17,21.66,3457600,18.630964
"2010-04-09",21.51,21.84,21.290001,21.799999,3709900,18.75139
"2010-04-12",21.950001,22.629999,21.950001,22.41,4397600,19.276087
"2010-04-13",22.49,22.610001,22.02,22.549999,3212500,19.396509
"2010-04-14",22.530001,22.540001,22.299999,22.49,2744100,19.344898
"2010-04-15",22.5,22.76,22.26,22.700001,2654300,19.52553
"2010-04-16",22.620001,22.690001,21.83,21.85,4905000,18.794395
"2010-04-19",21.83,22.110001,21.74,22.059999,3068800,18.975033
"2010-04-20",22.190001,22.57,22.049999,22.52,3791200,19.370699
"2010-04-21",22.49,22.549999,22.190001,22.34,3873500,19.215874
"2010-04-22",22.17,22.450001,21.93,22.41,3013600,19.276087
"2010-04-23",22.48,22.83,22.219999,22.77,2549700,19.585743
"2010-04-26",22.959999,23.440001,22.870001,23.32,3625700,20.058826
"2010-04-27",23.129999,23.93,23.049999,23.58,5623700,20.282467
"2010-04-28",23.639999,23.67,23.25,23.559999,3160700,20.265263
"2010-04-29",23.67,23.940001,23.549999,23.790001,2839600,20.4631
"2010-04-30",23.860001,24.74,23.799999,24.17,4368600,20.789955
"2010-05-03",24.34,25.190001,24.08,25.17,4493800,21.650116
"2010-05-04",24.83,25,24.120001,24.27,4764000,20.875975
"2010-05-05",23.940001,24.17,23.4,23.690001,3849500,20.377087
"2010-05-06",23.59,23.59,21.799999,22.76,7584900,19.577141
"2010-05-07",22.75,23.35,22.1,22.639999,6342400,19.473923
"2010-05-10",23.629999,23.91,21.85,22.07,9064300,18.983631
"2010-05-11",21.790001,22.52,21.74,21.969999,3958600,18.897619
"2010-05-12",21.99,23.4,21.99,23.379999,4579700,20.110435
"2010-05-13",23.299999,24.049999,23.139999,23.42,3741800,20.144842
"2010-05-14",23.219999,23.25,22.4,22.709999,4148800,19.53413
"2010-05-17",22.74,23,22.209999,22.700001,3261600,19.52553
"2010-05-18",22.620001,23.15,22.370001,22.6,4485900,19.43952
"2010-05-19",22.389999,22.68,22.030001,22.49,4047300,19.344898
"2010-05-20",21.940001,21.940001,21.459999,21.51,5259800,18.501945
"2010-05-21",21.25,21.940001,21,21.799999,5556900,18.75139
"2010-05-24",21.610001,22.059999,21.5,21.6,2288500,18.579361
"2010-05-25",20.98,21.719999,20.49,21.690001,4464600,18.656773
"2010-05-26",21.9,22.52,21.67,22.110001,5666300,19.018042
"2010-05-27",22.559999,23.030001,22.450001,23.02,3385900,19.800783
"2010-05-28",23.040001,23.629999,23.030001,23.35,2945600,20.084629
"2010-06-01",23.059999,23.120001,22.18,22.18,3578200,19.078247
"2010-06-02",22.219999,22.83,22.15,22.809999,2796300,19.620146
"2010-06-03",22.91,23.5,22.74,23.42,5539100,20.144842
"2010-06-04",23,23.09,22.459999,22.51,5694000,19.362101
"2010-06-07",22.799999,23.1,22.48,22.52,3004200,19.370699
"2010-06-08",22.6,22.67,22.030001,22.530001,3377500,19.379303
"2010-06-09",22.66,23.440001,22.549999,22.629999,6032400,19.465319
"2010-06-10",23.299999,23.620001,23.049999,23.42,3944500,20.144842
"2010-06-11",23.23,23.450001,22.559999,22.940001,3091700,19.731966
"2010-06-14",23.17,23.51,22.889999,22.92,2519800,19.714762
"2010-06-15",23.1,23.58,23.08,23.57,2760900,20.273869
"2010-06-16",23.32,23.719999,23.17,23.34,3349800,20.076036
"2010-06-17",23.27,23.42,23.030001,23.280001,2168800,20.024427
"2010-06-18",23.24,23.76,23.24,23.639999,3833100,20.334078
"2010-06-21",23.92,24.440001,23.42,23.6,2503500,20.299667
"2010-06-22",23.41,23.469999,22.27,22.4,4460300,19.267487
"2010-06-23",22.4,22.530001,22.01,22.209999,2362400,19.104053
"2010-06-24",22.110001,22.58,21.719999,21.780001,1940200,18.734192
"2010-06-25",21.790001,21.98,21.52,21.85,3231100,18.794395
"2010-06-28",21.790001,22.110001,21.629999,21.99,2152000,18.91482
"2010-06-29",21.75,21.75,21.110001,21.26,3362000,18.286907
"2010-06-30",21.15,21.790001,21.059999,21.209999,4215400,18.243895
"2010-07-01",21.24,21.360001,21.040001,21.190001,3249300,18.226702
"2010-07-02",21.290001,21.51,21,21,2878100,18.063269
"2010-07-06",21.360001,21.73,21.16,21.370001,2929700,18.381525
"2010-07-07",21.43,22.17,21.389999,22.110001,3234600,19.018042
"2010-07-08",22.4,22.440001,22.02,22.33,2763700,19.20727
"2010-07-09",22.360001,22.629999,22.190001,22.629999,1519500,19.465319
"2010-07-12",22.59,23,22.459999,23,1780000,19.783581
"2010-07-13",23.200001,23.33,22.57,22.9,2621500,19.697561
"2010-07-14",22.879999,23,22.370001,22.809999,1273200,19.620146
"2010-07-15",22.74,22.950001,22.49,22.870001,1931900,19.671751
"2010-07-16",22.76,22.82,22.200001,22.25,1577800,19.138464
"2010-07-19",22.299999,22.6,22.01,22.459999,1677900,19.319094
"2010-07-20",22.200001,22.58,21.93,22.540001,1904400,19.387907
"2010-07-21",22.530001,22.66,21.889999,22.040001,2215600,18.957834
