"dates","OXY.Open","OXY.High","OXY.Low","OXY.Close","OXY.Volume","OXY.Adjusted"
"2010-01-04",79.193359,80.007706,78.752647,79.614906,3630352,53.766323
"2010-01-05",79.691551,79.739449,78.589775,79.04007,3515432,53.378109
"2010-01-06",78.94426,80.352608,78.398163,79.988548,5578661,54.018658
"2010-01-07",79.471191,80.122681,78.91552,79.394547,4300559,53.617496
"2010-01-08",79.059227,80.266388,78.110748,80.2089,4336465,54.167465
"2010-01-11",80.620872,81.272346,78.848457,79.480774,4079384,53.675743
"2010-01-12",78.369423,78.723907,76.558685,76.798203,7071676,51.864128
"2010-01-13",76.970657,77.315559,75.303627,76.290428,7685520,51.52121
"2010-01-14",75.830559,77.056877,75.801819,76.88443,4717547,51.92234
"2010-01-15",76.683235,76.903587,75.06411,75.610207,8252916,51.061813
"2010-01-19",75.351532,76.098816,74.968307,76.031754,5700052,51.346512
"2010-01-20",75.303627,75.303627,73.588699,74.929985,6289785,50.602467
"2010-01-21",74.872498,75.2174,72.707283,72.82225,7607341,49.179024
"2010-01-22",73.377922,74.88208,72.544411,72.908478,10140686,49.23727
"2010-01-25",73.799469,75.236565,73.579117,74.393471,6724621,50.240124
"2010-01-26",73.013863,74.70005,73.013863,73.444984,9110167,49.599594
"2010-01-27",73.483315,73.962341,72.228249,73.224632,5282229,49.450779
"2010-01-28",74.211441,75.514404,71.260605,74.249763,11850806,50.143078
"2010-01-29",74.862923,76.472466,74.489273,75.054535,11222245,50.686565
"2010-02-01",75.773079,76.568268,75.638947,76.48204,6349280,51.65062
"2010-02-02",76.750298,77.535912,75.888046,77.392204,5384519,52.265266
"2010-02-03",77.277237,77.727524,76.300011,76.769463,3686611,51.844704
"2010-02-04",76.098816,76.098816,73.100082,73.234215,7981430,49.457245
"2010-02-05",73.176727,73.924019,71.15522,73.492889,10682927,49.631927
"2010-02-08",73.550377,75.28447,72.831825,73.100082,6923878,49.366661
"2010-02-09",74.153954,75.591049,73.272537,74.642563,8421798,50.40834
"2010-02-10",75.121597,75.610207,73.866539,75.102432,6153885,50.718903
"2010-02-11",75.169502,77.143105,74.489273,77.085625,6484240,52.058216
"2010-02-12",75.888046,76.54911,75.00663,76.4533,6458667,51.631184
"2010-02-16",77.602974,78.043686,76.529945,77.775429,6079777,52.524063
"2010-02-17",77.775429,78.024521,76.510788,77.545494,4957302,52.368782
"2010-02-18",77.238914,77.775429,76.443718,77.593391,4299202,52.401131
"2010-02-19",77.382622,78.561035,77.200592,78.091583,4047653,52.737587
"2010-02-22",78.561035,78.676003,76.491623,76.654495,5543173,51.767063
"2010-02-23",76.740723,77.047302,75.581467,75.696434,7660365,51.120052
"2010-02-24",76.424561,76.597008,75.466499,76.213783,3818857,51.46944
"2010-02-25",74.719208,75.859306,73.809052,75.715591,5354876,51.133007
"2010-02-26",76.194626,76.740723,75.370689,76.501205,4590520,51.663559
"2010-03-01",76.894012,77.717941,76.779045,77.363457,4347320,52.245857
"2010-03-02",77.823326,78.42691,77.507172,77.794586,4214970,52.536999
"2010-03-03",78.110748,78.628098,77.449684,77.631714,7052784,52.42701
"2010-03-04",77.526329,78.417328,77.440102,77.842491,4530294,52.569355
"2010-03-05",78.522713,78.79097,77.919136,78.503555,4004232,53.015781
"2010-03-08",78.340683,78.63768,77.631714,78.072426,3621375,52.937817
"2010-03-09",77.507172,78.91552,77.411362,78.072426,6393849,52.937817
"2010-03-10",77.928719,78.781387,77.593391,78.532295,4511297,53.249664
"2010-03-11",78.225716,78.992165,78.024521,78.42691,4073017,53.178192
"2010-03-12",78.925102,79.030487,78.014938,78.407745,4116751,53.165199
"2010-03-15",78.043686,78.216133,76.807785,77.660461,3329954,52.658508
"2010-03-16",78.158653,78.992165,77.535912,78.91552,5761322,53.509502
"2010-03-17",79.183777,80.228065,79.059227,79.720291,7288781,54.05518
"2010-03-18",79.404129,79.796936,78.110748,79.049644,4751783,53.600441
"2010-03-19",79.116714,79.701134,78.407745,79.116714,7077939,53.645908
"2010-03-22",78.120331,79.365807,77.852074,79.107132,3924279,53.639427
"2010-03-23",79.107132,79.959808,78.503555,79.825676,7832170,54.126652
"2010-03-24",79.394547,80.046036,78.905937,79.471191,5380553,53.886295
"2010-03-25",80.228065,80.429253,77.995781,78.091583,7057689,52.950836
"2010-03-26",78.48439,78.618523,77.737106,78.302361,8429000,53.09375
"2010-03-29",78.79097,80.91787,78.503555,80.61129,8497054,54.659317
"2010-03-30",81.147804,81.253189,80.477158,80.735832,5316361,54.743759
"2010-03-31",80.82206,81.483124,80.371773,80.994514,5715291,54.919201
"2010-04-01",81.674736,83.322601,81.674736,82.968117,5674271,56.25742
"2010-04-05",83.360924,85.018372,83.169312,84.702209,4804598,57.433231
"2010-04-06",84.386047,85.075851,84.194435,84.778854,4484368,57.485191
"2010-04-07",84.357307,84.386047,82.39328,82.680702,8814153,56.062527
"2010-04-08",82.172928,83.140572,81.147804,82.948959,5892107,56.244427
"2010-04-09",82.977699,83.427986,82.000481,82.929794,4725376,56.23143
"2010-04-12",83.073509,83.360924,82.690285,83.150154,5168667,56.380821
"2010-04-13",82.719025,83.025604,81.186127,82.096283,4652311,55.666245
"2010-04-14",82.556152,82.575317,81.435219,82.54657,5141633,55.971561
"2010-04-15",82.431602,83.284279,81.732224,82.843575,5035481,56.172974
"2010-04-16",82.192085,82.968117,81.042419,81.492706,7133781,55.256996
"2010-04-19",80.630447,81.262772,79.902321,81.138222,4885699,55.016624
"2010-04-20",82.000481,83.878281,81.808868,82.958534,5043831,56.250919
