"dates","PEAK.Open","PEAK.High","PEAK.Low","PEAK.Close","PEAK.Volume","PEAK.Adjusted"
"2010-01-04",28.260473,28.333332,27.340618,27.386156,4278686,15.211956
"2010-01-05",27.47723,27.604736,26.885246,27.313297,4180635,15.171485
"2010-01-06",27.185793,27.540983,27.049179,27.149363,2963722,15.080431
"2010-01-07",27.167578,27.622952,26.885246,27.52277,3924801,15.287843
"2010-01-08",27.449909,27.750456,27.413479,27.704918,3059797,15.389017
"2010-01-11",27.832422,28.096539,27.723133,28.014572,2572614,15.561019
"2010-01-12",27.795994,28.005465,27.340618,27.540983,3143464,15.297956
"2010-01-13",27.595629,27.850637,27.413479,27.750456,4628729,15.414313
"2010-01-14",27.622952,27.750456,27.349728,27.668488,2974262,15.368785
"2010-01-15",27.613844,27.750456,27.459017,27.641167,3852662,15.353605
"2010-01-19",27.595629,28.542805,27.586521,28.497269,4474899,15.829139
"2010-01-20",28.333332,28.333332,27.714025,27.978142,3440583,15.540784
"2010-01-21",28.02368,28.142076,27.094719,27.149363,4652775,15.080431
"2010-01-22",27.103825,27.495445,26.630238,26.730419,4995571,14.847722
"2010-01-25",27.058289,27.058289,26.347904,26.739527,3107560,14.852779
"2010-01-26",26.530054,26.548269,25.874317,25.938068,4624886,14.4076
"2010-01-27",25.947178,26.174864,25.491802,26.156649,5059255,14.52901
"2010-01-28",26.420765,26.420765,25.746813,26.020037,4295156,14.453129
"2010-01-29",26.138433,26.302368,25.646629,25.819672,5562578,14.341832
"2010-02-01",25.956284,26.511841,25.938068,26.347904,3151040,14.635245
"2010-02-02",26.384335,27.040073,26.120218,26.958105,4240696,14.974184
"2010-02-03",26.867031,26.903461,26.40255,26.621128,2955267,14.787014
"2010-02-04",26.448088,26.457195,25.273224,25.291439,8205903,14.048422
"2010-02-05",25.428051,25.71949,24.826958,25.528233,7692698,14.179951
"2010-02-08",25.591986,25.664845,24.754099,24.845173,4526176,13.800542
"2010-02-09",24.64481,24.85428,24.31694,24.64481,4926287,13.926627
"2010-02-10",24.590164,25.3643,24.435337,25.118397,4662328,14.19425
"2010-02-11",25.045538,25.601093,24.881603,25.53734,3974321,14.430992
"2010-02-12",25.063751,25.273224,24.781422,25.081966,5211218,14.173664
"2010-02-16",25.491802,26.420765,25.336975,26.357014,4711518,14.894182
"2010-02-17",26.502731,26.857924,26.47541,26.684881,3515686,15.07946
"2010-02-18",26.566484,27.267759,26.448088,27.103825,3599464,15.316204
