"dates","PEG.Open","PEG.High","PEG.Low","PEG.Close","PEG.Volume","PEG.Adjusted"
"2010-01-04",33.139999,33.639999,32.889999,33.630001,5130400,21.625719
"2010-01-05",33.650002,33.75,33.43,33.599998,6568700,21.606428
"2010-01-06",33.630001,33.740002,33.169998,33.419998,2972700,21.490677
"2010-01-07",33.290001,33.389999,32.880001,32.970001,1923800,21.201305
"2010-01-08",32.790001,33.009998,32.619999,32.880001,1764000,21.143429
"2010-01-11",32.849998,33.049999,32.610001,33.040001,3397600,21.246321
"2010-01-12",32.48,33.150002,32.349998,32.830002,4012200,21.111282
"2010-01-13",32.880001,33.259998,32.599998,33.049999,2749100,21.252745
"2010-01-14",32.900002,32.98,32.650002,32.82,2590000,21.104851
"2010-01-15",32.669998,32.889999,32.169998,32.619999,3169700,20.976236
"2010-01-19",32.560001,32.939999,32.419998,32.919998,2185300,21.169151
"2010-01-20",32.709999,32.709999,31.85,32.23,3719400,20.725451
"2010-01-21",32.25,32.599998,31.52,31.75,3204500,20.416786
"2010-01-22",31.68,31.809999,31.18,31.24,3298800,20.088829
"2010-01-25",31.280001,31.620001,31.129999,31.440001,2074900,20.21744
"2010-01-26",31.41,31.51,31.02,31.290001,2382500,20.120987
"2010-01-27",31.209999,31.209999,30.389999,30.860001,2649300,19.844481
"2010-01-28",30.91,30.93,30.32,30.57,2994500,19.657986
"2010-01-29",30.83,30.98,30.51,30.59,3138100,19.670849
"2010-02-01",30.73,30.82,30.459999,30.629999,2192100,19.696579
"2010-02-02",30.65,30.950001,30.4,30.889999,2553900,19.863764
"2010-02-03",30.700001,30.870001,30.440001,30.549999,1914100,19.645128
"2010-02-04",30.32,30.4,29.6,29.639999,2337500,19.059954
"2010-02-05",29.610001,29.74,29.01,29.52,3041800,18.982784
"2010-02-08",29.49,30.030001,29.370001,29.48,2157200,18.957066
"2010-02-09",29.74,30.23,29.6,29.889999,3132400,19.220711
"2010-02-10",29.85,30.049999,29.389999,29.93,3503200,19.246433
"2010-02-11",29.9,30.610001,29.58,30.530001,5261500,19.632267
"2010-02-12",30.280001,30.35,29.9,30.17,4165100,19.400774
"2010-02-16",30.42,30.84,30.41,30.76,3017500,19.780172
"2010-02-17",30.92,31.120001,30.549999,30.74,2219700,19.767309
"2010-02-18",30.66,31.07,30.530001,30.85,3440400,19.838045
"2010-02-19",30.700001,31.200001,30.48,31.18,2822900,20.050249
"2010-02-22",31.370001,31.370001,30.5,30.57,2305800,19.657986
"2010-02-23",30.459999,30.57,29.959999,30.16,3321100,19.394337
"2010-02-24",30.27,30.309999,29.76,30.17,3771400,19.400774
"2010-02-25",29.799999,29.98,29.370001,29.92,4217700,19.240011
"2010-02-26",29.870001,30.01,29.549999,29.719999,2599600,19.111393
"2010-03-01",29.83,30.610001,29.83,30.440001,2944500,19.574394
"2010-03-02",30.59,30.74,30.42,30.629999,2401400,19.696579
"2010-03-03",30.66,30.74,30.5,30.57,2356400,19.657986
"2010-03-04",30.690001,30.93,30.379999,30.9,7348300,19.870193
"2010-03-05",31.49,31.49,30.959999,31.200001,5039300,20.06311
"2010-03-08",30.719999,30.889999,30.33,30.709999,2415200,19.967533
"2010-03-09",30.690001,30.75,30.5,30.549999,2987200,19.863501
"2010-03-10",30.6,30.700001,30.290001,30.549999,3263100,19.863501
"2010-03-11",30.43,30.709999,30.41,30.67,2532000,19.941525
"2010-03-12",30.780001,30.91,30.52,30.57,1916400,19.876509
"2010-03-15",30.52,30.85,30.52,30.85,2157400,20.058556
"2010-03-16",30.92,31.18,30.74,31.129999,2360100,20.24061
"2010-03-17",31.18,31.32,30.780001,30.959999,3551500,20.130079
"2010-03-18",30.940001,31.200001,30.709999,30.99,2269400,20.149586
"2010-03-19",30.92,31.34,30.65,30.92,3569000,20.104073
"2010-03-22",30.799999,30.92,30.5,30.59,2010200,19.889502
"2010-03-23",30.59,30.950001,30.360001,30.530001,2770200,19.850496
"2010-03-24",30.450001,30.629999,30.07,30.09,3384400,19.564411
"2010-03-25",30.09,30.209999,29.18,29.35,5960600,19.083265
"2010-03-26",29.440001,29.450001,29.040001,29.110001,3177700,18.927217
"2010-03-29",29.309999,29.51,29.15,29.49,2689700,19.174288
"2010-03-30",29.6,29.629999,29.360001,29.450001,2444400,19.148287
"2010-03-31",29.58,29.639999,29.110001,29.52,3954100,19.193794
"2010-04-01",29.66,30.15,29.66,30.120001,3110800,19.583916
"2010-04-05",30.25,30.870001,30.23,30.82,3317600,20.039051
"2010-04-06",30.690001,31.15,30.559999,31.1,3975800,20.221109
"2010-04-07",30.969999,30.969999,30.4,30.68,5440700,19.948027
"2010-04-08",30.620001,30.620001,30.23,30.48,2602200,19.817982
"2010-04-09",30.52,30.709999,30.219999,30.690001,2686600,19.954527
"2010-04-12",30.99,31.059999,30.809999,31.030001,2048000,20.175598
"2010-04-13",31.059999,31.129999,30.66,30.85,2521900,20.058556
"2010-04-14",30.83,31.23,30.610001,31.219999,3131700,20.299129
"2010-04-15",31.120001,31.18,30.700001,30.700001,3118200,19.961031
"2010-04-16",30.65,30.799999,30.16,30.25,2908600,19.668446
"2010-04-19",30.120001,30.389999,30.07,30.26,1610200,19.67494
"2010-04-20",30.459999,30.809999,30.370001,30.790001,2127000,20.019545
"2010-04-21",30.75,30.860001,30.59,30.83,1747000,20.045549
"2010-04-22",30.84,31.120001,30.620001,31.07,2338700,20.201607
"2010-04-23",31.02,31.549999,30.85,31.549999,2064300,20.513691
"2010-04-26",31.469999,31.639999,31.33,31.389999,2478900,20.409666
"2010-04-27",31.309999,31.549999,31.01,31.07,3475200,20.201607
"2010-04-28",31.290001,31.530001,30.77,31.459999,3518700,20.455179
"2010-04-29",31.6,32.07,31.6,31.84,2678900,20.70225
"2010-04-30",31.940001,32.650002,31.889999,32.130001,4937400,20.89081
"2010-05-03",32.330002,32.869999,32.27,32.77,2559700,21.306934
"2010-05-04",32.509998,32.580002,31.950001,32.150002,2741900,20.903812
"2010-05-05",31.77,32.209999,31.57,31.889999,3174900,20.734758
"2010-05-06",31.84,31.969999,29.610001,31,3644400,20.156092
"2010-05-07",31.01,31.379999,30.26,30.700001,4797900,19.961031
"2010-05-10",31.709999,32.080002,31.17,31.42,6063500,20.429174
"2010-05-11",31.129999,31.780001,31.129999,31.48,4001900,20.468182
"2010-05-12",31.459999,32.200001,31.32,32.150002,3551900,20.903812
"2010-05-13",32.41,32.720001,32,32.099998,3647400,20.871304
"2010-05-14",31.940001,32.189999,31.469999,31.809999,3619300,20.682747
"2010-05-17",32.080002,32.240002,31.33,31.870001,5231000,20.721764
"2010-05-18",32.009998,32.189999,31.5,31.57,3671200,20.526705
"2010-05-19",31.49,31.620001,31.049999,31.43,3681400,20.435673
"2010-05-20",30.84,30.969999,30.35,30.49,7311000,19.82449
"2010-05-21",30.07,30.379999,29.76,30.26,4815300,19.67494
"2010-05-24",30.450001,30.719999,30.07,30.129999,2486900,19.590414
"2010-05-25",29.530001,30.049999,29.02,30.049999,4362600,19.538404
"2010-05-26",30.299999,30.41,29.75,29.889999,2880100,19.434366
"2010-05-27",30.27,30.620001,30.08,30.6,2347000,19.896008
"2010-05-28",30.610001,30.959999,30.49,30.629999,2633600,19.915516
"2010-06-01",30.440001,30.84,30.120001,30.280001,3910900,19.687948
"2010-06-02",30.48,31.129999,30.17,31.120001,4898400,20.234112
"2010-06-03",31.15,31.51,31.110001,31.49,2023500,20.474682
"2010-06-04",31.08,31.51,30.549999,30.67,3386000,19.941525
"2010-06-07",30.459999,31.120001,30.209999,30.809999,4980500,20.259119
"2010-06-08",30.84,31.610001,30.65,31.58,4824300,20.765434
"2010-06-09",31.799999,32.400002,31.459999,31.860001,6026100,20.949549
"2010-06-10",32.220001,32.450001,32.049999,32.240002,3392400,21.199423
"2010-06-11",31.92,32.150002,31.57,32.110001,2917200,21.113934
"2010-06-14",32.369999,32.75,32.259998,32.32,2706800,21.25202
"2010-06-15",32.59,33.119999,32.330002,33.119999,2682300,21.778063
"2010-06-16",32.880001,33.330002,32.540001,33.200001,2628500,21.830667
"2010-06-17",33.220001,33.73,32.970001,33.639999,3113300,22.119984
"2010-06-18",33.610001,33.799999,33.360001,33.619999,3351300,22.106833
"2010-06-21",34.099998,34.209999,32.950001,33.080002,4271100,21.751753
"2010-06-22",33.049999,33.360001,32.080002,32.189999,5555200,21.16654
"2010-06-23",32.099998,32.18,31.68,31.709999,4480800,20.850914
"2010-06-24",31.67,32.34,31.629999,31.82,3122700,20.923248
"2010-06-25",31.91,32.43,31.360001,32.400002,6229800,21.304623
"2010-06-28",32.470001,32.630001,32.040001,32.43,2779500,21.324354
"2010-06-29",32.09,32.110001,31.48,31.610001,4139500,20.78516
"2010-06-30",31.76,32.060001,31.299999,31.33,4804100,20.601046
"2010-07-01",31.43,31.469999,30.92,31.15,3695100,20.482683
"2010-07-02",31.15,31.629999,31.129999,31.379999,2860400,20.633926
"2010-07-06",31.540001,31.85,31.360001,31.709999,4111400,20.850914
"2010-07-07",31.719999,32.849998,31.639999,32.720001,6629900,21.515039
"2010-07-08",32.84,33.189999,32.84,33.16,3598200,21.804361
"2010-07-09",33.040001,33.43,32.919998,33.34,2794700,21.922726
"2010-07-12",33.310001,33.580002,33.130001,33.450001,2576600,21.995054
"2010-07-13",33.709999,33.830002,33.32,33.470001,3269600,22.008204
"2010-07-14",33.310001,33.630001,33.119999,33.52,2047800,22.041079
"2010-07-15",33.27,33.860001,33.240002,33.740002,2137800,22.185745
"2010-07-16",33.610001,33.709999,32.959999,32.970001,3187400,21.679428
"2010-07-19",33.16,33.540001,32.98,33.299999,2418900,21.89642
"2010-07-20",33.099998,33.529999,32.68,33.48,3059400,22.01478
"2010-07-21",33.580002,33.580002,32.799999,33,2205400,21.69915
