"dates","PFE.Open","PFE.High","PFE.Low","PFE.Close","PFE.Volume","PFE.Adjusted"
"2010-01-04",17.333965,17.969639,17.305504,17.960152,54898644,11.810514
"2010-01-05",17.950665,17.960152,17.599621,17.703985,45714931,11.642064
"2010-01-06",17.703985,17.8463,17.56167,17.647058,43640975,11.604629
"2010-01-07",17.685009,17.713472,17.514231,17.580645,41557112,11.560955
"2010-01-08",17.666035,17.751423,17.571157,17.72296,32049716,11.654539
"2010-01-11",17.865274,17.979128,17.713472,17.865274,34199665,11.748128
"2010-01-12",17.836811,18.017078,17.685009,17.80835,43501847,11.710694
"2010-01-13",17.903227,18.311195,17.903227,18.225805,62728072,11.985209
"2010-01-14",18.216318,18.50095,18.149904,18.387096,49820367,12.091273
"2010-01-15",18.434534,18.671726,18.273245,18.491461,80760537,12.159904
"2010-01-19",18.529411,19.041746,18.50095,18.975332,82562244,12.478092
"2010-01-20",19.02277,19.316889,18.851992,18.918406,83522965,12.440662
"2010-01-21",19.013283,19.117647,18.187857,18.254269,81343188,12.003924
"2010-01-22",18.273245,18.899431,17.931688,17.988615,65034962,11.829234
"2010-01-25",18.254269,18.263758,17.874763,17.884251,51933110,11.760605
"2010-01-26",17.760912,17.931688,17.675522,17.817837,45955032,11.716929
"2010-01-27",17.817837,18.111954,17.703985,18.026566,57558308,11.854194
"2010-01-28",18.092979,18.121443,17.656546,17.675522,53690549,11.623345
"2010-01-29",17.741936,17.998102,17.571157,17.703985,59071114,11.642064
"2010-02-01",17.827324,18.017078,17.741936,17.827324,41586308,11.723168
"2010-02-02",17.903227,18.339659,17.80835,18.254269,71262310,12.003924
"2010-02-03",17.732449,17.884251,17.47628,17.666035,120151889,11.726818
"2010-02-04",17.409866,17.495256,17.087288,17.106262,99352043,11.355238
"2010-02-05",16.992411,17.258064,16.698292,17.039848,95279492,11.311148
"2010-02-08",16.992411,17.077799,16.812143,16.925997,58630015,11.235578
"2010-02-09",16.954458,17.220114,16.745731,16.963947,74804488,11.260768
"2010-02-10",17.001898,17.058825,16.726755,16.83112,63195205,11.172593
"2010-02-11",16.840607,17.106262,16.717268,16.954458,57646000,11.254468
"2010-02-12",16.935484,16.973434,16.717268,16.888046,53060257,11.210382
"2010-02-16",17.039848,17.1537,16.707781,16.812143,66699017,11.16
"2010-02-17",16.935484,16.944971,16.63188,16.764706,61399821,11.128509
"2010-02-18",16.774195,16.840607,16.650854,16.821632,60202899,11.166296
