"dates","PG.Open","PG.High","PG.Low","PG.Close","PG.Volume","PG.Adjusted"
"2010-01-04",61.110001,61.310001,60.630001,61.119999,9190800,43.275536
"2010-01-05",61.130001,61.279999,60.599998,61.139999,8649400,43.289703
"2010-01-06",60.939999,60.959999,60.5,60.849998,9908400,43.084377
"2010-01-07",60.580002,60.700001,60.240002,60.52,8972800,42.850716
"2010-01-08",60.360001,60.529999,60.060001,60.439999,8464600,42.794079
"2010-01-11",60.080002,60.27,59.009998,60.200001,14774600,42.624134
"2010-01-12",60.700001,61.360001,60.5,60.889999,13460700,43.112698
"2010-01-13",61.040001,61.790001,60.91,61.52,16968100,43.558758
"2010-01-14",61.419998,61.740002,61.380001,61.580002,9139500,43.601246
"2010-01-15",61.599998,61.860001,60.439999,60.82,15768300,43.063129
"2010-01-19",60.799999,61.830002,60.799999,61.720001,11577700,43.700367
"2010-01-20",60.970001,61.040001,60.099998,60.450001,11557800,43.108475
"2010-01-21",60.560001,60.93,59.450001,59.84,14298400,42.673462
"2010-01-22",59.75,60.689999,59.220001,60.310001,17703200,43.008644
"2010-01-25",60.830002,60.98,60.150002,60.630001,11630800,43.236835
"2010-01-26",60.169998,60.950001,60,60.689999,13079000,43.279617
"2010-01-27",60.459999,60.98,59.950001,60.810001,15228400,43.365196
"2010-01-28",61.669998,63.310001,61.580002,61.68,26930000,43.985619
"2010-01-29",61.91,62.240002,61.470001,61.549999,17067100,43.892914
"2010-02-01",61.849998,62.240002,61.509998,61.990002,12908100,44.206692
"2010-02-02",61.93,63.040001,61.66,62.900002,17680700,44.855637
"2010-02-03",62.740002,62.860001,62.360001,62.650002,11083500,44.677353
"2010-02-04",62.200001,62.34,61.310001,61.400002,14306600,43.785954
"2010-02-05",61.09,61.439999,60.43,61.299999,14844400,43.714626
"2010-02-08",61.060001,61.509998,60.810001,61.009998,11431800,43.50782
"2010-02-09",61.380001,62,61.009998,61.759998,11427100,44.042664
"2010-02-10",61.740002,61.849998,61.220001,61.669998,9854600,43.978477
"2010-02-11",61.419998,62.16,61.27,61.959999,10383400,44.185295
"2010-02-12",61.759998,62.130001,61.290001,61.759998,16188300,44.042664
"2010-02-16",62.599998,62.869999,62.349998,62.830002,13273100,44.80571
"2010-02-17",62.799999,62.970001,62.509998,62.849998,14384400,44.819973
"2010-02-18",62.73,63.5,62.349998,63.389999,17709000,45.205067
"2010-02-19",63.27,63.740002,63.02,63.450001,10897800,45.247852
"2010-02-22",63.689999,63.880001,63.299999,63.419998,9675300,45.226452
"2010-02-23",63.23,63.82,62.919998,63.209999,11948500,45.076702
"2010-02-24",63.220001,63.959999,63.130001,63.889999,12808800,45.561626
