"dates","PH.Open","PH.High","PH.Low","PH.Close","PH.Volume","PH.Adjusted"
"2010-01-04",54.66,55.040001,54.169998,54.52,961000,44.321735
"2010-01-05",54.349998,54.82,53.939999,54.259998,1136400,44.110363
"2010-01-06",54.139999,54.470001,53.799999,54.029999,1670700,43.923393
"2010-01-07",53.75,54.900002,53.75,54.669998,973600,44.443684
"2010-01-08",54.470001,56.23,54.119999,56.220001,1075200,45.703743
"2010-01-11",57.099998,58.029999,56.57,57.82,1682100,47.004444
"2010-01-12",57.450001,58.09,57.380001,57.939999,1750700,47.102005
"2010-01-13",58.09,58.59,57.09,58.25,1371800,47.354004
"2010-01-14",58.029999,58.939999,57.560001,58.790001,1003100,47.793003
"2010-01-15",58.66,59.150002,57.939999,58.560001,1712000,47.60603
"2010-01-19",61.740002,62.849998,60.580002,61.419998,3741400,49.931038
"2010-01-20",61.130001,61.18,59.400002,60.610001,2339800,49.272549
"2010-01-21",60.400002,61.43,58.759998,59.52,2014800,48.386459
"2010-01-22",59.439999,59.439999,57.59,57.619999,1462900,46.84185
"2010-01-25",58.52,59.040001,56.369999,57.369999,2042900,46.63863
"2010-01-26",56.900002,57.299999,56.07,56.599998,2343600,46.012661
"2010-01-27",56.490002,57.740002,56.150002,57.400002,3339500,46.663013
"2010-01-28",57.709999,57.799999,55.68,56.32,1439000,45.785034
"2010-01-29",56.830002,57.860001,55.669998,55.91,2134700,45.451725
"2010-02-01",56.200001,57.400002,56.060001,57.139999,1622400,46.451641
"2010-02-02",57.549999,58.209999,57.200001,58.139999,1919400,47.264595
"2010-02-03",57.799999,58.619999,57.130001,57.299999,1800100,46.581718
"2010-02-04",56.52,56.740002,54.93,54.93,1969200,44.655041
"2010-02-05",54.959999,55.32,53.5,54.970001,2101500,44.687553
"2010-02-08",54.950001,55.169998,53.950001,54.540001,1728200,44.337994
"2010-02-09",55.330002,56.400002,54.880001,55.75,1651000,45.321655
"2010-02-10",55.700001,55.98,54.860001,55.549999,1032700,45.159061
"2010-02-11",55.59,56.790001,55.150002,56.759998,1370600,46.142719
"2010-02-12",55.91,57.650002,55.209999,56.080002,2551600,45.589924
"2010-02-16",57.240002,57.299999,56.41,57.25,1561300,46.74947
"2010-02-17",57.75,58.330002,57.259998,58.189999,1501600,47.517067
"2010-02-18",58.040001,58.869999,57.970001,58.759998,1522700,47.982498
"2010-02-19",58.59,59.290001,58.200001,59,1109200,48.178497
"2010-02-22",59.18,59.240002,58.630001,58.919998,1249000,48.113171
"2010-02-23",58.720001,59.060001,57.759998,58.310001,1451100,47.615063
"2010-02-24",58.580002,58.91,58.130001,58.869999,2075300,48.072327
"2010-02-25",57.549999,59.060001,57.459999,58.900002,1553900,48.096844
"2010-02-26",59.310001,60.450001,59.169998,60.310001,2204800,49.248226
"2010-03-01",60.169998,62.580002,60.150002,61.709999,3111800,50.391449
"2010-03-02",62.02,62.41,61.869999,62.07,2012700,50.685413
"2010-03-03",63.200001,63.66,62.299999,62.41,2750600,50.963047
"2010-03-04",62.439999,62.759998,61.52,62.07,1897700,50.685413
"2010-03-05",62.860001,63.23,62.509998,62.93,1130900,51.387676
"2010-03-08",62.91,63.310001,62.540001,63.02,1402400,51.461166
"2010-03-09",62.889999,63.599998,62.68,63.330002,1470900,51.714306
"2010-03-10",63.459999,63.959999,63.18,63.82,1154500,52.114437
"2010-03-11",63.84,63.849998,63.029999,63.689999,939700,52.008274
"2010-03-12",63.990002,64.199997,63.310001,63.610001,860400,51.942955
"2010-03-15",63.650002,63.889999,63.27,63.84,762400,52.130772
