"dates","PKG.Open","PKG.High","PKG.Low","PKG.Close","PKG.Volume","PKG.Adjusted"
"2010-01-04",23.27,23.73,23.23,23.389999,810900,16.885235
"2010-01-05",23.42,23.84,23.27,23.690001,532700,17.101805
"2010-01-06",23.75,24.049999,23.51,23.57,505600,17.015171
"2010-01-07",23.5,23.610001,23.1,23.4,628400,16.892447
"2010-01-08",23.43,25.09,23.299999,24.950001,2726700,18.011396
"2010-01-11",25,25,23.870001,24.049999,1350500,17.361685
"2010-01-12",23.860001,23.940001,23.34,23.73,842500,17.130678
"2010-01-13",23.889999,24.02,23.459999,23.92,559900,17.267845
"2010-01-14",23.75,23.93,23.43,23.610001,533000,17.044054
"2010-01-15",23.77,23.77,22.99,23.23,741700,16.769728
"2010-01-19",23.309999,23.889999,23.23,23.84,788200,17.210093
"2010-01-20",23.629999,23.629999,22.889999,22.959999,929700,16.574816
"2010-01-21",22.940001,23.139999,21.690001,21.690001,1627500,15.657997
"2010-01-22",21.719999,22.08,21.16,21.24,1834100,15.333149
"2010-01-25",21.42,22.32,21.4,21.540001,2088000,15.549717
"2010-01-26",21.5,23.209999,21.41,22.809999,2969100,16.466534
"2010-01-27",22.959999,22.959999,22.01,22.42,963000,16.18499
"2010-01-28",22.450001,22.540001,21.700001,21.889999,726700,15.802382
"2010-01-29",21.91,22.42,21.75,22.040001,1038300,15.910674
"2010-02-01",22.17,22.32,21.93,22.26,1421700,16.069487
"2010-02-02",22.200001,22.370001,21.879999,22.27,1184600,16.076708
"2010-02-03",21.76,22.200001,21.6,21.700001,1318400,15.665223
"2010-02-04",21.469999,21.5,20.92,20.940001,1273900,15.116582
"2010-02-05",20.889999,21.43,20.629999,21.389999,1074400,15.44144
"2010-02-08",21.41,21.809999,21.16,21.370001,887000,15.426997
"2010-02-09",21.66,21.98,21.290001,21.57,1178700,15.571383
"2010-02-10",21.459999,21.68,21.049999,21.26,436200,15.347589
"2010-02-11",21.27,21.5,21.129999,21.5,354200,15.520844
"2010-02-12",21.27,21.6,20.860001,21.6,493900,15.593036
"2010-02-16",21.780001,22.299999,21.77,22.24,786100,16.055054
"2010-02-17",22.43,22.93,22.23,22.459999,716500,16.213867
"2010-02-18",22.4,23.08,22.26,22.889999,1021900,16.524279
"2010-02-19",22.799999,23.049999,22.629999,22.719999,595200,16.401564
"2010-02-22",22.73,22.73,22.049999,22.459999,1263800,16.213867
"2010-02-23",22.530001,23.690001,22.530001,23.33,1571700,16.841925
"2010-02-24",23.469999,23.85,23.23,23.690001,903100,17.101805
"2010-02-25",23.35,24.17,23.18,24.15,1124000,17.433872
"2010-02-26",24.15,24.26,23.58,23.799999,618000,17.18121
"2010-03-01",23.82,24.49,23.780001,24.389999,1089200,17.607136
"2010-03-02",24.41,24.65,24.309999,24.370001,857600,17.592693
"2010-03-03",24.360001,24.66,24.23,24.52,721500,17.700981
"2010-03-04",24.6,24.73,24.16,24.4,383000,17.614355
"2010-03-05",24.58,24.790001,24.469999,24.610001,386000,17.765951
"2010-03-08",24.549999,24.690001,24.370001,24.5,384100,17.686548
"2010-03-09",24.440001,24.879999,24.26,24.370001,549200,17.592693
"2010-03-10",24.309999,24.559999,23.98,24.290001,1115600,17.534943
"2010-03-11",24.059999,24.290001,23.85,24.280001,647000,17.636635
"2010-03-12",24.440001,24.440001,23.959999,24.290001,803000,17.643902
"2010-03-15",24.290001,24.370001,23.870001,24.360001,1152400,17.694752
"2010-03-16",24.530001,25.049999,24.43,25.040001,919000,18.188696
"2010-03-17",25.18,25.83,25.07,25.459999,1370200,18.493774
"2010-03-18",25.540001,25.540001,24.940001,25.290001,888700,18.370291
"2010-03-19",24.780001,25.41,24.67,24.780001,690200,17.999828
"2010-03-22",24.549999,25.43,24.49,25.07,679200,18.210487
"2010-03-23",25.09,25.309999,24.879999,25.26,611200,18.348499
"2010-03-24",25.049999,25.190001,24.709999,25,636100,18.159634
"2010-03-25",25.139999,25.4,24.280001,24.34,1318100,17.680222
"2010-03-26",24.35,24.66,24.23,24.309999,730600,17.658422
"2010-03-29",24.360001,24.76,24.34,24.59,602800,17.861814
"2010-03-30",24.68,24.75,24.299999,24.620001,434000,17.883606
"2010-03-31",24.48,24.74,24.27,24.610001,808200,17.876343
"2010-04-01",24.719999,25.08,24.559999,24.77,574700,17.992567
"2010-04-05",24.9,25.200001,24.690001,25.200001,441000,18.304913
"2010-04-06",25.110001,25.190001,24.870001,25.09,652800,18.225002
"2010-04-07",24.950001,25.030001,24.360001,24.5,1239600,17.796444
"2010-04-08",24.389999,24.690001,24.09,24.67,637100,17.919924
"2010-04-09",24.68,24.99,24.24,24.889999,1034300,18.079737
"2010-04-12",24.860001,24.9,24.139999,24.34,953100,17.680222
"2010-04-13",24.34,24.469999,24.040001,24.309999,1200800,17.658422
"2010-04-14",24.49,24.9,24.299999,24.85,998500,18.05068
"2010-04-15",24.719999,25.059999,24.629999,24.879999,943500,18.072474
"2010-04-16",24.75,25.389999,24.68,25.32,1621200,18.392078
"2010-04-19",25.209999,25.389999,24.530001,24.68,1631400,17.927191
"2010-04-20",24.120001,25.700001,24.030001,24.74,1667700,17.970778
"2010-04-21",24.860001,25.34,24.799999,25.299999,1005000,18.377554
"2010-04-22",25.09,25.879999,24.91,25.690001,820700,18.660845
"2010-04-23",25.799999,26.25,25.75,26.25,731600,19.067614
"2010-04-26",26.24,26.48,25.780001,25.799999,713700,18.740744
"2010-04-27",25.700001,26,24.92,25,743300,18.159634
"2010-04-28",25.07,25.18,24.639999,24.780001,901200,17.999828
"2010-04-29",25.01,25.299999,25.01,25.25,794200,18.34123
"2010-04-30",25.33,25.559999,24.690001,24.73,899300,17.963511
"2010-05-03",24.92,25.26,24.52,25.209999,620700,18.31217
"2010-05-04",24.91,24.91,24.15,24.209999,1096900,17.585791
"2010-05-05",23.969999,24.219999,23.379999,23.870001,849700,17.338821
"2010-05-06",23.65,23.889999,20.299999,22.610001,1580600,16.423571
"2010-05-07",22.58,22.860001,21.950001,22.139999,2112100,16.082172
"2010-05-10",23.18,23.34,22.459999,22.73,1250500,16.51074
"2010-05-11",22.5,22.93,22.459999,22.709999,835400,16.49621
"2010-05-12",22.85,23.629999,22.75,23.52,758400,17.084589
"2010-05-13",23.52,23.690001,23.219999,23.34,571600,16.953835
"2010-05-14",23.18,23.219999,22.68,22.969999,573600,16.685072
"2010-05-17",23.25,23.6,22.549999,22.82,1154800,16.576117
"2010-05-18",23.07,23.299999,22.790001,22.889999,1089900,16.626961
"2010-05-19",22.74,22.83,22.07,22.440001,671200,16.300087
"2010-05-20",21.92,22.07,21.23,21.280001,1437300,15.457482
"2010-05-21",20.950001,21.65,20.59,21.41,1166300,15.551913
"2010-05-24",21.33,21.74,20.99,21.02,713600,15.268624
"2010-05-25",20.41,20.68,20,20.6,1984000,14.963542
"2010-05-26",20.75,21.440001,20.75,20.93,933900,15.203247
"2010-05-27",21.34,22.24,21.15,22.219999,919600,16.140289
"2010-05-28",22.15,22.34,21.559999,22.139999,969400,16.082172
"2010-06-01",21.92,22.280001,21.27,21.27,854000,15.450219
"2010-06-02",21.43,21.91,21.309999,21.91,562300,15.915105
"2010-06-03",21.74,22.52,21.719999,22.139999,550600,16.082172
"2010-06-04",21.67,21.950001,21.120001,21.24,753200,15.428431
"2010-06-07",21.23,21.280001,20.58,20.58,937900,14.94901
"2010-06-08",20.639999,20.83,20.51,20.799999,907800,15.108815
"2010-06-09",21.01,21.1,20.67,20.799999,830000,15.108815
"2010-06-10",21.049999,21.52,21,21.5,848300,15.617283
"2010-06-11",21.799999,22.459999,21.799999,22.379999,2120700,16.370718
"2010-06-14",23.200001,23.200001,22.48,22.559999,1877300,16.502388
"2010-06-15",22.870001,23.59,22.82,23.5,1812300,17.189987
"2010-06-16",23.5,23.51,23.1,23.299999,818000,17.043686
"2010-06-17",23.299999,23.5,23.030001,23.25,556500,17.007116
"2010-06-18",23.360001,23.49,23.139999,23.27,975200,17.021742
"2010-06-21",23.639999,24.08,23.33,23.51,1868800,17.197304
"2010-06-22",23.5,23.6,22.799999,22.799999,1180800,16.677946
"2010-06-23",22.66,22.860001,22.299999,22.620001,1079000,16.546282
"2010-06-24",22.41,22.559999,22.110001,22.16,965000,16.209793
"2010-06-25",22.18,22.52,22.110001,22.32,1332000,16.326828
"2010-06-28",22.41,22.530001,22.02,22.120001,1098100,16.180532
"2010-06-29",22.1,22.1,21.4,21.73,1424200,15.895255
"2010-06-30",21.75,22.370001,21.58,22.02,1750300,16.10738
"2010-07-01",22,22.360001,21.74,22.08,1411800,16.151274
"2010-07-02",22.18,22.23,21.42,21.459999,768100,15.697744
"2010-07-06",21.85,22.01,21.190001,21.33,826800,15.602665
"2010-07-07",21.33,22.02,21.25,22.02,570600,16.10738
"2010-07-08",22.209999,22.379999,21.809999,22.129999,998100,16.187847
"2010-07-09",22.15,22.5,22.120001,22.450001,937300,16.421923
"2010-07-12",22.299999,22.459999,21.74,21.83,1467600,15.968401
"2010-07-13",22.059999,22.84,22.059999,22.799999,1297600,16.677946
"2010-07-14",22.76,23.120001,22.450001,22.85,1182300,16.714523
"2010-07-15",22.92,23.190001,22.549999,23.1,1059900,16.897394
"2010-07-16",22.99,23.120001,22.610001,22.74,1540400,16.634054
"2010-07-19",22.889999,23.17,22.35,22.92,1111900,16.765717
"2010-07-20",22.66,24.73,22.66,24.700001,3100600,18.067774
"2010-07-21",24.77,24.92,24.040001,24.32,1794400,17.789808
"2010-07-22",24.74,24.940001,24.35,24.49,1237300,17.914158
"2010-07-23",24.309999,25.190001,24.07,25.07,910800,18.338427
"2010-07-26",25.27,25.43,24.99,25.43,802400,18.601763
"2010-07-27",25.459999,25.5,24.700001,24.77,1024000,18.11898
"2010-07-28",24.77,24.77,23.959999,24.209999,1323500,17.709345
"2010-07-29",24.35,24.450001,23.620001,23.940001,1047400,17.511848
"2010-07-30",23.66,24.16,23.540001,24,742400,17.555733
"2010-08-02",24.26,25.129999,24.23,25.040001,1077600,18.316486
"2010-08-03",24.950001,24.99,24.32,24.360001,862600,17.819069
"2010-08-04",24.450001,24.780001,24.219999,24.5,699400,17.921478
"2010-08-05",24.389999,24.68,24.18,24.360001,518100,17.819069
"2010-08-06",24,24.5,23.91,24.040001,1157700,17.584991
"2010-08-09",24.209999,24.549999,24.200001,24.34,653100,17.804438
"2010-08-10",24.07,24.110001,23.67,24.01,848100,17.563049
"2010-08-11",23.58,23.58,23.02,23.15,747300,16.933968
"2010-08-12",22.809999,23.4,22.66,23.27,837200,17.021742
"2010-08-13",23.18,23.33,23,23.02,559900,16.838873
"2010-08-16",22.92,23.209999,22.76,22.889999,730900,16.743778
"2010-08-17",23.209999,24.26,22.959999,23.889999,1355700,17.475269
