"dates","PLD.Open","PLD.High","PLD.Low","PLD.Close","PLD.Volume","PLD.Adjusted"
"2010-01-04",25.76,26.030001,25.25,25.370001,1169700,17.623304
"2010-01-05",25.35,25.76,25.110001,25.74,1048200,17.880323
"2010-01-06",25.75,26,25.34,25.51,1163400,17.72056
"2010-01-07",25.379999,25.84,25.15,25.719999,950500,17.866436
"2010-01-08",25.530001,25.889999,25.41,25.65,1072700,17.817812
"2010-01-11",25.73,26,25.370001,25.68,876600,17.838652
"2010-01-12",25.35,25.639999,24.870001,25.110001,962200,17.442696
"2010-01-13",25.27,25.85,25.200001,25.790001,989200,17.915052
"2010-01-14",25.58,25.790001,25.379999,25.690001,766700,17.845589
"2010-01-15",25.52,25.75,25.450001,25.57,739900,17.762236
"2010-01-19",25.57,26.129999,25.57,26.07,956200,18.10956
"2010-01-20",25.57,25.629999,24.98,25.459999,1192600,17.68582
"2010-01-21",25.440001,25.59,24.209999,24.25,2000900,16.845291
"2010-01-22",24.280001,24.540001,23.57,23.68,2069300,16.449345
"2010-01-25",24.040001,24.129999,23.139999,23.700001,1571600,16.46324
"2010-01-26",23.57,24.74,23.5,24.25,1891300,16.845291
"2010-01-27",24.17,24.65,23.76,24.65,1801300,17.123156
"2010-01-28",24.790001,24.870001,23.780001,24.02,1328300,16.685526
"2010-01-29",24.1,24.66,23.799999,24,2014700,16.671625
"2010-02-01",24.370001,24.629999,24.139999,24.59,2266300,17.081478
"2010-02-02",24.73,25.02,24.33,24.690001,3403700,17.15094
"2010-02-03",24.49,24.49,23.48,23.860001,1532900,16.574383
"2010-02-04",23.57,23.68,22.66,22.799999,2093300,15.838055
"2010-02-05",22.84,23.290001,22.5,23.15,2099100,16.081184
"2010-02-08",22.82,23.219999,22.450001,22.52,1721000,15.643547
"2010-02-09",22.950001,23,22.18,22.49,2011700,15.622709
"2010-02-10",22.379999,22.76,21.959999,22.42,1431600,15.574084
"2010-02-11",22.450001,22.450001,21.92,22.139999,2218600,15.379584
"2010-02-12",21.950001,22.690001,21.799999,22.629999,1838300,15.719959
"2010-02-16",22.959999,23.389999,22.799999,23.299999,2016500,16.185373
"2010-02-17",23.49,23.58,23.27,23.459999,739100,16.29652
"2010-02-18",23.379999,24.030001,23.290001,23.91,1435400,16.609114
"2010-02-19",23.780001,23.940001,23.58,23.76,1272700,16.504917
"2010-02-22",23.860001,24.09,23.709999,23.969999,969800,16.650791
"2010-02-23",23.780001,24.049999,23.629999,23.68,1082900,16.449345
"2010-02-24",23.73,23.92,23.610001,23.92,950100,16.61606
"2010-02-25",23.549999,24.33,23.41,24.280001,1146200,16.866137
"2010-02-26",24.290001,24.66,24.110001,24.34,1332000,16.907818
"2010-03-01",24.459999,24.65,24.299999,24.459999,1014600,16.991169
"2010-03-02",24.52,24.780001,24.360001,24.639999,761900,17.116207
"2010-03-03",24.67,24.780001,24.35,24.450001,858800,16.984228
"2010-03-04",24.57,24.65,24.299999,24.549999,910800,17.053692
"2010-03-05",24.799999,25.469999,24.549999,25.41,1198900,17.651093
"2010-03-08",25.360001,25.93,25.27,25.809999,825200,17.928959
"2010-03-09",25.66,26.17,25.549999,26.01,1460900,18.067886
"2010-03-10",26.059999,26.620001,25.85,26.6,1518100,18.477728
"2010-03-11",26.32,26.99,26.299999,26.92,1760700,18.700014
"2010-03-12",27,27.32,26.870001,27.27,1503300,18.943144
"2010-03-15",27.120001,27.59,26.85,27.370001,1491000,19.012609
"2010-03-16",27.42,28.07,27.129999,27.98,1975600,19.436346
"2010-03-17",28.120001,28.84,27.860001,28.58,1299900,19.85314
"2010-03-18",28.51,28.690001,28.280001,28.6,1366400,19.867027
"2010-03-19",28.059999,28.799999,27.98,28.059999,1943100,19.491915
"2010-03-22",27.719999,28.299999,27.52,28.09,1490500,19.512758
"2010-03-23",28.18,28.59,27.92,28.469999,1373500,19.776726
"2010-03-24",28.24,28.91,28.23,28.780001,1744600,19.992069
"2010-03-25",28.879999,29.6,28.860001,28.889999,1629400,20.068481
"2010-03-26",29.059999,29.219999,28.73,28.860001,1393500,20.047638
"2010-03-29",29.059999,29.120001,28.440001,28.5,1513500,19.797565
"2010-03-30",28.469999,28.709999,27.66,27.77,1641800,19.290472
"2010-03-31",27.459999,27.940001,27.200001,27.24,2417800,19.115038
"2010-04-01",27.48,27.549999,27.049999,27.24,1880100,19.115038
"2010-04-05",27.379999,27.940001,27.309999,27.75,1696300,19.472919
"2010-04-06",27.530001,28.940001,27.48,28.639999,1719300,20.097448
"2010-04-07",28.26,28.26,27.280001,27.530001,14614100,19.318535
"2010-04-08",27.5,27.65,27.280001,27.530001,2879300,19.318535
"2010-04-09",27.6,27.91,27.290001,27.9,3068100,19.578175
"2010-04-12",27.93,27.99,27.75,27.780001,1706900,19.493971
"2010-04-13",27.76,28.450001,27.629999,28.280001,2098700,19.844835
"2010-04-14",28.59,28.59,27.92,28.360001,2997900,19.900969
"2010-04-15",28.190001,28.32,27.290001,27.42,2603000,19.241348
"2010-04-16",27.33,27.639999,26.83,26.860001,3120700,18.848375
"2010-04-19",26.639999,27.200001,26.51,27.17,1929500,19.065926
"2010-04-20",27.4,27.860001,26.93,27.73,2161100,19.458885
"2010-04-21",27.629999,28.24,27.370001,27.700001,2459900,19.437828
"2010-04-22",27.32,27.940001,27.110001,27.879999,1752900,19.564142
"2010-04-23",28.01,28.360001,27.530001,28.309999,2023800,19.865887
"2010-04-26",28.299999,28.77,28.049999,28.360001,1820600,19.900969
"2010-04-27",28.16,28.379999,27.5,27.540001,1992100,19.325556
"2010-04-28",27.780001,28.09,27.52,27.85,1427800,19.543093
"2010-04-29",28.17,29.030001,28.08,28.889999,2044500,20.272884
"2010-04-30",28.889999,29.17,27.799999,27.860001,2417800,19.550102
"2010-05-03",28.129999,29,28.129999,28.879999,1620300,20.265865
"2010-05-04",28.290001,28.440001,27.629999,28.030001,2133800,19.669401
"2010-05-05",27.700001,28.620001,27.299999,27.940001,2499400,19.606249
"2010-05-06",27.76,28,23.889999,26.58,3697400,18.651896
"2010-05-07",26.52,27.82,25.33,25.469999,4178000,17.872986
"2010-05-10",26.93,28.08,26.879999,27.57,4120900,19.346609
"2010-05-11",27.01,28.110001,26.969999,27.629999,2515300,19.388706
"2010-05-12",27.83,28.99,27.67,28.879999,2435300,20.265865
"2010-05-13",28.84,28.85,28.129999,28.309999,1423800,19.865887
"2010-05-14",28.09,28.120001,26.360001,26.610001,2232800,18.672945
"2010-05-17",26.790001,27.4,25.790001,26.540001,1896300,18.623829
"2010-05-18",27.040001,27.280001,26,26.200001,2444300,18.385244
"2010-05-19",26.129999,27.08,25.190001,26.219999,2434700,18.399277
"2010-05-20",25.26,25.610001,24.82,24.860001,3543400,17.444927
"2010-05-21",24.32,25.9,24.040001,25.57,3566000,17.943157
"2010-05-24",24.799999,25.08,24.33,24.530001,2654100,17.213358
"2010-05-25",23.860001,24.52,23.139999,24.49,2369700,17.185286
"2010-05-26",24.84,25.780001,24.389999,24.66,2503600,17.304588
"2010-05-27",25.4,26.190001,25.02,26.139999,2237700,18.343142
"2010-05-28",26.129999,26.5,25.83,25.93,1910600,18.195778
