"dates","PM.Open","PM.High","PM.Low","PM.Close","PM.Volume","PM.Adjusted"
"2010-01-04",48.330002,49.59,48.25,49.349998,7844500,29.33597
"2010-01-05",49.369999,49.57,48.759998,48.919998,7168600,29.080351
"2010-01-06",48.66,49,48.290001,48.919998,11777200,29.080351
"2010-01-07",48.77,49.599998,48.560001,49.529999,8905400,29.442978
"2010-01-08",49.32,49.52,48.779999,49.259998,6580800,29.282473
"2010-01-11",49.779999,49.799999,49.25,49.439999,6090900,29.389479
"2010-01-12",49.369999,49.369999,48.849998,49.169998,6752900,29.228971
"2010-01-13",49.169998,49.889999,49.169998,49.669998,5926400,29.526184
"2010-01-14",49.48,49.98,49.48,49.599998,4602200,29.484585
"2010-01-15",49.66,49.970001,49.459999,49.619999,8269200,29.496471
"2010-01-19",49.599998,50.200001,49.509998,50.09,8804100,29.775862
"2010-01-20",49.900002,49.91,48.700001,49.240002,6461400,29.27058
"2010-01-21",49.220001,49.310001,47.59,47.73,10276000,28.372969
"2010-01-22",47.599998,47.77,46.709999,46.810001,8717000,27.826082
"2010-01-25",47.09,47.630001,47.02,47.049999,5880900,27.968744
"2010-01-26",46.689999,47.400002,46.689999,47,5858200,27.93902
"2010-01-27",46.849998,47.099998,46.220001,46.639999,5177700,27.725014
"2010-01-28",46.66,47.099998,46.02,46.209999,5594200,27.469414
"2010-01-29",46.529999,47.09,45.43,45.509998,7064100,27.053295
"2010-02-01",45.740002,46.23,45.630001,46.110001,8066200,27.40996
"2010-02-02",46.209999,47.720001,46.07,47.599998,8715600,28.295687
"2010-02-03",47.330002,47.439999,46.810001,46.970001,5001800,27.921188
"2010-02-04",46.599998,46.810001,45.900002,45.939999,6728400,27.308912
"2010-02-05",46.220001,46.220001,45.009998,45.66,8451200,27.142466
"2010-02-08",45.310001,46.279999,45.310001,45.529999,5242500,27.065182
"2010-02-09",45.93,47,45.700001,46.849998,8742400,27.849865
"2010-02-10",46.810001,47.09,46.389999,46.810001,6480000,27.826082
"2010-02-11",46.650002,48.93,46.049999,48.669998,16677800,28.931759
"2010-02-12",48.349998,49.93,48.200001,49.290001,13040700,29.300304
"2010-02-16",49.599998,49.919998,49.060001,49.419998,11304100,29.377575
"2010-02-17",49.509998,49.889999,49.349998,49.830002,7402400,29.621309
"2010-02-18",49.59,50.349998,49.59,50.279999,7533300,29.888809
"2010-02-19",50.200001,50.41,49.799999,49.98,8931900,29.710474
"2010-02-22",50,50.07,49.68,49.75,8233500,29.573757
"2010-02-23",49.75,50,49.18,49.299999,10514700,29.306242
"2010-02-24",49.32,49.970001,48.970001,49.830002,8305900,29.621309
"2010-02-25",49.43,49.880001,49,49.610001,9596000,29.49053
"2010-02-26",49.619999,49.630001,48.950001,48.98,8502800,29.116024
"2010-03-01",49.049999,49.25,48.790001,48.93,8198300,29.086308
"2010-03-02",49.389999,50.09,49.110001,49.810001,7126700,29.60943
"2010-03-03",49.82,50.169998,49.720001,49.98,7166800,29.710474
"2010-03-04",50.16,50.799999,50.060001,50.66,7350200,30.114697
"2010-03-05",50.75,51.380001,50.52,51.25,7140400,30.465416
"2010-03-08",51.130001,51.279999,50.689999,50.790001,6970700,30.191978
"2010-03-09",50.610001,50.779999,50.200001,50.380001,6203800,29.948261
"2010-03-10",50.25,50.41,49.849998,50.299999,5967300,29.900703
"2010-03-11",50.290001,50.509998,49.68,50.240002,8066600,29.86504
"2010-03-12",50.25,50.5,49.950001,50.139999,6118200,29.805588
"2010-03-15",50.049999,51.119999,49.810001,50.919998,9131000,30.26926
"2010-03-16",50.98,51.43,50.82,51.240002,5970200,30.459476
"2010-03-17",51.450001,51.919998,51.27,51.830002,6784300,30.8102
"2010-03-18",51.939999,51.990002,51.650002,51.82,6092500,30.804253
"2010-03-19",52.68,52.849998,51.830002,52.68,15243800,31.315479
"2010-03-22",52.389999,53.07,52.23,52.889999,6994400,31.440317
"2010-03-23",52.200001,52.439999,51.689999,52.439999,7052200,31.518452
"2010-03-24",52.43,52.700001,51.84,51.889999,8034100,31.18788
"2010-03-25",52.119999,52.529999,51.66,51.720001,6076200,31.085703
"2010-03-26",51.779999,52.450001,51.68,52.119999,5112400,31.326103
"2010-03-29",52.27,52.740002,52.25,52.529999,7271600,31.572538
"2010-03-30",52.619999,52.919998,52.16,52.490002,4820600,31.548508
"2010-03-31",52.5,52.5,51.950001,52.16,6486100,31.350166
"2010-04-01",52.240002,52.68,52.16,52.470001,5846800,31.536489
"2010-04-05",52.599998,52.990002,52.360001,52.849998,4390900,31.764881
"2010-04-06",52.639999,52.950001,52.549999,52.650002,4451200,31.644669
"2010-04-07",52.57,52.799999,52.290001,52.52,5572600,31.566544
"2010-04-08",52.290001,52.720001,52.209999,52.369999,4755700,31.476377
