"dates","PPL.Open","PPL.High","PPL.Low","PPL.Close","PPL.Volume","PPL.Adjusted"
"2010-01-04",30.36364,30.521978,30.102848,30.242558,1209792,17.547243
"2010-01-05",30.149418,30.354326,29.404299,29.85137,2201095,17.320265
"2010-01-06",29.795486,30.037649,29.767544,29.916569,3727614,17.358103
"2010-01-07",29.795486,29.907253,29.422926,29.627834,1049710,17.190567
"2010-01-08",29.43224,29.590578,29.190077,29.534695,1442667,17.136526
"2010-01-11",29.748917,30.046965,29.693031,29.916569,1604037,17.358103
"2010-01-12",29.786173,30.019022,29.655775,29.94451,1295577,17.374315
"2010-01-13",29.963139,30.512665,29.94451,30.372953,1445566,17.622902
"2010-01-14",30.31707,30.31707,30.028336,30.056278,1100494,17.439159
"2010-01-15",29.879313,30.074905,29.357727,29.702347,1797187,17.233803
"2010-01-19",29.627834,30.009708,29.525379,30.000395,943419,17.406734
"2010-01-20",29.888626,29.888626,29.227331,29.581264,1861714,17.163548
"2010-01-21",29.525379,29.786173,28.892029,29.031738,1734915,16.844706
"2010-01-22",28.91997,29.208704,28.351816,28.351816,2012454,16.450203
"2010-01-25",28.575352,28.724377,28.146908,28.528782,2240391,16.552881
"2010-01-26",28.454269,28.724377,28.286617,28.519468,1450934,16.547478
"2010-01-27",28.444956,28.454269,27.671894,27.988569,2843461,16.239443
"2010-01-28",28.035139,28.137594,27.494928,27.671894,4000107,16.0557
"2010-01-29",27.727777,27.997885,27.411102,27.466986,2389843,15.936807
"2010-02-01",27.578754,27.66258,27.345903,27.588068,1667597,16.007063
"2010-02-02",27.569441,27.671894,27.252764,27.606695,2918295,16.017876
"2010-02-03",27.476299,27.541498,27.252764,27.38316,1707322,15.888169
"2010-02-04",27.206194,27.317963,26.656668,26.656668,2729547,15.466653
"2010-02-05",26.712551,27.140997,26.40519,27.010599,3112304,15.672009
"2010-02-08",26.964029,27.075798,26.712551,26.759123,1791819,15.526095
"2010-02-09",27.057171,27.38316,26.796377,26.982658,3157075,15.655796
"2010-02-10",27.010599,27.029228,26.628725,26.852262,1904338,15.580137
"2010-02-11",26.898832,27.345903,26.77775,27.317963,3788383,15.850343
"2010-02-12",27.140997,27.24345,26.805693,27.206194,2478527,15.785489
