"dates","PSA.Open","PSA.High","PSA.Low","PSA.Close","PSA.Volume","PSA.Adjusted"
"2010-01-04",81.760002,82.129997,79.510002,80.129997,1579100,54.67696
"2010-01-05",79.870003,80.93,79.230003,80.790001,1131000,55.127319
"2010-01-06",80.730003,81.419998,80.019997,80.300003,832400,54.792961
"2010-01-07",79.879997,80.760002,78.93,80.190002,1284100,54.717888
"2010-01-08",79.639999,80,78.199997,78.730003,1281100,53.721672
"2010-01-11",79.239998,80.120003,78.290001,79.269997,1356700,54.090137
"2010-01-12",78.459999,79.150002,77.510002,77.980003,1694800,53.209908
"2010-01-13",78.089996,79.650002,77.75,79.519997,1346400,54.260727
"2010-01-14",79.349998,79.550003,78.550003,79.120003,785100,53.987793
"2010-01-15",78.889999,79.25,78.25,78.970001,1438600,53.885426
"2010-01-19",78.900002,80.720001,78.849998,80.639999,1330800,55.02496
"2010-01-20",80.209999,80.360001,79.110001,79.75,1262300,54.417675
"2010-01-21",79.93,80.25,78.43,78.739998,1944300,53.728489
"2010-01-22",78.720001,79.43,77.5,77.669998,2070100,52.998379
"2010-01-25",78.57,79.290001,77.07,78.760002,1502600,53.742134
"2010-01-26",78.139999,79.559998,78.050003,78.330002,1222900,53.448719
"2010-01-27",78.529999,80,77.519997,79.959999,1669900,54.560963
"2010-01-28",80.269997,80.610001,77.580002,78.550003,1664300,53.598835
"2010-01-29",78.769997,80.339996,78.540001,79.18,1834300,54.028713
"2010-02-01",79.510002,81.059998,79.449997,80.470001,1303200,54.908966
"2010-02-02",80.699997,81.400002,79.910004,81.139999,1392000,55.366135
"2010-02-03",80.709999,80.769997,79.739998,79.809998,1056900,54.458595
"2010-02-04",79.279999,79.82,76.57,76.68,2768200,52.32283
"2010-02-05",76.879997,78.07,75.779999,77.629997,2080000,52.971077
"2010-02-08",77.559998,78.110001,75.870003,76.019997,1531600,51.872494
"2010-02-09",76.769997,76.980003,75.339996,75.809998,1472800,51.729198
"2010-02-10",75.709999,76.900002,74.739998,76.050003,1105000,51.892967
"2010-02-11",75.940002,76.800003,75.260002,76.739998,1133900,52.363785
"2010-02-12",75.790001,76.660004,75.379997,76.550003,1325000,52.234127
"2010-02-16",77.080002,78.239998,76.809998,78.080002,1662100,53.278137
"2010-02-17",78.519997,79.110001,78.190002,78.75,1244300,53.735313
"2010-02-18",78.5,80.279999,78.489998,79.949997,1244600,54.554131
"2010-02-19",80.150002,82.129997,79.919998,81.699997,1650700,55.748241
"2010-02-22",81.900002,82.220001,80.980003,81.339996,1215600,55.502625
"2010-02-23",81.139999,81.830002,80.18,80.330002,1645700,54.813431
"2010-02-24",80.730003,81.580002,80.309998,81.529999,1282600,55.632256
"2010-02-25",80.769997,81.989998,80.339996,81.910004,1091800,55.891544
"2010-02-26",82.089996,83.230003,81.650002,82.190002,1707600,56.082603
"2010-03-01",83.43,85.199997,83.059998,84.620003,1846800,57.740726
"2010-03-02",85.120003,86.459999,84.900002,85.139999,1310000,58.095566
"2010-03-03",85,85.639999,84.75,84.790001,1071400,57.856728
"2010-03-04",84.730003,85.980003,84.730003,85.839996,1099300,58.573196
"2010-03-05",86.379997,87.540001,86.169998,87.419998,1430700,59.651314
"2010-03-08",87.550003,88.239998,87.169998,87.580002,1161100,59.760475
"2010-03-09",87.389999,88.290001,87,87.690002,1242500,59.835564
"2010-03-10",87.75,88.089996,87.019997,87.809998,1106400,59.917423
