"dates","REG.Open","REG.High","REG.Low","REG.Close","REG.Volume","REG.Adjusted"
"2010-01-04",35.299999,35.68,34.5,34.77,1354400,22.646378
"2010-01-05",34.779999,35.02,34.43,35.02,1044500,22.809204
"2010-01-06",35.07,35.52,35,35.07,1384300,22.841774
"2010-01-07",34.860001,35.509998,34.57,35.34,985400,23.017628
"2010-01-08",35.009998,35.459999,34.93,35.279999,1042700,22.978544
"2010-01-11",36.25,36.25,35.52,35.810001,1167400,23.323759
"2010-01-12",35.330002,35.700001,34.889999,35.150002,1014300,22.893877
"2010-01-13",35.259998,36.23,35.220001,36.169998,953000,23.558222
"2010-01-14",35.919998,36.080002,35.59,36,924300,23.447502
"2010-01-15",35.900002,36.77,35.779999,36.43,1859900,23.727566
"2010-01-19",36.52,37.82,36.360001,37.630001,1942300,24.509155
"2010-01-20",36.950001,36.970001,36.130001,36.709999,1582200,23.909937
"2010-01-21",36.82,37.029999,35.68,35.790001,1920900,23.310722
"2010-01-22",35.790001,36.18,34.73,34.790001,1397700,22.659407
"2010-01-25",35.139999,35.299999,33.59,34.299999,1644500,22.340258
"2010-01-26",34.080002,34.639999,34.02,34.169998,966700,22.255589
"2010-01-27",34.09,34.470001,33.650002,34.240002,1379200,22.301172
"2010-01-28",34.34,34.34,33.5,33.740002,695300,21.975513
"2010-01-29",33.889999,34.259998,33.279999,33.490002,1036000,21.812689
"2010-02-01",33.75,34.279999,33.48,34.279999,659300,22.32723
"2010-02-02",34.290001,34.5,33.75,34.310001,1119300,22.346777
"2010-02-03",34.09,34.27,33.5,33.669998,1104200,21.92992
"2010-02-04",33.290001,33.48,32.060001,32.650002,2595100,21.265577
"2010-02-05",33.029999,33.950001,32.650002,33.849998,2034300,22.047165
"2010-02-08",33.939999,34.119999,33.049999,33.169998,1860100,21.604261
"2010-02-09",33.709999,33.759998,32.380001,32.560001,2316700,21.206963
"2010-02-10",32.389999,32.939999,31.889999,32.540001,717500,21.193937
"2010-02-11",32.470001,32.790001,32.040001,32.66,837400,21.272097
"2010-02-12",31.940001,32.689999,31.709999,32.599998,1107100,21.538349
"2010-02-16",32.91,33.66,32.810001,33.639999,947000,22.225466
"2010-02-17",33.77,33.919998,33.52,33.68,520000,22.251894
"2010-02-18",33.639999,34.290001,33.529999,34.18,1178900,22.582233
"2010-02-19",33.860001,34.43,33.860001,34.290001,674600,22.654905
"2010-02-22",34.43,34.43,33.73,33.919998,697300,22.410454
"2010-02-23",33.869999,34.040001,33.48,33.529999,1055400,22.152782
"2010-02-24",33.720001,34.23,33.48,34.23,774500,22.615267
"2010-02-25",33.84,34.48,33.509998,34.400002,685000,22.727581
"2010-02-26",34.490002,34.98,34.209999,34.669998,1198600,22.905966
"2010-03-01",34.759998,35.400002,34.639999,35.32,1172000,23.335417
"2010-03-02",35.369999,35.41,35.080002,35.369999,861000,23.368446
"2010-03-03",35.57,35.610001,35.209999,35.310001,554400,23.328806
"2010-03-04",35.34,35.560001,35.290001,35.450001,564600,23.421303
"2010-03-05",35.669998,36.540001,35.459999,36.389999,970600,24.042347
"2010-03-08",36.290001,36.919998,36.16,36.779999,635100,24.300005
"2010-03-09",36.610001,37.66,36.540001,37.040001,1593400,24.471792
"2010-03-10",37.040001,37.220001,36.59,36.810001,1062500,24.319832
"2010-03-11",36.57,37.060001,36.439999,36.889999,943700,24.372696
"2010-03-12",37.130001,37.779999,37.040001,37.57,895800,24.821959
