"dates","RL.Open","RL.High","RL.Low","RL.Close","RL.Volume","RL.Adjusted"
"2010-01-04",81.839996,81.900002,80.18,81.559998,899700,69.613388
"2010-01-05",81.370003,84.989998,80.830002,84.760002,2044900,72.344681
"2010-01-06",84.739998,85.230003,83.779999,84.120003,873000,71.798424
"2010-01-07",84.150002,86.489998,84.120003,85.739998,1106900,73.181099
"2010-01-08",85.300003,86.489998,84.720001,86.370003,1202100,73.718849
"2010-01-11",86.480003,86.970001,84.989998,85.559998,1094600,73.027496
"2010-01-12",84.980003,85.660004,83.199997,83.82,867100,71.542343
"2010-01-13",84.25,85.970001,83.760002,85.699997,827200,73.146988
"2010-01-14",85.160004,85.639999,84.660004,85.110001,496900,72.64341
"2010-01-15",84.510002,85.529999,82.879997,83.830002,977500,71.55088
"2010-01-19",83.900002,84.940002,83.82,84.769997,596000,72.353165
"2010-01-20",84.120003,86.510002,83.760002,86.400002,1948000,73.744446
"2010-01-21",86.239998,86.949997,84.099998,84.480003,1307100,72.105675
"2010-01-22",84.599998,84.989998,81.879997,82.040001,1015500,70.023094
"2010-01-25",82.779999,83.419998,82.019997,82.769997,819500,70.646156
"2010-01-26",82.470001,83.610001,82.050003,82.57,666700,70.475456
"2010-01-27",82.410004,83.300003,81.760002,83.010002,575200,70.85099
"2010-01-28",83.209999,83.510002,81.739998,81.919998,874400,69.920647
"2010-01-29",82.120003,84.379997,81.730003,82,1681900,69.988945
"2010-02-01",82.800003,83.669998,82.629997,83.139999,792600,70.961967
"2010-02-02",83.510002,86.279999,83.029999,85.669998,1426600,73.121384
"2010-02-03",79.449997,81.209999,76.900002,78.510002,7881700,67.010139
"2010-02-04",77.650002,78.510002,76.879997,77.139999,2692400,65.840828
"2010-02-05",77.379997,77.57,75.059998,76.650002,3109400,65.422577
"2010-02-08",76.5,78.970001,76.139999,77.629997,1848500,66.259026
"2010-02-09",78.290001,79.440002,78.129997,78.589996,1514300,67.078445
"2010-02-10",78.589996,79.400002,77.639999,77.989998,1132600,66.566315
