"dates","ROL.Open","ROL.High","ROL.Low","ROL.Close","ROL.Volume","ROL.Adjusted"
"2010-01-04",3.832099,3.909136,3.808395,3.87358,839363,3.273418
"2010-01-05",3.879506,3.885432,3.836049,3.853827,701663,3.256726
"2010-01-06",3.845926,3.901235,3.845926,3.855802,841388,3.258395
"2010-01-07",3.841975,3.889383,3.800494,3.885432,536119,3.283434
"2010-01-08",3.871605,3.889383,3.849877,3.879506,330581,3.278426
"2010-01-11",3.891358,3.891358,3.847901,3.87358,466763,3.273418
"2010-01-12",3.843951,3.871605,3.830123,3.851852,521438,3.255057
"2010-01-13",3.861728,3.901235,3.832099,3.897284,385256,3.29345
"2010-01-14",3.913086,3.913086,3.867654,3.909136,224269,3.303466
"2010-01-15",3.915062,3.920988,3.778765,3.820247,887963,3.228349
"2010-01-19",3.794568,3.859753,3.790617,3.859753,732544,3.261734
"2010-01-20",3.830123,3.832099,3.721481,3.77679,748744,3.191624
"2010-01-21",3.788642,3.814321,3.685926,3.737284,582188,3.15824
"2010-01-22",3.719506,3.770864,3.681975,3.693827,683438,3.121516
"2010-01-25",3.707654,3.711605,3.64642,3.672099,377663,3.103154
"2010-01-26",3.652346,3.678025,3.624691,3.630617,463219,3.068099
"2010-01-27",3.668148,3.968395,3.666173,3.938765,2176369,3.328504
"2010-01-28",3.952593,3.952593,3.766914,3.834074,1029713,3.240034
"2010-01-29",3.836049,3.920988,3.836049,3.887407,1010981,3.285103
"2010-02-01",3.885432,3.909136,3.851852,3.879506,543713,3.278426
"2010-02-02",3.887407,3.915062,3.84,3.847901,646988,3.251718
"2010-02-03",3.843951,3.881481,3.798519,3.863704,758363,3.265073
"2010-02-04",3.849877,3.851852,3.786667,3.808395,829238,3.218333
"2010-02-05",3.808395,3.843951,3.77284,3.838025,737100,3.243372
"2010-02-08",3.836049,3.84,3.766914,3.77284,717356,3.203124
"2010-02-09",3.798519,3.834074,3.770864,3.81037,592819,3.234987
"2010-02-10",3.802469,3.812346,3.768889,3.792593,490556,3.219894
"2010-02-11",3.774815,3.863704,3.757037,3.863704,484481,3.280267
"2010-02-12",3.928889,3.982222,3.90321,3.974321,1897931,3.37418
"2010-02-16",4.007901,4.007901,3.956543,4,655594,3.395982
"2010-02-17",4.017778,4.059259,4.005926,4.059259,586238,3.446293
"2010-02-18",4.073086,4.142222,4.06716,4.134321,609525,3.510019
"2010-02-19",4.142222,4.187654,4.110617,4.177778,811519,3.546914
"2010-02-22",4.197531,4.239012,4.181728,4.229136,712800,3.590518
"2010-02-23",4.229136,4.239012,4.165926,4.197531,1106663,3.563685
