"dates","ROST.Open","ROST.High","ROST.Low","ROST.Close","ROST.Volume","ROST.Adjusted"
"2010-01-04",10.6925,10.7325,10.575,10.6725,15743600,9.58169
"2010-01-05",10.71,10.875,10.6525,10.8675,9369600,9.75676
"2010-01-06",10.815,11.0375,10.7875,11.035,13144800,9.907136
"2010-01-07",11.415,11.61,11.39,11.4875,23984800,10.313388
"2010-01-08",11.255,11.335,11.195,11.265,15926000,10.113631
"2010-01-11",11.3,11.335,11.13,11.32,10197600,10.163011
"2010-01-12",11.2925,11.375,11.2625,11.3625,9478400,10.201163
"2010-01-13",11.415,11.515,11.375,11.4825,7983600,10.3089
"2010-01-14",11.4325,11.47,11.3825,11.4,8125600,10.234831
"2010-01-15",11.4475,11.4525,11.2,11.22,6539600,10.073232
"2010-01-19",11.235,11.465,11.2325,11.445,6678400,10.275237
"2010-01-20",11.39,11.415,11.21,11.315,5241600,10.15852
"2010-01-21",11.3425,11.39,11.09,11.1075,8160000,9.972227
"2010-01-22",11.035,11.205,10.945,10.9575,9143600,9.837558
"2010-01-25",11.035,11.14,11.0025,11.0875,10186400,9.954269
"2010-01-26",11.05,11.35,11.01,11.3,10211600,10.145054
"2010-01-27",11.385,11.515,11.2125,11.5025,12769600,10.326855
"2010-01-28",11.53,11.5375,11.365,11.5075,13789200,10.331347
"2010-01-29",11.53,11.7325,11.4825,11.4825,13900400,10.3089
"2010-02-01",11.5675,11.7025,11.5,11.625,9596000,10.436835
"2010-02-02",11.5925,11.75,11.5575,11.7075,10828800,10.510904
"2010-02-03",11.6525,11.6775,11.4625,11.55,12430400,10.369501
"2010-02-04",11.295,11.52,11.26,11.3,13031600,10.145054
"2010-02-05",11.3425,11.535,11.3125,11.4925,11869200,10.317878
"2010-02-08",11.3625,11.535,11.23,11.2975,8425600,10.142809
"2010-02-09",11.42,11.475,11.285,11.385,7817600,10.221364
"2010-02-10",11.3775,11.455,11.2925,11.3275,7723600,10.169744
"2010-02-11",11.3725,11.5925,11.3125,11.55,7793600,10.369501
"2010-02-12",11.51,11.6175,11.4125,11.6075,6904800,10.421124
"2010-02-16",11.6675,11.7,11.56,11.6525,5942800,10.461525
"2010-02-17",11.67,11.775,11.6475,11.7725,5629600,10.605664
"2010-02-18",11.81,11.8475,11.7175,11.775,4888400,10.60792
"2010-02-19",11.7325,11.815,11.6425,11.775,6316400,10.60792
"2010-02-22",11.7625,11.825,11.6525,11.7875,7893200,10.619182
"2010-02-23",11.7875,11.82,11.6525,11.755,8288800,10.589902
"2010-02-24",11.825,12.0475,11.7525,12.035,7453600,10.842149
"2010-02-25",11.9625,12.245,11.88,12.2175,9108400,11.006557
"2010-02-26",12.2575,12.2675,12.1375,12.23,8029200,11.01782
"2010-03-01",12.265,12.3525,12.0925,12.325,8996800,11.103403
"2010-03-02",12.3625,12.405,12.2975,12.32,10063600,11.098904
"2010-03-03",12.36,12.4125,12.3025,12.3625,7551200,11.137191
"2010-03-04",12.5,12.8875,12.4175,12.765,15167200,11.499794
"2010-03-05",12.795,12.8525,12.69,12.785,12361200,11.517813
"2010-03-08",12.7725,12.9675,12.74,12.9475,7447200,11.664207
"2010-03-09",12.9475,12.9725,12.8325,12.87,10384000,11.594388
"2010-03-10",12.92,13.055,12.895,13.0175,9565200,11.727267
"2010-03-11",12.965,13.17,12.895,13.1525,11040000,11.848889
"2010-03-12",13.145,13.24,13.0975,13.23,6421200,11.918705
"2010-03-15",13.2325,13.43,13.1475,13.3875,8617200,12.060596
"2010-03-16",13.3875,13.5775,13.385,13.5525,8393200,12.209241
"2010-03-17",13.5875,13.625,13.4175,13.49,9937600,12.152934
"2010-03-18",13.355,13.4875,12.955,13.0375,19119600,11.745287
"2010-03-19",13.0375,13.5175,13.025,13.5175,20170000,12.177711
"2010-03-22",13.475,13.745,13.45,13.6725,8683200,12.317349
"2010-03-23",13.675,13.68,13.445,13.565,10936800,12.2205
"2010-03-24",13.565,13.565,13.34,13.395,8198000,12.06735
"2010-03-25",13.4475,13.535,13.3775,13.435,7839200,12.103389
"2010-03-26",13.225,13.4175,13.2025,13.4025,11890800,12.074111
"2010-03-29",13.4025,13.4625,13.27,13.37,5477600,12.044831
"2010-03-30",13.39,13.4525,13.265,13.32,9963200,11.999787
"2010-03-31",13.4075,13.455,13.125,13.3675,7000400,12.04258
"2010-04-01",13.455,13.5275,13.2875,13.355,6247200,12.031317
"2010-04-05",13.435,13.7825,13.4225,13.7425,8812000,12.38041
"2010-04-06",13.7425,13.775,13.5625,13.67,8561200,12.315098
"2010-04-07",13.6625,13.7275,13.4625,13.535,9813600,12.193476
"2010-04-08",13.825,14.135,13.7325,14.0275,18846400,12.637163
"2010-04-09",14.0675,14.1,13.8825,13.97,7982800,12.585363
"2010-04-12",14.0125,14.075,13.87,14.0025,6168400,12.614641
"2010-04-13",14,14.1575,13.97,14.13,6844800,12.729501
"2010-04-14",14.085,14.13,13.9875,14.1075,4638800,12.709233
"2010-04-15",14.0925,14.2025,14,14.1575,5435600,12.754277
"2010-04-16",14.155,14.22,13.9725,14.105,7432400,12.70698
"2010-04-19",14.0875,14.1575,13.8325,14.015,6867600,12.6259
"2010-04-20",14.1175,14.235,14.0275,14.175,7978400,12.770045
"2010-04-21",14.18,14.38,14.1175,14.28,7156800,12.864634
"2010-04-22",14.25,14.6375,14.185,14.6,8208800,13.15292
"2010-04-23",14.6675,14.715,14.44,14.6275,5050400,13.177694
"2010-04-26",14.6875,14.7325,14.5475,14.6,3825600,13.15292
"2010-04-27",14.53,14.65,14.26,14.2825,8718800,12.866889
"2010-04-28",14.3225,14.4075,14.02,14.07,7038800,12.675451
"2010-04-29",14.155,14.3825,14.075,14.3225,5585600,12.902922
"2010-04-30",14.38,14.3975,13.96,14,8548000,12.612387
"2010-05-03",14.0175,14.3625,13.9475,14.255,4131600,12.842113
"2010-05-04",14.155,14.1925,13.7175,13.765,9152000,12.400681
"2010-05-05",13.7125,14.0175,13.5875,13.75,9809200,12.38717
"2010-05-06",13.2075,13.4025,12.75,13.22,17252800,11.909698
"2010-05-07",13.1125,13.395,12.7925,12.875,10995600,11.598892
"2010-05-10",13.1975,13.4675,13.1875,13.465,7911600,12.130414
"2010-05-11",13.4025,13.685,13.21,13.52,6050800,12.179964
"2010-05-12",13.5125,13.5875,13.4275,13.565,5028000,12.2205
"2010-05-13",13.5375,13.565,13.14,13.19,5634800,11.882668
"2010-05-14",13.1325,13.19,12.9875,13.0725,7370000,11.776814
"2010-05-17",13.0675,13.265,12.8575,13.255,7918000,11.941232
"2010-05-18",13.09,13.27,12.8975,12.945,12409600,11.661955
"2010-05-19",12.9,13.13,12.865,12.9325,8056400,11.650691
"2010-05-20",12.6025,13.2675,12.5225,13.07,16757600,11.774568
"2010-05-21",13.1875,13.38,12.8075,13.1375,12618400,11.835375
"2010-05-24",13.1375,13.1625,12.955,13.075,7161200,11.779069
"2010-05-25",12.8225,13.255,12.715,13.2125,9417600,11.902939
