"dates","RTX.Open","RTX.High","RTX.Low","RTX.Close","RTX.Volume","RTX.Adjusted"
"2010-01-04",44.18502,45.223412,43.96476,45.078667,9699415,34.449886
"2010-01-05",45.084957,45.084957,44.229076,44.405285,7952786,33.935265
"2010-01-06",44.405285,44.575207,44.071743,44.172436,7511044,33.75732
"2010-01-07",44.059158,44.443047,43.782253,44.361233,6776132,33.901608
"2010-01-08",44.216488,44.493393,44.210194,44.449341,7396477,33.968952
"2010-01-11",44.512272,45.475143,44.512272,45.412209,8787170,34.704781
"2010-01-12",45.18565,45.280048,44.719952,45.147892,7423808,34.502785
"2010-01-13",45.198238,45.726871,45.179359,45.66394,7749712,34.897156
"2010-01-14",45.462555,45.846443,45.387035,45.82127,5643016,35.017399
"2010-01-15",45.833858,45.89679,45.11013,45.305222,8490504,34.623032
"2010-01-19",45.305222,45.903084,45.084957,45.494022,5848632,34.7673
"2010-01-20",45.31781,45.462555,44.449341,44.952801,5836715,34.353695
"2010-01-21",44.965385,45.217117,43.895531,44.134678,8121856,33.728477
"2010-01-22",43.97105,44.235367,43.423538,43.473885,9238446,33.223476
"2010-01-25",43.744492,43.744492,43.146633,43.165512,7944047,32.987831
"2010-01-26",42.794209,43.33543,42.668346,43.089993,7939280,32.930103
"2010-01-27",42.328506,42.69981,41.85022,42.548775,12220522,32.516491
"2010-01-28",42.599117,42.687225,41.881687,42.397736,8864554,32.401058
"2010-01-29",42.41032,43.102581,41.938328,42.466961,11491807,32.453976
"2010-02-01",42.643173,42.77533,42.290749,42.511013,7812636,32.487637
"2010-02-02",42.724983,43.064819,42.599117,42.813091,9739458,32.718494
"2010-02-03",42.680931,43.064819,42.605412,42.945248,6595939,32.819496
"2010-02-04",42.712399,42.762745,41.749527,41.7747,9507305,31.92494
"2010-02-05",41.7747,42.164883,40.937698,41.85022,12434402,31.982641
"2010-02-08",41.711769,41.743237,41.101322,41.157963,8358776,31.453613
"2010-02-09",41.661423,42.234112,41.35305,41.862808,8385948,31.99226
"2010-02-10",41.862808,42.120831,41.604782,41.938328,7838696,32.049992
"2010-02-11",41.762115,42.070484,41.447453,41.98238,8746015,32.083645
"2010-02-12",41.472626,41.699181,40.912525,41.340466,12644309,31.593084
"2010-02-16",41.573318,41.806168,41.258652,41.743237,9996399,31.90089
"2010-02-17",41.724354,42.498428,41.422279,42.385147,9515727,32.600334
"2010-02-18",42.498428,42.976715,42.429199,42.863438,6554307,32.968204
"2010-02-19",42.945248,43.360603,42.863438,43.12146,8415503,33.166672
"2010-02-22",43.322845,43.373192,42.876022,43.04594,5261656,33.108562
"2010-02-23",43.033356,43.266205,42.618,42.662052,6598005,32.813313
"2010-02-24",42.91378,43.234737,42.662052,43.184395,7694574,33.215073
"2010-02-25",42.523602,43.234737,42.19635,43.215858,9407833,33.239265
"2010-02-26",43.215858,43.41095,42.882317,43.203274,6313415,33.229584
