"dates","SBUX.Open","SBUX.High","SBUX.Low","SBUX.Close","SBUX.Volume","SBUX.Adjusted"
"2010-01-04",11.66,11.665,11.455,11.525,16370000,9.592013
"2010-01-05",11.48,12,11.445,11.795,30058800,9.816728
"2010-01-06",11.74,11.81,11.63,11.71,14209600,9.745985
"2010-01-07",11.64,11.765,11.595,11.68,10256000,9.721021
"2010-01-08",11.6,11.8,11.595,11.64,10274800,9.687727
"2010-01-11",11.685,11.685,11.435,11.605,11387000,9.658594
"2010-01-12",11.45,11.595,11.25,11.41,15429600,9.496301
"2010-01-13",11.45,11.75,11.385,11.69,15098400,9.72934
"2010-01-14",11.62,11.8,11.605,11.775,15517400,9.800083
"2010-01-15",11.865,11.875,11.455,11.635,21862600,9.683563
"2010-01-19",11.7,11.9,11.58,11.79,18908200,9.812567
"2010-01-20",11.87,11.9,11.425,11.645,33950400,9.691886
"2010-01-21",12.06,12.225,11.665,11.84,53670800,9.854182
"2010-01-22",11.815,11.915,11.425,11.455,24557600,9.533754
"2010-01-25",11.5,11.53,11.135,11.2,24673800,9.321525
"2010-01-26",11.105,11.37,11.085,11.27,22492600,9.379781
"2010-01-27",11.27,11.285,11.065,11.205,21200200,9.325684
"2010-01-28",11.25,11.315,10.93,11.04,28730400,9.188359
"2010-01-29",11.06,11.265,10.875,10.895,18741800,9.067679
"2010-02-01",10.995,11.135,10.885,11.115,13498800,9.250774
"2010-02-02",11.075,11.245,10.955,11.225,15336200,9.342332
"2010-02-03",11.195,11.245,11.05,11.215,14938600,9.334003
"2010-02-04",11.13,11.195,10.895,10.905,19542400,9.075999
"2010-02-05",10.895,11.02,10.63,10.85,22069800,9.030226
"2010-02-08",10.83,11.075,10.705,10.955,15988600,9.117614
"2010-02-09",11.075,11.15,10.83,11.095,20816200,9.234133
"2010-02-10",11.02,11.265,11.02,11.185,20032800,9.309037
"2010-02-11",11.13,11.34,10.965,11.28,18518200,9.388104
"2010-02-12",11.035,11.34,11.03,11.3,15750800,9.404753
"2010-02-16",11.345,11.44,11.235,11.44,16820000,9.521268
"2010-02-17",11.535,11.65,11.485,11.575,12950400,9.63363
"2010-02-18",11.605,11.66,11.505,11.63,9300600,9.679402
"2010-02-19",11.585,11.73,11.585,11.68,9731800,9.721021
"2010-02-22",11.665,11.68,11.41,11.45,16983800,9.529595
"2010-02-23",11.38,11.455,11.235,11.34,16508400,9.43804
"2010-02-24",11.375,11.54,11.355,11.54,12921000,9.604498
"2010-02-25",11.325,11.49,11.215,11.45,18623800,9.529595
"2010-02-26",11.46,11.495,11.34,11.455,12100000,9.533754
"2010-03-01",11.465,11.67,11.455,11.645,12703000,9.691886
"2010-03-02",11.59,11.7,11.54,11.665,17122200,9.708531
