"dates","SCHW.Open","SCHW.High","SCHW.Low","SCHW.Close","SCHW.Volume","SCHW.Adjusted"
"2010-01-04",19.209999,19.85,18.91,19.780001,14023600,17.172073
"2010-01-05",19.389999,19.73,19.27,19.719999,13248300,17.119984
"2010-01-06",19.639999,19.68,19.23,19.360001,10143700,16.807446
"2010-01-07",19.1,19.389999,18.67,19.290001,19494500,16.746681
"2010-01-08",19.18,19.24,18.969999,19.16,9655100,16.633816
"2010-01-11",19.280001,19.280001,18.98,19.110001,9586600,16.590406
"2010-01-12",19,19.43,18.959999,19.09,11449100,16.57305
"2010-01-13",19.17,19.190001,18.950001,19.1,12530900,16.581726
"2010-01-14",19,19.34,18.959999,19.18,6612800,16.651175
"2010-01-15",19.02,19.16,18.77,19,13235600,16.494917
"2010-01-19",19,19.41,18.91,19.290001,10795900,16.746681
"2010-01-20",18.780001,19.110001,18.65,19.02,28242900,16.512276
"2010-01-21",19.040001,19.309999,18.790001,19.15,49512700,16.625132
"2010-01-22",19.139999,19.26,18.76,18.82,26803300,16.338646
"2010-01-25",19.01,19.1,18.84,18.959999,12216000,16.460188
"2010-01-26",18.879999,19.09,18.620001,18.629999,13896700,16.173693
"2010-01-27",18.73,18.82,18.469999,18.74,16489200,16.269197
"2010-01-28",18.809999,18.809999,18.33,18.42,14864700,15.991385
"2010-01-29",18.66,18.690001,18.18,18.290001,10510700,15.878519
"2010-02-01",18.450001,18.51,18.309999,18.440001,8519200,16.008751
"2010-02-02",18.200001,18.549999,18.129999,18.23,15495600,15.826438
"2010-02-03",18.299999,18.4,18.040001,18.17,12133500,15.774349
"2010-02-04",18.030001,18.120001,17.5,17.59,28299200,15.270817
"2010-02-05",17.559999,18.08,17.559999,18.07,19732000,15.687529
"2010-02-08",18.049999,18.09,17.709999,17.719999,14734000,15.383671
"2010-02-09",17.879999,17.98,17.440001,17.5,16020900,15.192687
"2010-02-10",17.49,18.02,17.389999,17.870001,26045100,15.567271
"2010-02-11",17.85,17.92,17.59,17.68,9711700,15.401761
"2010-02-12",17.75,17.77,17.48,17.610001,15981100,15.340772
"2010-02-16",17.620001,17.83,17.549999,17.809999,8150700,15.515004
"2010-02-17",17.870001,17.9,17.5,17.74,10138300,15.454028
"2010-02-18",17.610001,17.870001,17.6,17.809999,10787000,15.515004
"2010-02-19",18.15,18.84,18.120001,18.73,26144900,16.316456
"2010-02-22",18.700001,18.870001,18.58,18.709999,14953500,16.29903
"2010-02-23",18.629999,18.719999,18.360001,18.41,11761700,16.037691
"2010-02-24",18.370001,18.540001,18.360001,18.43,9636400,16.055111
"2010-02-25",18.219999,18.280001,18.02,18.26,11696400,15.907014
"2010-02-26",18.35,18.379999,18.1,18.309999,11311000,15.950578
"2010-03-01",18.24,18.389999,18.219999,18.25,7913800,15.898303
"2010-03-02",18.26,18.35,18.07,18.26,5904800,15.907014
"2010-03-03",18.280001,18.42,18.09,18.120001,10580800,15.785058
"2010-03-04",18.18,18.690001,18.15,18.43,7293200,16.055111
"2010-03-05",18.48,18.959999,18.43,18.959999,8003800,16.516817
"2010-03-08",18.93,19.110001,18.83,19.040001,7081200,16.586506
"2010-03-09",19.030001,19.110001,18.780001,18.969999,6132400,16.525524
"2010-03-10",18.99,19.17,18.9,19.059999,8201800,16.603933
"2010-03-11",19,19.129999,18.75,19.1,7653800,16.638773
"2010-03-12",18.889999,18.950001,18.33,18.43,19925100,16.055111
"2010-03-15",18.33,18.5,18.15,18.24,16563200,15.889587
"2010-03-16",18.309999,18.540001,18.209999,18.469999,15542900,16.089952
"2010-03-17",18.27,18.6,18.27,18.49,13029800,16.107378
"2010-03-18",18.389999,18.82,18.389999,18.790001,8925500,16.368721
"2010-03-19",18.83,18.959999,18.58,18.58,14262400,16.185781
"2010-03-22",18.51,18.66,18.4,18.540001,7779700,16.15093
"2010-03-23",18.58,18.690001,18.43,18.52,9209400,16.133522
"2010-03-24",18.49,18.559999,18.200001,18.450001,8590700,16.072535
"2010-03-25",18.48,18.879999,18.379999,18.719999,11928700,16.307741
"2010-03-26",18.77,18.91,18.59,18.76,13440500,16.34259
"2010-03-29",18.76,18.940001,18.68,18.73,11824500,16.316456
"2010-03-30",18.700001,18.809999,18.549999,18.75,8654100,16.333876
"2010-03-31",18.690001,18.780001,18.52,18.690001,10355600,16.281607
"2010-04-01",18.76,18.969999,18.389999,18.620001,9426600,16.220627
"2010-04-05",18.629999,18.889999,18.51,18.879999,12933000,16.447123
"2010-04-06",18.9,19.34,18.75,19.24,18277000,16.760727
"2010-04-07",19.27,19.530001,19.26,19.27,15478400,16.786869
"2010-04-08",19.16,19.290001,19.059999,19.120001,10227100,16.656197
"2010-04-09",19.129999,19.280001,19.059999,19.23,6708300,16.752022
"2010-04-12",19.24,19.629999,19.200001,19.549999,7776000,17.030785
"2010-04-13",19.51,19.68,19.34,19.610001,7023300,17.083054
"2010-04-14",19.700001,19.74,19.17,19.35,16532200,16.85656
"2010-04-15",19,19.389999,18.99,19.299999,13796800,16.813
"2010-04-16",19.209999,19.27,18.67,18.959999,20416000,16.516817
"2010-04-19",18.77,19.120001,18.709999,19.059999,10537800,16.603933
"2010-04-20",19.280001,19.43,19.17,19.290001,12956800,16.804295
"2010-04-21",19.33,19.549999,19.299999,19.49,11161600,16.978521
"2010-04-22",19.35,19.620001,19.129999,19.6,8499000,17.074347
"2010-04-23",19.59,19.91,19.379999,19.879999,10312400,17.318266
"2010-04-26",19.82,19.950001,19.51,19.540001,8609500,17.022078
"2010-04-27",19.4,19.43,18.84,18.879999,13787900,16.447123
"2010-04-28",19.09,19.25,18.870001,18.98,10635800,16.534233
"2010-04-29",19.07,19.52,18.950001,19.27,7682600,16.786869
"2010-04-30",19.299999,19.450001,19.049999,19.290001,10042600,16.804295
"2010-05-03",19.379999,19.719999,19.309999,19.559999,7452200,17.039499
"2010-05-04",19.280001,19.389999,18.799999,18.91,12432400,16.473261
"2010-05-05",18.82,19.040001,18.620001,18.809999,8812600,16.438301
"2010-05-06",18.75,18.959999,17.059999,18.219999,20355800,15.922693
"2010-05-07",18.15,18.15,17.190001,17.219999,31526300,15.04878
"2010-05-10",18,19.1,17.860001,18.129999,21064500,15.844033
"2010-05-11",17.85,18.09,17.629999,17.639999,15511900,15.415823
"2010-05-12",17.690001,17.93,17.610001,17.68,11066400,15.45078
"2010-05-13",17.66,17.809999,17.49,17.5,8293200,15.293469
"2010-05-14",17.4,17.440001,16.66,16.870001,21908000,14.742912
"2010-05-17",16.950001,17.450001,16.809999,17.379999,17701000,15.188604
"2010-05-18",17.49,17.59,16.639999,16.959999,19848900,14.821561
"2010-05-19",16.99,17.190001,16.709999,17.1,21871400,14.943913
"2010-05-20",16.790001,16.950001,16.190001,16.219999,23335900,14.174864
"2010-05-21",16.040001,16.700001,15.89,16.67,16278500,14.56813
"2010-05-24",16.65,16.65,16.200001,16.219999,9649000,14.174864
"2010-05-25",15.93,16.4,15.7,16.389999,15142700,14.323435
"2010-05-26",16.440001,16.559999,16.129999,16.200001,13712800,14.157387
