"dates","SLG.Open","SLG.High","SLG.Low","SLG.Close","SLG.Volume","SLG.Adjusted"
"2010-01-04",52.193615,52.78064,50.030895,50.39135,2345548,36.447327
"2010-01-05",50.16478,50.267765,48.650875,49.45417,2489838,35.769489
"2010-01-06",49.62925,50.247169,48.78476,49.124615,1936174,35.531128
"2010-01-07",49.289391,50.422245,48.08445,50.37075,2088427,36.432438
"2010-01-08",49.876415,50.31926,48.68177,50.0103,2146396,36.171722
"2010-01-11",51.38002,51.99794,50.587025,50.906281,1222683,36.819786
"2010-01-12",50.15448,52.337795,50.15448,51.101955,2939217,36.961308
"2010-01-13",51.15345,52.52317,50.484035,52.327496,1358720,37.847702
"2010-01-14",52.028835,53.202885,51.493305,52.100925,1401541,37.683849
"2010-01-15",51.905251,52.430485,51.493305,51.5448,1080723,37.281609
"2010-01-19",51.555099,53.76931,51.5345,53.264675,1571564,38.525566
"2010-01-20",52.60556,52.801235,51.658085,52.502575,1094511,37.974354
"2010-01-21",52.790936,53.16169,49.093719,49.134911,1820625,35.538574
"2010-01-22",48.38311,49.557159,46.39547,47.37384,2847069,34.26482
"2010-01-25",47.950565,47.950565,45.437695,47.291451,2808715,34.205231
"2010-01-26",46.786819,47.950565,45.798145,47.08548,2560527,34.056252
"2010-01-27",46.972195,47.7034,45.75695,47.30175,2330691,34.212673
"2010-01-28",47.342945,47.47683,46.673531,47.00309,1883255,33.996658
"2010-01-29",47.404736,47.744595,46.1483,46.84861,1879371,33.884926
"2010-02-01",48.08445,49.08342,47.507725,48.970135,1754500,35.419392
"2010-02-02",49.207005,49.46447,48.53759,49.423275,1477571,35.747147
"2010-02-03",49.06282,49.289391,48.16684,49.186405,1473104,35.575821
"2010-02-04",48.589085,48.589085,46.282185,46.44696,2223784,33.594406
"2010-02-05",46.519054,47.878475,45.118435,46.900105,2229125,33.922173
"2010-02-08",47.209064,47.796085,45.3759,45.499485,1445722,32.909111
"2010-02-09",46.426365,46.426365,44.6241,45.581875,1774503,32.968716
"2010-02-10",45.478889,46.652935,44.788876,46.08651,1236083,33.333714
