"dates","SNPS.Open","SNPS.High","SNPS.Low","SNPS.Close","SNPS.Volume","SNPS.Adjusted"
"2010-01-04",22.209999,22.57,22.209999,22.440001,1883600,22.440001
"2010-01-05",22.370001,22.5,22.09,22.25,1723700,22.25
"2010-01-06",22.190001,22.290001,22.07,22.209999,1214800,22.209999
"2010-01-07",22.209999,22.219999,22.02,22.15,1024100,22.15
"2010-01-08",22.1,22.32,22.059999,22.309999,736000,22.309999
"2010-01-11",22.33,22.35,22.02,22.120001,1097800,22.120001
"2010-01-12",21.969999,22.08,21.780001,21.799999,1981200,21.799999
"2010-01-13",21.790001,22.049999,21.74,22.01,999700,22.01
"2010-01-14",21.969999,22.219999,21.950001,22.190001,1026900,22.190001
"2010-01-15",22.120001,22.200001,21.92,21.969999,1210800,21.969999
"2010-01-19",21.93,22.040001,21.85,21.98,1850700,21.98
"2010-01-20",21.889999,22.040001,21.700001,21.98,1636400,21.98
"2010-01-21",22.049999,22.35,21.950001,22.219999,1906600,22.219999
"2010-01-22",22.219999,22.27,21.879999,21.889999,2363200,21.889999
"2010-01-25",21.98,22.030001,21.65,21.74,1416100,21.74
"2010-01-26",21.68,21.719999,21.389999,21.459999,1016300,21.459999
"2010-01-27",21.379999,21.59,21.200001,21.530001,1301500,21.530001
"2010-01-28",21.49,21.52,20.92,21.139999,1464800,21.139999
"2010-01-29",21.23,21.5,21.1,21.27,1974700,21.27
"2010-02-01",21.370001,21.459999,21.219999,21.360001,993800,21.360001
"2010-02-02",21.33,21.719999,21.24,21.34,1374800,21.34
"2010-02-03",21.26,21.450001,21.129999,21.4,1293500,21.4
"2010-02-04",21.25,21.26,21.02,21.049999,1207000,21.049999
"2010-02-05",21.07,21.200001,20.809999,21.17,1299900,21.17
"2010-02-08",21.139999,21.24,20.889999,20.950001,739000,20.950001
"2010-02-09",21.07,21.209999,20.870001,21.059999,953400,21.059999
"2010-02-10",21.02,21.24,20.99,21.139999,680100,21.139999
"2010-02-11",21.040001,21.139999,20.9,21.07,1219600,21.07
"2010-02-12",20.959999,21.530001,20.709999,21.51,1527000,21.51
"2010-02-16",21.5,21.620001,21.120001,21.209999,1799700,21.209999
"2010-02-17",21.15,22.17,21.15,22.1,2296500,22.1
"2010-02-18",22.030001,22.139999,21.75,21.790001,2045700,21.790001
"2010-02-19",21.700001,21.809999,21.309999,21.35,2884300,21.35
"2010-02-22",21.450001,22.09,21.33,22.040001,2116800,22.040001
"2010-02-23",21.93,22.16,21.860001,21.9,1875700,21.9
"2010-02-24",21.889999,22.049999,21.889999,22.040001,1516300,22.040001
"2010-02-25",21.93,22.030001,21.690001,22.02,1411100,22.02
"2010-02-26",22.07,22.07,21.85,21.9,946800,21.9
"2010-03-01",21.719999,22.08,21.719999,22.08,2021800,22.08
"2010-03-02",22.07,22.25,22.07,22.209999,1850200,22.209999
"2010-03-03",22.17,22.34,22.049999,22.190001,797700,22.190001
"2010-03-04",22.17,22.299999,22.1,22.27,770700,22.27
"2010-03-05",22.299999,22.49,22.209999,22.440001,692300,22.440001
"2010-03-08",22.35,22.5,22.33,22.459999,614000,22.459999
"2010-03-09",22.370001,22.639999,22.370001,22.540001,834300,22.540001
"2010-03-10",22.469999,22.75,22.469999,22.75,975400,22.75
"2010-03-11",22.629999,22.799999,22.57,22.65,1019300,22.65
"2010-03-12",22.76,22.76,22.549999,22.75,617000,22.75
"2010-03-15",22.66,22.75,22.450001,22.65,743000,22.65
"2010-03-16",22.51,22.639999,22.379999,22.620001,1027500,22.620001
"2010-03-17",22.6,22.76,22.440001,22.66,1048600,22.66
"2010-03-18",22.58,22.860001,22.58,22.77,832500,22.77
"2010-03-19",22.85,22.889999,22.52,22.540001,1335500,22.540001
"2010-03-22",22.52,22.83,22.52,22.799999,710100,22.799999
"2010-03-23",22.84,22.85,22.59,22.780001,1277900,22.780001
"2010-03-24",22.73,22.93,22.559999,22.809999,2042400,22.809999
"2010-03-25",23,23,22.530001,22.549999,1023400,22.549999
"2010-03-26",22.610001,22.67,22.360001,22.5,594300,22.5
"2010-03-29",22.5,22.639999,22.370001,22.440001,540800,22.440001
"2010-03-30",22.379999,22.530001,22.35,22.469999,647500,22.469999
"2010-03-31",22.48,22.530001,22.34,22.370001,775900,22.370001
"2010-04-01",22.41,22.629999,22.389999,22.549999,1382900,22.549999
"2010-04-05",22.639999,23.01,22.59,23.01,1737300,23.01
"2010-04-06",22.99,23.01,22.610001,22.91,1088400,22.91
"2010-04-07",22.809999,22.809999,22.57,22.73,1004000,22.73
"2010-04-08",22.65,22.709999,22.5,22.700001,807700,22.700001
"2010-04-09",22.76,23.049999,22.65,23.040001,1026900,23.040001
"2010-04-12",23,23.07,22.879999,23.059999,762600,23.059999
"2010-04-13",23.07,23.280001,23.01,23.280001,1002200,23.280001
"2010-04-14",23.35,23.450001,23.190001,23.379999,858300,23.379999
"2010-04-15",23.280001,23.309999,23.15,23.16,649700,23.16
"2010-04-16",23.26,23.26,22.879999,23.08,1343700,23.08
"2010-04-19",23,23.110001,22.709999,23.030001,1254500,23.030001
"2010-04-20",23.08,23.290001,22.959999,23.219999,765500,23.219999
"2010-04-21",23.07,23.290001,23.07,23.24,703200,23.24
"2010-04-22",23.049999,23.190001,22.65,23.15,1077400,23.15
"2010-04-23",23.15,23.18,22.860001,23.139999,1081500,23.139999
"2010-04-26",23.01,23.24,23.01,23.18,633400,23.18
"2010-04-27",23.08,23.209999,22.76,22.799999,1867000,22.799999
"2010-04-28",22.860001,23.07,22.700001,22.99,1281900,22.99
"2010-04-29",22.809999,23.23,22.809999,23.129999,1072800,23.129999
"2010-04-30",23.110001,23.139999,22.66,22.66,845100,22.66
"2010-05-03",22.73,22.99,22.67,22.9,743200,22.9
"2010-05-04",22.700001,22.700001,22.27,22.360001,1131500,22.360001
"2010-05-05",22.290001,22.51,22.08,22.09,1228500,22.09
"2010-05-06",21.950001,22.139999,20.690001,21.75,2457000,21.75
"2010-05-07",21.639999,21.75,20.969999,21.33,2220500,21.33
"2010-05-10",21.959999,22.09,21.629999,21.99,1308100,21.99
"2010-05-11",21.76,22.15,21.65,21.959999,2025700,21.959999
"2010-05-12",21.950001,22.49,21.870001,22.450001,1261500,22.450001
"2010-05-13",22.360001,22.59,22.32,22.360001,1081700,22.360001
"2010-05-14",22.290001,22.309999,21.75,21.92,1743400,21.92
"2010-05-17",22.049999,22.299999,21.75,22.27,1370100,22.27
"2010-05-18",22.440001,22.49,21.860001,21.959999,1577900,21.959999
"2010-05-19",21.92,22.07,21.610001,21.799999,1540500,21.799999
"2010-05-20",21.43,21.59,21.02,21.049999,2249200,21.049999
"2010-05-21",20.91,21.389999,20.73,21.25,1981200,21.25
"2010-05-24",21.280001,21.360001,20.959999,21.01,2287900,21.01
"2010-05-25",20.73,21.35,20.469999,21.309999,2221300,21.309999
"2010-05-26",21.34,21.99,21.059999,21.52,3094100,21.52
"2010-05-27",21.77,21.959999,21.450001,21.639999,2010100,21.639999
"2010-05-28",21.559999,21.620001,21.27,21.42,1806600,21.42
"2010-06-01",21.25,21.610001,21.219999,21.23,1658800,21.23
"2010-06-02",21.389999,21.73,21.209999,21.700001,1427700,21.700001
"2010-06-03",21.629999,22.219999,21.620001,22.16,1396600,22.16
"2010-06-04",21.73,22.030001,21.559999,21.59,1964300,21.59
"2010-06-07",21.610001,21.780001,20.92,20.940001,1584800,20.940001
"2010-06-08",21.01,21.120001,20.74,20.98,1389000,20.98
"2010-06-09",21.09,21.370001,20.940001,21.059999,1101000,21.059999
"2010-06-10",21.34,21.459999,20.58,21.26,2592000,21.26
"2010-06-11",21.139999,21.75,21.139999,21.75,1759000,21.75
"2010-06-14",21.950001,22.25,21.790001,21.889999,1726500,21.889999
"2010-06-15",21.889999,22.370001,21.889999,22.34,1162600,22.34
"2010-06-16",22.129999,22.379999,22.1,22.34,1016300,22.34
"2010-06-17",22.280001,22.440001,22.15,22.389999,1303900,22.389999
"2010-06-18",22.389999,22.5,22.299999,22.41,1123100,22.41
"2010-06-21",22.51,22.540001,22.16,22.23,1163900,22.23
"2010-06-22",22.190001,22.549999,22.049999,22.07,1047200,22.07
"2010-06-23",22.129999,22.25,21.889999,22.030001,952800,22.030001
"2010-06-24",21.889999,22,21.65,21.690001,1009600,21.690001
"2010-06-25",21.700001,22.07,21.58,21.82,3296800,21.82
"2010-06-28",21.889999,22.129999,21.719999,21.959999,1044100,21.959999
"2010-06-29",21.68,21.799999,21.190001,21.290001,1202300,21.290001
"2010-06-30",21.32,21.43,20.85,20.870001,1418300,20.870001
"2010-07-01",20.85,20.860001,20.360001,20.639999,1718500,20.639999
"2010-07-02",20.75,20.790001,20.370001,20.51,959400,20.51
"2010-07-06",20.66,20.870001,20.27,20.459999,1665400,20.459999
"2010-07-07",21.58,21.6,20.969999,21.48,2641200,21.48
"2010-07-08",21.629999,21.709999,21.25,21.41,1446100,21.41
"2010-07-09",21.33,21.48,21.219999,21.450001,1101600,21.450001
"2010-07-12",21.459999,21.610001,21.25,21.559999,983600,21.559999
"2010-07-13",21.68,22,21.629999,21.98,1119000,21.98
"2010-07-14",21.790001,21.98,21.73,21.83,1113800,21.83
"2010-07-15",21.790001,21.889999,21.6,21.76,1333400,21.76
