"dates","STT.Open","STT.High","STT.Low","STT.Close","STT.Volume","STT.Adjusted"
"2010-01-04",43.810001,44.779999,43.549999,44.459999,3440300,35.497318
"2010-01-05",44.52,45,44.02,44.549999,3992500,35.569176
"2010-01-06",44.400002,44.669998,43.650002,43.810001,4062100,34.978348
"2010-01-07",44.349998,44.860001,43.98,44.599998,5273100,35.609081
"2010-01-08",44.759998,45.880001,44.389999,45.509998,6038000,36.33564
"2010-01-11",45.889999,46.099998,44.209999,44.360001,4260000,35.417477
"2010-01-12",43.91,44.849998,43.91,44.200001,3432600,35.289726
"2010-01-13",44.5,44.77,43.650002,44.610001,2741000,35.617065
"2010-01-14",44.330002,44.419998,43.189999,43.790001,4268500,34.962376
"2010-01-15",43.52,44.099998,42.52,42.669998,6887100,34.068165
"2010-01-19",42.509998,43.330002,42.450001,43.200001,6995200,34.491314
"2010-01-20",43.889999,46.82,43.880001,46.279999,12516300,36.950409
"2010-01-21",46.209999,46.900002,45.349998,45.470001,8060100,36.303711
"2010-01-22",45.400002,45.849998,43.049999,43.360001,6370300,34.619068
"2010-01-25",43.849998,44.419998,43.169998,43.939999,3559200,35.082153
"2010-01-26",43.889999,44.34,42.48,43.080002,5314700,34.395512
"2010-01-27",42.880001,44.610001,42.700001,44.509998,5125200,35.537228
"2010-01-28",44.759998,44.759998,43.139999,43.830002,4129400,34.994316
"2010-01-29",44.150002,44.52,42.610001,42.880001,5285700,34.235828
"2010-02-01",43.27,44.220001,43.09,44.16,4831700,35.25779
"2010-02-02",44.16,44.759998,43.849998,44.57,5885200,35.58514
"2010-02-03",44.400002,44.610001,44.099998,44.400002,4762400,35.449409
"2010-02-04",44.02,44.349998,43,43.07,7108400,34.387527
"2010-02-05",43.290001,43.630001,42.02,43.349998,8363900,34.611084
"2010-02-08",43.32,44.310001,42.900002,43,5983200,34.331642
"2010-02-09",43.5,44.360001,43.32,44.220001,8471100,35.305706
"2010-02-10",44.220001,45.330002,43.990002,44.639999,5670300,35.641033
"2010-02-11",44.650002,45.299999,44.130001,45.049999,4879600,35.968384
"2010-02-12",44.580002,44.91,44.110001,44.619999,5845700,35.625053
"2010-02-16",44.810001,45.57,44.459999,45.470001,5037100,36.303711
"2010-02-17",45.380001,45.450001,44.52,44.84,4456800,35.800705
"2010-02-18",44.540001,45.32,44.48,45.23,5354600,36.112099
"2010-02-19",45.279999,47.549999,45.209999,46.639999,9715600,37.237846
"2010-02-22",46.740002,47.150002,46.389999,46.779999,5888600,37.349621
"2010-02-23",46.610001,46.959999,45.639999,45.860001,5167200,36.615093
"2010-02-24",44.599998,45.799999,44.450001,45.380001,8404500,36.231853
"2010-02-25",44.41,45.049999,44.130001,44.990002,7236500,35.920475
"2010-02-26",44.889999,45.169998,44.43,44.91,4911700,35.856602
"2010-03-01",45.040001,45.220001,44.720001,44.970001,3332500,35.904507
"2010-03-02",45.119999,45.540001,44.959999,45.029999,3427000,35.952412
"2010-03-03",45.060001,45.599998,44.849998,44.919998,2751200,35.864586
"2010-03-04",45.060001,45.259998,44.73,45.099998,3835700,36.008293
"2010-03-05",45.48,45.919998,45.07,45.639999,3927800,36.439449
"2010-03-08",45.77,46.099998,45.25,45.490002,4222400,36.319668
