"dates","SYF.Open","SYF.High","SYF.Low","SYF.Close","SYF.Volume","SYF.Adjusted"
"2014-07-31",23,24,22.6,23,56477500,20.452145
"2014-08-01",22.9,23,22.67,23,6458900,20.452145
"2014-08-04",23.1,23.129999,22.9,23,3455900,20.452145
"2014-08-05",22.99,23.01,22.67,23,4450200,20.452145
"2014-08-06",22.799999,22.98,22.67,22.98,6993400,20.434361
"2014-08-07",22.889999,23,22.799999,22.93,3186900,20.389904
"2014-08-08",22.93,23.030001,22.799999,22.950001,2855000,20.407688
"2014-08-11",22.9,22.93,22.799999,22.93,1767500,20.389904
"2014-08-12",22.889999,23,22.83,23,1549700,20.452145
"2014-08-13",23,23.23,22.879999,23.18,1659100,20.612209
"2014-08-14",23.200001,23.219999,22.950001,23.01,1391700,20.461042
"2014-08-15",23.02,23.08,23,23,1948100,20.452145
"2014-08-18",23.059999,23.17,23.02,23.17,1073700,20.603319
"2014-08-19",23.200001,24.434999,23.200001,24.41,2851800,21.705956
"2014-08-20",24.299999,25.59,24.26,25.190001,3544500,22.399549
"2014-08-21",25.469999,25.52,24.92,25.389999,2358000,22.577389
"2014-08-22",25.25,25.43,25.1,25.360001,891600,22.550716
"2014-08-25",25.370001,25.4,24.879999,25.120001,1185400,22.337303
"2014-08-26",25,25.1,24.940001,25.049999,951000,22.275055
"2014-08-27",25,25.540001,24.950001,25.469999,1230600,22.648527
"2014-08-28",25.4,25.84,25.309999,25.690001,981700,22.844158
"2014-08-29",25.809999,25.940001,25.450001,25.790001,981200,22.933083
"2014-09-02",25.700001,25.9,25.52,25.790001,1873200,22.933083
"2014-09-03",25.99,25.997,25.629999,25.790001,996500,22.933083
"2014-09-04",25.530001,25.75,25.51,25.700001,1117500,22.853052
"2014-09-05",25.700001,26.02,25.620001,25.77,1089800,22.915297
"2014-09-08",25.82,25.98,24.620001,24.84,2534800,22.088322
"2014-09-09",25.299999,25.6,24.700001,25.040001,3608600,22.266165
"2014-09-10",25.190001,25.305,24.690001,24.700001,1974600,21.963827
"2014-09-11",24.75,25.02,24.629999,24.65,2029100,21.919371
"2014-09-12",24.530001,24.75,24.440001,24.5,1106800,21.78598
"2014-09-15",24.35,24.379999,23.92,24.15,1125600,21.474756
"2014-09-16",24.24,24.360001,23.879999,24.309999,1512100,21.617033
"2014-09-17",24.450001,24.690001,24.360001,24.549999,940400,21.830446
