"dates","SYK.Open","SYK.High","SYK.Low","SYK.Close","SYK.Volume","SYK.Adjusted"
"2010-01-04",51.279999,52.27,50.830002,52.16,3982800,44.830681
"2010-01-05",52.330002,52.689999,51.93,52.650002,2238300,45.251823
"2010-01-06",52.66,53.529999,52.5,53.459999,3250400,45.948002
"2010-01-07",53.349998,55.360001,53.349998,55.25,4095500,47.486477
"2010-01-08",55.68,56.119999,55.209999,55.419998,3535500,47.632591
"2010-01-11",55.759998,55.849998,54.98,55.25,2164800,47.486477
"2010-01-12",54.700001,55.380001,54.380001,55.209999,2884700,47.45211
"2010-01-13",55.150002,55.639999,55.02,55.470001,1770600,47.675575
"2010-01-14",55.529999,56.119999,55.41,56.02,1627200,48.148281
"2010-01-15",55.98,56.040001,55.43,56.029999,2935500,48.156876
"2010-01-19",56.23,57.389999,56.23,56.959999,2577700,48.956196
"2010-01-20",56.82,57.369999,55.59,55.93,2593100,48.070934
"2010-01-21",55.84,55.970001,54.5,54.73,2411000,47.039551
"2010-01-22",54.450001,55.189999,53.98,54.040001,2588900,46.446499
"2010-01-25",54.27,54.880001,53.810001,54.439999,2314000,46.790306
"2010-01-26",54.299999,55.040001,53.900002,54.560001,2183300,46.893433
"2010-01-27",53.610001,53.970001,51.73,52.91,4063900,45.475288
"2010-01-28",52.959999,53.200001,51.77,52.189999,3360100,44.856453
"2010-01-29",52.43,52.57,51.599998,51.919998,3632400,44.62439
"2010-02-01",52.220001,52.220001,51.599998,52.200001,1323800,44.865059
"2010-02-02",52.34,53.290001,52.060001,53.150002,2113600,45.681568
"2010-02-03",53.02,53.02,52.419998,52.540001,1353700,45.15728
"2010-02-04",52.150002,52.189999,51.07,51.09,4333900,43.91103
"2010-02-05",50.990002,51.23,49.849998,51.060001,3187300,43.88525
"2010-02-08",51.139999,51.98,50.93,51.43,2219000,44.203251
"2010-02-09",51.959999,52.450001,51.529999,51.91,1910200,44.615814
"2010-02-10",51.93,52.099998,51.290001,51.619999,1461600,44.366543
"2010-02-11",51.419998,52.389999,51.150002,52.169998,1778500,44.839279
"2010-02-12",51.66,52.259998,51.369999,52.060001,1657600,44.74474
"2010-02-16",52.25,52.810001,52.060001,52.799999,1362300,45.380756
"2010-02-17",53,53.220001,52.799999,53.07,1117900,45.612801
"2010-02-18",53,53.34,52.799999,53.240002,1074800,45.758911
"2010-02-19",52.970001,53.43,52.810001,53.16,1227100,45.690163
"2010-02-22",53.360001,53.450001,52.959999,53.09,1255300,45.630001
"2010-02-23",52.91,53.07,52.450001,52.619999,1249300,45.226036
"2010-02-24",52.93,52.950001,52.470001,52.889999,1094700,45.458107
"2010-02-25",52.07,52.849998,51.84,52.84,1332700,45.415115
"2010-02-26",52.98,53.43,52.75,53.099998,1213900,45.638596
"2010-03-01",53.32,54.080002,53.290001,53.82,1031000,46.25742
"2010-03-02",53.939999,54.77,53.919998,54.459999,1092100,46.807484
"2010-03-03",54.560001,54.779999,54.060001,54.110001,1447800,46.50666
"2010-03-04",54.009998,54.189999,53.790001,54.049999,1256500,46.455086
"2010-03-05",54.23,55.040001,54.209999,55.040001,2263400,47.305992
"2010-03-08",55.099998,55.240002,54.950001,55.049999,1357300,47.314579
"2010-03-09",54.93,55.07,54.779999,55,1329800,47.271622
"2010-03-10",54.939999,55.400002,54.689999,55.290001,1566300,47.520866
"2010-03-11",55.200001,55.790001,54.779999,55.73,2422700,47.899017
"2010-03-12",55.75,55.75,54.470001,55.23,2085600,47.469288
"2010-03-15",55.360001,55.470001,54.98,55.419998,1033500,47.632591
"2010-03-16",55.549999,55.549999,55.060001,55.43,1059200,47.64119
"2010-03-17",55.439999,56.27,55.330002,56.27,2233000,48.363152
"2010-03-18",56.07,56.669998,56.02,56.66,1597100,48.698357
"2010-03-19",56.639999,57.09,56.209999,56.639999,1804100,48.681152
"2010-03-22",56.209999,57.25,56.209999,56.849998,1847500,48.861649
"2010-03-23",56.869999,57.009998,56.209999,57,1365300,48.99057
"2010-03-24",57.889999,58.240002,57.380001,57.959999,2681700,49.815678
"2010-03-25",58.310001,58.490002,57.68,57.68,1713400,49.575027
"2010-03-26",57.669998,57.68,56.66,56.709999,1950700,48.868401
"2010-03-29",56.830002,57.27,56.759998,57.18,1123600,49.273415
"2010-03-30",57.330002,57.619999,57.049999,57.509998,1088000,49.557793
"2010-03-31",57.240002,57.599998,56.82,57.220001,1251000,49.307884
"2010-04-01",57.59,57.740002,57.310001,57.650002,859200,49.678429
"2010-04-05",57.740002,58.200001,57.509998,57.849998,942200,49.850784
"2010-04-06",57.790001,57.900002,57.5,57.779999,875400,49.790466
"2010-04-07",57.810001,57.93,56.900002,57.169998,1416900,49.264812
"2010-04-08",57.189999,57.200001,56.630001,57.099998,1087600,49.204494
"2010-04-09",57.009998,57.639999,57.009998,57.639999,618800,49.669823
"2010-04-12",57.639999,57.950001,57.32,57.639999,1068500,49.669823
"2010-04-13",57.130001,57.560001,56.869999,57.18,1950800,49.273415
"2010-04-14",57.209999,57.830002,56.869999,57.709999,1953300,49.730137
"2010-04-15",58,58.369999,57.509998,58.09,1513400,50.057598
"2010-04-16",58.049999,58.25,56.84,57.240002,1842500,49.32513
"2010-04-19",57.029999,57.509998,57.029999,57.470001,1627800,49.523319
"2010-04-20",57.709999,58.720001,57.549999,58.450001,2116500,50.367813
"2010-04-21",57.919998,58.439999,57.349998,57.93,1997600,49.919704
"2010-04-22",57.369999,57.82,56.759998,57.720001,1896300,49.738758
"2010-04-23",57.759998,59.009998,57.150002,58.889999,3247900,50.746964
"2010-04-26",59.130001,59.720001,58.709999,58.810001,2269200,50.678032
"2010-04-27",58.73,58.93,57.450001,57.540001,2400400,49.583641
"2010-04-28",57.52,58.349998,57.310001,58.080002,1907600,50.048969
"2010-04-29",58.360001,58.98,58.330002,58.599998,1302400,50.49707
"2010-04-30",58.849998,58.93,57.400002,57.439999,2093600,49.497475
"2010-05-03",57.599998,58.369999,57.220001,58.119999,2187900,50.08345
"2010-05-04",58.68,58.779999,56.919998,57.450001,3484700,49.506081
"2010-05-05",56.75,57.41,56.75,57.220001,2073000,49.307884
"2010-05-06",56.91,57.279999,53.849998,56.25,4144300,48.472027
"2010-05-07",56.119999,56.119999,53.740002,54.119999,4881200,46.636551
"2010-05-10",56.419998,56.869999,55.560001,56.860001,2755400,48.997681
"2010-05-11",56.299999,57.18,56.09,56.75,1849300,48.902882
"2010-05-12",56.959999,57.220001,56.450001,57.220001,1166700,49.307884
"2010-05-13",57.009998,57.990002,57.009998,57.470001,1787000,49.523319
"2010-05-14",57.709999,57.709999,55.650002,56.459999,3243900,48.652981
"2010-05-17",56.389999,56.889999,55.740002,56.560001,2337500,48.739147
"2010-05-18",57.200001,57.27,55.869999,55.91,1241100,48.179024
"2010-05-19",55.66,56.380001,55.040001,55.720001,2236200,48.015301
"2010-05-20",55,55,53.310001,53.880001,4533600,46.429733
"2010-05-21",53.23,53.900002,52.18,52.700001,5263400,45.412895
"2010-05-24",52.580002,53.73,52.299999,53.18,2787700,45.826519
"2010-05-25",52.02,52.619999,51.220001,52.59,2327300,45.318111
"2010-05-26",53.040001,53.369999,52.150002,52.189999,2173800,44.973412
"2010-05-27",52.790001,53.529999,52.529999,53.470001,1372900,46.07642
"2010-05-28",53.34,53.73,52.939999,53.029999,1827000,45.697266
"2010-06-01",52.599998,53.34,52.34,52.419998,1737300,45.171612
"2010-06-02",52.540001,53.709999,52.189999,53.709999,1833900,46.283234
"2010-06-03",53.91,54.349998,53.619999,54.029999,1760700,46.558979
"2010-06-04",53.389999,53.389999,51.799999,51.970001,2390700,44.783833
"2010-06-07",51.98,52.169998,50.580002,50.619999,3053600,43.620506
"2010-06-08",50.709999,50.939999,49.91,50.560001,2642000,43.568806
"2010-06-09",50.849998,51,49.240002,49.48,4328200,42.638138
"2010-06-10",50.139999,50.25,48.759998,49.360001,4722700,42.534744
"2010-06-11",49.009998,50.599998,49,50.59,4198800,43.594662
"2010-06-14",50.75,51.27,50.439999,50.450001,2018900,43.47403
"2010-06-15",50.830002,51.720001,50.68,51.720001,2056200,44.568401
"2010-06-16",51.310001,52.380001,51.27,52.23,2039600,45.007889
"2010-06-17",52.220001,52.23,51.560001,52.040001,1749600,44.844151
"2010-06-18",51.849998,52.099998,51.59,51.82,2019800,44.654575
"2010-06-21",52.240002,52.470001,51.25,51.580002,1814100,44.447773
"2010-06-22",51.73,52.099998,50.93,50.939999,1879700,43.896248
"2010-06-23",51.23,51.43,50.169998,51.139999,2388800,44.068596
"2010-06-24",51.07,51.16,50.029999,50.200001,2361300,43.258583
"2010-06-25",50.259998,50.509998,49.75,50.099998,3624600,43.172401
"2010-06-28",49.799999,51.439999,49.619999,51.040001,2396700,44.114513
"2010-06-29",50.509998,50.77,49.73,50.16,2444400,43.353912
"2010-06-30",49.990002,50.740002,49.740002,50.060001,1995800,43.267487
"2010-07-01",49.799999,49.889999,48.610001,49.759998,2948200,43.00819
"2010-07-02",49.84,50.23,49.419998,49.880001,1897000,43.111912
"2010-07-06",50.200001,50.869999,49.91,50.419998,1592000,43.578636
"2010-07-07",50.540001,52.27,50.5,52.25,1730000,45.160324
"2010-07-08",52.619999,52.669998,51.720001,52.48,2674700,45.359123
"2010-07-09",52.419998,52.599998,52.09,52.380001,962700,45.272697
"2010-07-12",52.27,52.41,51.790001,52.139999,998200,45.065258
"2010-07-13",52.43,53.25,52.380001,53.119999,1171400,45.91227
"2010-07-14",53.009998,53.290001,52.709999,53.049999,1532700,45.851784
"2010-07-15",53,53.099998,52.080002,52.560001,1598900,45.428265
"2010-07-16",52.380001,52.560001,51.029999,51.200001,1805800,44.252804
"2010-07-19",51.279999,51.75,50.799999,51.529999,1573700,44.538017
"2010-07-20",50.580002,51.380001,49.23,51.290001,3213900,44.330593
"2010-07-21",49.18,49.75,46.580002,46.75,8511500,40.406612
"2010-07-22",47.150002,47.41,46.369999,47.130001,5039000,40.73505
"2010-07-23",47.09,48,46.91,47.830002,3361900,41.34008
"2010-07-26",48.02,48.02,46.98,47.16,3499000,40.760971
"2010-07-27",47.360001,47.669998,47.240002,47.490002,2979800,41.046207
"2010-07-28",47.34,47.529999,46.709999,46.849998,2347000,40.493038
"2010-07-29",47.060001,47.400002,45.849998,46.150002,2498600,39.888027
"2010-07-30",45.799999,46.720001,45.52,46.57,1841200,40.251034
"2010-08-02",47.060001,47.900002,46.91,47.59,2291000,41.132614
"2010-08-03",47.040001,48.240002,47.040001,47.759998,1937000,41.279564
"2010-08-04",47.830002,48.259998,47.650002,47.919998,1625200,41.417843
"2010-08-05",47.77,48.060001,47.369999,48.060001,3398400,41.538857
"2010-08-06",47.459999,47.970001,47.119999,47.970001,1741300,41.461071
