"dates","T.Open","T.High","T.Low","T.Close","T.Volume","T.Adjusted"
"2010-01-04",28.41,28.610001,28.280001,28.58,29136600,15.189297
"2010-01-05",28.700001,28.73,28.35,28.440001,35234500,15.114893
"2010-01-06",27.950001,28.030001,27.549999,27.610001,37894600,14.893725
"2010-01-07",27.58,27.690001,27.120001,27.299999,33600300,14.726503
"2010-01-08",27.290001,27.389999,26.879999,27.1,27633400,14.618614
"2010-01-11",27.18,27.219999,26.85,26.969999,25791200,14.548488
"2010-01-12",26.85,27.110001,26.780001,26.959999,26307800,14.543094
"2010-01-13",27,27.1,26.530001,26.639999,42590900,14.370474
"2010-01-14",26.639999,26.85,26.08,26.190001,42246100,14.12773
"2010-01-15",26.25,26.27,25.65,25.790001,64018300,13.911961
"2010-01-19",25.92,26.25,25.799999,26.200001,33961700,14.133128
"2010-01-20",26.030001,26.030001,25.700001,25.83,39087000,13.933537
"2010-01-21",25.92,25.98,25.4,25.67,40074900,13.847222
"2010-01-22",25.52,25.83,25.360001,25.389999,38379700,13.696185
"2010-01-25",25.73,25.9,25.32,25.58,29901500,13.79868
"2010-01-26",25.4,25.51,25.059999,25.33,34168600,13.663821
"2010-01-27",25.209999,26.120001,25.1,25.620001,58991800,13.820251
"2010-01-28",25.700001,26.15,25.290001,25.540001,52058900,13.777098
"2010-01-29",25.610001,25.75,25.35,25.360001,38921000,13.680007
"2010-02-01",25.67,25.709999,25.280001,25.379999,36774400,13.690793
"2010-02-02",25.370001,25.84,25.27,25.690001,31119800,13.858013
"2010-02-03",25.629999,25.809999,25.4,25.58,22954100,13.79868
"2010-02-04",25.43,25.49,25.030001,25.030001,32334600,13.501991
"2010-02-05",25.120001,25.309999,24.959999,25.24,50883200,13.61527
"2010-02-08",25.190001,25.27,24.959999,24.98,27173100,13.475019
"2010-02-09",25.18,25.42,25.049999,25.26,34939200,13.626062
"2010-02-10",25.23,25.25,25.01,25.120001,26649500,13.550541
"2010-02-11",25.049999,25.379999,24.83,25.190001,27447000,13.588299
"2010-02-12",25.030001,25.15,24.860001,25.07,34113100,13.52357
"2010-02-16",25.299999,25.49,25.129999,25.32,25903700,13.658427
"2010-02-17",25.41,25.52,25.200001,25.4,19506300,13.701579
"2010-02-18",25.4,25.530001,25.16,25.24,27028500,13.61527
"2010-02-19",25.200001,25.4,25.02,25.1,34699600,13.539753
"2010-02-22",25.129999,25.16,24.969999,25.02,31106800,13.496597
"2010-02-23",25,25.030001,24.83,24.83,28515800,13.394102
"2010-02-24",24.879999,24.950001,24.799999,24.91,28970800,13.437262
"2010-02-25",24.76,24.860001,24.610001,24.77,29583200,13.361734
"2010-02-26",24.860001,24.91,24.709999,24.809999,29183900,13.38331
"2010-03-01",24.91,25.07,24.83,25,24906000,13.485807
"2010-03-02",25,25.059999,24.709999,24.879999,33402000,13.421079
"2010-03-03",25.030001,25.030001,24.809999,24.889999,20695100,13.426473
"2010-03-04",24.9,25,24.799999,24.959999,28731200,13.464231
"2010-03-05",25.030001,25.049999,24.82,24.99,27959100,13.480409
"2010-03-08",25.049999,25.360001,24.9,25.280001,24682700,13.63685
"2010-03-09",25.34,25.73,25.299999,25.559999,43463200,13.787885
"2010-03-10",25.610001,25.719999,25.370001,25.52,23535700,13.766309
"2010-03-11",25.42,25.6,25.299999,25.6,21760600,13.809465
"2010-03-12",25.690001,25.73,25.41,25.620001,17818100,13.820251
"2010-03-15",25.68,25.799999,25.559999,25.780001,20320300,13.906565
"2010-03-16",25.860001,25.99,25.709999,25.85,17620400,13.944328
"2010-03-17",25.950001,25.99,25.85,25.9,18104200,13.971292
"2010-03-18",25.959999,26.09,25.9,26.059999,17009600,14.057599
"2010-03-19",26.24,26.309999,25.99,26.24,35866700,14.154704
"2010-03-22",26.190001,26.540001,26.08,26.4,24538400,14.241011
"2010-03-23",26.48,26.57,26.33,26.549999,18136300,14.321926
"2010-03-24",26.42,26.5,26.120001,26.26,20422000,14.16549
"2010-03-25",26.43,26.440001,26.110001,26.15,24093000,14.106153
"2010-03-26",26.17,26.5,26.110001,26.24,18059800,14.154704
"2010-03-29",26.35,26.57,26.299999,26.51,20319800,14.300346
"2010-03-30",26.23,26.33,25.84,25.950001,52251000,13.998266
"2010-03-31",25.9,26.040001,25.75,25.84,36706500,13.938931
"2010-04-01",26.049999,26.209999,25.91,26.110001,20557700,14.084579
"2010-04-05",26.299999,26.360001,26.129999,26.309999,23973200,14.192468
"2010-04-06",26.27,26.360001,26.15,26.309999,21369600,14.192468
"2010-04-07",26,26.030001,25.48,25.65,31369800,14.060896
"2010-04-08",25.610001,26.059999,25.6,26.02,36555700,14.263728
"2010-04-09",26.110001,26.51,26.059999,26.440001,39742000,14.49396
"2010-04-12",26.57,26.67,26.34,26.379999,22939700,14.461067
"2010-04-13",26.32,26.43,26.02,26.200001,38015700,14.362402
"2010-04-14",26.17,26.24,26.02,26.24,27712000,14.384328
"2010-04-15",26.16,26.299999,26.040001,26.24,27991400,14.384328
"2010-04-16",26.200001,26.35,25.91,25.93,31981500,14.214391
"2010-04-19",26.09,26.450001,25.950001,26.379999,33300300,14.461067
"2010-04-20",26.42,26.74,26.360001,26.66,34479700,14.614567
"2010-04-21",26.74,26.75,26.139999,26.34,44749800,14.439148
"2010-04-22",26.09,26.309999,25.790001,26.27,32944900,14.400768
"2010-04-23",26.17,26.290001,25.99,26.25,28020900,14.38981
"2010-04-26",26.23,26.42,26.209999,26.27,17780000,14.400768
"2010-04-27",26.200001,26.309999,25.879999,25.950001,33871100,14.225352
"2010-04-28",26,26.1,25.629999,25.91,34156700,14.203424
"2010-04-29",26.08,26.299999,25.940001,26.139999,25633000,14.329507
"2010-04-30",26.209999,26.5,26.049999,26.059999,33741000,14.285648
"2010-05-03",26.24,26.43,26.07,26.280001,27076400,14.406257
"2010-05-04",26.32,26.43,25.75,25.9,31360000,14.19794
"2010-05-05",25.9,26.139999,25.74,25.77,33486400,14.126681
"2010-05-06",25.709999,25.74,24.040001,25.139999,67762600,13.781322
"2010-05-07",25.209999,25.49,24.77,25.1,51364100,13.759401
"2010-05-10",25.77,26.02,25.4,25.67,40834900,14.071858
"2010-05-11",25.5,25.809999,25.34,25.639999,32370000,14.055417
"2010-05-12",25.73,25.889999,25.559999,25.82,29324900,14.154091
"2010-05-13",25.799999,25.969999,25.620001,25.74,22942900,14.110232
"2010-05-14",25.73,25.780001,25.18,25.4,37799000,13.923853
"2010-05-17",25.450001,25.889999,25.290001,25.77,29926000,14.126681
"2010-05-18",25.860001,25.9,25.309999,25.59,37965200,14.028012
"2010-05-19",25.530001,25.709999,25.299999,25.57,30793800,14.017043
"2010-05-20",25.280001,25.299999,24.860001,24.959999,41239300,13.682654
