"dates","TER.Open","TER.High","TER.Low","TER.Close","TER.Volume","TER.Adjusted"
"2010-01-04",10.86,11.07,10.86,10.96,5172900,10.287004
"2010-01-05",10.91,11.22,10.82,11,6131900,10.324549
"2010-01-06",10.91,11.14,10.85,10.9,5843800,10.230688
"2010-01-07",10.8,10.98,10.76,10.96,4347200,10.287004
"2010-01-08",10.87,11.08,10.87,11.08,4084500,10.399633
"2010-01-11",11.41,11.54,11.27,11.52,7892800,10.812617
"2010-01-12",11.54,11.57,10.99,11.06,5991400,10.380864
"2010-01-13",11.2,11.28,10.73,10.91,6349700,10.240074
"2010-01-14",10.82,10.97,10.62,10.8,5130900,10.13683
"2010-01-15",10.8,10.87,10.23,10.33,5314700,9.69569
"2010-01-19",10.4,10.58,10.27,10.56,5055300,9.911568
"2010-01-20",10.41,10.48,10.27,10.4,6742500,9.761391
"2010-01-21",10.39,10.67,10.2,10.43,7504500,9.789551
"2010-01-22",10.35,10.35,9.72,9.76,6836600,9.160693
"2010-01-25",9.85,10.11,9.78,9.91,3992700,9.301477
"2010-01-26",9.88,10.25,9.79,10.12,6601200,9.498583
"2010-01-27",10.11,10.3,9.91,10.26,6750500,9.629986
"2010-01-28",10.78,10.78,9.26,9.49,15228400,8.907269
"2010-01-29",9.74,9.94,9.23,9.34,9828100,8.76648
"2010-02-01",9.36,9.69,9.34,9.64,7691500,9.048059
"2010-02-02",9.67,10,9.59,9.8,5874400,9.198233
"2010-02-03",9.8,9.94,9.56,9.62,4865900,9.029284
"2010-02-04",9.56,9.56,8.98,9.07,8511400,8.513059
"2010-02-05",9.07,9.35,8.95,9.3,7401200,8.728936
"2010-02-08",9.29,9.55,9.2,9.25,4570000,8.682006
"2010-02-09",9.5,9.53,9.2,9.32,6137400,8.747708
"2010-02-10",9.3,9.44,9.18,9.36,4853600,8.785252
"2010-02-11",9.32,9.76,9.27,9.72,4922500,9.123146
"2010-02-12",9.59,9.95,9.45,9.81,4757300,9.20762
"2010-02-16",9.86,10.15,9.84,10.12,3847400,9.498583
"2010-02-17",10.13,10.2,9.95,10,2417400,9.38595
"2010-02-18",9.91,10.01,9.85,9.97,3525600,9.357795
"2010-02-19",9.91,10.11,9.84,10.07,3482300,9.451654
"2010-02-22",10.12,10.16,9.97,10.04,2293400,9.423497
"2010-02-23",10.04,10.04,9.54,9.64,4057900,9.048059
"2010-02-24",9.68,10.07,9.61,9.98,4306700,9.367182
"2010-02-25",9.75,10.04,9.63,10.03,4439000,9.414106
"2010-02-26",10.09,10.09,9.78,9.99,4775800,9.37657
"2010-03-01",10.05,10.41,10.05,10.39,4227300,9.752006
"2010-03-02",10.34,10.67,10.34,10.59,6375700,9.939726
"2010-03-03",10.67,10.74,10.47,10.52,4719900,9.874024
"2010-03-04",10.62,10.64,10.33,10.56,4797100,9.911568
"2010-03-05",10.64,10.84,10.51,10.7,3330200,10.042972
"2010-03-08",10.7,10.75,10.58,10.63,2809300,9.977269
"2010-03-09",10.53,10.85,10.5,10.81,6680600,10.146217
"2010-03-10",10.75,11,10.75,10.89,3948300,10.221304
"2010-03-11",10.85,10.85,10.6,10.66,6256200,10.005425
"2010-03-12",10.65,10.74,10.38,10.49,6621700,9.845862
"2010-03-15",10.43,10.48,10.05,10.19,5354800,9.564283
"2010-03-16",10.22,10.65,10.21,10.62,8933000,9.967881
"2010-03-17",10.65,10.99,10.63,10.92,5969300,10.249461
"2010-03-18",10.87,10.95,10.71,10.81,3122700,10.146217
"2010-03-19",10.66,10.86,10.34,10.66,5946300,10.005425
"2010-03-22",10.58,11.12,10.5,11.11,7822700,10.427795
"2010-03-23",11.11,11.5,11.08,11.48,5073500,10.775072
"2010-03-24",11.39,11.39,11.06,11.09,3958200,10.409023
"2010-03-25",11.3,11.38,11.16,11.19,5553600,10.50288
"2010-03-26",11.23,11.35,10.93,11.12,3537000,10.437179
"2010-03-29",11.18,11.25,11.05,11.12,2851500,10.437179
"2010-03-30",11.16,11.29,11.06,11.24,2749100,10.549809
"2010-03-31",11.2,11.38,11.11,11.17,2749500,10.484111
"2010-04-01",11.31,11.5,11.09,11.24,2667300,10.549809
"2010-04-05",11.27,11.49,11.21,11.47,5412600,10.765687
"2010-04-06",11.36,11.52,11.26,11.46,3318800,10.756302
"2010-04-07",11.43,11.63,11.32,11.62,4934200,10.906476
"2010-04-08",11.52,11.57,11.16,11.16,4244800,10.474724
"2010-04-09",11.2,11.25,10.85,11.08,6394000,10.399633
"2010-04-12",11.13,11.53,11.02,11.39,5430200,10.690602
"2010-04-13",11.45,11.55,11.3,11.43,3505300,10.728145
"2010-04-14",11.76,12.32,11.71,12.3,13229100,11.54472
"2010-04-15",12.33,12.41,12.1,12.19,4938700,11.441478
"2010-04-16",12.12,12.23,11.84,12.05,5568900,11.310073
"2010-04-19",11.94,12.1,11.54,11.93,5062400,11.197441
"2010-04-20",12.02,12.2,11.87,12.14,2901800,11.394547
"2010-04-21",12.2,12.46,11.8,12.18,7726900,11.43209
"2010-04-22",12.41,13.37,11.8,13.06,19831200,12.258055
"2010-04-23",13.03,13.04,12.67,12.92,9045100,12.126652
"2010-04-26",12.94,13.34,12.94,13.1,9209900,12.295597
"2010-04-27",13.04,13.29,12.58,12.6,11530500,11.826299
"2010-04-28",12.71,12.8,12.36,12.56,7340200,11.788757
"2010-04-29",12.66,12.74,12.35,12.7,5444900,11.92016
"2010-04-30",12.74,12.74,12.18,12.23,5911800,11.479018
"2010-05-03",12.46,13.07,12.45,12.98,7010300,12.182964
"2010-05-04",12.88,12.88,11.97,12.11,8643200,11.366389
"2010-05-05",11.95,12.15,11.65,11.88,8626200,11.150513
"2010-05-06",11.76,11.95,10.29,11.3,9797200,10.606126
"2010-05-07",11.29,11.47,10.63,11.01,9364800,10.333933
"2010-05-10",11.71,11.89,11.52,11.87,7146600,11.141127
"2010-05-11",11.61,11.96,11.4,11.66,5995600,10.944021
"2010-05-12",11.75,12.21,11.75,12.19,5402900,11.441478
"2010-05-13",12.03,12.28,11.68,11.73,5664700,11.009722
"2010-05-14",11.56,11.56,10.88,11.19,8097400,10.50288
"2010-05-17",11.16,11.38,10.81,11.32,6095800,10.6249
"2010-05-18",11.48,11.57,10.8,10.84,9945000,10.174372
"2010-05-19",10.76,11.19,10.6,10.9,6453100,10.230688
"2010-05-20",10.52,10.92,10.23,10.54,12163300,9.892795
"2010-05-21",10.24,11.09,10.13,10.86,9116400,10.193143
"2010-05-24",10.65,10.98,10.54,10.71,5741200,10.052359
"2010-05-25",10.21,10.74,10.17,10.72,6657900,10.06174
"2010-05-26",10.84,11.13,10.65,10.72,7154800,10.06174
"2010-05-27",11.03,11.32,10.95,11.32,5253700,10.6249
"2010-05-28",11.32,11.39,10.82,10.98,4614200,10.305774
"2010-06-01",10.88,11.09,10.53,10.53,5672900,9.883409
"2010-06-02",10.68,10.91,10.53,10.9,4435500,10.230688
"2010-06-03",11,11.25,10.92,11.22,5800700,10.531039
"2010-06-04",10.88,11.1,10.45,10.51,6400600,9.864639
"2010-06-07",10.6,10.75,9.98,10.04,9155500,9.423497
"2010-06-08",10.08,10.13,9.62,9.94,7709700,9.329635
"2010-06-09",10.17,10.38,9.81,9.88,5191000,9.273323
"2010-06-10",10.1,10.33,9.99,10.28,5400400,9.648761
"2010-06-11",10.02,10.59,10.02,10.54,4931100,9.892795
"2010-06-14",10.74,10.94,10.62,10.65,3986700,9.996039
"2010-06-15",10.88,11.82,10.73,11.77,12406700,11.047265
"2010-06-16",11.64,11.93,11.34,11.75,6495100,11.028495
"2010-06-17",11.93,11.94,11.41,11.76,6637000,11.03788
"2010-06-18",11.81,11.92,11.7,11.8,4269300,11.075424
"2010-06-21",12.01,12.06,11.49,11.6,3704400,10.887706
"2010-06-22",11.67,11.86,11.29,11.33,4679500,10.634285
"2010-06-23",11.36,11.43,10.93,11.28,6623300,10.587355
"2010-06-24",11.14,11.18,10.67,10.76,6320100,10.099283
"2010-06-25",10.86,10.86,10.3,10.64,8100000,9.986656
"2010-06-28",10.58,11.12,10.52,10.78,5539100,10.118059
"2010-06-29",10.49,10.49,9.86,9.95,7750000,9.339025
"2010-06-30",9.94,10.21,9.7,9.75,5766700,9.151303
"2010-07-01",9.72,9.86,9.25,9.55,9641300,8.963586
"2010-07-02",9.6,9.64,9.29,9.48,4724100,8.897882
"2010-07-06",9.64,9.91,9.36,9.49,4882900,8.907269
"2010-07-07",9.54,9.95,9.46,9.93,5974800,9.32025
"2010-07-08",10.06,10.1,9.81,9.98,5820000,9.367182
"2010-07-09",10.03,10.24,9.89,10.23,3003100,9.601828
"2010-07-12",10.19,10.4,10.08,10.26,3625300,9.629986
"2010-07-13",10.46,10.74,10.37,10.69,4307300,10.033584
"2010-07-14",10.77,10.91,10.3,10.37,8611800,9.733233
"2010-07-15",10.31,10.41,10,10.25,6784300,9.620602
"2010-07-16",10.16,10.17,9.88,9.93,5577700,9.32025
"2010-07-19",9.97,10.16,9.86,10.04,3404600,9.423497
"2010-07-20",9.72,10.19,9.59,10.18,4498400,9.554902
"2010-07-21",10.35,10.35,9.7,9.77,6076200,9.170075
"2010-07-22",9.95,10.26,9.84,10.14,5742700,9.517356
"2010-07-23",10.2,10.21,9.91,10.15,5801200,9.526742
"2010-07-26",10.24,10.66,10.09,10.64,6272300,9.986656
"2010-07-27",10.78,10.79,10.37,10.5,4990300,9.855249
"2010-07-28",10.37,10.5,10.05,10.21,7324900,9.583056
"2010-07-29",11.1,11.24,10.8,11.07,22630000,10.39025
"2010-07-30",10.84,10.88,10.53,10.76,7352500,10.099283
"2010-08-02",11.08,11.31,10.96,11.25,7572000,10.559197
"2010-08-03",11.2,11.23,10.95,11.05,4883800,10.371478
"2010-08-04",11.09,11.21,10.9,11.11,3794400,10.427795
"2010-08-05",11.01,11.26,10.89,11.15,7651500,10.465336
"2010-08-06",10.98,11.15,10.83,10.84,6296500,10.174372
"2010-08-09",10.95,10.99,10.85,10.89,4397200,10.221304
"2010-08-10",10.79,10.79,10.32,10.45,6254300,9.808325
"2010-08-11",10.09,10.14,9.82,9.88,8263400,9.273323
"2010-08-12",9.58,9.88,9.39,9.56,10911900,8.972971
"2010-08-13",9.5,9.78,9.5,9.61,5305100,9.0199
"2010-08-16",9.58,9.61,9.41,9.5,8482500,8.916656
"2010-08-17",9.63,9.79,9.52,9.7,8294400,9.104376
"2010-08-18",9.68,9.91,9.64,9.86,7338100,9.254548
"2010-08-19",9.84,10.01,9.63,9.68,5829200,9.0856
"2010-08-20",9.6,9.72,9.43,9.49,4786800,8.907269
"2010-08-23",9.64,9.69,9.45,9.47,6140800,8.888497
"2010-08-24",9.29,9.34,9.06,9.16,5082000,8.597531
"2010-08-25",9.04,9.38,9,9.32,8326300,8.747708
"2010-08-26",9.4,9.41,9.03,9.06,4758200,8.503675
"2010-08-27",9.16,9.37,8.84,9.32,7684200,8.747708
"2010-08-30",9.33,9.48,9.22,9.32,8658000,8.747708
"2010-08-31",9.23,9.29,8.91,8.98,5654000,8.428583
"2010-09-01",9.19,9.43,9.11,9.26,4020400,8.691393
"2010-09-02",9.33,9.81,9.33,9.79,8393500,9.188848
"2010-09-03",9.95,10.02,9.77,9.98,7209800,9.367182
"2010-09-07",9.92,10.07,9.56,9.64,4313800,9.048059
"2010-09-08",9.47,9.54,9.17,9.3,8518300,8.728936
"2010-09-09",9.4,9.51,9.2,9.28,5691700,8.710162
"2010-09-10",9.22,9.64,9.1,9.54,8185700,8.954198
"2010-09-13",9.63,10.05,9.55,10.05,10431300,9.432885
"2010-09-14",9.8,10.3,9.6,9.94,9563600,9.329635
"2010-09-15",9.88,10.19,9.79,10.13,6833300,9.50797
"2010-09-16",10.13,10.43,10.05,10.39,7811100,9.752006
"2010-09-17",10.48,10.55,10.17,10.3,7590600,9.667531
"2010-09-20",10.35,10.46,10.23,10.43,3910700,9.789551
"2010-09-21",10.44,10.6,10.35,10.44,4765700,9.798934
"2010-09-22",10.35,10.43,10.16,10.41,7324100,9.770779
"2010-09-23",10.2,10.62,10.06,10.42,5572600,9.780163
