"dates","TJX.Open","TJX.High","TJX.Low","TJX.Close","TJX.Volume","TJX.Adjusted"
"2010-01-04",9,9.1625,8.9375,9.01,25150000,7.826058
"2010-01-05",8.98,9.26,8.98,9.2525,21218400,8.036696
"2010-01-06",9.2625,9.325,9.1925,9.29,14987600,8.069268
"2010-01-07",9.6875,9.935,9.5625,9.765,54589200,8.48185
"2010-01-08",9.58,9.655,9.5075,9.6375,23387600,8.371101
"2010-01-11",9.7025,9.7125,9.565,9.6225,14601600,8.358073
"2010-01-12",9.575,9.5875,9.465,9.535,11583200,8.282072
"2010-01-13",9.545,9.5925,9.4775,9.5675,10988400,8.310303
"2010-01-14",9.575,9.575,9.4025,9.45,10920000,8.208242
"2010-01-15",9.425,9.53,9.2775,9.3225,15785600,8.097496
"2010-01-19",9.3,9.4725,9.3,9.47,10318000,8.225615
"2010-01-20",9.4175,9.4175,9.2875,9.3525,8459200,8.123556
"2010-01-21",9.38,9.4025,9.2,9.2125,16357200,8.001949
"2010-01-22",9.205,9.33,9.165,9.185,18534400,7.978065
"2010-01-25",9.265,9.32,9.1925,9.2525,12041200,8.036696
"2010-01-26",9.24,9.6125,9.24,9.52,24568800,8.26904
"2010-01-27",9.5275,9.6475,9.4575,9.5975,16262800,8.336362
"2010-01-28",9.61,9.6575,9.525,9.5575,21763600,8.301617
"2010-01-29",9.605,9.7125,9.5,9.5025,17224000,8.253843
"2010-02-01",9.5275,9.695,9.5275,9.625,20108800,8.360246
"2010-02-02",9.6925,9.81,9.6875,9.8075,23249200,8.518765
"2010-02-03",9.7875,9.81,9.6325,9.69,18726400,8.416705
"2010-02-04",9.6875,9.7225,9.535,9.5375,20372800,8.284245
"2010-02-05",9.555,9.6225,9.425,9.5775,19836000,8.318992
"2010-02-08",9.5875,9.59,9.4475,9.4475,10746800,8.206071
"2010-02-09",9.5325,9.5375,9.4225,9.4775,11654400,8.258352
"2010-02-10",9.4825,9.53,9.35,9.4025,16517600,8.192999
"2010-02-11",9.4025,9.4125,9.3125,9.38,18852400,8.173394
"2010-02-12",9.2925,9.4175,9.28,9.3975,14347200,8.18864
"2010-02-16",9.455,9.625,9.435,9.6175,11754000,8.380342
"2010-02-17",9.66,9.74,9.6575,9.6975,11612000,8.450055
"2010-02-18",9.6975,9.7975,9.6325,9.7725,12093200,8.515404
"2010-02-19",9.75,9.8525,9.7425,9.7875,11656400,8.528476
"2010-02-22",9.82,9.8675,9.7425,9.8425,16239600,8.576398
"2010-02-23",9.845,9.875,9.6975,9.795,18218400,8.535007
"2010-02-24",9.8375,10.1375,9.715,10.1275,28059200,8.824739
"2010-02-25",9.97,10.475,9.94,10.435,42669200,9.092679
"2010-02-26",10.4,10.5225,10.395,10.4075,25156800,9.068723
"2010-03-01",10.41,10.45,10.2675,10.4175,21328000,9.077433
"2010-03-02",10.425,10.425,10.23,10.27,21886400,8.948907
"2010-03-03",10.31,10.3575,10.24,10.29,18950800,8.966336
"2010-03-04",10.31,10.3575,10.1275,10.26,30528400,8.940193
"2010-03-05",10.3225,10.3825,10.25,10.3825,15568400,9.046936
"2010-03-08",10.3925,10.415,10.325,10.385,11134400,9.049112
"2010-03-09",10.395,10.485,10.3525,10.415,11187200,9.075255
"2010-03-10",10.4175,10.4925,10.36,10.4675,11386800,9.121001
"2010-03-11",10.4425,10.4925,10.4075,10.4425,15973200,9.099218
"2010-03-12",10.4925,10.5875,10.455,10.5325,18422000,9.177642
"2010-03-15",10.5175,10.725,10.4975,10.7175,19232000,9.33884
"2010-03-16",10.725,10.81,10.7075,10.8075,15599200,9.417268
"2010-03-17",10.845,10.845,10.7525,10.775,11718000,9.388946
"2010-03-18",10.8325,10.8525,10.695,10.79,14771200,9.40202
"2010-03-19",10.745,10.8525,10.715,10.745,14452000,9.362808
"2010-03-22",10.7075,10.965,10.7075,10.905,11164000,9.502227
"2010-03-23",10.935,10.9725,10.7925,10.8825,13295200,9.482615
"2010-03-24",10.8325,10.9175,10.745,10.8075,11494800,9.417268
"2010-03-25",10.8775,10.98,10.815,10.88,13332400,9.480442
"2010-03-26",10.915,10.945,10.7575,10.8325,14900400,9.439051
"2010-03-29",10.8525,10.89,10.7175,10.82,10122000,9.428159
"2010-03-30",10.8475,10.92,10.765,10.8,10436400,9.410733
"2010-03-31",10.76,10.79,10.5925,10.63,16798400,9.262597
"2010-04-01",10.6575,10.7325,10.595,10.6775,15062800,9.303989
"2010-04-05",10.7,11.1025,10.7,11.0875,19350400,9.661246
"2010-04-06",11.075,11.2375,11.06,11.175,23748800,9.737494
"2010-04-07",11.16,11.2275,11.08,11.155,19917200,9.720064
"2010-04-08",11.2175,11.335,11.025,11.205,28156800,9.763632
"2010-04-09",11.15,11.24,11.035,11.2075,19628400,9.765813
"2010-04-12",11.265,11.445,11.2075,11.4025,23136800,9.935726
"2010-04-13",11.3975,11.5825,11.39,11.5375,24128800,10.053362
"2010-04-14",11.5825,11.6175,11.485,11.585,21797600,10.094755
"2010-04-15",11.5075,11.5875,11.4575,11.5625,14717200,10.075145
"2010-04-16",11.5125,11.5575,11.32,11.42,18930000,9.950976
"2010-04-19",11.4125,11.4275,11.215,11.3725,12028800,9.909585
"2010-04-20",11.44,11.545,11.3775,11.4975,15922800,10.018506
"2010-04-21",11.5025,11.75,11.4675,11.715,19800000,10.208032
"2010-04-22",11.6375,11.9725,11.6125,11.9225,22151600,10.388836
"2010-04-23",11.9825,12.0225,11.8225,12.0025,18674000,10.458547
"2010-04-26",12.0175,12.125,11.9475,11.9725,18838400,10.432404
"2010-04-27",11.9675,12.0525,11.7425,11.75,22747600,10.238526
"2010-04-28",11.835,11.835,11.6125,11.675,17229200,10.173174
"2010-04-29",11.7525,11.895,11.705,11.8175,11159200,10.297345
"2010-04-30",11.845,11.9175,11.57,11.585,17192400,10.094755
"2010-05-03",11.645,11.8725,11.565,11.785,11823600,10.269021
"2010-05-04",11.69,11.69,11.385,11.4175,20402400,9.948799
"2010-05-05",11.35,11.8725,11.3425,11.58,32731200,10.090394
"2010-05-06",11.305,11.4375,10.5,11.1575,39842000,9.722245
"2010-05-07",11.16,11.2575,10.77,10.9175,39581600,9.513118
"2010-05-10",11.4875,11.5875,11.185,11.44,31853600,9.968402
