"dates","TMUS.Open","TMUS.High","TMUS.Low","TMUS.Close","TMUS.Volume","TMUS.Adjusted"
"2010-01-04",15.48,16.280001,15.44,15.94,2656050,13.207044
"2010-01-05",15.9,16.139999,15.78,15.98,2088600,13.240186
"2010-01-06",15.98,16,14.8,14.9,5595400,12.345354
"2010-01-07",14.98,15.32,14.74,15.04,4430250,12.461351
"2010-01-08",14.6,14.64,13.92,14.2,6763800,11.765371
"2010-01-11",14.14,14.7,14.1,14.38,4726350,11.914511
"2010-01-12",14.74,14.9,12.64,12.7,14308600,10.522551
"2010-01-13",13.1,13.16,12.34,12.66,7766750,10.489408
"2010-01-14",12.42,12.84,12.4,12.46,4879400,10.323699
"2010-01-15",12.56,12.72,12.36,12.64,5408950,10.472838
"2010-01-19",12.6,13.14,12.52,12.8,4774700,10.605406
"2010-01-20",12.74,12.86,12.42,12.48,2890200,10.34027
"2010-01-21",12.36,12.54,11.94,11.98,6068700,9.925996
"2010-01-22",12.14,12.22,11.74,11.76,2809200,9.743716
"2010-01-25",11.94,11.98,11.62,11.72,2664600,9.710574
"2010-01-26",11.74,11.76,11.5,11.5,3233100,9.528294
"2010-01-27",11.4,11.6,11.16,11.38,3177350,9.428868
"2010-01-28",11.38,11.44,11.06,11.06,3265000,9.163733
"2010-01-29",11.14,11.5,11.04,11.26,3224300,9.329443
"2010-02-01",11.32,12.02,11.28,11.86,5980600,9.826571
"2010-02-02",11.7,11.88,11.4,11.82,3521950,9.793428
"2010-02-03",11.74,12.42,11.66,12.16,4264950,10.075135
"2010-02-04",11.94,12,11.56,11.62,3922200,9.62772
"2010-02-05",11.56,11.8,11.24,11.76,4351700,9.743716
"2010-02-08",11.72,11.98,11.56,11.74,2434150,9.727145
"2010-02-09",11.88,12.1,11.66,12.02,3083100,9.959139
"2010-02-10",12,12.14,11.5,11.56,3414750,9.578007
"2010-02-11",11.62,11.9,11.5,11.88,2367200,9.843142
"2010-02-12",11.9,12.24,11.72,11.92,2788750,9.876284
"2010-02-16",12.1,12.44,12.06,12.4,1953750,10.273986
"2010-02-17",12.36,12.56,12.32,12.42,1760900,10.290558
"2010-02-18",12.42,12.58,12.34,12.54,1542250,10.389983
"2010-02-19",12.4,12.7,12.38,12.62,1821200,10.456266
"2010-02-22",12.72,12.78,12.3,12.48,2008200,10.34027
"2010-02-23",12.42,12.5,12.14,12.32,2487500,10.207703
"2010-02-24",12.38,12.58,12.2,12.48,2450000,10.34027
"2010-02-25",13.04,13.52,12.62,12.96,8172750,10.737973
"2010-02-26",13.12,13.12,12.28,12.34,5573500,10.224274
"2010-03-01",12.48,12.56,11.98,12.08,5121200,10.008851
"2010-03-02",12.26,12.54,12.1,12.46,3384650,10.323699
"2010-03-03",12.38,12.7,12.34,12.66,3282100,10.489408
"2010-03-04",12.7,12.78,12.48,12.74,2156850,10.555693
"2010-03-05",12.76,12.92,12.64,12.76,2283050,10.572264
"2010-03-08",12.84,13.14,12.74,13.1,2525200,10.85397
"2010-03-09",13.06,13.36,12.88,13.2,1797000,10.936824
"2010-03-10",13.16,13.4,13.08,13.22,2379650,10.953396
"2010-03-11",13.2,13.52,12.96,13.46,2661950,11.152246
"2010-03-12",13.54,13.6,13.3,13.38,1731350,11.085963
"2010-03-15",13.34,13.42,13.2,13.26,1193700,10.986537
"2010-03-16",13.26,13.7,13.24,13.7,1531150,11.351098
"2010-03-17",13.56,13.88,13.56,13.82,1431600,11.450523
"2010-03-18",13.78,13.92,13.62,13.88,1783300,11.500237
"2010-03-19",14.1,14.12,13.76,14.1,4147450,11.682517
"2010-03-22",14,14.16,13.84,14.12,1839300,11.699088
"2010-03-23",14.2,14.5,14.04,14.4,3474350,11.931081
"2010-03-24",14.36,14.5,14.08,14.14,1840700,11.715659
"2010-03-25",14.4,14.4,13.8,13.88,1913050,11.500237
"2010-03-26",13.98,14.14,13.66,13.86,1951900,11.483665
"2010-03-29",13.86,14.12,13.84,13.96,1381950,11.566521
"2010-03-30",14,14.28,13.96,14.18,1925050,11.748801
"2010-03-31",14.02,14.24,13.96,14.16,2176100,11.732229
"2010-04-01",14.2,14.52,14.12,14.42,1708450,11.947652
"2010-04-05",14.48,14.8,14.4,14.56,2928050,12.063649
"2010-04-06",14.64,14.68,14.36,14.64,2263550,12.129932
"2010-04-07",14.72,14.72,14.16,14.32,2110800,11.864797
"2010-04-08",14.3,14.84,14.26,14.8,3010600,12.2625
"2010-04-09",14.84,14.92,14.62,14.7,2274300,12.179646
"2010-04-12",15,15.1,14.92,15.04,3767100,12.461351
"2010-04-13",15.08,15.4,14.96,15.08,3487400,12.494493
"2010-04-14",15.28,15.4,14.98,15.12,3394900,12.527635
"2010-04-15",15.1,15.66,14.98,15.44,4542950,12.79277
"2010-04-16",15.38,15.42,14.88,14.94,2052700,12.378496
"2010-04-19",14.94,15.2,14.66,14.96,2428500,12.395067
"2010-04-20",15.02,15.3,14.76,15.2,2221400,12.593919
"2010-04-21",15.24,15.44,15.12,15.32,2333600,12.693344
"2010-04-22",15.28,15.52,15.18,15.46,1823100,12.809341
"2010-04-23",15.36,15.64,15.26,15.64,1610550,12.95848
"2010-04-26",15.72,15.98,15.42,15.54,3031950,12.875625
"2010-04-27",15.46,15.62,15.1,15.12,2413450,12.527635
"2010-04-28",15.26,15.48,15.06,15.08,2556150,12.494493
"2010-04-29",15.2,15.6,15.2,15.58,3920950,12.908767
"2010-04-30",15.58,15.88,15.2,15.26,2638000,12.643632
"2010-05-03",15.46,16.059999,15.4,15.92,4347050,13.190473
"2010-05-04",15.74,15.88,15.26,15.54,2825900,12.875625
"2010-05-05",15.46,16,15.2,15.48,5983200,12.825912
"2010-05-06",16.440001,18.139999,15.2,16.120001,14854950,13.356183
"2010-05-07",16.360001,16.379999,14.24,14.3,11884600,11.848227
"2010-05-10",15.3,15.74,15.12,15.68,7737200,12.991622
"2010-05-11",16.4,16.76,16.1,16.5,8965550,13.67103
"2010-05-12",16.68,17.700001,16.58,17.5,7828850,14.499578
"2010-05-13",17.5,17.799999,17.219999,17.559999,4564200,14.54929
"2010-05-14",17.459999,17.639999,17.24,17.440001,3782050,14.449865
"2010-05-17",17.9,18.139999,17.459999,18.1,6123400,14.996706
"2010-05-18",18.299999,18.540001,17.42,17.52,6698050,14.51615
"2010-05-19",17.48,17.780001,17.120001,17.639999,3687800,14.615574
"2010-05-20",17.02,17.34,16.540001,17.08,7612100,14.151587
"2010-05-21",16.639999,17.26,16.360001,16.780001,5647800,13.903025
"2010-05-24",16.68,17.440001,16.639999,16.879999,3727300,13.985878
"2010-05-25",16.540001,16.9,16.02,16.879999,4822100,13.985878
"2010-05-26",16.98,18,16.98,17.540001,8165300,14.532721
"2010-05-27",17.82,18,17.559999,18,4482150,14.913852
