"dates","TROW.Open","TROW.High","TROW.Low","TROW.Close","TROW.Volume","TROW.Adjusted"
"2010-01-04",53.77,55.34,53.119999,54.400002,2330200,39.449451
"2010-01-05",54.049999,55.029999,53.630001,55.009998,1569500,39.8918
"2010-01-06",54.919998,55.080002,53.98,54.150002,1517900,39.26815
"2010-01-07",53.82,54.540001,53.549999,54.110001,1048000,39.239155
"2010-01-08",53.950001,54.02,53.220001,53.900002,1344700,39.086861
"2010-01-11",54,54.790001,53.939999,54.279999,1099000,39.362419
"2010-01-12",53.900002,54.990002,53.759998,54.59,1606800,39.587223
"2010-01-13",54.43,55.279999,54.150002,55.130001,1477000,39.978817
"2010-01-14",54.91,55.060001,54.189999,54.790001,1191300,39.732258
"2010-01-15",54.799999,54.889999,53.52,53.599998,1657900,38.869297
"2010-01-19",53.549999,54.450001,53.349998,54.290001,1194600,39.369682
"2010-01-20",53.900002,53.900002,52.799999,53.360001,1474500,38.695263
"2010-01-21",53.400002,53.43,51.73,51.919998,1979600,37.651009
"2010-01-22",51.759998,51.98,50.48,50.639999,1826500,36.722801
"2010-01-25",51.380001,51.970001,50.849998,51.700001,1562000,37.491482
"2010-01-26",51.540001,52.27,50.919998,51.369999,2311800,37.252174
"2010-01-27",51.669998,52.810001,51.099998,52.630001,2050800,38.165882
"2010-01-28",53.68,54.119999,48.810001,50.599998,5056600,36.69379
"2010-01-29",51.040001,51.200001,49.18,49.619999,2663300,35.983109
"2010-02-01",49.77,51.139999,49.369999,51.029999,2245400,37.005611
"2010-02-02",51.16,51.59,50.689999,51.169998,1741200,37.107143
"2010-02-03",50.849998,51.27,50.419998,50.700001,1475800,36.766308
"2010-02-04",49.830002,50.709999,48.27,48.27,2274400,35.004147
"2010-02-05",48.349998,49.09,47.419998,48.869999,3487900,35.439236
"2010-02-08",49.16,49.689999,48.099998,48.130001,1735900,34.902603
"2010-02-09",48.709999,49.389999,47.889999,48.689999,1844400,35.308712
"2010-02-10",48.52,49.470001,48.52,49.07,1454900,35.58427
"2010-02-11",48.900002,49.209999,48.48,49.009998,1402200,35.540752
"2010-02-12",48.689999,49.080002,48.240002,48.939999,1829300,35.489998
"2010-02-16",49.450001,50.18,48.990002,50.18,1242200,36.38921
"2010-02-17",50.439999,50.59,49.599998,49.919998,1504600,36.200665
"2010-02-18",49.939999,50.150002,49.23,49.599998,1739700,35.968616
"2010-02-19",49.630001,50.310001,49.490002,49.950001,1647700,36.222424
"2010-02-22",50.25,50.560001,49.630001,50.040001,1469600,36.287689
"2010-02-23",49.990002,50.279999,49.48,49.599998,2207600,35.968616
"2010-02-24",49.950001,50.689999,49.630001,50.630001,1379300,36.715534
"2010-02-25",50.110001,50.389999,49.560001,50.32,1076400,36.490742
"2010-02-26",50.57,50.970001,49.869999,50.689999,1529700,36.759048
"2010-03-01",50.650002,51.169998,50.580002,51.099998,1047000,37.056377
"2010-03-02",51.119999,51.48,51.060001,51.400002,1466800,37.27393
"2010-03-03",51.439999,52.060001,51.279999,51.639999,1403300,37.44796
"2010-03-04",51.57,52.610001,51.5,52.560001,1699000,38.11512
"2010-03-05",52.619999,53.990002,52.619999,53.98,1754900,39.144878
"2010-03-08",53.889999,53.950001,53.25,53.360001,1316900,38.695263
"2010-03-09",53.32,53.810001,52.869999,53.490002,1167200,38.789539
"2010-03-10",53.529999,53.650002,53.110001,53.439999,1710200,38.753281
"2010-03-11",53.009998,53.400002,52.709999,53.400002,1083900,38.724266
"2010-03-12",53.400002,53.73,52.830002,53.330002,1320700,38.870041
"2010-03-15",53.119999,53.529999,52.740002,53.450001,1265200,38.957508
"2010-03-16",53.689999,53.889999,53.27,53.849998,1334800,39.24905
"2010-03-17",53.950001,55.509998,53.950001,55.25,1956400,40.269466
"2010-03-18",55.419998,55.419998,54.880001,55.220001,1055100,40.247589
"2010-03-19",55.59,55.59,54.439999,54.810001,1518200,39.948761
"2010-03-22",54.59,55.5,54.41,55.459999,837400,40.422523
"2010-03-23",55.369999,55.91,55.18,55.860001,1330500,40.714046
"2010-03-24",55.549999,55.75,54.52,55,1374500,40.08725
"2010-03-25",55.23,56.25,54.84,55.220001,1547300,40.247589
"2010-03-26",55.220001,55.75,54.52,55.080002,1506800,40.145546
"2010-03-29",55.419998,55.490002,54.91,55.360001,970700,40.349636
"2010-03-30",55.419998,55.82,54.849998,55.209999,1009300,40.240299
"2010-03-31",54.889999,55.389999,54.52,54.970001,1435500,40.065369
"2010-04-01",55.5,56.130001,55.419998,55.869999,1222900,40.721352
