"dates","TSCO.Open","TSCO.High","TSCO.Low","TSCO.Close","TSCO.Volume","TSCO.Adjusted"
"2010-01-04",13.3,13.605,13.2475,13.335,1316400,11.799003
"2010-01-05",13.36,13.42,12.875,13.195,2732400,11.67513
"2010-01-06",13.1425,13.2725,13.0225,13.1675,1483200,11.6508
"2010-01-07",13.075,13.38,13.075,13.3475,919200,11.810064
"2010-01-08",13.375,13.48,13.1925,13.34,548000,11.803428
"2010-01-11",13.345,13.3475,13.11,13.2325,984000,11.708306
"2010-01-12",13.1925,13.2875,13.1075,13.2375,1346400,11.712734
"2010-01-13",13.3175,13.375,13.15,13.3225,1309200,11.787943
"2010-01-14",13.3125,13.35,13.13,13.21,1093600,11.6884
"2010-01-15",13.275,13.275,13.03,13.1125,1418400,11.602132
"2010-01-19",13.0625,13.28,13.0025,13.2175,2829200,11.69504
"2010-01-20",12.745,12.865,12.525,12.7825,2541200,11.310143
"2010-01-21",12.8375,13.0525,12.505,12.6875,1836000,11.226088
"2010-01-22",12.7175,12.8675,12.5,12.5275,1514000,11.084514
"2010-01-25",12.5875,12.8325,12.4125,12.8125,1590800,11.336687
"2010-01-26",12.385,12.7475,12.28,12.655,2916000,11.197332
"2010-01-27",12.575,13.1175,12.4625,13.055,3318400,11.551257
"2010-01-28",13.275,13.375,12.8025,12.875,5424800,11.391987
"2010-01-29",12.88,13.08,12.595,12.6175,2592800,11.164145
"2010-02-01",12.7225,13.0625,12.6475,13.04,1876800,11.537984
"2010-02-02",13.0075,13.27,12.9375,13.23,1108800,11.706099
"2010-02-03",13.1475,13.275,12.91,13.035,1363200,11.533559
"2010-02-04",12.9925,13.0275,12.67,12.7025,1210400,11.239359
"2010-02-05",12.75,12.8375,12.45,12.65,1222400,11.192904
"2010-02-08",13.025,13.025,12.5075,12.535,1016000,11.091151
"2010-02-09",12.68,12.8625,12.525,12.84,1178800,11.361021
"2010-02-10",12.7625,12.8525,12.6275,12.74,883200,11.272539
"2010-02-11",12.675,12.995,12.5325,12.97,983600,11.476044
"2010-02-12",12.895,12.955,12.7525,12.94,937200,11.449499
"2010-02-16",13,13.135,12.945,13.1075,686000,11.597707
"2010-02-17",13.2,13.455,13.1575,13.4275,998800,11.88085
"2010-02-18",13.3975,13.3975,13.1725,13.3075,940400,11.774674
"2010-02-19",13.3175,13.425,13.2075,13.355,917200,11.816696
"2010-02-22",13.4025,13.5,13.32,13.34,961200,11.803428
"2010-02-23",13.355,13.525,13.24,13.3625,1641600,11.823338
"2010-02-24",13.435,13.705,13.25,13.685,927200,12.108688
"2010-02-25",13.6475,13.88,13.5725,13.725,1655200,12.144083
"2010-02-26",13.75,13.8025,13.6125,13.68,1735600,12.104263
"2010-03-01",13.95,14.37,13.825,14.3325,3799200,12.681607
"2010-03-02",14.3075,14.405,14.125,14.235,2250000,12.595338
"2010-03-03",14.3025,14.3575,14.1125,14.1925,1466400,12.557731
"2010-03-04",14.26,14.3625,14.0975,14.1425,1481600,12.513489
"2010-03-05",14.165,14.4025,14.125,14.37,2079200,12.714787
"2010-03-08",14.3925,14.4725,14.3,14.425,809600,12.763451
"2010-03-09",14.395,14.5,14.2725,14.35,1207600,12.697089
"2010-03-10",14.3075,14.5625,14.2575,14.4475,1176800,12.783361
"2010-03-11",14.3325,14.5,14.29,14.4925,759200,12.854317
"2010-03-12",14.5,14.575,14.35,14.575,678400,12.927489
"2010-03-15",14.5125,14.5725,14.3625,14.5075,732800,12.86762
"2010-03-16",14.505,15.1,14.505,15.07,2652800,13.366538
"2010-03-17",14.815,14.9175,14.4925,14.745,3016400,13.078278
"2010-03-18",14.7125,14.9025,14.5775,14.8975,962000,13.213536
"2010-03-19",14.975,14.975,14.76,14.8225,2049200,13.147015
"2010-03-22",14.75,15.1425,14.67,15.0775,1220400,13.37319
"2010-03-23",15.06,15.06,14.8575,14.975,1067600,13.282278
"2010-03-24",14.8975,14.99,14.675,14.6925,973600,13.031712
"2010-03-25",14.7275,14.86,14.515,14.5225,1216000,12.880926
"2010-03-26",14.565,14.7275,14.475,14.5575,908400,12.911968
"2010-03-29",14.6325,14.7325,14.455,14.5675,725200,12.92084
"2010-03-30",14.625,14.835,14.5125,14.7475,895200,13.080492
"2010-03-31",14.7475,14.86,14.51,14.5125,868800,12.872056
"2010-04-01",14.5625,14.85,14.5525,14.85,826800,13.171409
"2010-04-05",14.935,15.25,14.7725,15.245,994800,13.521757
"2010-04-06",15.22,15.38,15.1575,15.37,860400,13.632627
"2010-04-07",16.5625,16.969999,16.290001,16.637501,6803600,14.756854
"2010-04-08",16.752501,16.8225,16.5,16.620001,2057600,14.741338
"2010-04-09",16.98,16.99,16.535,16.615,1356000,14.736894
"2010-04-12",16.702499,16.735001,16.495001,16.575001,910000,14.70142
"2010-04-13",16.577499,16.75,16.52,16.705,1316000,14.816727
"2010-04-14",16.7925,16.809999,16.5725,16.735001,2200800,14.84333
"2010-04-15",16.7925,16.940001,16.645,16.737499,779200,14.845552
"2010-04-16",16.772499,16.8575,16.645,16.73,1302800,14.838895
"2010-04-19",16.7225,17.172501,16.692499,17.035,2651600,15.109421
