"dates","TT.Open","TT.High","TT.Low","TT.Close","TT.Volume","TT.Adjusted"
"2010-01-04",22.307211,22.58605,22.245245,22.46212,3822190,18.664335
"2010-01-05",22.369173,22.468319,22.084139,22.23905,3251863,18.478977
"2010-01-06",22.23905,22.294817,21.929228,22.077942,4220644,18.345108
"2010-01-07",22.090334,22.617031,21.954012,22.301014,5109864,18.530466
"2010-01-08",22.20187,22.728567,22.096531,22.685192,3970340,18.849695
"2010-01-11",22.8463,23.459749,22.765747,23.242872,5473459,19.313082
"2010-01-12",23.001211,23.069372,22.579853,22.753353,4040703,18.906332
"2010-01-13",22.790533,22.833908,22.567461,22.728567,3737141,18.885736
"2010-01-14",22.678997,22.945444,22.629425,22.920658,2512246,19.045341
"2010-01-15",22.939247,23.087961,22.75955,22.964033,4333935,19.081387
"2010-01-19",22.914461,23.434963,22.871086,23.23048,7963596,19.302778
"2010-01-20",23.05698,23.100355,22.58605,23.075569,6475485,19.174059
"2010-01-21",23.168516,23.199497,22.654211,22.722372,6810677,18.880587
"2010-01-22",22.6728,22.790533,21.830084,21.836281,5251235,18.14431
"2010-01-25",22.015978,22.177086,21.687565,21.693762,4863593,18.02589
"2010-01-26",21.613209,21.749531,21.179457,21.538851,6158529,17.897163
"2010-01-27",21.365351,21.377743,20.566008,20.993563,9451545,17.444071
"2010-01-28",21.012152,21.067921,20.299561,20.627974,5878530,17.140295
"2010-01-29",20.696135,20.832457,20.107471,20.113668,6614920,16.71294
"2010-02-01",20.485455,20.671349,20.219007,20.466866,7360024,17.006424
"2010-02-02",20.640366,21.55744,20.541222,21.371546,8241335,17.758154
"2010-02-03",21.216635,21.59462,21.148474,21.402529,3454722,17.783899
"2010-02-04",21.241421,21.241421,20.454472,20.485455,4789357,17.021873
"2010-02-05",20.435883,20.504044,19.779058,20.392508,8452586,16.944637
"2010-02-08",20.33674,20.758099,20.020721,20.373919,3634179,16.929193
"2010-02-09",21.074118,21.631798,20.73951,20.795277,7150065,17.279316
"2010-02-10",20.782885,21.055529,20.566008,20.689938,6059279,17.191786
"2010-02-11",20.683741,21.111296,20.497847,21.055529,6718527,17.495562
"2010-02-12",19.196592,19.605558,18.663698,19.370094,28063985,16.128319
"2010-02-16",19.48163,19.822435,19.326719,19.754274,6080420,16.4482
"2010-02-17",19.791452,20.324347,19.624147,20.157043,6865224,16.783564
"2010-02-18",20.138453,20.696135,20.014524,20.596991,5582715,17.149883
"2010-02-19",20.510241,20.807671,20.386311,20.671349,4053936,17.211794
"2010-02-22",20.714724,20.820063,20.578402,20.61558,4524044,17.165354
"2010-02-23",20.460669,20.609383,20.002132,20.14465,7784622,16.773245
"2010-02-24",20.181829,20.243793,19.797649,20.076488,7114722,16.716492
"2010-02-25",19.803844,19.896791,19.500219,19.822435,8452263,16.504951
"2010-02-26",19.822435,19.859613,19.574577,19.772863,5886599,16.463675
"2010-03-01",19.791452,20.342936,19.779058,20.256186,7218814,16.866114
"2010-03-02",20.417294,20.435883,20.219007,20.342936,9021299,16.938334
"2010-03-03",20.448277,21.098904,20.435883,20.851046,8011042,17.361412
"2010-03-04",21.036938,21.080313,20.454472,20.559813,9427822,17.118925
"2010-03-05",20.764296,21.142279,20.733313,21.030743,5328376,17.511036
"2010-03-08",21.024546,21.160868,20.838652,21.08651,3799274,17.55747
"2010-03-09",20.894421,21.278601,20.875832,20.968777,4374281,17.459442
"2010-03-10",20.974974,21.105099,20.78908,20.99976,3669522,17.485239
"2010-03-11",20.925402,21.538851,20.813866,21.514065,7975699,17.913469
"2010-03-12",21.483082,21.687565,21.377743,21.569834,8962232,17.959909
"2010-03-15",21.402529,21.737137,21.315779,21.650387,4917011,18.026991
"2010-03-16",21.780512,22.245245,21.687565,22.121317,6338632,18.419098
"2010-03-17",22.127514,22.226656,21.73094,21.805298,6730631,18.155964
"2010-03-18",21.85487,21.966406,21.619404,21.892048,4470949,18.228199
"2010-03-19",21.607012,22.077942,21.390137,21.607012,6652683,17.990864
"2010-03-22",21.396332,22.096531,21.321976,22.065548,4997380,18.372662
"2010-03-23",22.009781,22.437334,22.009781,22.400158,4557128,18.651268
"2010-03-24",22.276228,22.350586,21.569834,21.625601,6644130,18.006346
"2010-03-25",21.786709,22.077942,21.390137,21.390137,6619600,17.810293
"2010-03-26",21.402529,21.637995,21.290993,21.464493,5642911,17.872198
"2010-03-29",21.576029,21.749531,21.445904,21.47069,3028187,17.877365
"2010-03-30",21.576029,22.059353,21.501673,21.613209,5140042,17.996025
"2010-03-31",21.526459,21.755726,21.458298,21.607012,3749245,17.990864
"2010-04-01",21.811495,22.294817,21.799101,22.02837,3696312,18.341703
"2010-04-05",22.090334,22.555067,22.090334,22.493103,4231296,18.728659
"2010-04-06",22.313406,22.666603,22.282425,22.579853,5140365,18.800888
"2010-04-07",22.437334,22.815319,22.375372,22.716175,8161612,18.9144
"2010-04-08",22.455925,22.871086,22.344389,22.809122,7132636,18.991791
"2010-04-09",22.895872,23.156122,22.722372,23.131336,6378817,19.260082
"2010-04-12",23.484535,23.515516,23.075569,23.205694,8295883,19.321993
"2010-04-13",23.199497,23.199497,22.796728,22.926855,6285376,19.089817
"2010-04-14",23.106552,23.193302,22.93305,23.14373,5050475,19.270397
"2010-04-15",23.087961,23.589874,22.982622,23.434963,7799953,19.512892
"2010-04-16",23.397785,23.534105,22.920658,23.025997,6020385,19.172375
"2010-04-19",22.877283,23.106552,22.678997,23.087961,4837288,19.223965
"2010-04-20",23.304838,23.732393,23.304838,23.577482,8709668,19.631557
"2010-04-21",23.602266,23.707607,23.484535,23.695213,8446130,19.729584
"2010-04-22",23.571285,24.420198,23.242872,24.166143,8658671,20.121704
"2010-04-23",22.802925,23.069372,22.121317,22.988819,25211060,19.141415
"2010-04-26",23.131336,23.806749,22.97023,23.447355,8508263,19.523203
"2010-04-27",23.416374,23.540302,22.617031,22.734764,7193154,18.929874
"2010-04-28",22.902069,23.044586,22.536478,22.648014,7146837,18.857639
"2010-04-29",22.889675,23.162319,22.796728,23.087961,6266978,19.223965
"2010-04-30",23.063175,23.546499,22.765747,22.914461,5686323,19.0795
"2010-05-03",23.025997,23.608463,23.013605,23.577482,4806141,19.631557
"2010-05-04",23.162319,23.180908,22.54887,22.685192,6317007,18.888601
"2010-05-05",22.375372,23.472141,22.158495,23.14373,13558253,19.270397
"2010-05-06",22.88348,23.366802,21.043135,22.431139,17257470,18.677067
"2010-05-07",22.294817,22.995016,21.619404,21.836281,14106793,18.181761
"2010-05-10",22.939247,23.61466,22.555067,23.304838,10042690,19.404545
"2010-05-11",22.951639,23.806749,22.908264,23.61466,7555620,19.662516
"2010-05-12",23.887304,24.55652,23.843929,24.544127,10882526,20.436428
"2010-05-13",24.352037,25.157576,24.215715,24.791985,8831996,20.642801
"2010-05-14",24.575109,24.575109,23.775768,24.011232,6106402,19.992718
"2010-05-17",24.110376,24.166143,23.428766,24.005035,7931319,19.987558
"2010-05-18",23.589874,24.153751,23.453552,23.552696,8376736,19.610926
"2010-05-19",23.447355,23.689018,22.709978,22.957836,8308148,19.115608
"2010-05-20",22.431139,22.542675,21.76812,21.997389,7432001,18.315901
"2010-05-21",21.619404,22.331997,21.495476,22.232853,7469442,18.511963
"2010-05-24",22.121317,22.54887,22.034567,22.121317,5990207,18.419098
"2010-05-25",21.545048,22.158495,21.290993,22.096531,7370030,18.39846
"2010-05-26",22.356783,22.821514,22.263836,22.387764,6268108,18.640945
"2010-05-27",22.926855,23.40398,22.88348,23.348213,5483788,19.440659
"2010-05-28",23.503124,23.503124,22.902069,23.118944,4453520,19.249763
"2010-06-01",22.790533,23.713802,22.790533,23.224283,8585242,19.337467
"2010-06-02",23.329624,23.862518,23.100355,23.862518,5424399,19.868883
"2010-06-03",23.967857,24.34584,23.949268,24.271484,6252777,20.209412
"2010-06-04",23.78816,23.955465,22.939247,23.069372,5192330,19.208488
"2010-06-07",23.069372,23.249069,22.431139,22.493103,8261508,18.728659
"2010-06-08",22.493103,22.678997,22.11512,22.598442,7597418,18.81637
"2010-06-09",22.840103,23.044586,22.338192,22.437334,6018126,18.682224
"2010-06-10",22.926855,23.211891,22.697586,23.112747,5238486,19.281876
"2010-06-11",22.697586,23.391588,22.697586,23.366802,4204667,19.49382
"2010-06-14",23.540302,24.060804,23.540302,23.596071,4619260,19.685093
"2010-06-15",23.881107,24.593699,23.843929,24.562717,6885074,20.491516
"2010-06-16",24.252893,24.699039,24.246698,24.513145,6202909,20.450167
