"dates","TXN.Open","TXN.High","TXN.Low","TXN.Close","TXN.Volume","TXN.Adjusted"
"2010-01-04",26.200001,26.610001,25.889999,26.01,10369300,19.632912
"2010-01-05",25.950001,26.299999,25.700001,25.860001,10943800,19.519688
"2010-01-06",25.9,26.030001,25.559999,25.67,8933800,19.376272
"2010-01-07",25.6,25.84,25.360001,25.75,10775400,19.436659
"2010-01-08",25.6,26.34,25.52,26.34,12875600,19.882002
"2010-01-11",26.34,26.49,25.719999,26,11677000,19.625364
"2010-01-12",26.02,26.030001,24.67,24.91,21165300,18.802612
"2010-01-13",25.01,25.16,24.67,25.02,18809200,18.885639
"2010-01-14",24.889999,25,24.48,24.709999,22908400,18.651642
"2010-01-15",24.68,24.77,24.200001,24.5,20359100,18.493134
"2010-01-19",24.450001,24.780001,24.35,24.719999,11783800,18.659187
"2010-01-20",24.52,24.610001,24.200001,24.549999,13253500,18.530878
"2010-01-21",24.549999,24.879999,24.01,24.18,18407800,18.251587
"2010-01-22",24.1,24.17,23,23.110001,21806400,17.443928
"2010-01-25",23.41,23.82,23.200001,23.690001,20192100,17.881723
"2010-01-26",23.389999,23.9,23.290001,23.35,19646700,17.625086
"2010-01-27",23.370001,23.66,23.08,23.530001,19535100,17.760956
"2010-01-28",23.459999,23.51,22.690001,23.049999,20198600,17.487825
"2010-01-29",23.110001,23.370001,22.280001,22.5,23137300,17.070547
"2010-02-01",22.559999,23.08,22.559999,23.049999,13199000,17.487825
"2010-02-02",22.969999,23.370001,22.940001,23.309999,11891100,17.685085
"2010-02-03",23.26,23.32,22.93,23.200001,12877300,17.601631
"2010-02-04",23.01,23.01,22.4,22.59,14643500,17.138828
"2010-02-05",22.549999,23.129999,22.5,22.969999,23094000,17.427132
"2010-02-08",23,23.370001,22.700001,23.1,16138900,17.525761
"2010-02-09",23.33,23.66,23.27,23.379999,17494900,17.738195
"2010-02-10",23.389999,23.58,23.139999,23.440001,12401200,17.783716
"2010-02-11",23.43,24,23.299999,23.77,16194800,18.034088
"2010-02-12",23.540001,24.27,23.4,24.030001,21796600,18.231344
"2010-02-16",24.129999,24.879999,24.129999,24.790001,22856400,18.807945
"2010-02-17",24.860001,24.969999,24.299999,24.709999,19430500,18.747253
"2010-02-18",24.65,24.860001,24.389999,24.83,13218600,18.838299
"2010-02-19",24.799999,25.059999,24.59,25.01,15979000,18.974855
"2010-02-22",25.02,25.15,24.620001,24.73,11176800,18.762428
"2010-02-23",24.67,24.719999,24.059999,24.299999,12905800,18.436188
"2010-02-24",24.530001,25,24.48,24.75,14513800,18.777599
"2010-02-25",24.209999,24.549999,24.01,24.52,17886100,18.603098
"2010-02-26",24.450001,24.610001,24.23,24.379999,13204600,18.496881
"2010-03-01",24.530001,24.93,24.469999,24.629999,14892800,18.686558
"2010-03-02",24.540001,24.92,24.25,24.48,16888500,18.572746
"2010-03-03",24.57,24.790001,24.35,24.4,13012700,18.512054
"2010-03-04",24.459999,24.75,24.16,24.67,13538000,18.716904
"2010-03-05",24.799999,25.09,24.610001,24.969999,10345800,18.944517
"2010-03-08",25.09,25.09,24.549999,24.690001,22269200,18.73208
"2010-03-09",24.290001,24.49,23.870001,24.190001,27986900,18.352728
"2010-03-10",24.190001,24.68,24.17,24.59,13878500,18.65621
"2010-03-11",24.379999,24.4,23.799999,24.07,23056400,18.261688
"2010-03-12",24.1,24.24,23.9,24,15073900,18.20858
"2010-03-15",23.91,23.99,23.700001,23.940001,9053400,18.163057
"2010-03-16",24.01,24.75,23.959999,24.68,18282000,18.724497
"2010-03-17",24.559999,25,24.559999,24.91,12620400,18.899002
"2010-03-18",24.889999,25,24.549999,24.719999,10499500,18.754837
"2010-03-19",24.360001,24.73,24.129999,24.360001,16945400,18.481707
"2010-03-22",24.219999,24.75,24.17,24.73,10651200,18.762428
"2010-03-23",24.799999,25.48,24.73,25.450001,17937200,19.308681
"2010-03-24",25.309999,25.33,24.719999,24.790001,16894900,18.807945
"2010-03-25",25.16,25.219999,24.780001,24.790001,11306500,18.807945
"2010-03-26",24.91,25.030001,24.51,24.75,10138000,18.777599
"2010-03-29",24.860001,25.07,24.620001,24.73,9217600,18.762428
"2010-03-30",24.73,24.889999,24.5,24.610001,11074400,18.671381
"2010-03-31",24.58,24.77,24.379999,24.469999,9899700,18.565168
"2010-04-01",24.639999,25,24.440001,24.629999,9057000,18.686558
"2010-04-05",24.73,25.5,24.66,25.389999,14225500,19.263159
"2010-04-06",25.24,25.299999,24.93,25.049999,10626400,19.005207
"2010-04-07",25.110001,25.4,24.889999,25.32,13333000,19.210051
"2010-04-08",25.120001,25.32,24.719999,24.719999,16002500,18.754837
"2010-04-09",24.870001,24.969999,24.620001,24.940001,13451500,18.921753
"2010-04-12",25.26,25.98,25.24,25.690001,18574600,19.490765
"2010-04-13",25.629999,26,25.58,25.870001,11606700,19.627331
"2010-04-14",26.41,26.91,26.379999,26.9,20317400,20.408787
"2010-04-15",26.870001,27,26.6,26.99,11570500,20.477064
"2010-04-16",26.73,26.809999,26.35,26.58,14772100,20.166
"2010-04-19",26.469999,26.68,25.91,26.43,13289700,20.052202
"2010-04-20",26.6,26.84,26.4,26.65,11003900,20.219109
"2010-04-21",26.74,26.9,26.059999,26.42,10479800,20.044613
"2010-04-22",25.950001,26.6,25.4,26.5,17497200,20.10531
"2010-04-23",26.469999,26.75,26.030001,26.67,14470700,20.234285
"2010-04-26",26.860001,27.35,26.790001,27.16,21070400,20.606047
"2010-04-27",26.799999,27.440001,26.41,26.540001,37647800,20.135658
"2010-04-28",26.75,26.76,26.09,26.4,17187200,20.120413
"2010-04-29",26.639999,27.049999,26.360001,27.01,15133100,20.585323
"2010-04-30",26.91,26.950001,26.01,26.01,18069000,19.823183
"2010-05-03",26.23,26.719999,26.1,26.450001,12975600,20.158522
"2010-05-04",26.18,26.219999,25.440001,25.74,21086300,19.617403
