"dates","TXT.Open","TXT.High","TXT.Low","TXT.Close","TXT.Volume","TXT.Adjusted"
"2010-01-04",18.93,19.18,18.66,19.040001,3630600,18.534935
"2010-01-05",18.969999,19.35,18.459999,18.68,12121100,18.184471
"2010-01-06",18.709999,19.42,18.709999,19.33,5598300,18.817242
"2010-01-07",19.32,20.25,19.25,20.190001,5196100,19.654419
"2010-01-08",20.1,20.42,19.969999,20.379999,4104000,19.839378
"2010-01-11",20.51,21.610001,20.360001,21.469999,7214100,20.900475
"2010-01-12",21.25,21.559999,20.91,21.33,4849100,20.764181
"2010-01-13",21.360001,21.49,20.68,20.92,5378700,20.365061
"2010-01-14",20.959999,23.059999,20.58,22.790001,17621700,22.18545
"2010-01-15",22.75,22.75,21.74,21.879999,9136800,21.299593
"2010-01-19",22.09,23.459999,21.790001,22.98,8277200,22.370407
"2010-01-20",22.700001,22.700001,21.91,22.309999,4539400,21.718185
"2010-01-21",22.309999,22.43,21.370001,21.43,4666300,20.861525
"2010-01-22",21.35,22.08,20.799999,21.32,5582300,20.754452
"2010-01-25",21.639999,21.84,20.84,21.129999,6112300,20.569492
"2010-01-26",21.07,21.09,20.370001,20.57,3765400,20.02434
"2010-01-27",20.469999,21.15,20.360001,21,5865400,20.442942
"2010-01-28",20.379999,20.73,18.889999,19.58,18922800,19.060604
"2010-01-29",19.66,19.959999,19.049999,19.530001,6786800,19.011936
"2010-02-01",19.620001,20.690001,19.530001,20.639999,6508100,20.092482
"2010-02-02",20.780001,21.26,20.450001,20.68,7153800,20.131418
"2010-02-03",20.540001,20.790001,20.209999,20.459999,4608300,19.917255
"2010-02-04",20.209999,20.209999,19.4,19.559999,6589400,19.041136
"2010-02-05",19.51,19.6,17.959999,18.91,11037700,18.408382
"2010-02-08",18.84,19.24,18.360001,18.709999,4947400,18.213686
"2010-02-09",19.09,19.27,18.68,18.9,3825000,18.398643
"2010-02-10",18.860001,19.030001,18.290001,18.879999,6767500,18.379166
"2010-02-11",18.879999,19.129999,18.459999,18.959999,4799100,18.457047
"2010-02-12",18.610001,18.67,18,18.32,6119700,17.834034
"2010-02-16",18.49,19.15,18.32,19.08,3328200,18.573872
"2010-02-17",19.15,19.280001,18.91,19.059999,2858800,18.554396
"2010-02-18",19.059999,19.799999,18.959999,19.75,4512900,19.226095
"2010-02-19",19.58,19.940001,19.4,19.68,3683500,19.157951
"2010-02-22",19.75,20.08,19.559999,19.879999,3574500,19.352644
"2010-02-23",19.85,20.17,19.370001,19.530001,3461200,19.011936
"2010-02-24",19.700001,19.74,19.040001,19.59,5307500,19.070337
"2010-02-25",19.15,19.5,18.969999,19.450001,4472200,18.934053
"2010-02-26",19.450001,20.030001,19.25,19.92,3764900,19.39159
"2010-03-01",20,20.309999,19.82,20.209999,4400400,19.673891
"2010-03-02",20.34,20.99,20.049999,20.9,4948300,20.345591
"2010-03-03",20.92,21.450001,20.76,21.24,4626900,20.676567
"2010-03-04",21.360001,21.57,20.93,21.059999,5049300,20.501335
"2010-03-05",21.200001,21.84,21.200001,21.809999,4573900,21.231453
"2010-03-08",21.780001,22.17,21.73,21.74,4333800,21.163305
"2010-03-09",21.129999,21.959999,21.01,21.620001,7801800,21.046499
"2010-03-10",21.17,22.07,21.17,21.809999,4718800,21.251116
"2010-03-11",21.68,22.34,21.299999,22.25,3904800,21.679834
"2010-03-12",22.370001,22.440001,21.92,22.26,3374700,21.689577
"2010-03-15",22.17,22.200001,21.610001,22.049999,3048600,21.484955
"2010-03-16",22.059999,22.780001,21.940001,22.4,4386200,21.825983
"2010-03-17",22.52,22.780001,22.23,22.530001,3061300,21.952648
"2010-03-18",22.41,22.5,22,22.15,2697700,21.582394
"2010-03-19",22.209999,22.969999,22.07,22.209999,5674600,21.640856
"2010-03-22",21.99,22.4,21.799999,22.18,3057700,21.611624
"2010-03-23",22.280001,22.469999,22.07,22.450001,3108600,21.874704
"2010-03-24",22.280001,22.58,22.15,22.280001,2470400,21.709059
"2010-03-25",22.530001,22.559999,21.73,21.77,4974900,21.212132
"2010-03-26",21.9,22.299999,21.620001,21.68,3868400,21.124437
"2010-03-29",21.84,21.950001,21.49,21.700001,4055400,21.14393
"2010-03-30",21.76,22,21.41,21.559999,3241000,21.007513
"2010-03-31",21.48,21.59,21.18,21.23,3694400,20.685974
"2010-04-01",21.42,21.57,21.17,21.4,3655800,20.851618
"2010-04-05",21.540001,21.610001,21.16,21.33,4915300,20.783403
"2010-04-06",21.23,21.82,21.120001,21.57,3755500,21.017256
"2010-04-07",21.450001,22.27,21.25,22.18,9652500,21.611624
"2010-04-08",22.110001,22.25,21.91,22.17,3868100,21.601875
"2010-04-09",22.23,22.299999,21.67,22.09,3119400,21.523933
"2010-04-12",22.1,22.66,22.059999,22.59,3860700,22.011122
"2010-04-13",22.49,22.66,22.370001,22.549999,3279000,21.972143
"2010-04-14",22.639999,22.780001,22.24,22.76,4375200,22.176762
"2010-04-15",22.48,22.709999,22.27,22.33,4808700,21.757778
"2010-04-16",22.42,22.43,21.610001,21.940001,5608400,21.377777
"2010-04-19",21.75,21.889999,21.09,21.559999,4019700,21.007513
"2010-04-20",21.67,22,21.5,21.870001,3074200,21.309572
"2010-04-21",21.66,22.17,21.58,21.6,5674800,21.046497
"2010-04-22",22.18,24.360001,21.99,24.23,16417400,23.609091
"2010-04-23",24.309999,24.33,23.48,23.85,6921100,23.238827
"2010-04-26",23.940001,25.299999,23.92,24.549999,7796000,23.920895
"2010-04-27",24.450001,24.450001,23.120001,23.25,7465500,22.654209
"2010-04-28",23.41,23.959999,23.219999,23.610001,4561300,23.00498
"2010-04-29",23.91,24.200001,23.440001,23.52,3294300,22.917294
"2010-04-30",23.5,23.719999,22.84,22.84,3645300,22.254709
"2010-05-03",23,23.549999,22.940001,23.49,4452500,22.888056
