"dates","UAA.Open","UAA.High","UAA.Low","UAA.Close","UAA.Volume","UAA.Adjusted"
"2010-01-04",3.43375,3.5125,3.43375,3.51,4284000,3.51
"2010-01-05",3.50375,3.62,3.46625,3.615,3666400,3.615
"2010-01-06",3.6275,3.69875,3.61375,3.695,3821600,3.695
"2010-01-07",3.68875,3.74875,3.62125,3.65125,5780800,3.65125
"2010-01-08",3.6525,3.68125,3.59125,3.64375,6400000,3.64375
"2010-01-11",3.66375,3.68375,3.6025,3.63625,6161600,3.63625
"2010-01-12",3.7,3.735,3.5875,3.62,6319200,3.62
"2010-01-13",3.6625,3.675,3.605,3.625,3229600,3.625
"2010-01-14",3.63375,3.64375,3.58375,3.6125,5499200,3.6125
"2010-01-15",3.60625,3.645,3.4775,3.49875,4578400,3.49875
"2010-01-19",3.51375,3.54625,3.37625,3.3925,9436000,3.3925
"2010-01-20",3.39125,3.4,3.3125,3.335,6938400,3.335
"2010-01-21",3.4425,3.54625,3.37375,3.4175,15407200,3.4175
"2010-01-22",3.41,3.47875,3.3125,3.32875,8641600,3.32875
"2010-01-25",3.37,3.38125,3.275,3.3175,4956000,3.3175
"2010-01-26",3.3125,3.5075,3.2725,3.4275,8334400,3.4275
"2010-01-27",3.415,3.52625,3.415,3.48875,9220800,3.48875
"2010-01-28",3.49,3.51,3.24,3.28125,14160000,3.28125
"2010-01-29",3.3425,3.3675,3.17125,3.175,8784000,3.175
"2010-02-01",3.225,3.26,3.14375,3.24625,4974400,3.24625
"2010-02-02",3.265,3.415,3.21625,3.35,10510400,3.35
"2010-02-03",3.30375,3.32625,3.22625,3.235,5456000,3.235
"2010-02-04",3.2125,3.2125,3.04625,3.05625,9863200,3.05625
"2010-02-05",3.0525,3.065,2.965,3.055,10075200,3.055
"2010-02-08",3.08,3.09375,2.98625,2.9925,5335200,2.9925
"2010-02-09",3.04375,3.13625,2.98625,3.10625,6520800,3.10625
"2010-02-10",3.10375,3.14,3.04875,3.0675,4427200,3.0675
"2010-02-11",3.07625,3.17375,3.04875,3.16625,5113600,3.16625
"2010-02-12",3.175,3.175,3.12375,3.16,5303200,3.16
"2010-02-16",3.18125,3.205,3.14625,3.20375,2821600,3.20375
"2010-02-17",3.20625,3.245,3.19875,3.2275,2428000,3.2275
"2010-02-18",3.23125,3.23125,3.18,3.21125,2324000,3.21125
"2010-02-19",3.2,3.23125,3.1825,3.22125,2404800,3.22125
