"dates","UAL.Open","UAL.High","UAL.Low","UAL.Close","UAL.Volume","UAL.Adjusted"
"2010-01-04",12.99,13.11,12.53,12.8,8785900,12.8
"2010-01-05",12.87,14.1,12.87,13.91,23646300,13.91
"2010-01-06",13.74,13.99,13.13,13.27,15398700,13.27
"2010-01-07",13.2,13.95,13.2,13.55,10177000,13.55
"2010-01-08",13.56,13.86,13.13,13.33,5896400,13.33
"2010-01-11",13.36,13.42,12.66,13.11,10168600,13.11
"2010-01-12",13,13.16,12.59,12.69,7203300,12.69
"2010-01-13",12.75,14.05,12.53,13.95,25097400,13.95
"2010-01-14",13.84,14.11,13.65,13.93,8794300,13.93
"2010-01-15",13.93,14.07,13.22,13.25,10210700,13.25
"2010-01-19",13.24,13.76,13.12,13.26,8853400,13.26
"2010-01-20",13.17,13.59,13.01,13.55,9582000,13.55
"2010-01-21",13.75,14.15,13.03,13.13,13819700,13.13
"2010-01-22",13.07,13.79,12.81,13.21,15336800,13.21
"2010-01-25",13.54,13.7,12.58,12.88,10304600,12.88
"2010-01-26",12.78,13.23,12.47,12.79,9175300,12.79
"2010-01-27",13.11,13.25,12.13,12.83,16569200,12.83
"2010-01-28",12.93,13.1,12.19,12.63,12183800,12.63
"2010-01-29",12.73,13,12.18,12.23,10198200,12.23
"2010-02-01",12.35,12.75,12.14,12.75,5866000,12.75
"2010-02-02",12.88,13.76,12.79,13.72,16131700,13.72
"2010-02-03",13.6,13.79,13.24,13.36,9889200,13.36
"2010-02-04",13.1,13.1,12.21,12.36,13254700,12.36
"2010-02-05",12.34,12.9,12.24,12.78,12748200,12.78
"2010-02-08",12.85,13.33,12.62,13.07,10813100,13.07
"2010-02-09",13.63,15.45,13.61,15.36,31243200,15.36
"2010-02-10",15.25,15.76,14.9,15.36,14233800,15.36
"2010-02-11",15.3,15.87,15.14,15.66,9203400,15.66
"2010-02-12",15.13,15.98,15.03,15.95,11612100,15.95
"2010-02-16",16.049999,16.34,15.5,15.68,12249300,15.68
"2010-02-17",15.73,15.73,15.36,15.49,6328100,15.49
"2010-02-18",15.37,15.41,14.91,14.98,8801900,14.98
"2010-02-19",14.86,15.38,14.81,15.33,5187900,15.33
"2010-02-22",15.44,15.69,15.33,15.53,5174700,15.53
"2010-02-23",15.54,15.74,15.13,15.58,8987500,15.58
"2010-02-24",15.68,15.79,15.4,15.67,4648600,15.67
"2010-02-25",15.41,15.73,15.16,15.66,4535300,15.66
"2010-02-26",15.66,17.280001,15.64,17.15,14314800,17.15
"2010-03-01",17.25,18.49,17.23,18.030001,13438700,18.030001
"2010-03-02",18.1,18.440001,17.639999,17.870001,13317000,17.870001
"2010-03-03",17.969999,18.620001,17.719999,18.25,9107600,18.25
"2010-03-04",18.389999,18.41,17.940001,18.059999,6289600,18.059999
"2010-03-05",18.26,18.35,17.959999,18.23,4602000,18.23
"2010-03-08",18.25,18.299999,17.49,17.52,8109300,17.52
"2010-03-09",18.02,19.290001,18.01,18.16,21499500,18.16
"2010-03-10",18.35,19.280001,18.33,18.98,11737600,18.98
"2010-03-11",18.889999,19.209999,18.620001,19.17,8722900,19.17
"2010-03-12",19.360001,19.690001,18.93,19.68,8762800,19.68
"2010-03-15",19.530001,19.940001,19.25,19.879999,7747700,19.879999
"2010-03-16",20.129999,20.450001,19.83,20.18,8962900,20.18
"2010-03-17",20.190001,20.379999,19.35,19.49,11232200,19.49
"2010-03-18",19.559999,20.049999,19.469999,19.530001,5776600,19.530001
"2010-03-19",18.530001,19.690001,18.450001,18.530001,11689200,18.530001
"2010-03-22",18.48,19.540001,18.16,19.43,8082900,19.43
"2010-03-23",19.639999,19.68,18.940001,19.530001,5583200,19.530001
"2010-03-24",19.360001,19.98,19.33,19.6,4990600,19.6
"2010-03-25",19.870001,20.59,19.6,19.66,7739000,19.66
"2010-03-26",19.82,20.549999,19.700001,19.91,8910300,19.91
"2010-03-29",19.98,20.309999,19.65,19.99,5095300,19.99
"2010-03-30",20.15,20.17,19.530001,19.709999,4740400,19.709999
"2010-03-31",19.51,19.73,19.16,19.549999,6026900,19.549999
"2010-04-01",19.530001,19.9,19.32,19.51,9057800,19.51
"2010-04-05",19.629999,19.780001,19.08,19.35,7234800,19.35
"2010-04-06",19.280001,19.76,19.24,19.469999,6541000,19.469999
"2010-04-07",19.43,19.58,18.5,18.950001,12724900,18.950001
"2010-04-08",19.940001,20.809999,19.92,20.23,30718000,20.23
"2010-04-09",20.32,20.549999,19.76,20.5,8816400,20.5
"2010-04-12",20.73,21.639999,20.690001,21.469999,10257600,21.469999
"2010-04-13",21.469999,22.32,21.290001,21.48,10271300,21.48
"2010-04-14",21.75,22.83,21.700001,22.360001,10705600,22.360001
"2010-04-15",22.200001,23.83,22.030001,23.540001,18839100,23.540001
"2010-04-16",23.4,23.620001,22.139999,22.83,11274900,22.83
"2010-04-19",22.41,22.950001,21.4,21.66,12029800,21.66
"2010-04-20",21.959999,22.5,21.35,21.780001,8354300,21.780001
"2010-04-21",22,22.17,20.780001,21.43,8265800,21.43
"2010-04-22",20.969999,22.73,20.16,21.709999,18032400,21.709999
"2010-04-23",21.84,23,21.469999,22.99,14226200,22.99
"2010-04-26",22.68,22.75,21.68,22.360001,12219300,22.360001
"2010-04-27",22.360001,22.709999,20.35,20.51,11821100,20.51
"2010-04-28",21.139999,22.08,20.98,21.75,12012100,21.75
"2010-04-29",22.24,22.41,21.219999,21.469999,8858300,21.469999
"2010-04-30",22,22.860001,21.58,21.6,10890700,21.6
"2010-05-03",22.299999,22.549999,21.280001,22.110001,12427200,22.110001
"2010-05-04",21.719999,21.73,19.08,19.77,20888500,19.77
"2010-05-05",19.309999,19.860001,18.370001,19.780001,24756200,19.780001
"2010-05-06",19.440001,19.959999,16.389999,17.969999,22477500,17.969999
"2010-05-07",18.040001,18.98,17.379999,17.889999,17664900,17.889999
"2010-05-10",18.66,19.440001,18.120001,19.43,8169500,19.43
"2010-05-11",18.940001,19.799999,18.9,19.549999,7417600,19.549999
"2010-05-12",19.76,20.49,19.75,20.370001,7864400,20.370001
"2010-05-13",20.370001,21.08,19.98,20.110001,5413300,20.110001
"2010-05-14",19.91,20.1,19.209999,19.85,7027700,19.85
"2010-05-17",19.99,20.41,19.07,19.950001,6945200,19.950001
"2010-05-18",20.35,20.440001,19.25,19.370001,4420400,19.370001
"2010-05-19",19.049999,19.379999,18.16,18.84,10907800,18.84
"2010-05-20",17.959999,18.42,17.549999,17.709999,10625200,17.709999
"2010-05-21",17.379999,18.9,17.129999,18.530001,10279900,18.530001
"2010-05-24",18.299999,19.08,18.27,18.280001,3579400,18.280001
"2010-05-25",17.629999,19.139999,17.379999,18.959999,9033200,18.959999
"2010-05-26",19.129999,20.530001,19.059999,19.75,10312400,19.75
"2010-05-27",20.35,20.540001,19.99,20.389999,6215900,20.389999
"2010-05-28",20.309999,20.620001,19.84,20.01,5716600,20.01
"2010-06-01",19.74,20.030001,19.34,19.35,5172600,19.35
"2010-06-02",19.940001,21.780001,19.940001,21.780001,12218300,21.780001
"2010-06-03",22,22.549999,21.709999,22.24,8560700,22.24
"2010-06-04",21.440001,22.040001,21,21.08,8545800,21.08
"2010-06-07",21.18,21.49,20.280001,20.299999,7804800,20.299999
"2010-06-08",20.450001,20.860001,19.610001,20.83,9361200,20.83
"2010-06-09",21.190001,22.200001,21.049999,21.34,9068900,21.34
"2010-06-10",21.959999,22.200001,21.690001,21.950001,7041800,21.950001
"2010-06-11",21.440001,22.82,21.200001,22.780001,9103600,22.780001
"2010-06-14",23.09,23.639999,22.67,22.91,7241200,22.91
"2010-06-15",23.27,24.280001,23.030001,23.74,11293900,23.74
"2010-06-16",23.58,24.59,23.35,23.969999,5832000,23.969999
"2010-06-17",24.290001,24.450001,23.51,23.92,4146500,23.92
"2010-06-18",24.030001,24.1,23.51,23.799999,4951700,23.799999
"2010-06-21",24.27,24.48,22.969999,23.24,5608900,23.24
"2010-06-22",23.24,23.27,22,22.1,7760700,22.1
"2010-06-23",22.129999,22.530001,21.690001,22,5081200,22
"2010-06-24",21.84,22.42,21.389999,21.49,5926300,21.49
"2010-06-25",21.530001,21.629999,20.700001,20.91,24106300,20.91
"2010-06-28",21.030001,21.48,20.76,20.809999,5453000,20.809999
"2010-06-29",20.370001,20.5,19.92,19.99,7955300,19.99
"2010-06-30",20.02,21.41,20.02,20.559999,6304100,20.559999
"2010-07-01",20.65,21.5,19.959999,20.719999,6505600,20.719999
"2010-07-02",20.57,20.799999,18.49,18.59,14197800,18.59
"2010-07-06",19.25,19.67,18.42,18.639999,6868300,18.639999
"2010-07-07",18.98,20.139999,18.620001,20.049999,9122500,20.049999
"2010-07-08",20.25,20.559999,19.92,20.51,4946000,20.51
"2010-07-09",20.969999,21.370001,20.6,21.360001,6329800,21.360001
"2010-07-12",21.15,21.700001,20.969999,21.42,3733900,21.42
"2010-07-13",21.639999,22.549999,21.639999,22.440001,6311000,22.440001
"2010-07-14",22.43,22.879999,22.209999,22.700001,4888000,22.700001
"2010-07-15",22.67,22.690001,21.629999,21.98,5070900,21.98
"2010-07-16",21.68,21.91,21.25,21.35,3412200,21.35
"2010-07-19",21.290001,21.290001,19.370001,21.18,10104500,21.18
"2010-07-20",21.16,22.5,21.16,22.200001,9829300,22.200001
"2010-07-21",22.450001,22.68,21.67,21.77,5630200,21.77
"2010-07-22",22.200001,22.940001,22.200001,22.780001,5638400,22.780001
"2010-07-23",22.68,23.129999,22.469999,22.959999,5917500,22.959999
"2010-07-26",23.139999,25,22.9,24.25,7157700,24.25
"2010-07-27",24.4,24.549999,23.59,23.709999,4913100,23.709999
"2010-07-28",23.639999,24.5,23.389999,23.780001,6643000,23.780001
"2010-07-29",23.969999,24.34,23.219999,23.780001,4486900,23.780001
"2010-07-30",23.5,24.120001,23.18,23.74,3863400,23.74
"2010-08-02",24.1,24.440001,23.780001,24.17,5086900,24.17
"2010-08-03",23.99,23.99,23.09,23.200001,4103900,23.200001
"2010-08-04",23.360001,23.450001,22.309999,22.610001,6030000,22.610001
"2010-08-05",22.52,22.809999,22.200001,22.299999,2966900,22.299999
"2010-08-06",22.1,22.469999,21.84,22.32,3403500,22.32
"2010-08-09",22.42,23.299999,22.42,23.23,5645500,23.23
"2010-08-10",23.049999,23.049999,22.25,22.459999,3813400,22.459999
"2010-08-11",21.82,22.17,20.940001,21,5354900,21
"2010-08-12",20.59,21.969999,20.5,21.360001,3952800,21.360001
"2010-08-13",21.4,21.65,21.15,21.48,2470900,21.48
"2010-08-16",21.309999,21.93,21.16,21.74,3489200,21.74
"2010-08-17",22.110001,22.120001,21.08,21.23,4632500,21.23
"2010-08-18",21.25,21.719999,21.08,21.43,5416300,21.43
"2010-08-19",21.370001,21.690001,20.33,20.58,4547000,20.58
"2010-08-20",20.58,20.6,20.02,20.51,4186000,20.51
"2010-08-23",20.459999,21.25,20.389999,20.469999,5320600,20.469999
"2010-08-24",20.219999,20.280001,19.34,19.73,5873100,19.73
"2010-08-25",19.42,19.629999,19.09,19.370001,6927100,19.370001
"2010-08-26",19.709999,20.07,19.620001,19.639999,5864000,19.639999
"2010-08-27",19.809999,20.620001,19.18,20.450001,4970900,20.450001
"2010-08-30",20.85,21.559999,20.700001,20.709999,8816800,20.709999
"2010-08-31",20.709999,21.360001,20.4,21.200001,4353600,21.200001
"2010-09-01",21.5,22.1,21.5,21.93,5709600,21.93
"2010-09-02",21.99,22.610001,21.77,22.290001,4392500,22.290001
"2010-09-03",22.700001,22.790001,22.35,22.5,3651000,22.5
"2010-09-07",22.450001,22.6,21.92,22.27,3911400,22.27
"2010-09-08",22.299999,22.59,21.889999,22.059999,5373000,22.059999
"2010-09-09",21.93,21.99,20.549999,20.940001,8482600,20.940001
"2010-09-10",20.879999,21.27,20.48,20.84,4056200,20.84
"2010-09-13",21.23,21.48,21.02,21.299999,3452100,21.299999
"2010-09-14",21.280001,22.32,20.82,21.77,5311600,21.77
"2010-09-15",21.76,22.110001,21.559999,21.709999,3140400,21.709999
"2010-09-16",21.58,22.23,21.309999,22.219999,5740200,22.219999
"2010-09-17",22.290001,22.32,21.870001,21.950001,5031000,21.950001
"2010-09-20",21.950001,22.5,21.950001,22.42,6799300,22.42
"2010-09-21",22.559999,23.540001,22.43,23.5,7497700,23.5
"2010-09-22",23.280001,23.52,22.6,22.639999,7239700,22.639999
"2010-09-23",22.49,22.879999,22.15,22.389999,6153600,22.389999
"2010-09-24",22.68,22.959999,22.549999,22.790001,3435000,22.790001
"2010-09-27",23.1,23.450001,22.83,22.84,5750700,22.84
"2010-09-28",23,23.17,22.75,23.02,4041300,23.02
"2010-09-29",23,23.65,22.76,23.41,6686300,23.41
"2010-09-30",23.76,23.950001,23.42,23.66,11728300,23.66
"2010-10-01",25,25.450001,24.25,24.700001,5674600,24.700001
"2010-10-04",25.02,25.49,23.76,24.1,9705700,24.1
"2010-10-05",24.32,24.799999,24.32,24.469999,7265100,24.469999
"2010-10-06",24.610001,25.049999,24.610001,24.969999,5633400,24.969999
"2010-10-07",25.09,25.82,24.84,25.719999,7508800,25.719999
"2010-10-08",25.76,27.059999,25.49,26.440001,8397200,26.440001
"2010-10-11",26.549999,26.9,25.99,26.040001,4016400,26.040001
"2010-10-12",25.969999,27.379999,25.91,26.98,9636900,26.98
"2010-10-13",27.42,27.629999,26.6,26.690001,7252700,26.690001
"2010-10-14",26.9,26.9,25.66,25.83,5185600,25.83
"2010-10-15",26.139999,26.42,25.93,26.15,4550700,26.15
"2010-10-18",26.299999,26.32,25.82,26.32,3607900,26.32
"2010-10-19",25.709999,26.190001,25.450001,25.690001,6296600,25.690001
"2010-10-20",26.379999,27.700001,26.07,27.629999,9060400,27.629999
"2010-10-21",27.309999,28.73,26.719999,27.799999,13028400,27.799999
"2010-10-22",27.92,27.92,27.25,27.709999,4347400,27.709999
"2010-10-25",27.82,28.23,27.620001,27.709999,5211000,27.709999
"2010-10-26",27.530001,28.690001,27.299999,28.440001,5053500,28.440001
"2010-10-27",28.35,29.559999,28.120001,29.530001,5698600,29.530001
"2010-10-28",29.610001,29.75,28.6,28.92,5361800,28.92
"2010-10-29",29.09,29.110001,28.4,29.040001,4224800,29.040001
"2010-11-01",28.91,29.09,28.030001,28.4,4562400,28.4
"2010-11-02",28.58,28.639999,27.74,28.610001,3332200,28.610001
"2010-11-03",28.879999,29.1,28.209999,28.93,5215900,28.93
"2010-11-04",29.43,29.59,27.77,27.860001,9424600,27.860001
"2010-11-05",28.08,28.290001,27.51,27.860001,6386500,27.860001
"2010-11-08",27.959999,28.610001,27.610001,28.59,4935200,28.59
"2010-11-09",28.780001,28.799999,27.809999,28.049999,4702200,28.049999
"2010-11-10",28.200001,28.299999,27.709999,28.040001,2257100,28.040001
"2010-11-11",27.700001,28.52,27.610001,28.4,3178000,28.4
"2010-11-12",28.08,28.370001,27.68,27.870001,2713800,27.870001
"2010-11-15",27.690001,28.15,27.280001,27.469999,3702900,27.469999
"2010-11-16",27.4,28.139999,26.66,27.18,5195100,27.18
"2010-11-17",27.280001,27.43,26.76,27.34,2274100,27.34
"2010-11-18",27.6,28.35,27.540001,27.98,3484000,27.98
"2010-11-19",27.889999,28.709999,27.75,28.620001,4143300,28.620001
