"dates","UHS.Open","UHS.High","UHS.Low","UHS.Close","UHS.Volume","UHS.Adjusted"
"2010-01-04",30.66,31.15,30.66,31.15,1553600,29.618765
"2010-01-05",31.139999,31.42,30.709999,30.9,1210900,29.38106
"2010-01-06",30.93,31.23,30.65,30.75,1039700,29.238432
"2010-01-07",30.85,31.299999,30.639999,31.209999,1186300,29.675819
"2010-01-08",31.25,32.68,31.209999,32.619999,1906000,31.016504
"2010-01-11",32.869999,33.119999,32.240002,32.279999,803500,30.693214
"2010-01-12",32.07,32.189999,31.18,31.309999,882200,29.770899
"2010-01-13",31.51,32.790001,31.51,32.759998,1360200,31.149614
"2010-01-14",32.529999,33.419998,32.419998,33.360001,1185600,31.720131
"2010-01-15",33.34,33.360001,32.220001,32.360001,934000,30.769285
"2010-01-19",31.99,32.18,30.780001,32.169998,1775900,30.588634
"2010-01-20",31.940001,31.940001,29.6,30.32,4784300,28.829565
"2010-01-21",30.290001,30.549999,29.059999,29.23,1792000,27.793142
"2010-01-22",29.209999,29.9,28.67,28.75,1566600,27.336746
"2010-01-25",29,29.77,28.719999,29.540001,1579000,28.087912
"2010-01-26",29.42,30.959999,29.299999,30.85,1844100,29.333519
"2010-01-27",30.860001,30.860001,29.709999,30.23,1858300,28.74399
"2010-01-28",30.280001,30.389999,29.129999,29.389999,1066900,27.945282
"2010-01-29",29.43,29.870001,29.02,29.16,937600,27.726593
"2010-02-01",29.219999,29.360001,28.799999,29.360001,1136800,27.916756
"2010-02-02",29.41,30.42,29.18,30.34,1098700,28.848579
"2010-02-03",30.299999,30.299999,29.73,29.879999,431200,28.4112
"2010-02-04",29.75,29.75,29.02,29.17,945300,27.736094
"2010-02-05",29.200001,29.25,28.4,28.83,902800,27.412811
"2010-02-08",28.77,29.129999,28.4,28.940001,1375000,27.517401
"2010-02-09",29.27,30.35,29.049999,30.24,1585500,28.7535
"2010-02-10",30.049999,31.209999,30.049999,30.870001,2193500,29.35253
"2010-02-11",30.73,31.450001,30.450001,31.379999,942400,29.837458
"2010-02-12",31.049999,32.02,30.879999,32.02,1024000,30.445993
"2010-02-16",32.209999,32.290001,31.700001,32.009998,1031100,30.436493
"2010-02-17",32,32.299999,31.73,31.84,1578100,30.274845
"2010-02-18",31.74,31.950001,31.16,31.91,1804500,30.341408
"2010-02-19",31.780001,32.290001,31.780001,32.279999,926000,30.693214
"2010-02-22",32.27,32.5,31.370001,31.450001,1185600,29.904016
"2010-02-23",31.25,31.389999,30.51,30.559999,1275200,29.057772
"2010-02-24",30.57,30.700001,30.190001,30.4,1285100,28.905634
"2010-02-25",30.02,31.17,29.52,31.01,1725600,29.534227
"2010-02-26",30.52,31.83,29.65,31.02,2416700,29.543747
"2010-03-01",31.18,31.75,31.120001,31.690001,1207000,30.181866
"2010-03-02",31.85,32.220001,31.67,32.040001,686600,30.515207
"2010-03-03",32.200001,32.380001,31.57,31.65,882500,30.143763
"2010-03-04",31.6,33.09,31.57,33.029999,1720700,31.458094
"2010-03-05",33.23,33.299999,32.810001,33.099998,960200,31.524761
"2010-03-08",33.16,33.200001,32.970001,33.060001,608700,31.48666
"2010-03-09",32.919998,33.110001,32.540001,32.540001,1498100,30.991421
"2010-03-10",32.630001,33.639999,31.870001,33.509998,3239800,31.915251
"2010-03-11",33.310001,33.700001,32.98,33.66,1536000,32.058109
"2010-03-12",33.599998,33.75,32.41,33.029999,1197600,31.458094
"2010-03-15",33.009998,33.939999,32.669998,33.860001,1371500,32.248596
"2010-03-16",33.970001,34.169998,33.790001,34.150002,1131700,32.524788
"2010-03-17",34.349998,34.990002,34,34.630001,1750300,32.981945
"2010-03-18",34.77,34.959999,34.099998,34.169998,1769600,32.543839
"2010-03-19",34.459999,34.540001,33.84,34.459999,1767700,32.820034
"2010-03-22",34.75,36.709999,34.75,36.59,3787400,34.848663
"2010-03-23",36.73,36.740002,35.779999,35.950001,1192300,34.23912
"2010-03-24",35.91,35.970001,35.02,35.169998,1276900,33.49625
"2010-03-25",35.279999,35.459999,34.98,35.18,868100,33.505768
"2010-03-26",35.23,35.75,35.18,35.630001,1283200,33.934361
"2010-03-29",35.810001,36.169998,35.66,36.07,941900,34.35342
"2010-03-30",36.16,36.25,35.689999,35.799999,1297100,34.096264
"2010-03-31",35.720001,35.75,34.91,35.09,756200,33.420055
"2010-04-01",35.360001,36.880001,35.27,36.709999,1578200,34.962959
"2010-04-05",36.709999,37.080002,36.509998,36.630001,672600,34.886761
"2010-04-06",36.57,36.970001,36.459999,36.689999,789000,34.94392
"2010-04-07",36.540001,36.82,35.810001,36.779999,1650600,35.029636
"2010-04-08",36.720001,37.02,36.220001,36.990002,1141200,35.229641
"2010-04-09",37.049999,37.099998,36.290001,36.32,1126300,34.591522
"2010-04-12",36.34,37.18,36.279999,36.5,1792000,34.762947
"2010-04-13",36.549999,36.799999,35.959999,36.060001,1102400,34.343899
"2010-04-14",36.279999,36.299999,35.43,35.450001,1128500,33.762924
"2010-04-15",35.450001,35.57,35.130001,35.380001,1133300,33.696266
"2010-04-16",35.290001,35.52,33.709999,34.860001,3856500,33.201004
"2010-04-19",35.240002,35.93,34.639999,35.759998,1965500,34.058178
"2010-04-20",36.150002,37.119999,35.43,37,2057200,35.239159
