"dates","UNM.Open","UNM.High","UNM.Low","UNM.Close","UNM.Volume","UNM.Adjusted"
"2010-01-04",19.73,20.049999,19.549999,19.940001,3110300,14.992702
"2010-01-05",19.85,20.290001,19.799999,20.23,1989000,15.210749
"2010-01-06",20.25,20.51,20.190001,20.41,2435300,15.346094
"2010-01-07",20.24,20.92,20.07,20.860001,3769600,15.684441
"2010-01-08",20.799999,20.799999,20.41,20.58,2046300,15.473915
"2010-01-11",20.58,20.99,20.58,20.959999,2172600,15.759634
"2010-01-12",20.790001,21.24,20.790001,20.91,5054100,15.722045
"2010-01-13",21.01,21.15,20.77,21.049999,2686700,15.827297
"2010-01-14",20.950001,21.690001,20.950001,21.450001,5754800,16.128063
"2010-01-15",21.41,21.790001,21.299999,21.389999,6101000,16.082947
"2010-01-19",21.290001,21.92,21.26,21.639999,3621800,16.270912
"2010-01-20",21.5,21.610001,21.17,21.530001,3954400,16.188219
"2010-01-21",21.530001,21.559999,20.93,20.98,5031100,15.835719
"2010-01-22",20.99,21.09,20.15,20.190001,3668400,15.239426
"2010-01-25",20.48,20.610001,20.23,20.33,2502800,15.345103
"2010-01-26",20.129999,20.41,19.76,19.799999,2908500,14.945052
"2010-01-27",19.809999,20.01,19.450001,19.99,3471900,15.088467
"2010-01-28",19.92,20.030001,19.59,19.610001,4037700,14.801646
"2010-01-29",19.690001,20.110001,19.52,19.57,3336500,14.771452
"2010-02-01",19.709999,20.139999,19.59,20.1,3175100,15.171495
"2010-02-02",20.17,20.799999,20,20.67,3610400,15.601732
"2010-02-03",20.450001,20.620001,19.75,19.950001,3713500,15.058271
"2010-02-04",19.74,19.74,18.860001,18.9,4127100,14.265731
"2010-02-05",18.9,19.23,18.559999,19.219999,4817000,14.507267
"2010-02-08",19.18,19.219999,18.73,18.73,2748600,14.13742
"2010-02-09",19.040001,19.379999,18.780001,19.01,3393200,14.348759
"2010-02-10",19.040001,19.33,18.9,19.139999,3112000,14.446886
"2010-02-11",19.139999,19.5,18.969999,19.42,2863200,14.658231
"2010-02-12",19.110001,19.549999,18.780001,19.52,3630000,14.733711
"2010-02-16",19.74,20.08,19.620001,20.08,3084100,15.156399
"2010-02-17",20.629999,20.74,20.190001,20.530001,3316100,15.496056
"2010-02-18",20.48,20.940001,20.4,20.92,3639500,15.790429
"2010-02-19",20.85,21.07,20.67,21.01,2920300,15.858359
"2010-02-22",20.93,21.1,20.870001,21.01,1603500,15.858359
"2010-02-23",20.91,21.09,20.57,20.639999,3734800,15.579078
"2010-02-24",20.77,20.99,20.639999,20.93,2771900,15.797982
"2010-02-25",20.68,20.809999,20.42,20.780001,2800000,15.684757
"2010-02-26",20.84,20.959999,20.620001,20.809999,2615300,15.7074
"2010-03-01",20.889999,21.32,20.860001,21.309999,2535400,16.084799
"2010-03-02",21.379999,21.43,21.16,21.299999,2507500,16.077251
"2010-03-03",21.33,21.5,21.24,21.35,2825200,16.114994
"2010-03-04",21.440001,21.68,21.290001,21.68,2267500,16.364079
"2010-03-05",21.85,22.25,21.66,22.200001,3338500,16.756578
"2010-03-08",22.26,22.540001,22.190001,22.42,2505900,16.922638
"2010-03-09",22.26,22.559999,22.24,22.48,2619900,16.967916
"2010-03-10",22.58,22.83,22.370001,22.77,2297800,17.186815
"2010-03-11",22.9,23.25,22.83,23.25,3194800,17.549118
"2010-03-12",23.43,23.549999,23.02,23.4,4262000,17.662338
"2010-03-15",23.4,23.93,23.280001,23.84,4206100,17.994446
"2010-03-16",23.9,24.23,23.75,24.17,3553600,18.24353
"2010-03-17",24.879999,24.91,24.32,24.43,4781200,18.439783
"2010-03-18",24.34,24.42,24.190001,24.33,2622000,18.364302
"2010-03-19",23.93,24.48,23.629999,23.93,5142400,18.06238
"2010-03-22",23.59,24.01,23.549999,23.889999,3222800,18.032187
"2010-03-23",23.9,24.219999,23.73,24.190001,3393500,18.258629
"2010-03-24",24.08,24.309999,23.969999,24.18,2752300,18.251081
"2010-03-25",24.370001,24.700001,24.18,24.389999,4214900,18.409588
"2010-03-26",24.41,24.780001,24.41,24.65,4124800,18.605837
"2010-03-29",24.76,25,24.75,24.870001,3731800,18.771894
"2010-03-30",24.889999,25,24.700001,24.73,2050400,18.666222
"2010-03-31",24.58,24.940001,24.559999,24.77,4751800,18.696407
"2010-04-01",24.969999,25.309999,24.93,25.17,1927600,18.998331
"2010-04-05",25.209999,25.450001,25.190001,25.34,2600300,19.126654
"2010-04-06",25.219999,25.84,25.129999,25.6,3523400,19.322901
"2010-04-07",25.57,25.65,25.129999,25.360001,2585500,19.141745
"2010-04-08",25.24,25.49,25.09,25.43,1879700,19.194582
"2010-04-09",25.43,25.530001,25.309999,25.530001,2333200,19.270061
"2010-04-12",25.65,25.719999,25.459999,25.540001,1727500,19.277605
"2010-04-13",25.459999,25.639999,25.280001,25.59,1322100,19.315353
"2010-04-14",25.690001,26.42,25.690001,26.41,2524700,19.934282
"2010-04-15",26,26.200001,25.76,26.07,2697600,19.67766
"2010-04-16",25.92,26.01,24.959999,25.32,4268200,19.111557
"2010-04-19",25.1,25.5,24.950001,25.48,3112800,19.232317
"2010-04-20",25.67,25.940001,25.639999,25.889999,1971700,19.541784
"2010-04-21",25.950001,26.18,25.34,25.65,2830300,19.360641
"2010-04-22",25.379999,25.559999,24.92,25.51,2370400,19.317472
"2010-04-23",25.459999,25.940001,25.389999,25.91,2103400,19.620371
"2010-04-26",25.84,26.09,25.629999,25.639999,2184900,19.415918
"2010-04-27",25.41,25.559999,24.18,24.27,4427200,18.378483
"2010-04-28",24.57,24.940001,24.139999,24.280001,4914400,18.386059
"2010-04-29",24.629999,24.969999,24.41,24.709999,4851300,18.711678
"2010-04-30",24.91,25.17,24.360001,24.469999,4575900,18.529926
"2010-05-03",24.709999,24.82,24.200001,24.360001,3779400,18.446636
"2010-05-04",24.049999,24.059999,23.440001,23.57,5844300,17.84841
"2010-05-05",23.1,24.309999,22.91,23.58,5665700,17.855978
"2010-05-06",23.450001,23.83,21.030001,22.66,5500400,17.159306
"2010-05-07",22.41,23.01,21.860001,22.440001,7541500,16.992716
"2010-05-10",23.690001,24.32,23.66,24.32,4757900,18.416348
"2010-05-11",23.93,24.5,23.75,24.049999,2974400,18.211887
"2010-05-12",24.200001,24.379999,23.950001,24.309999,4325200,18.40877
"2010-05-13",24.209999,24.24,23.540001,23.57,3663100,17.84841
"2010-05-14",23.290001,23.379999,22.49,22.709999,5212300,17.197172
"2010-05-17",22.73,22.91,22.15,22.59,7467100,17.106302
"2010-05-18",22.799999,22.93,21.950001,22.07,6286700,16.712532
"2010-05-19",21.959999,22.389999,21.540001,22.049999,7475300,16.697382
"2010-05-20",21.629999,21.969999,21.030001,21.51,18734300,16.288469
"2010-05-21",21.17,22.530001,21.049999,22.459999,7578200,17.007854
"2010-05-24",22.33,22.5,22.01,22.08,4382800,16.720097
"2010-05-25",21.280001,22.309999,20.98,22.190001,10840300,16.803402
"2010-05-26",22.440001,22.809999,22.26,22.4,6643000,16.962429
"2010-05-27",22.889999,23.559999,22.68,23.52,4135600,17.810543
"2010-05-28",23.530001,23.77,23.02,23.1,5270700,17.492496
"2010-06-01",22.610001,23.23,22.41,22.620001,4141100,17.129011
"2010-06-02",22.83,23.41,22.65,23.4,3711300,17.719675
"2010-06-03",23.440001,23.549999,23.059999,23.26,2982900,17.613659
"2010-06-04",22.629999,22.77,22.190001,22.280001,7167700,16.871553
"2010-06-07",22.33,22.469999,21.719999,21.73,6816000,16.455067
"2010-06-08",21.809999,22.360001,21.59,22.280001,5482500,16.871553
"2010-06-09",22.49,22.76,22.059999,22.139999,3921000,16.765537
"2010-06-10",22.6,23.1,22.49,23.059999,2882500,17.462214
"2010-06-11",22.74,23.34,22.58,23.290001,3242300,17.636375
"2010-06-14",23.5,23.73,23.27,23.35,3647300,17.681812
"2010-06-15",23.48,23.85,23.23,23.82,3367900,18.037716
"2010-06-16",23.49,23.74,23.280001,23.43,2907400,17.742395
"2010-06-17",23.43,23.58,23.129999,23.360001,2417100,17.689388
"2010-06-18",23.440001,23.58,23.379999,23.58,2206400,17.855978
"2010-06-21",23.9,24.34,23.280001,23.440001,1854600,17.749969
"2010-06-22",23.389999,23.68,22.93,22.959999,2615000,17.386478
"2010-06-23",22.950001,23.07,22.559999,22.74,2852700,17.219891
"2010-06-24",22.59,22.719999,22.24,22.33,3382900,16.909422
"2010-06-25",22.52,22.76,22.059999,22.690001,3641900,17.182026
"2010-06-28",22.73,22.950001,22.6,22.790001,2743600,17.25775
"2010-06-29",22.440001,22.440001,21.76,21.91,4575700,16.591364
"2010-06-30",21.809999,22.209999,21.65,21.700001,4520400,16.432341
"2010-07-01",21.77,21.780001,20.92,21.34,4671700,16.159737
"2010-07-02",21.440001,21.59,20.98,21.26,3109200,16.099154
"2010-07-06",21.530001,21.809999,20.99,21.299999,4189700,16.129444
"2010-07-07",21.530001,21.99,21.309999,21.950001,5086700,16.621656
